"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.424118,7111000,"Koblenz, Stadt",1998
"2",0.383884,7111000,"Koblenz, Stadt",1999
"3",0.377318,7111000,"Koblenz, Stadt",2000
"4",0.39193,7111000,"Koblenz, Stadt",2001
"5",0.462004,7111000,"Koblenz, Stadt",2002
"6",0.428522,7111000,"Koblenz, Stadt",2003
"7",0.402996,7111000,"Koblenz, Stadt",2004
"8",0.394207,7111000,"Koblenz, Stadt",2005
"9",0.363793,7111000,"Koblenz, Stadt",2006
"10",0.377946,7111000,"Koblenz, Stadt",2007
"11",0.424159,7111000,"Koblenz, Stadt",2008
"12",0.419617,7111000,"Koblenz, Stadt",2009
"13",0.472629,7111000,"Koblenz, Stadt",2010
"14",0.409851,7111000,"Koblenz, Stadt",2011
"15",0.43879,7111000,"Koblenz, Stadt",2012
"16",0.462029,7111000,"Koblenz, Stadt",2013
"17",0.458241,7111000,"Koblenz, Stadt",2014
"18",0.432224,7111000,"Koblenz, Stadt",2015
"19",0.421837,7111000,"Koblenz, Stadt",2016
"20",0.425136,7111000,"Koblenz, Stadt",2017
"21",0.418146,7111000,"Koblenz, Stadt",2018
"22",0.416894,7111000,"Koblenz, Stadt",2019
"23",0.450253,7131007,"Bad Neuenahr-Ahrweiler, Stadt",1998
"24",0.425862,7131007,"Bad Neuenahr-Ahrweiler, Stadt",1999
"25",0.402335,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2000
"26",0.354806,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2001
"27",0.49523,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2002
"28",0.52955,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2003
"29",0.478495,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2004
"30",0.418278,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2005
"31",0.415301,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2006
"32",0.436047,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2007
"33",0.494732,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2008
"34",0.494986,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2009
"35",0.518175,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2010
"36",0.450909,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2011
"37",0.455455,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2012
"38",0.477413,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2013
"39",0.457667,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2014
"40",0.472957,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2015
"41",0.449132,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2016
"42",0.436641,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2017
"43",0.449284,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2018
"44",0.45572,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2019
"45",0.449798,7131070,"Remagen, Stadt",1998
"46",0.43901,7131070,"Remagen, Stadt",1999
"47",0.41205,7131070,"Remagen, Stadt",2000
"48",0.369837,7131070,"Remagen, Stadt",2001
"49",0.489491,7131070,"Remagen, Stadt",2002
"50",0.517959,7131070,"Remagen, Stadt",2003
"51",0.477568,7131070,"Remagen, Stadt",2004
"52",0.422072,7131070,"Remagen, Stadt",2005
"53",0.416679,7131070,"Remagen, Stadt",2006
"54",0.431046,7131070,"Remagen, Stadt",2007
"55",0.499041,7131070,"Remagen, Stadt",2008
"56",0.488807,7131070,"Remagen, Stadt",2009
"57",0.507103,7131070,"Remagen, Stadt",2010
"58",0.435519,7131070,"Remagen, Stadt",2011
"59",0.459548,7131070,"Remagen, Stadt",2012
"60",0.478458,7131070,"Remagen, Stadt",2013
"61",0.455112,7131070,"Remagen, Stadt",2014
"62",0.469231,7131070,"Remagen, Stadt",2015
"63",0.446483,7131070,"Remagen, Stadt",2016
"64",0.43374,7131070,"Remagen, Stadt",2017
"65",0.448728,7131070,"Remagen, Stadt",2018
"66",0.454546,7131070,"Remagen, Stadt",2019
"67",0.466846,7131077,"Sinzig, Stadt",1998
"68",0.458361,7131077,"Sinzig, Stadt",1999
"69",0.426731,7131077,"Sinzig, Stadt",2000
"70",0.388923,7131077,"Sinzig, Stadt",2001
"71",0.523643,7131077,"Sinzig, Stadt",2002
"72",0.534969,7131077,"Sinzig, Stadt",2003
"73",0.488299,7131077,"Sinzig, Stadt",2004
"74",0.434024,7131077,"Sinzig, Stadt",2005
"75",0.42181,7131077,"Sinzig, Stadt",2006
