"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.400725,7111,"Koblenz, Stadt",1998
"2",0.384135,7111,"Koblenz, Stadt",1999
"3",0.375549,7111,"Koblenz, Stadt",2000
"4",0.396443,7111,"Koblenz, Stadt",2001
"5",0.495838,7111,"Koblenz, Stadt",2002
"6",0.439383,7111,"Koblenz, Stadt",2003
"7",0.40438,7111,"Koblenz, Stadt",2004
"8",0.426033,7111,"Koblenz, Stadt",2005
"9",0.367529,7111,"Koblenz, Stadt",2006
"10",0.403888,7111,"Koblenz, Stadt",2007
"11",0.46955,7111,"Koblenz, Stadt",2008
"12",0.472322,7111,"Koblenz, Stadt",2009
"13",0.58255,7111,"Koblenz, Stadt",2010
"14",0.438154,7111,"Koblenz, Stadt",2011
"15",0.455296,7111,"Koblenz, Stadt",2012
"16",0.487369,7111,"Koblenz, Stadt",2013
"17",0.478674,7111,"Koblenz, Stadt",2014
"18",0.449218,7111,"Koblenz, Stadt",2015
"19",0.450018,7111,"Koblenz, Stadt",2016
"20",0.471817,7111,"Koblenz, Stadt",2017
"21",0.460668,7111,"Koblenz, Stadt",2018
"22",0.413578,7111,"Koblenz, Stadt",2019
"23",0.452647,7131,"Ahrweiler",1998
"24",0.464276,7131,"Ahrweiler",1999
"25",0.406497,7131,"Ahrweiler",2000
"26",0.383278,7131,"Ahrweiler",2001
"27",0.570336,7131,"Ahrweiler",2002
"28",0.613423,7131,"Ahrweiler",2003
"29",0.494006,7131,"Ahrweiler",2004
"30",0.421713,7131,"Ahrweiler",2005
"31",0.391654,7131,"Ahrweiler",2006
"32",0.393864,7131,"Ahrweiler",2007
"33",0.478887,7131,"Ahrweiler",2008
"34",0.474437,7131,"Ahrweiler",2009
"35",0.511554,7131,"Ahrweiler",2010
"36",0.401966,7131,"Ahrweiler",2011
"37",0.414626,7131,"Ahrweiler",2012
"38",0.43449,7131,"Ahrweiler",2013
"39",0.379539,7131,"Ahrweiler",2014
"40",0.433513,7131,"Ahrweiler",2015
"41",0.397327,7131,"Ahrweiler",2016
"42",0.354991,7131,"Ahrweiler",2017
"43",0.384673,7131,"Ahrweiler",2018
"44",0.392382,7131,"Ahrweiler",2019
"45",0.634196,7132,"Altenkirchen (Westerwald)",1998
"46",0.635136,7132,"Altenkirchen (Westerwald)",1999
"47",0.596576,7132,"Altenkirchen (Westerwald)",2000
"48",0.545887,7132,"Altenkirchen (Westerwald)",2001
"49",0.610761,7132,"Altenkirchen (Westerwald)",2002
"50",0.636307,7132,"Altenkirchen (Westerwald)",2003
"51",0.572031,7132,"Altenkirchen (Westerwald)",2004
"52",0.668171,7132,"Altenkirchen (Westerwald)",2005
"53",0.622825,7132,"Altenkirchen (Westerwald)",2006
"54",0.673014,7132,"Altenkirchen (Westerwald)",2007
"55",0.6545,7132,"Altenkirchen (Westerwald)",2008
"56",0.81487,7132,"Altenkirchen (Westerwald)",2009
"57",0.762319,7132,"Altenkirchen (Westerwald)",2010
"58",0.588759,7132,"Altenkirchen (Westerwald)",2011
"59",0.584636,7132,"Altenkirchen (Westerwald)",2012
"60",0.593875,7132,"Altenkirchen (Westerwald)",2013
"61",0.578924,7132,"Altenkirchen (Westerwald)",2014
"62",0.632834,7132,"Altenkirchen (Westerwald)",2015
"63",0.679676,7132,"Altenkirchen (Westerwald)",2016
"64",0.625659,7132,"Altenkirchen (Westerwald)",2017
"65",0.623259,7132,"Altenkirchen (Westerwald)",2018
"66",0.578953,7132,"Altenkirchen (Westerwald)",2019
"67",0.498523,7133,"Bad Kreuznach",1998
"68",0.502269,7133,"Bad Kreuznach",1999
"69",0.490781,7133,"Bad Kreuznach",2000
"70",0.534367,7133,"Bad Kreuznach",2001
"71",0.574264,7133,"Bad Kreuznach",2002
"72",0.545918,7133,"Bad Kreuznach",2003
"73",0.492581,7133,"Bad Kreuznach",2004
"74",0.516679,7133,"Bad Kreuznach",2005
"75",0.506463,7133,"Bad Kreuznach",2006
"76",0.521492,7133,"Bad Kreuznach",2007
"77",0.510855,7133,"Bad Kreuznach",2008
"78",0.599351,7133,"Bad Kreuznach",2009
"79",0.578762,7133,"Bad Kreuznach",2010
"80",0.473701,7133,"Bad Kreuznach",2011
"81",0.490769,7133,"Bad Kreuznach",2012
"82",0.503872,7133,"Bad Kreuznach",2013
"83",0.481555,7133,"Bad Kreuznach",2014
"84",0.52819,7133,"Bad Kreuznach",2015
"85",0.497476,7133,"Bad Kreuznach",2016
"86",0.553658,7133,"Bad Kreuznach",2017
"87",0.474326,7133,"Bad Kreuznach",2018
"88",0.499676,7133,"Bad Kreuznach",2019
"89",0.736894,7134,"Birkenfeld",1998
"90",0.731636,7134,"Birkenfeld",1999
"91",0.680957,7134,"Birkenfeld",2000
"92",0.719267,7134,"Birkenfeld",2001
"93",0.725013,7134,"Birkenfeld",2002
"94",0.728002,7134,"Birkenfeld",2003
"95",0.58476,7134,"Birkenfeld",2004
"96",0.612029,7134,"Birkenfeld",2005
"97",0.602138,7134,"Birkenfeld",2006
"98",0.552866,7134,"Birkenfeld",2007
"99",0.637441,7134,"Birkenfeld",2008
"100",0.752541,7134,"Birkenfeld",2009
"101",0.705465,7134,"Birkenfeld",2010
"102",0.552694,7134,"Birkenfeld",2011
"103",0.557671,7134,"Birkenfeld",2012
"104",0.543645,7134,"Birkenfeld",2013
"105",0.638055,7134,"Birkenfeld",2014
"106",0.791038,7134,"Birkenfeld",2015
"107",0.661594,7134,"Birkenfeld",2016
"108",0.57837,7134,"Birkenfeld",2017
"109",0.596516,7134,"Birkenfeld",2018
"110",0.642601,7134,"Birkenfeld",2019
"111",0.510646,7135,"Cochem-Zell",1998
"112",0.507185,7135,"Cochem-Zell",1999
"113",0.521512,7135,"Cochem-Zell",2000
"114",0.49988,7135,"Cochem-Zell",2001
"115",0.616821,7135,"Cochem-Zell",2002
"116",0.538753,7135,"Cochem-Zell",2003
"117",0.526896,7135,"Cochem-Zell",2004
"118",0.597766,7135,"Cochem-Zell",2005
"119",0.57833,7135,"Cochem-Zell",2006
"120",0.609638,7135,"Cochem-Zell",2007
"121",0.699213,7135,"Cochem-Zell",2008
"122",0.648618,7135,"Cochem-Zell",2009
"123",0.710428,7135,"Cochem-Zell",2010
"124",0.568729,7135,"Cochem-Zell",2011
"125",0.554617,7135,"Cochem-Zell",2012
"126",0.615665,7135,"Cochem-Zell",2013
"127",0.576877,7135,"Cochem-Zell",2014
"128",0.718483,7135,"Cochem-Zell",2015
"129",0.611153,7135,"Cochem-Zell",2016
"130",0.524115,7135,"Cochem-Zell",2017
"131",0.64051,7135,"Cochem-Zell",2018
"132",0.602025,7135,"Cochem-Zell",2019
"133",0.530153,7137,"Mayen-Koblenz",1998
"134",0.54074,7137,"Mayen-Koblenz",1999
"135",0.440593,7137,"Mayen-Koblenz",2000
"136",0.518303,7137,"Mayen-Koblenz",2001
"137",0.626914,7137,"Mayen-Koblenz",2002
"138",0.601921,7137,"Mayen-Koblenz",2003
"139",0.570151,7137,"Mayen-Koblenz",2004
"140",0.528759,7137,"Mayen-Koblenz",2005
"141",0.520297,7137,"Mayen-Koblenz",2006
"142",0.544434,7137,"Mayen-Koblenz",2007
"143",0.558007,7137,"Mayen-Koblenz",2008
"144",0.554627,7137,"Mayen-Koblenz",2009
"145",0.612247,7137,"Mayen-Koblenz",2010
"146",0.476885,7137,"Mayen-Koblenz",2011
"147",0.480634,7137,"Mayen-Koblenz",2012
"148",0.511068,7137,"Mayen-Koblenz",2013
"149",0.479256,7137,"Mayen-Koblenz",2014
"150",0.521827,7137,"Mayen-Koblenz",2015
"151",0.555291,7137,"Mayen-Koblenz",2016
"152",0.49718,7137,"Mayen-Koblenz",2017
"153",0.465402,7137,"Mayen-Koblenz",2018
"154",0.4646,7137,"Mayen-Koblenz",2019
"155",0.412906,7138,"Neuwied",1998
"156",0.430452,7138,"Neuwied",1999
"157",0.40314,7138,"Neuwied",2000
"158",0.48029,7138,"Neuwied",2001
"159",0.599232,7138,"Neuwied",2002
"160",0.509342,7138,"Neuwied",2003
"161",0.509619,7138,"Neuwied",2004
"162",0.554088,7138,"Neuwied",2005
"163",0.524889,7138,"Neuwied",2006
"164",0.477919,7138,"Neuwied",2007
"165",0.602232,7138,"Neuwied",2008
"166",0.649481,7138,"Neuwied",2009
"167",0.558646,7138,"Neuwied",2010
"168",0.496757,7138,"Neuwied",2011
"169",0.533833,7138,"Neuwied",2012
"170",0.58954,7138,"Neuwied",2013
"171",0.509707,7138,"Neuwied",2014
"172",0.629298,7138,"Neuwied",2015
"173",0.665472,7138,"Neuwied",2016
"174",0.591578,7138,"Neuwied",2017
"175",0.599645,7138,"Neuwied",2018
"176",0.569481,7138,"Neuwied",2019
"177",0.452294,7140,"Rhein-Hunsrück-Kreis",1998
"178",0.46723,7140,"Rhein-Hunsrück-Kreis",1999
"179",0.42082,7140,"Rhein-Hunsrück-Kreis",2000
"180",0.428099,7140,"Rhein-Hunsrück-Kreis",2001
"181",0.545752,7140,"Rhein-Hunsrück-Kreis",2002
"182",0.515598,7140,"Rhein-Hunsrück-Kreis",2003
"183",0.434213,7140,"Rhein-Hunsrück-Kreis",2004
"184",0.499638,7140,"Rhein-Hunsrück-Kreis",2005
"185",0.419309,7140,"Rhein-Hunsrück-Kreis",2006
"186",0.557081,7140,"Rhein-Hunsrück-Kreis",2007
"187",0.532208,7140,"Rhein-Hunsrück-Kreis",2008
"188",0.557938,7140,"Rhein-Hunsrück-Kreis",2009
"189",0.463903,7140,"Rhein-Hunsrück-Kreis",2010
"190",0.401236,7140,"Rhein-Hunsrück-Kreis",2011
"191",0.426243,7140,"Rhein-Hunsrück-Kreis",2012
"192",0.415314,7140,"Rhein-Hunsrück-Kreis",2013
"193",0.422316,7140,"Rhein-Hunsrück-Kreis",2014
"194",0.538841,7140,"Rhein-Hunsrück-Kreis",2015
"195",0.461692,7140,"Rhein-Hunsrück-Kreis",2016
"196",0.487025,7140,"Rhein-Hunsrück-Kreis",2017
"197",0.400236,7140,"Rhein-Hunsrück-Kreis",2018
"198",0.430757,7140,"Rhein-Hunsrück-Kreis",2019
"199",0.491245,7141,"Rhein-Lahn-Kreis",1998
"200",0.494207,7141,"Rhein-Lahn-Kreis",1999
"201",0.488963,7141,"Rhein-Lahn-Kreis",2000
"202",0.502887,7141,"Rhein-Lahn-Kreis",2001
"203",0.634569,7141,"Rhein-Lahn-Kreis",2002
"204",0.657547,7141,"Rhein-Lahn-Kreis",2003
"205",0.54263,7141,"Rhein-Lahn-Kreis",2004
"206",0.562797,7141,"Rhein-Lahn-Kreis",2005
"207",0.529592,7141,"Rhein-Lahn-Kreis",2006
"208",0.550651,7141,"Rhein-Lahn-Kreis",2007
"209",0.561815,7141,"Rhein-Lahn-Kreis",2008
"210",0.615359,7141,"Rhein-Lahn-Kreis",2009
"211",0.575233,7141,"Rhein-Lahn-Kreis",2010
"212",0.513937,7141,"Rhein-Lahn-Kreis",2011
"213",0.459946,7141,"Rhein-Lahn-Kreis",2012
"214",0.604212,7141,"Rhein-Lahn-Kreis",2013
"215",0.499381,7141,"Rhein-Lahn-Kreis",2014
"216",0.588324,7141,"Rhein-Lahn-Kreis",2015
"217",0.577221,7141,"Rhein-Lahn-Kreis",2016
"218",0.58378,7141,"Rhein-Lahn-Kreis",2017
"219",0.515825,7141,"Rhein-Lahn-Kreis",2018
"220",0.567093,7141,"Rhein-Lahn-Kreis",2019
"221",0.495767,7143,"Westerwaldkreis",1998
"222",0.509448,7143,"Westerwaldkreis",1999
"223",0.482485,7143,"Westerwaldkreis",2000
"224",0.513969,7143,"Westerwaldkreis",2001
"225",0.565587,7143,"Westerwaldkreis",2002
"226",0.557316,7143,"Westerwaldkreis",2003
"227",0.497144,7143,"Westerwaldkreis",2004
"228",0.566579,7143,"Westerwaldkreis",2005
"229",0.496139,7143,"Westerwaldkreis",2006
"230",0.555586,7143,"Westerwaldkreis",2007
"231",0.536204,7143,"Westerwaldkreis",2008
"232",0.55448,7143,"Westerwaldkreis",2009
"233",0.615543,7143,"Westerwaldkreis",2010
"234",0.49471,7143,"Westerwaldkreis",2011
"235",0.493123,7143,"Westerwaldkreis",2012
"236",0.481411,7143,"Westerwaldkreis",2013
"237",0.485802,7143,"Westerwaldkreis",2014
"238",0.532023,7143,"Westerwaldkreis",2015
"239",0.544107,7143,"Westerwaldkreis",2016
"240",0.60504,7143,"Westerwaldkreis",2017
