"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.960795,10041100,"Saarbrücken, Landeshauptstadt",1998
"2",0.971967,10041100,"Saarbrücken, Landeshauptstadt",1999
"3",0.946973,10041100,"Saarbrücken, Landeshauptstadt",2000
"4",0.896718,10041100,"Saarbrücken, Landeshauptstadt",2001
"5",0.736527,10041100,"Saarbrücken, Landeshauptstadt",2002
"6",0.816438,10041100,"Saarbrücken, Landeshauptstadt",2003
"7",0.807721,10041100,"Saarbrücken, Landeshauptstadt",2004
"8",0.723863,10041100,"Saarbrücken, Landeshauptstadt",2005
"9",0.77597,10041100,"Saarbrücken, Landeshauptstadt",2006
"10",0.770873,10041100,"Saarbrücken, Landeshauptstadt",2007
"11",0.739788,10041100,"Saarbrücken, Landeshauptstadt",2008
"12",0.737489,10041100,"Saarbrücken, Landeshauptstadt",2009
"13",0.671237,10041100,"Saarbrücken, Landeshauptstadt",2010
"14",0.672949,10041100,"Saarbrücken, Landeshauptstadt",2011
"15",0.632761,10041100,"Saarbrücken, Landeshauptstadt",2012
"16",0.650796,10041100,"Saarbrücken, Landeshauptstadt",2013
"17",0.656261,10041100,"Saarbrücken, Landeshauptstadt",2014
"18",0.666211,10041100,"Saarbrücken, Landeshauptstadt",2015
"19",0.638239,10041100,"Saarbrücken, Landeshauptstadt",2016
"20",0.59044,10041100,"Saarbrücken, Landeshauptstadt",2017
"21",0.648885,10041100,"Saarbrücken, Landeshauptstadt",2018
"22",0.661562,10041100,"Saarbrücken, Landeshauptstadt",2019
"23",0.681088,10041511,"Friedrichsthal, Stadt",1998
"24",0.683221,10041511,"Friedrichsthal, Stadt",1999
"25",0.654728,10041511,"Friedrichsthal, Stadt",2000
"26",0.685353,10041511,"Friedrichsthal, Stadt",2001
"27",0.504531,10041511,"Friedrichsthal, Stadt",2002
"28",0.63759,10041511,"Friedrichsthal, Stadt",2003
"29",0.598582,10041511,"Friedrichsthal, Stadt",2004
"30",0.566898,10041511,"Friedrichsthal, Stadt",2005
"31",0.599154,10041511,"Friedrichsthal, Stadt",2006
"32",0.593134,10041511,"Friedrichsthal, Stadt",2007
"33",0.550182,10041511,"Friedrichsthal, Stadt",2008
"34",0.58267,10041511,"Friedrichsthal, Stadt",2009
"35",0.506218,10041511,"Friedrichsthal, Stadt",2010
"36",0.506062,10041511,"Friedrichsthal, Stadt",2011
"37",0.478545,10041511,"Friedrichsthal, Stadt",2012
"38",0.504857,10041511,"Friedrichsthal, Stadt",2013
"39",0.498701,10041511,"Friedrichsthal, Stadt",2014
"40",0.505294,10041511,"Friedrichsthal, Stadt",2015
"41",0.497984,10041511,"Friedrichsthal, Stadt",2016
"42",0.441012,10041511,"Friedrichsthal, Stadt",2017
"43",0.500697,10041511,"Friedrichsthal, Stadt",2018
"44",0.503697,10041511,"Friedrichsthal, Stadt",2019
"45",0.663485,10041512,"Großrosseln",1998
"46",0.662998,10041512,"Großrosseln",1999
"47",0.635385,10041512,"Großrosseln",2000
"48",0.641055,10041512,"Großrosseln",2001
"49",0.478691,10041512,"Großrosseln",2002
"50",0.592759,10041512,"Großrosseln",2003
"51",0.545205,10041512,"Großrosseln",2004
"52",0.459334,10041512,"Großrosseln",2005
"53",0.424373,10041512,"Großrosseln",2006
"54",0.475963,10041512,"Großrosseln",2007
"55",0.444899,10041512,"Großrosseln",2008
"56",0.458138,10041512,"Großrosseln",2009
"57",0.403647,10041512,"Großrosseln",2010
"58",0.441754,10041512,"Großrosseln",2011
"59",0.436889,10041512,"Großrosseln",2012
"60",0.472615,10041512,"Großrosseln",2013
