"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.461157,15001000,"Dessau-Roßlau, Stadt",1998
"2",0.286027,15001000,"Dessau-Roßlau, Stadt",1999
"3",0.365228,15001000,"Dessau-Roßlau, Stadt",2000
"4",0.362231,15001000,"Dessau-Roßlau, Stadt",2001
"5",0.204762,15001000,"Dessau-Roßlau, Stadt",2002
"6",0.384189,15001000,"Dessau-Roßlau, Stadt",2003
"7",0.395826,15001000,"Dessau-Roßlau, Stadt",2004
"8",0.416662,15001000,"Dessau-Roßlau, Stadt",2005
"9",0.441056,15001000,"Dessau-Roßlau, Stadt",2006
"10",0.442191,15001000,"Dessau-Roßlau, Stadt",2007
"11",0.486658,15001000,"Dessau-Roßlau, Stadt",2008
"12",0.258349,15001000,"Dessau-Roßlau, Stadt",2009
"13",0.340304,15001000,"Dessau-Roßlau, Stadt",2010
"14",0.347593,15001000,"Dessau-Roßlau, Stadt",2011
"15",0.319763,15001000,"Dessau-Roßlau, Stadt",2012
"16",0.357368,15001000,"Dessau-Roßlau, Stadt",2013
"17",0.260466,15001000,"Dessau-Roßlau, Stadt",2014
"18",0.297365,15001000,"Dessau-Roßlau, Stadt",2015
"19",0.278123,15001000,"Dessau-Roßlau, Stadt",2016
"20",0.298283,15001000,"Dessau-Roßlau, Stadt",2017
"21",0.321099,15001000,"Dessau-Roßlau, Stadt",2018
"22",0.324988,15001000,"Dessau-Roßlau, Stadt",2019
"23",0.875763,15002000,"Halle (Saale), Stadt",1998
"24",0.681535,15002000,"Halle (Saale), Stadt",1999
"25",0.620564,15002000,"Halle (Saale), Stadt",2000
"26",0.658035,15002000,"Halle (Saale), Stadt",2001
"27",0.28095,15002000,"Halle (Saale), Stadt",2002
"28",0.54926,15002000,"Halle (Saale), Stadt",2003
"29",0.582741,15002000,"Halle (Saale), Stadt",2004
"30",0.513836,15002000,"Halle (Saale), Stadt",2005
"31",0.670679,15002000,"Halle (Saale), Stadt",2006
"32",0.596986,15002000,"Halle (Saale), Stadt",2007
"33",0.650551,15002000,"Halle (Saale), Stadt",2008
"34",0.497748,15002000,"Halle (Saale), Stadt",2009
"35",0.585793,15002000,"Halle (Saale), Stadt",2010
"36",0.585818,15002000,"Halle (Saale), Stadt",2011
"37",0.522623,15002000,"Halle (Saale), Stadt",2012
"38",0.520522,15002000,"Halle (Saale), Stadt",2013
"39",0.503295,15002000,"Halle (Saale), Stadt",2014
"40",0.454743,15002000,"Halle (Saale), Stadt",2015
"41",0.53809,15002000,"Halle (Saale), Stadt",2016
"42",0.505725,15002000,"Halle (Saale), Stadt",2017
"43",0.4751,15002000,"Halle (Saale), Stadt",2018
"44",0.541019,15002000,"Halle (Saale), Stadt",2019
"45",0.625841,15003000,"Magdeburg, Landeshauptstadt",1998
"46",0.469276,15003000,"Magdeburg, Landeshauptstadt",1999
"47",0.460964,15003000,"Magdeburg, Landeshauptstadt",2000
"48",0.552654,15003000,"Magdeburg, Landeshauptstadt",2001
"49",0.243547,15003000,"Magdeburg, Landeshauptstadt",2002
"50",0.379962,15003000,"Magdeburg, Landeshauptstadt",2003
"51",0.364319,15003000,"Magdeburg, Landeshauptstadt",2004
"52",0.429193,15003000,"Magdeburg, Landeshauptstadt",2005
"53",0.46249,15003000,"Magdeburg, Landeshauptstadt",2006
"54",0.433902,15003000,"Magdeburg, Landeshauptstadt",2007
"55",0.493067,15003000,"Magdeburg, Landeshauptstadt",2008
"56",0.331307,15003000,"Magdeburg, Landeshauptstadt",2009
"57",0.368208,15003000,"Magdeburg, Landeshauptstadt",2010
"58",0.408172,15003000,"Magdeburg, Landeshauptstadt",2011
"59",0.346403,15003000,"Magdeburg, Landeshauptstadt",2012
"60",0.303681,15003000,"Magdeburg, Landeshauptstadt",2013
"61",0.282039,15003000,"Magdeburg, Landeshauptstadt",2014
"62",0.286396,15003000,"Magdeburg, Landeshauptstadt",2015
"63",0.260917,15003000,"Magdeburg, Landeshauptstadt",2016
"64",0.267179,15003000,"Magdeburg, Landeshauptstadt",2017
"65",0.280378,15003000,"Magdeburg, Landeshauptstadt",2018
"66",0.30761,15003000,"Magdeburg, Landeshauptstadt",2019
"67",0.792361,15081030,"Arendsee (Altmark), Stadt",1998
"68",0.672219,15081030,"Arendsee (Altmark), Stadt",1999
"69",0.864558,15081030,"Arendsee (Altmark), Stadt",2000
"70",0.829258,15081030,"Arendsee (Altmark), Stadt",2001
"71",0.719897,15081030,"Arendsee (Altmark), Stadt",2002
"72",0.875449,15081030,"Arendsee (Altmark), Stadt",2003
"73",0.795142,15081030,"Arendsee (Altmark), Stadt",2004
"74",0.924052,15081030,"Arendsee (Altmark), Stadt",2005
"75",0.93683,15081030,"Arendsee (Altmark), Stadt",2006
"76",0.669863,15081030,"Arendsee (Altmark), Stadt",2007
"77",0.7748,15081030,"Arendsee (Altmark), Stadt",2008
"78",0.667236,15081030,"Arendsee (Altmark), Stadt",2009
"79",0.656757,15081030,"Arendsee (Altmark), Stadt",2010
"80",0.733125,15081030,"Arendsee (Altmark), Stadt",2011
"81",0.715272,15081030,"Arendsee (Altmark), Stadt",2012
"82",0.592467,15081030,"Arendsee (Altmark), Stadt",2013
"83",0.569295,15081030,"Arendsee (Altmark), Stadt",2014
"84",0.612104,15081030,"Arendsee (Altmark), Stadt",2015
"85",0.619869,15081030,"Arendsee (Altmark), Stadt",2016
"86",0.64966,15081030,"Arendsee (Altmark), Stadt",2017
