"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.413756,15001,"Dessau-Roßlau, Stadt",1998
"2",0.371649,15001,"Dessau-Roßlau, Stadt",1999
"3",0.5002,15001,"Dessau-Roßlau, Stadt",2000
"4",0.192398,15001,"Dessau-Roßlau, Stadt",2001
"5",0.080136,15001,"Dessau-Roßlau, Stadt",2002
"6",0.264997,15001,"Dessau-Roßlau, Stadt",2003
"7",0.240792,15001,"Dessau-Roßlau, Stadt",2004
"8",0.376342,15001,"Dessau-Roßlau, Stadt",2005
"9",0.38438,15001,"Dessau-Roßlau, Stadt",2006
"10",0.374321,15001,"Dessau-Roßlau, Stadt",2007
"11",0.485595,15001,"Dessau-Roßlau, Stadt",2008
"12",0.036738,15001,"Dessau-Roßlau, Stadt",2009
"13",0.269423,15001,"Dessau-Roßlau, Stadt",2010
"14",0.298761,15001,"Dessau-Roßlau, Stadt",2011
"15",0.262074,15001,"Dessau-Roßlau, Stadt",2012
"16",0.487361,15001,"Dessau-Roßlau, Stadt",2013
"17",0.252918,15001,"Dessau-Roßlau, Stadt",2014
"18",0.400204,15001,"Dessau-Roßlau, Stadt",2015
"19",0.540593,15001,"Dessau-Roßlau, Stadt",2016
"20",0.619139,15001,"Dessau-Roßlau, Stadt",2017
"21",0.444981,15001,"Dessau-Roßlau, Stadt",2018
"22",0.385355,15001,"Dessau-Roßlau, Stadt",2019
"23",0.492812,15002,"Halle (Saale), Stadt",1998
"24",0.52711,15002,"Halle (Saale), Stadt",1999
"25",0.361524,15002,"Halle (Saale), Stadt",2000
"26",0.667051,15002,"Halle (Saale), Stadt",2001
"27",0.423978,15002,"Halle (Saale), Stadt",2002
"28",0.646833,15002,"Halle (Saale), Stadt",2003
"29",0.677905,15002,"Halle (Saale), Stadt",2004
"30",0.691958,15002,"Halle (Saale), Stadt",2005
"31",0.90645,15002,"Halle (Saale), Stadt",2006
"32",0.706542,15002,"Halle (Saale), Stadt",2007
"33",0.803916,15002,"Halle (Saale), Stadt",2008
"34",0.51775,15002,"Halle (Saale), Stadt",2009
"35",0.721403,15002,"Halle (Saale), Stadt",2010
"36",0.663497,15002,"Halle (Saale), Stadt",2011
"37",0.552724,15002,"Halle (Saale), Stadt",2012
"38",0.549234,15002,"Halle (Saale), Stadt",2013
"39",0.593257,15002,"Halle (Saale), Stadt",2014
"40",0.511897,15002,"Halle (Saale), Stadt",2015
"41",0.930919,15002,"Halle (Saale), Stadt",2016
"42",0.84542,15002,"Halle (Saale), Stadt",2017
"43",0.68151,15002,"Halle (Saale), Stadt",2018
"44",0.820094,15002,"Halle (Saale), Stadt",2019
"45",0.338856,15003,"Magdeburg, Stadt",1998
"46",0.322874,15003,"Magdeburg, Stadt",1999
"47",0.302009,15003,"Magdeburg, Stadt",2000
"48",0.510227,15003,"Magdeburg, Stadt",2001
"49",0.157398,15003,"Magdeburg, Stadt",2002
"50",0.383915,15003,"Magdeburg, Stadt",2003
"51",0.450375,15003,"Magdeburg, Stadt",2004
"52",0.687279,15003,"Magdeburg, Stadt",2005
"53",0.630706,15003,"Magdeburg, Stadt",2006
"54",0.492889,15003,"Magdeburg, Stadt",2007
"55",0.6098,15003,"Magdeburg, Stadt",2008
"56",0.296752,15003,"Magdeburg, Stadt",2009
"57",0.399858,15003,"Magdeburg, Stadt",2010
"58",0.493708,15003,"Magdeburg, Stadt",2011
"59",0.429431,15003,"Magdeburg, Stadt",2012
"60",0.344083,15003,"Magdeburg, Stadt",2013
"61",0.30788,15003,"Magdeburg, Stadt",2014
"62",0.412117,15003,"Magdeburg, Stadt",2015
"63",0.572026,15003,"Magdeburg, Stadt",2016
"64",0.600217,15003,"Magdeburg, Stadt",2017
"65",0.432231,15003,"Magdeburg, Stadt",2018
"66",0.533992,15003,"Magdeburg, Stadt",2019
"67",0.514224,15081,"Altmarkkreis Salzwedel",1998
"68",0.195505,15081,"Altmarkkreis Salzwedel",1999
"69",0.763241,15081,"Altmarkkreis Salzwedel",2000
"70",0.621144,15081,"Altmarkkreis Salzwedel",2001
"71",0.16166,15081,"Altmarkkreis Salzwedel",2002
"72",0.681174,15081,"Altmarkkreis Salzwedel",2003
"73",0.509381,15081,"Altmarkkreis Salzwedel",2004
"74",0.721697,15081,"Altmarkkreis Salzwedel",2005
"75",0.739236,15081,"Altmarkkreis Salzwedel",2006
"76",0.596683,15081,"Altmarkkreis Salzwedel",2007
"77",0.671024,15081,"Altmarkkreis Salzwedel",2008
"78",0.449976,15081,"Altmarkkreis Salzwedel",2009
"79",0.480861,15081,"Altmarkkreis Salzwedel",2010
"80",0.65149,15081,"Altmarkkreis Salzwedel",2011
"81",0.683385,15081,"Altmarkkreis Salzwedel",2012
"82",0.409462,15081,"Altmarkkreis Salzwedel",2013
"83",0.311591,15081,"Altmarkkreis Salzwedel",2014
"84",0.431977,15081,"Altmarkkreis Salzwedel",2015
"85",0.588637,15081,"Altmarkkreis Salzwedel",2016
"86",0.506252,15081,"Altmarkkreis Salzwedel",2017
"87",0.458377,15081,"Altmarkkreis Salzwedel",2018
"88",0.662729,15081,"Altmarkkreis Salzwedel",2019
"89",0.773798,15082,"Anhalt-Bitterfeld",1998
"90",0.542865,15082,"Anhalt-Bitterfeld",1999
"91",0.482623,15082,"Anhalt-Bitterfeld",2000
"92",0.335805,15082,"Anhalt-Bitterfeld",2001
"93",0.615756,15082,"Anhalt-Bitterfeld",2002
"94",0.655945,15082,"Anhalt-Bitterfeld",2003
"95",0.795478,15082,"Anhalt-Bitterfeld",2004
"96",0.659128,15082,"Anhalt-Bitterfeld",2005
"97",0.733528,15082,"Anhalt-Bitterfeld",2006
"98",0.62573,15082,"Anhalt-Bitterfeld",2007
"99",0.73471,15082,"Anhalt-Bitterfeld",2008
"100",0.50169,15082,"Anhalt-Bitterfeld",2009
"101",0.80134,15082,"Anhalt-Bitterfeld",2010
"102",0.679253,15082,"Anhalt-Bitterfeld",2011
"103",0.617149,15082,"Anhalt-Bitterfeld",2012
"104",0.580557,15082,"Anhalt-Bitterfeld",2013
"105",0.397496,15082,"Anhalt-Bitterfeld",2014
"106",0.350669,15082,"Anhalt-Bitterfeld",2015
"107",0.748166,15082,"Anhalt-Bitterfeld",2016
