"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.36682,14511000,"Chemnitz, Stadt",1998
"2",0.412919,14511000,"Chemnitz, Stadt",1999
"3",0.403582,14511000,"Chemnitz, Stadt",2000
"4",0.406588,14511000,"Chemnitz, Stadt",2001
"5",0.446869,14511000,"Chemnitz, Stadt",2002
"6",0.432093,14511000,"Chemnitz, Stadt",2003
"7",0.435743,14511000,"Chemnitz, Stadt",2004
"8",0.478099,14511000,"Chemnitz, Stadt",2005
"9",0.398437,14511000,"Chemnitz, Stadt",2006
"10",0.410226,14511000,"Chemnitz, Stadt",2007
"11",0.431453,14511000,"Chemnitz, Stadt",2008
"12",0.424378,14511000,"Chemnitz, Stadt",2009
"13",0.443929,14511000,"Chemnitz, Stadt",2010
"14",0.429824,14511000,"Chemnitz, Stadt",2011
"15",0.458301,14511000,"Chemnitz, Stadt",2012
"16",0.494677,14511000,"Chemnitz, Stadt",2013
"17",0.500862,14511000,"Chemnitz, Stadt",2014
"18",0.511328,14511000,"Chemnitz, Stadt",2015
"19",0.511087,14511000,"Chemnitz, Stadt",2016
"20",0.576669,14511000,"Chemnitz, Stadt",2017
"21",0.523221,14511000,"Chemnitz, Stadt",2018
"22",0.537173,14511000,"Chemnitz, Stadt",2019
"23",0.560826,14521010,"Amtsberg",1998
"24",0.565172,14521010,"Amtsberg",1999
"25",0.639159,14521010,"Amtsberg",2000
"26",0.632323,14521010,"Amtsberg",2001
"27",0.641801,14521010,"Amtsberg",2002
"28",0.593981,14521010,"Amtsberg",2003
"29",0.535119,14521010,"Amtsberg",2004
"30",0.530393,14521010,"Amtsberg",2005
"31",0.495378,14521010,"Amtsberg",2006
"32",0.444223,14521010,"Amtsberg",2007
"33",0.463442,14521010,"Amtsberg",2008
"34",0.470175,14521010,"Amtsberg",2009
"35",0.462694,14521010,"Amtsberg",2010
"36",0.455193,14521010,"Amtsberg",2011
"37",0.468659,14521010,"Amtsberg",2012
"38",0.531892,14521010,"Amtsberg",2013
"39",0.549365,14521010,"Amtsberg",2014
"40",0.558019,14521010,"Amtsberg",2015
"41",0.567817,14521010,"Amtsberg",2016
"42",0.54496,14521010,"Amtsberg",2017
"43",0.565628,14521010,"Amtsberg",2018
"44",0.584477,14521010,"Amtsberg",2019
"45",0.674552,14521020,"Annaberg-Buchholz, Stadt",1998
"46",0.66825,14521020,"Annaberg-Buchholz, Stadt",1999
"47",0.756405,14521020,"Annaberg-Buchholz, Stadt",2000
"48",0.730901,14521020,"Annaberg-Buchholz, Stadt",2001
"49",0.762639,14521020,"Annaberg-Buchholz, Stadt",2002
"50",0.78927,14521020,"Annaberg-Buchholz, Stadt",2003
"51",0.724449,14521020,"Annaberg-Buchholz, Stadt",2004
"52",0.77005,14521020,"Annaberg-Buchholz, Stadt",2005
"53",0.808461,14521020,"Annaberg-Buchholz, Stadt",2006
"54",0.743028,14521020,"Annaberg-Buchholz, Stadt",2007
"55",0.747431,14521020,"Annaberg-Buchholz, Stadt",2008
"56",0.780229,14521020,"Annaberg-Buchholz, Stadt",2009
"57",0.762366,14521020,"Annaberg-Buchholz, Stadt",2010
"58",0.720032,14521020,"Annaberg-Buchholz, Stadt",2011
"59",0.751867,14521020,"Annaberg-Buchholz, Stadt",2012
"60",0.804202,14521020,"Annaberg-Buchholz, Stadt",2013
"61",0.829899,14521020,"Annaberg-Buchholz, Stadt",2014
"62",0.828734,14521020,"Annaberg-Buchholz, Stadt",2015
"63",0.802083,14521020,"Annaberg-Buchholz, Stadt",2016
"64",0.752017,14521020,"Annaberg-Buchholz, Stadt",2017
"65",0.751861,14521020,"Annaberg-Buchholz, Stadt",2018
"66",0.75315,14521020,"Annaberg-Buchholz, Stadt",2019
"67",0.738481,14521035,"Aue-Bad Schlema, Stadt",1998
"68",0.728126,14521035,"Aue-Bad Schlema, Stadt",1999
"69",0.805433,14521035,"Aue-Bad Schlema, Stadt",2000
"70",0.781303,14521035,"Aue-Bad Schlema, Stadt",2001
"71",0.813871,14521035,"Aue-Bad Schlema, Stadt",2002
"72",0.85181,14521035,"Aue-Bad Schlema, Stadt",2003
"73",0.78449,14521035,"Aue-Bad Schlema, Stadt",2004
