"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.543256,14511,"Chemnitz, Stadt",1998
"2",0.515507,14511,"Chemnitz, Stadt",1999
"3",0.46611,14511,"Chemnitz, Stadt",2000
"4",0.449701,14511,"Chemnitz, Stadt",2001
"5",0.454774,14511,"Chemnitz, Stadt",2002
"6",0.44606,14511,"Chemnitz, Stadt",2003
"7",0.447796,14511,"Chemnitz, Stadt",2004
"8",0.485771,14511,"Chemnitz, Stadt",2005
"9",0.410052,14511,"Chemnitz, Stadt",2006
"10",0.428204,14511,"Chemnitz, Stadt",2007
"11",0.456828,14511,"Chemnitz, Stadt",2008
"12",0.473037,14511,"Chemnitz, Stadt",2009
"13",0.500922,14511,"Chemnitz, Stadt",2010
"14",0.504684,14511,"Chemnitz, Stadt",2011
"15",0.515849,14511,"Chemnitz, Stadt",2012
"16",0.567037,14511,"Chemnitz, Stadt",2013
"17",0.582127,14511,"Chemnitz, Stadt",2014
"18",0.599801,14511,"Chemnitz, Stadt",2015
"19",0.60052,14511,"Chemnitz, Stadt",2016
"20",0.724321,14511,"Chemnitz, Stadt",2017
"21",0.655932,14511,"Chemnitz, Stadt",2018
"22",0.67528,14511,"Chemnitz, Stadt",2019
"23",0.887601,14521,"Erzgebirgskreis",1998
"24",0.855123,14521,"Erzgebirgskreis",1999
"25",0.862688,14521,"Erzgebirgskreis",2000
"26",0.802925,14521,"Erzgebirgskreis",2001
"27",0.841613,14521,"Erzgebirgskreis",2002
"28",0.845502,14521,"Erzgebirgskreis",2003
"29",0.788963,14521,"Erzgebirgskreis",2004
"30",0.797572,14521,"Erzgebirgskreis",2005
"31",0.813268,14521,"Erzgebirgskreis",2006
"32",0.736799,14521,"Erzgebirgskreis",2007
"33",0.717164,14521,"Erzgebirgskreis",2008
"34",0.768138,14521,"Erzgebirgskreis",2009
"35",0.72542,14521,"Erzgebirgskreis",2010
"36",0.684107,14521,"Erzgebirgskreis",2011
"37",0.67092,14521,"Erzgebirgskreis",2012
"38",0.718982,14521,"Erzgebirgskreis",2013
"39",0.741083,14521,"Erzgebirgskreis",2014
"40",0.739331,14521,"Erzgebirgskreis",2015
"41",0.733945,14521,"Erzgebirgskreis",2016
"42",0.703558,14521,"Erzgebirgskreis",2017
"43",0.708331,14521,"Erzgebirgskreis",2018
"44",0.695395,14521,"Erzgebirgskreis",2019
"45",0.786678,14522,"Mittelsachsen",1998
"46",0.756019,14522,"Mittelsachsen",1999
"47",0.700154,14522,"Mittelsachsen",2000
"48",0.725662,14522,"Mittelsachsen",2001
"49",0.711451,14522,"Mittelsachsen",2002
"50",0.690291,14522,"Mittelsachsen",2003
"51",0.652482,14522,"Mittelsachsen",2004
"52",0.684681,14522,"Mittelsachsen",2005
"53",0.602746,14522,"Mittelsachsen",2006
"54",0.588391,14522,"Mittelsachsen",2007
"55",0.575914,14522,"Mittelsachsen",2008
"56",0.591524,14522,"Mittelsachsen",2009
"57",0.599628,14522,"Mittelsachsen",2010
"58",0.511385,14522,"Mittelsachsen",2011
"59",0.536991,14522,"Mittelsachsen",2012
"60",0.599328,14522,"Mittelsachsen",2013
"61",0.655019,14522,"Mittelsachsen",2014
"62",0.639246,14522,"Mittelsachsen",2015
"63",0.657483,14522,"Mittelsachsen",2016
"64",0.697771,14522,"Mittelsachsen",2017
"65",0.659567,14522,"Mittelsachsen",2018
"66",0.672499,14522,"Mittelsachsen",2019
"67",0.642816,14523,"Vogtlandkreis",1998
"68",0.728943,14523,"Vogtlandkreis",1999
"69",0.577565,14523,"Vogtlandkreis",2000
"70",0.636488,14523,"Vogtlandkreis",2001
"71",0.644907,14523,"Vogtlandkreis",2002
"72",0.674208,14523,"Vogtlandkreis",2003
"73",0.588609,14523,"Vogtlandkreis",2004
"74",0.639442,14523,"Vogtlandkreis",2005
"75",0.640027,14523,"Vogtlandkreis",2006
"76",0.59803,14523,"Vogtlandkreis",2007
"77",0.60391,14523,"Vogtlandkreis",2008
"78",0.693751,14523,"Vogtlandkreis",2009
"79",0.6703,14523,"Vogtlandkreis",2010
"80",0.613573,14523,"Vogtlandkreis",2011
"81",0.556893,14523,"Vogtlandkreis",2012
"82",0.695958,14523,"Vogtlandkreis",2013
"83",0.672497,14523,"Vogtlandkreis",2014
"84",0.699163,14523,"Vogtlandkreis",2015
"85",0.752746,14523,"Vogtlandkreis",2016
"86",0.724958,14523,"Vogtlandkreis",2017
"87",0.758732,14523,"Vogtlandkreis",2018
"88",0.759176,14523,"Vogtlandkreis",2019
"89",0.737116,14524,"Zwickau",1998
"90",0.802072,14524,"Zwickau",1999
"91",0.735064,14524,"Zwickau",2000
"92",0.750802,14524,"Zwickau",2001
"93",0.748852,14524,"Zwickau",2002
"94",0.705576,14524,"Zwickau",2003
"95",0.657273,14524,"Zwickau",2004
"96",0.705336,14524,"Zwickau",2005
"97",0.675393,14524,"Zwickau",2006
"98",0.662649,14524,"Zwickau",2007
"99",0.594105,14524,"Zwickau",2008
"100",0.645944,14524,"Zwickau",2009
"101",0.646129,14524,"Zwickau",2010
"102",0.553364,14524,"Zwickau",2011
"103",0.531269,14524,"Zwickau",2012
"104",0.502372,14524,"Zwickau",2013
