"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.910454,1001000,"Flensburg, Stadt",1998
"2",0.976632,1001000,"Flensburg, Stadt",1999
"3",0.958037,1001000,"Flensburg, Stadt",2000
"4",0.933305,1001000,"Flensburg, Stadt",2001
"5",0.911181,1001000,"Flensburg, Stadt",2002
"6",0.877852,1001000,"Flensburg, Stadt",2003
"7",0.899949,1001000,"Flensburg, Stadt",2004
"8",0.97091,1001000,"Flensburg, Stadt",2005
"9",1,1001000,"Flensburg, Stadt",2006
"10",1,1001000,"Flensburg, Stadt",2007
"11",0.960502,1001000,"Flensburg, Stadt",2008
"12",0.973676,1001000,"Flensburg, Stadt",2009
"13",0.97268,1001000,"Flensburg, Stadt",2010
"14",0.861671,1001000,"Flensburg, Stadt",2011
"15",0.849906,1001000,"Flensburg, Stadt",2012
"16",0.916337,1001000,"Flensburg, Stadt",2013
"17",0.922972,1001000,"Flensburg, Stadt",2014
"18",0.920087,1001000,"Flensburg, Stadt",2015
"19",0.885562,1001000,"Flensburg, Stadt",2016
"20",0.901378,1001000,"Flensburg, Stadt",2017
"21",0.829503,1001000,"Flensburg, Stadt",2018
"22",0.863936,1001000,"Flensburg, Stadt",2019
"23",0.681251,1002000,"Kiel, Landeshauptstadt",1998
"24",0.70479,1002000,"Kiel, Landeshauptstadt",1999
"25",0.726564,1002000,"Kiel, Landeshauptstadt",2000
"26",0.738352,1002000,"Kiel, Landeshauptstadt",2001
"27",0.663619,1002000,"Kiel, Landeshauptstadt",2002
"28",0.685697,1002000,"Kiel, Landeshauptstadt",2003
"29",0.683792,1002000,"Kiel, Landeshauptstadt",2004
"30",0.670495,1002000,"Kiel, Landeshauptstadt",2005
"31",0.712598,1002000,"Kiel, Landeshauptstadt",2006
"32",0.70404,1002000,"Kiel, Landeshauptstadt",2007
"33",0.647663,1002000,"Kiel, Landeshauptstadt",2008
"34",0.604321,1002000,"Kiel, Landeshauptstadt",2009
"35",0.616038,1002000,"Kiel, Landeshauptstadt",2010
"36",0.576688,1002000,"Kiel, Landeshauptstadt",2011
"37",0.598178,1002000,"Kiel, Landeshauptstadt",2012
"38",0.601876,1002000,"Kiel, Landeshauptstadt",2013
"39",0.599872,1002000,"Kiel, Landeshauptstadt",2014
"40",0.541321,1002000,"Kiel, Landeshauptstadt",2015
"41",0.531511,1002000,"Kiel, Landeshauptstadt",2016
"42",0.531643,1002000,"Kiel, Landeshauptstadt",2017
"43",0.509926,1002000,"Kiel, Landeshauptstadt",2018
"44",0.510368,1002000,"Kiel, Landeshauptstadt",2019
"45",0.85232,1003000,"Lübeck, Hansestadt",1998
"46",0.889484,1003000,"Lübeck, Hansestadt",1999
"47",0.931854,1003000,"Lübeck, Hansestadt",2000
"48",0.980319,1003000,"Lübeck, Hansestadt",2001
"49",0.917717,1003000,"Lübeck, Hansestadt",2002
"50",0.916093,1003000,"Lübeck, Hansestadt",2003
"51",0.885347,1003000,"Lübeck, Hansestadt",2004
"52",0.894694,1003000,"Lübeck, Hansestadt",2005
"53",0.870912,1003000,"Lübeck, Hansestadt",2006
"54",0.845241,1003000,"Lübeck, Hansestadt",2007
"55",0.809787,1003000,"Lübeck, Hansestadt",2008
"56",0.785151,1003000,"Lübeck, Hansestadt",2009
"57",0.810235,1003000,"Lübeck, Hansestadt",2010
"58",0.856647,1003000,"Lübeck, Hansestadt",2011
"59",0.880223,1003000,"Lübeck, Hansestadt",2012
"60",0.821693,1003000,"Lübeck, Hansestadt",2013
"61",0.884356,1003000,"Lübeck, Hansestadt",2014
"62",0.789921,1003000,"Lübeck, Hansestadt",2015
"63",0.740137,1003000,"Lübeck, Hansestadt",2016
"64",0.763581,1003000,"Lübeck, Hansestadt",2017
"65",0.704124,1003000,"Lübeck, Hansestadt",2018
"66",0.722879,1003000,"Lübeck, Hansestadt",2019
"67",1,1004000,"Neumünster, Stadt",1998
"68",1,1004000,"Neumünster, Stadt",1999
"69",1,1004000,"Neumünster, Stadt",2000
"70",0.895909,1004000,"Neumünster, Stadt",2001
"71",0.876804,1004000,"Neumünster, Stadt",2002
"72",1,1004000,"Neumünster, Stadt",2003
"73",1,1004000,"Neumünster, Stadt",2004
"74",0.90751,1004000,"Neumünster, Stadt",2005
"75",0.947187,1004000,"Neumünster, Stadt",2006
"76",0.93478,1004000,"Neumünster, Stadt",2007
"77",0.98872,1004000,"Neumünster, Stadt",2008
"78",0.944446,1004000,"Neumünster, Stadt",2009
"79",0.987014,1004000,"Neumünster, Stadt",2010
"80",1,1004000,"Neumünster, Stadt",2011
"81",0.990313,1004000,"Neumünster, Stadt",2012
"82",1,1004000,"Neumünster, Stadt",2013
"83",0.978609,1004000,"Neumünster, Stadt",2014
"84",1,1004000,"Neumünster, Stadt",2015
"85",1,1004000,"Neumünster, Stadt",2016
"86",1,1004000,"Neumünster, Stadt",2017
"87",1,1004000,"Neumünster, Stadt",2018
"88",1,1004000,"Neumünster, Stadt",2019
"89",0.661523,1051011,"Brunsbüttel, Stadt",1998
"90",0.747535,1051011,"Brunsbüttel, Stadt",1999
"91",0.770773,1051011,"Brunsbüttel, Stadt",2000
"92",0.843433,1051011,"Brunsbüttel, Stadt",2001
"93",0.849924,1051011,"Brunsbüttel, Stadt",2002
"94",0.843656,1051011,"Brunsbüttel, Stadt",2003
"95",0.842452,1051011,"Brunsbüttel, Stadt",2004
"96",0.861592,1051011,"Brunsbüttel, Stadt",2005
"97",0.793245,1051011,"Brunsbüttel, Stadt",2006
"98",0.790259,1051011,"Brunsbüttel, Stadt",2007
"99",0.774675,1051011,"Brunsbüttel, Stadt",2008
"100",0.778887,1051011,"Brunsbüttel, Stadt",2009
"101",0.793876,1051011,"Brunsbüttel, Stadt",2010
"102",0.771395,1051011,"Brunsbüttel, Stadt",2011
"103",0.842709,1051011,"Brunsbüttel, Stadt",2012
"104",0.783786,1051011,"Brunsbüttel, Stadt",2013
"105",0.852013,1051011,"Brunsbüttel, Stadt",2014
