"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.946512270903682,1001,"Flensburg, Stadt",1998
"2",0.972407406658198,1001,"Flensburg, Stadt",1999
"3",0.980582489311593,1001,"Flensburg, Stadt",2000
"4",1,1001,"Flensburg, Stadt",2001
"5",1,1001,"Flensburg, Stadt",2002
"6",0.954749974878417,1001,"Flensburg, Stadt",2003
"7",1,1001,"Flensburg, Stadt",2004
"8",1,1001,"Flensburg, Stadt",2005
"9",1,1001,"Flensburg, Stadt",2006
"10",1,1001,"Flensburg, Stadt",2007
"11",1,1001,"Flensburg, Stadt",2008
"12",1,1001,"Flensburg, Stadt",2009
"13",1,1001,"Flensburg, Stadt",2010
"14",0.942313293687299,1001,"Flensburg, Stadt",2011
"15",0.955360856857107,1001,"Flensburg, Stadt",2012
"16",0.926975614798527,1001,"Flensburg, Stadt",2013
"17",0.963798748643687,1001,"Flensburg, Stadt",2014
"18",0.951585047849052,1001,"Flensburg, Stadt",2015
"19",0.918027025407194,1001,"Flensburg, Stadt",2016
"20",0.942217639890278,1001,"Flensburg, Stadt",2017
"21",0.865698192013778,1001,"Flensburg, Stadt",2018
"22",0.882258851955417,1001,"Flensburg, Stadt",2019
"23",0.641481295622497,1002,"Kiel, Stadt",1998
"24",0.631669704689391,1002,"Kiel, Stadt",1999
"25",0.708480937918689,1002,"Kiel, Stadt",2000
"26",0.6980711056571,1002,"Kiel, Stadt",2001
"27",0.622864403048202,1002,"Kiel, Stadt",2002
"28",0.651963712950254,1002,"Kiel, Stadt",2003
"29",0.653124274848672,1002,"Kiel, Stadt",2004
"30",0.64725147058031,1002,"Kiel, Stadt",2005
"31",0.686919606476482,1002,"Kiel, Stadt",2006
"32",0.704792304517816,1002,"Kiel, Stadt",2007
"33",0.668846540340106,1002,"Kiel, Stadt",2008
"34",0.609798758956277,1002,"Kiel, Stadt",2009
"35",0.624769210694087,1002,"Kiel, Stadt",2010
"36",0.627021128670417,1002,"Kiel, Stadt",2011
"37",0.625372282546269,1002,"Kiel, Stadt",2012
"38",0.596853003672148,1002,"Kiel, Stadt",2013
"39",0.6197388402743,1002,"Kiel, Stadt",2014
"40",0.549774349525549,1002,"Kiel, Stadt",2015
"41",0.544583668660617,1002,"Kiel, Stadt",2016
"42",0.539780995785372,1002,"Kiel, Stadt",2017
"43",0.51404199853113,1002,"Kiel, Stadt",2018
"44",0.491467777570011,1002,"Kiel, Stadt",2019
"45",0.775249489437485,1003,"Lübeck, Stadt",1998
