"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.532131,16051000,"Erfurt, Stadt",1998
"2",0.503289,16051000,"Erfurt, Stadt",1999
"3",0.525774,16051000,"Erfurt, Stadt",2000
"4",0.503893,16051000,"Erfurt, Stadt",2001
"5",0.515053,16051000,"Erfurt, Stadt",2002
"6",0.489925,16051000,"Erfurt, Stadt",2003
"7",0.566537,16051000,"Erfurt, Stadt",2004
"8",0.580119,16051000,"Erfurt, Stadt",2005
"9",0.560983,16051000,"Erfurt, Stadt",2006
"10",0.590194,16051000,"Erfurt, Stadt",2007
"11",0.596457,16051000,"Erfurt, Stadt",2008
"12",0.563164,16051000,"Erfurt, Stadt",2009
"13",0.572967,16051000,"Erfurt, Stadt",2010
"14",0.558487,16051000,"Erfurt, Stadt",2011
"15",0.545804,16051000,"Erfurt, Stadt",2012
"16",0.528878,16051000,"Erfurt, Stadt",2013
"17",0.507559,16051000,"Erfurt, Stadt",2014
"18",0.555539,16051000,"Erfurt, Stadt",2015
"19",0.498822,16051000,"Erfurt, Stadt",2016
"20",0.607079,16051000,"Erfurt, Stadt",2017
"21",0.563947,16051000,"Erfurt, Stadt",2018
"22",0.542289,16051000,"Erfurt, Stadt",2019
"23",0.69087,16052000,"Gera, Stadt",1998
"24",0.675058,16052000,"Gera, Stadt",1999
"25",0.654876,16052000,"Gera, Stadt",2000
"26",0.691736,16052000,"Gera, Stadt",2001
"27",0.653245,16052000,"Gera, Stadt",2002
"28",0.668284,16052000,"Gera, Stadt",2003
"29",0.713918,16052000,"Gera, Stadt",2004
"30",0.764424,16052000,"Gera, Stadt",2005
"31",0.763346,16052000,"Gera, Stadt",2006
"32",0.80407,16052000,"Gera, Stadt",2007
"33",0.823893,16052000,"Gera, Stadt",2008
"34",0.938324,16052000,"Gera, Stadt",2009
"35",0.861793,16052000,"Gera, Stadt",2010
"36",0.870338,16052000,"Gera, Stadt",2011
"37",0.794125,16052000,"Gera, Stadt",2012
"38",0.776095,16052000,"Gera, Stadt",2013
"39",0.765224,16052000,"Gera, Stadt",2014
"40",0.821054,16052000,"Gera, Stadt",2015
"41",0.801329,16052000,"Gera, Stadt",2016
"42",0.85133,16052000,"Gera, Stadt",2017
"43",0.888903,16052000,"Gera, Stadt",2018
