"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.649895,16051,"Erfurt, Stadt",1998
"2",0.620143,16051,"Erfurt, Stadt",1999
"3",0.643624,16051,"Erfurt, Stadt",2000
"4",0.614681,16051,"Erfurt, Stadt",2001
"5",0.613809,16051,"Erfurt, Stadt",2002
"6",0.59227,16051,"Erfurt, Stadt",2003
"7",0.677209,16051,"Erfurt, Stadt",2004
"8",0.687524,16051,"Erfurt, Stadt",2005
"9",0.660929,16051,"Erfurt, Stadt",2006
"10",0.712949,16051,"Erfurt, Stadt",2007
"11",0.709288,16051,"Erfurt, Stadt",2008
"12",0.670815,16051,"Erfurt, Stadt",2009
"13",0.681373,16051,"Erfurt, Stadt",2010
"14",0.680916,16051,"Erfurt, Stadt",2011
"15",0.655897,16051,"Erfurt, Stadt",2012
"16",0.621854,16051,"Erfurt, Stadt",2013
"17",0.602582,16051,"Erfurt, Stadt",2014
"18",0.659785,16051,"Erfurt, Stadt",2015
"19",0.582869,16051,"Erfurt, Stadt",2016
"20",0.682192,16051,"Erfurt, Stadt",2017
"21",0.679611,16051,"Erfurt, Stadt",2018
"22",0.672828,16051,"Erfurt, Stadt",2019
"23",0.771476,16052,"Gera, Stadt",1998
"24",0.752708,16052,"Gera, Stadt",1999
"25",0.729569,16052,"Gera, Stadt",2000
"26",0.766117,16052,"Gera, Stadt",2001
"27",0.716396,16052,"Gera, Stadt",2002
"28",0.735397,16052,"Gera, Stadt",2003
"29",0.780998,16052,"Gera, Stadt",2004
"30",0.831996,16052,"Gera, Stadt",2005
"31",0.814918,16052,"Gera, Stadt",2006
"32",0.877363,16052,"Gera, Stadt",2007
"33",0.875407,16052,"Gera, Stadt",2008
"34",1,16052,"Gera, Stadt",2009
"35",0.901655,16052,"Gera, Stadt",2010
"36",0.944906,16052,"Gera, Stadt",2011
"37",0.857936,16052,"Gera, Stadt",2012
"38",0.808311,16052,"Gera, Stadt",2013
"39",0.811937,16052,"Gera, Stadt",2014
"40",0.840579,16052,"Gera, Stadt",2015
"41",0.807542,16052,"Gera, Stadt",2016
"42",0.819479,16052,"Gera, Stadt",2017
"43",0.941854,16052,"Gera, Stadt",2018
"44",1,16052,"Gera, Stadt",2019
"45",0,16053,"Jena, Stadt",1998
"46",0,16053,"Jena, Stadt",1999
"47",0,16053,"Jena, Stadt",2000
"48",0,16053,"Jena, Stadt",2001
"49",0,16053,"Jena, Stadt",2002
"50",0,16053,"Jena, Stadt",2003
"51",0,16053,"Jena, Stadt",2004
"52",0,16053,"Jena, Stadt",2005
"53",0,16053,"Jena, Stadt",2006
"54",0,16053,"Jena, Stadt",2007
"55",0,16053,"Jena, Stadt",2008
"56",0,16053,"Jena, Stadt",2009
"57",0,16053,"Jena, Stadt",2010
"58",0,16053,"Jena, Stadt",2011
"59",0,16053,"Jena, Stadt",2012
"60",0,16053,"Jena, Stadt",2013
"61",0,16053,"Jena, Stadt",2014
"62",0,16053,"Jena, Stadt",2015
"63",0,16053,"Jena, Stadt",2016
"64",0,16053,"Jena, Stadt",2017
"65",0,16053,"Jena, Stadt",2018
"66",0,16053,"Jena, Stadt",2019
"67",0.631891,16054,"Suhl, Stadt",1998
"68",0.587272,16054,"Suhl, Stadt",1999
"69",0.737722,16054,"Suhl, Stadt",2000
"70",0.639335,16054,"Suhl, Stadt",2001
"71",0.627395,16054,"Suhl, Stadt",2002
"72",0.544249,16054,"Suhl, Stadt",2003
"73",0.604222,16054,"Suhl, Stadt",2004
"74",0.655619,16054,"Suhl, Stadt",2005
"75",0.794276,16054,"Suhl, Stadt",2006
"76",0.734716,16054,"Suhl, Stadt",2007
"77",0.707752,16054,"Suhl, Stadt",2008
"78",0.76207,16054,"Suhl, Stadt",2009
"79",0.747757,16054,"Suhl, Stadt",2010
"80",0.72995,16054,"Suhl, Stadt",2011
"81",0.61505,16054,"Suhl, Stadt",2012
"82",0.629282,16054,"Suhl, Stadt",2013
"83",0.705593,16054,"Suhl, Stadt",2014
"84",0.618134,16054,"Suhl, Stadt",2015
"85",0.702249,16054,"Suhl, Stadt",2016
"86",0.657518,16054,"Suhl, Stadt",2017
"87",0.664355,16054,"Suhl, Stadt",2018
"88",0.807318,16054,"Suhl, Stadt",2019
"89",0.66392,16055,"Weimar, Stadt",1998
"90",0.645594,16055,"Weimar, Stadt",1999
"91",0.655283,16055,"Weimar, Stadt",2000
"92",0.58894,16055,"Weimar, Stadt",2001
"93",0.500177,16055,"Weimar, Stadt",2002
"94",0.619898,16055,"Weimar, Stadt",2003
