"ror_id","gisd_score","gisd_5","gisd_10","gisd_k","ror_name","year"
"0101",0.58284,4,7,2,"Schleswig-Holstein Mitte",1998
"0101",0.58354,4,7,2,"Schleswig-Holstein Mitte",1999
"0101",0.51512,4,7,2,"Schleswig-Holstein Mitte",2000
"0101",0.51545,4,7,2,"Schleswig-Holstein Mitte",2001
"0101",0.50662,3,6,2,"Schleswig-Holstein Mitte",2002
"0101",0.50627,3,6,2,"Schleswig-Holstein Mitte",2003
"0101",0.51917,4,7,2,"Schleswig-Holstein Mitte",2004
"0101",0.53894,4,7,2,"Schleswig-Holstein Mitte",2005
"0101",0.5714,4,7,2,"Schleswig-Holstein Mitte",2006
"0101",0.58913,4,7,2,"Schleswig-Holstein Mitte",2007
"0101",0.62623,4,7,2,"Schleswig-Holstein Mitte",2008
"0101",0.60492,4,7,2,"Schleswig-Holstein Mitte",2009
"0101",0.61767,4,7,2,"Schleswig-Holstein Mitte",2010
"0101",0.62162,4,7,2,"Schleswig-Holstein Mitte",2011
"0101",0.64467,4,7,2,"Schleswig-Holstein Mitte",2012
"0101",0.68881,4,7,2,"Schleswig-Holstein Mitte",2013
"0101",0.72055,4,7,2,"Schleswig-Holstein Mitte",2014
"0101",0.71878,4,7,2,"Schleswig-Holstein Mitte",2015
"0101",0.74134,4,8,2,"Schleswig-Holstein Mitte",2016
"0101",0.7529,4,7,2,"Schleswig-Holstein Mitte",2017
"0101",0.72677,4,7,2,"Schleswig-Holstein Mitte",2018
"0101",0.7417,4,7,2,"Schleswig-Holstein Mitte",2019
"0102",0.60942,4,7,2,"Schleswig-Holstein Nord",1998
"0102",0.63615,4,7,2,"Schleswig-Holstein Nord",1999
"0102",0.5741,4,7,2,"Schleswig-Holstein Nord",2000
"0102",0.60283,4,8,2,"Schleswig-Holstein Nord",2001
"0102",0.59378,4,8,2,"Schleswig-Holstein Nord",2002
"0102",0.57071,4,8,2,"Schleswig-Holstein Nord",2003
"0102",0.60545,4,8,2,"Schleswig-Holstein Nord",2004
"0102",0.63131,4,8,2,"Schleswig-Holstein Nord",2005
"0102",0.64142,4,8,2,"Schleswig-Holstein Nord",2006
"0102",0.70202,4,8,2,"Schleswig-Holstein Nord",2007
"0102",0.73118,4,8,2,"Schleswig-Holstein Nord",2008
"0102",0.71314,4,8,2,"Schleswig-Holstein Nord",2009
"0102",0.73168,5,9,3,"Schleswig-Holstein Nord",2010
"0102",0.71656,4,8,2,"Schleswig-Holstein Nord",2011
"0102",0.75578,4,8,2,"Schleswig-Holstein Nord",2012
"0102",0.78916,4,8,2,"Schleswig-Holstein Nord",2013
"0102",0.8338,5,9,3,"Schleswig-Holstein Nord",2014
"0102",0.8238,5,9,3,"Schleswig-Holstein Nord",2015
"0102",0.84119,5,9,3,"Schleswig-Holstein Nord",2016
"0102",0.85945,5,9,3,"Schleswig-Holstein Nord",2017
"0102",0.83806,5,9,3,"Schleswig-Holstein Nord",2018
"0102",0.83378,5,9,3,"Schleswig-Holstein Nord",2019
"0103",0.64664,4,8,2,"Schleswig-Holstein Ost",1998
"0103",0.67074,4,8,2,"Schleswig-Holstein Ost",1999
"0103",0.61784,4,8,2,"Schleswig-Holstein Ost",2000
"0103",0.63562,4,8,2,"Schleswig-Holstein Ost",2001
"0103",0.62971,4,8,2,"Schleswig-Holstein Ost",2002
"0103",0.59506,4,8,2,"Schleswig-Holstein Ost",2003
"0103",0.60033,4,8,2,"Schleswig-Holstein Ost",2004
"0103",0.64797,4,8,2,"Schleswig-Holstein Ost",2005
"0103",0.67155,4,8,2,"Schleswig-Holstein Ost",2006
"0103",0.6861,4,8,2,"Schleswig-Holstein Ost",2007
"0103",0.7155,4,8,2,"Schleswig-Holstein Ost",2008
"0103",0.69139,4,8,2,"Schleswig-Holstein Ost",2009
"0103",0.70252,4,8,2,"Schleswig-Holstein Ost",2010
"0103",0.73343,5,9,3,"Schleswig-Holstein Ost",2011
"0103",0.77441,5,9,3,"Schleswig-Holstein Ost",2012
"0103",0.79271,5,9,3,"Schleswig-Holstein Ost",2013
"0103",0.8539,5,9,3,"Schleswig-Holstein Ost",2014
"0103",0.83014,5,9,3,"Schleswig-Holstein Ost",2015
"0103",0.82578,5,9,3,"Schleswig-Holstein Ost",2016
"0103",0.84212,5,9,3,"Schleswig-Holstein Ost",2017
"0103",0.80255,5,9,3,"Schleswig-Holstein Ost",2018
"0103",0.81667,5,9,3,"Schleswig-Holstein Ost",2019
"0104",0.34986,2,3,2,"Schleswig-Holstein Süd",1998
"0104",0.37281,2,3,2,"Schleswig-Holstein Süd",1999
"0104",0.31706,1,2,1,"Schleswig-Holstein Süd",2000
"0104",0.32376,1,2,1,"Schleswig-Holstein Süd",2001
"0104",0.31239,1,2,1,"Schleswig-Holstein Süd",2002
"0104",0.29769,1,2,1,"Schleswig-Holstein Süd",2003
"0104",0.30392,1,2,1,"Schleswig-Holstein Süd",2004
"0104",0.32141,2,3,2,"Schleswig-Holstein Süd",2005
"0104",0.34772,2,3,2,"Schleswig-Holstein Süd",2006
"0104",0.34933,2,3,2,"Schleswig-Holstein Süd",2007
"0104",0.39763,2,3,2,"Schleswig-Holstein Süd",2008
"0104",0.37477,2,3,2,"Schleswig-Holstein Süd",2009
"0104",0.39106,2,3,2,"Schleswig-Holstein Süd",2010
"0104",0.40122,2,3,2,"Schleswig-Holstein Süd",2011
"0104",0.43937,2,3,2,"Schleswig-Holstein Süd",2012
"0104",0.46833,2,4,2,"Schleswig-Holstein Süd",2013
"0104",0.51212,2,4,2,"Schleswig-Holstein Süd",2014
"0104",0.50412,2,4,2,"Schleswig-Holstein Süd",2015
"0104",0.54368,2,4,2,"Schleswig-Holstein Süd",2016
"0104",0.543,2,4,2,"Schleswig-Holstein Süd",2017
"0104",0.52778,2,4,2,"Schleswig-Holstein Süd",2018
"0104",0.54641,2,4,2,"Schleswig-Holstein Süd",2019
"0105",0.61565,4,8,2,"Schleswig-Holstein Süd-West",1998
"0105",0.65344,4,8,2,"Schleswig-Holstein Süd-West",1999
"0105",0.57675,4,8,2,"Schleswig-Holstein Süd-West",2000
"0105",0.59575,4,8,2,"Schleswig-Holstein Süd-West",2001
"0105",0.59968,4,8,2,"Schleswig-Holstein Süd-West",2002
"0105",0.55966,4,8,2,"Schleswig-Holstein Süd-West",2003
"0105",0.60212,4,8,2,"Schleswig-Holstein Süd-West",2004
"0105",0.60689,4,8,2,"Schleswig-Holstein Süd-West",2005
"0105",0.61518,4,7,2,"Schleswig-Holstein Süd-West",2006
"0105",0.62125,4,7,2,"Schleswig-Holstein Süd-West",2007
"0105",0.67577,4,8,2,"Schleswig-Holstein Süd-West",2008
"0105",0.66738,4,7,2,"Schleswig-Holstein Süd-West",2009
"0105",0.68635,4,8,2,"Schleswig-Holstein Süd-West",2010
"0105",0.70987,4,8,2,"Schleswig-Holstein Süd-West",2011
"0105",0.77055,5,9,3,"Schleswig-Holstein Süd-West",2012
"0105",0.76768,4,8,2,"Schleswig-Holstein Süd-West",2013
"0105",0.8492,5,9,3,"Schleswig-Holstein Süd-West",2014
"0105",0.83597,5,9,3,"Schleswig-Holstein Süd-West",2015
"0105",0.85664,5,9,3,"Schleswig-Holstein Süd-West",2016
"0105",0.86036,5,9,3,"Schleswig-Holstein Süd-West",2017
"0105",0.82363,5,9,3,"Schleswig-Holstein Süd-West",2018
"0105",0.83852,5,9,3,"Schleswig-Holstein Süd-West",2019
"0201",0.30877,1,2,1,"Hamburg",1998
"0201",0.33301,1,2,1,"Hamburg",1999
"0201",0.30262,1,2,1,"Hamburg",2000
"0201",0.28574,1,2,1,"Hamburg",2001
"0201",0.30546,1,2,1,"Hamburg",2002
"0201",0.28303,1,2,1,"Hamburg",2003
"0201",0.2908,1,2,1,"Hamburg",2004
"0201",0.30425,1,2,1,"Hamburg",2005
"0201",0.33577,2,3,2,"Hamburg",2006
"0201",0.3467,2,3,2,"Hamburg",2007
"0201",0.34825,1,2,1,"Hamburg",2008
"0201",0.3402,1,2,1,"Hamburg",2009
"0201",0.34656,1,2,1,"Hamburg",2010
"0201",0.30945,1,2,1,"Hamburg",2011
"0201",0.27945,1,1,1,"Hamburg",2012
"0201",0.26045,1,1,1,"Hamburg",2013
"0201",0.30271,1,1,1,"Hamburg",2014
"0201",0.28998,1,1,1,"Hamburg",2015
"0201",0.29743,1,1,1,"Hamburg",2016
"0201",0.29449,1,1,1,"Hamburg",2017
"0201",0.29628,1,1,1,"Hamburg",2018
"0201",0.29716,1,1,1,"Hamburg",2019
"0301",0.46622,3,5,2,"Braunschweig",1998
"0301",0.45985,3,5,2,"Braunschweig",1999
"0301",0.43815,3,5,2,"Braunschweig",2000
"0301",0.42456,3,5,2,"Braunschweig",2001
"0301",0.46918,3,5,2,"Braunschweig",2002
"0301",0.46058,3,5,2,"Braunschweig",2003
"0301",0.42062,3,5,2,"Braunschweig",2004
"0301",0.46297,3,5,2,"Braunschweig",2005
"0301",0.4739,3,5,2,"Braunschweig",2006
"0301",0.44453,2,4,2,"Braunschweig",2007
"0301",0.47637,2,4,2,"Braunschweig",2008
"0301",0.4644,2,4,2,"Braunschweig",2009
"0301",0.45553,2,4,2,"Braunschweig",2010
"0301",0.47126,2,4,2,"Braunschweig",2011
"0301",0.43879,2,3,2,"Braunschweig",2012
"0301",0.44873,2,3,2,"Braunschweig",2013
"0301",0.47193,2,3,2,"Braunschweig",2014
"0301",0.47365,2,3,2,"Braunschweig",2015
"0301",0.49469,2,3,2,"Braunschweig",2016
"0301",0.51962,2,3,2,"Braunschweig",2017
"0301",0.50051,2,3,2,"Braunschweig",2018
"0301",0.50403,2,3,2,"Braunschweig",2019
"0302",0.53262,3,6,2,"Bremen-Umland",1998
"0302",0.56226,3,6,2,"Bremen-Umland",1999
"0302",0.48595,3,6,2,"Bremen-Umland",2000
"0302",0.478,3,6,2,"Bremen-Umland",2001
"0302",0.47616,3,5,2,"Bremen-Umland",2002
"0302",0.46993,3,5,2,"Bremen-Umland",2003
"0302",0.43609,3,5,2,"Bremen-Umland",2004
"0302",0.48252,3,6,2,"Bremen-Umland",2005
"0302",0.49,3,6,2,"Bremen-Umland",2006
"0302",0.52247,3,6,2,"Bremen-Umland",2007
"0302",0.54715,3,6,2,"Bremen-Umland",2008
"0302",0.54623,3,5,2,"Bremen-Umland",2009
"0302",0.55574,3,6,2,"Bremen-Umland",2010
"0302",0.57196,3,6,2,"Bremen-Umland",2011
"0302",0.57777,3,6,2,"Bremen-Umland",2012
"0302",0.60394,3,6,2,"Bremen-Umland",2013
"0302",0.62231,3,6,2,"Bremen-Umland",2014
"0302",0.62568,3,6,2,"Bremen-Umland",2015
"0302",0.64181,3,6,2,"Bremen-Umland",2016
"0302",0.67675,3,6,2,"Bremen-Umland",2017
"0302",0.6431,3,6,2,"Bremen-Umland",2018
"0302",0.67507,3,6,2,"Bremen-Umland",2019
"0303",0.75171,5,9,3,"Bremerhaven",1998
"0303",0.75263,4,8,2,"Bremerhaven",1999
"0303",0.66677,4,8,2,"Bremerhaven",2000
"0303",0.66308,4,8,2,"Bremerhaven",2001
"0303",0.68193,4,8,2,"Bremerhaven",2002
"0303",0.67556,5,9,3,"Bremerhaven",2003
"0303",0.66613,4,8,2,"Bremerhaven",2004
"0303",0.70303,5,9,3,"Bremerhaven",2005
"0303",0.70161,4,8,2,"Bremerhaven",2006
"0303",0.73532,5,9,3,"Bremerhaven",2007
"0303",0.74192,5,9,3,"Bremerhaven",2008
"0303",0.75705,5,9,3,"Bremerhaven",2009
"0303",0.74881,5,9,3,"Bremerhaven",2010
"0303",0.76378,5,9,3,"Bremerhaven",2011
"0303",0.77709,5,9,3,"Bremerhaven",2012
"0303",0.80462,5,9,3,"Bremerhaven",2013
"0303",0.84379,5,9,3,"Bremerhaven",2014
"0303",0.85019,5,9,3,"Bremerhaven",2015
"0303",0.86204,5,9,3,"Bremerhaven",2016
"0303",0.89322,5,10,3,"Bremerhaven",2017
"0303",0.86644,5,10,3,"Bremerhaven",2018
"0303",0.87964,5,10,3,"Bremerhaven",2019
"0304",0.58362,4,7,2,"Emsland",1998
"0304",0.60992,4,7,2,"Emsland",1999
"0304",0.56745,4,7,2,"Emsland",2000
"0304",0.56921,4,7,2,"Emsland",2001
"0304",0.55682,4,7,2,"Emsland",2002
"0304",0.54953,4,7,2,"Emsland",2003
"0304",0.54305,4,7,2,"Emsland",2004
"0304",0.561,4,7,2,"Emsland",2005
"0304",0.55977,4,7,2,"Emsland",2006
"0304",0.5834,4,7,2,"Emsland",2007
"0304",0.58916,3,6,2,"Emsland",2008
"0304",0.60706,4,7,2,"Emsland",2009
"0304",0.61524,4,7,2,"Emsland",2010
"0304",0.59572,3,6,2,"Emsland",2011
"0304",0.60974,3,6,2,"Emsland",2012
"0304",0.62757,3,6,2,"Emsland",2013
"0304",0.65805,3,6,2,"Emsland",2014
"0304",0.6762,4,7,2,"Emsland",2015
"0304",0.69791,4,7,2,"Emsland",2016
"0304",0.71324,4,7,2,"Emsland",2017
"0304",0.66762,4,7,2,"Emsland",2018
"0304",0.69754,4,7,2,"Emsland",2019
"0305",0.53998,3,6,2,"Göttingen",1998
"0305",0.57838,3,6,2,"Göttingen",1999
"0305",0.50646,3,6,2,"Göttingen",2000
"0305",0.50318,3,6,2,"Göttingen",2001
"0305",0.52326,3,6,2,"Göttingen",2002
"0305",0.53028,4,7,2,"Göttingen",2003
"0305",0.48198,3,6,2,"Göttingen",2004
"0305",0.52683,4,7,2,"Göttingen",2005
"0305",0.53309,3,6,2,"Göttingen",2006
"0305",0.54478,3,6,2,"Göttingen",2007
"0305",0.58189,3,6,2,"Göttingen",2008
"0305",0.55719,3,6,2,"Göttingen",2009
"0305",0.55011,3,6,2,"Göttingen",2010
"0305",0.55509,3,6,2,"Göttingen",2011
"0305",0.56373,3,6,2,"Göttingen",2012
"0305",0.58158,3,6,2,"Göttingen",2013
"0305",0.6124,3,6,2,"Göttingen",2014
"0305",0.61865,3,6,2,"Göttingen",2015
"0305",0.6131,3,6,2,"Göttingen",2016
"0305",0.62657,3,5,2,"Göttingen",2017
"0305",0.62754,3,6,2,"Göttingen",2018
"0305",0.64185,3,6,2,"Göttingen",2019
"0306",0.4004,2,4,2,"Hamburg-Umland-Süd",1998
"0306",0.43693,2,4,2,"Hamburg-Umland-Süd",1999
"0306",0.42995,3,5,2,"Hamburg-Umland-Süd",2000
"0306",0.40023,2,4,2,"Hamburg-Umland-Süd",2001
"0306",0.40543,2,4,2,"Hamburg-Umland-Süd",2002
"0306",0.36924,2,4,2,"Hamburg-Umland-Süd",2003
"0306",0.373,2,4,2,"Hamburg-Umland-Süd",2004
"0306",0.41998,2,4,2,"Hamburg-Umland-Süd",2005
"0306",0.40425,2,4,2,"Hamburg-Umland-Süd",2006
"0306",0.43736,2,4,2,"Hamburg-Umland-Süd",2007
"0306",0.47735,2,4,2,"Hamburg-Umland-Süd",2008
"0306",0.4617,2,4,2,"Hamburg-Umland-Süd",2009
"0306",0.4576,2,4,2,"Hamburg-Umland-Süd",2010
"0306",0.47285,2,4,2,"Hamburg-Umland-Süd",2011
"0306",0.48509,2,4,2,"Hamburg-Umland-Süd",2012
"0306",0.49922,2,4,2,"Hamburg-Umland-Süd",2013
"0306",0.51938,2,4,2,"Hamburg-Umland-Süd",2014
"0306",0.52454,2,4,2,"Hamburg-Umland-Süd",2015
"0306",0.56019,2,4,2,"Hamburg-Umland-Süd",2016
"0306",0.56604,2,4,2,"Hamburg-Umland-Süd",2017
"0306",0.56249,3,5,2,"Hamburg-Umland-Süd",2018
"0306",0.58547,3,5,2,"Hamburg-Umland-Süd",2019
"0307",0.46265,3,5,2,"Hannover",1998
"0307",0.47869,3,5,2,"Hannover",1999
"0307",0.4091,2,4,2,"Hannover",2000
"0307",0.43122,3,5,2,"Hannover",2001
"0307",0.44318,3,5,2,"Hannover",2002
"0307",0.44597,3,5,2,"Hannover",2003
"0307",0.40321,2,4,2,"Hannover",2004
"0307",0.46175,3,5,2,"Hannover",2005
"0307",0.45859,3,5,2,"Hannover",2006
"0307",0.47864,3,5,2,"Hannover",2007
"0307",0.51623,3,5,2,"Hannover",2008
"0307",0.48195,3,5,2,"Hannover",2009
"0307",0.49033,3,5,2,"Hannover",2010
"0307",0.49278,3,5,2,"Hannover",2011
"0307",0.50477,3,5,2,"Hannover",2012
"0307",0.52275,3,5,2,"Hannover",2013
"0307",0.55368,3,5,2,"Hannover",2014
"0307",0.54954,2,4,2,"Hannover",2015
"0307",0.56498,3,5,2,"Hannover",2016
"0307",0.58159,2,4,2,"Hannover",2017
"0307",0.5676,3,5,2,"Hannover",2018
"0307",0.57006,3,5,2,"Hannover",2019
"0308",0.52883,3,6,2,"Hildesheim",1998
"0308",0.53922,3,6,2,"Hildesheim",1999
"0308",0.49484,3,6,2,"Hildesheim",2000
"0308",0.49247,3,6,2,"Hildesheim",2001
"0308",0.49254,3,5,2,"Hildesheim",2002
"0308",0.49735,3,6,2,"Hildesheim",2003
"0308",0.45511,3,5,2,"Hildesheim",2004
"0308",0.53065,4,7,2,"Hildesheim",2005
"0308",0.5426,4,7,2,"Hildesheim",2006
"0308",0.54214,3,6,2,"Hildesheim",2007
"0308",0.57341,3,6,2,"Hildesheim",2008
"0308",0.58288,3,6,2,"Hildesheim",2009
"0308",0.58686,3,6,2,"Hildesheim",2010
"0308",0.60777,4,7,2,"Hildesheim",2011
"0308",0.61783,4,7,2,"Hildesheim",2012
"0308",0.65205,4,7,2,"Hildesheim",2013
"0308",0.67789,4,7,2,"Hildesheim",2014
"0308",0.67848,4,7,2,"Hildesheim",2015
"0308",0.65973,3,6,2,"Hildesheim",2016
"0308",0.69161,3,6,2,"Hildesheim",2017
"0308",0.6692,4,7,2,"Hildesheim",2018
"0308",0.70425,4,7,2,"Hildesheim",2019
"0309",0.59327,4,7,2,"Lüneburg",1998
"0309",0.58919,4,7,2,"Lüneburg",1999
"0309",0.55707,4,7,2,"Lüneburg",2000
"0309",0.56847,4,7,2,"Lüneburg",2001
"0309",0.55615,4,7,2,"Lüneburg",2002
"0309",0.55607,4,7,2,"Lüneburg",2003
"0309",0.53808,4,7,2,"Lüneburg",2004
"0309",0.5716,4,7,2,"Lüneburg",2005
"0309",0.57722,4,7,2,"Lüneburg",2006
"0309",0.60198,4,7,2,"Lüneburg",2007
"0309",0.63828,4,7,2,"Lüneburg",2008
"0309",0.6048,3,6,2,"Lüneburg",2009
"0309",0.60483,4,7,2,"Lüneburg",2010
"0309",0.61004,4,7,2,"Lüneburg",2011
