"gisd_score","kreis_id","kreis_name","year"
0.20271,"13003","Rostock, Stadt",1998
0,"13003","Rostock, Stadt",1999
0,"13003","Rostock, Stadt",2000
0,"13003","Rostock, Stadt",2001
0.08104,"13003","Rostock, Stadt",2002
0,"13003","Rostock, Stadt",2003
0.03137,"13003","Rostock, Stadt",2004
0.00262,"13003","Rostock, Stadt",2005
0,"13003","Rostock, Stadt",2006
0,"13003","Rostock, Stadt",2007
0,"13003","Rostock, Stadt",2008
0,"13003","Rostock, Stadt",2009
0,"13003","Rostock, Stadt",2010
0,"13003","Rostock, Stadt",2011
0,"13003","Rostock, Stadt",2012
0.10086,"13003","Rostock, Stadt",2013
0,"13003","Rostock, Stadt",2014
0.00282,"13003","Rostock, Stadt",2015
0.00593,"13003","Rostock, Stadt",2016
0,"13003","Rostock, Stadt",2017
0.02072,"13003","Rostock, Stadt",2018
0,"13003","Rostock, Stadt",2019
0,"13004","Schwerin, Stadt",1998
0.18656,"13004","Schwerin, Stadt",1999
0.1308,"13004","Schwerin, Stadt",2000
0.128,"13004","Schwerin, Stadt",2001
0,"13004","Schwerin, Stadt",2002
0.05149,"13004","Schwerin, Stadt",2003
0,"13004","Schwerin, Stadt",2004
0,"13004","Schwerin, Stadt",2005
0.28682,"13004","Schwerin, Stadt",2006
0.52434,"13004","Schwerin, Stadt",2007
0.17745,"13004","Schwerin, Stadt",2008
0.12602,"13004","Schwerin, Stadt",2009
0.79627,"13004","Schwerin, Stadt",2010
0.21826,"13004","Schwerin, Stadt",2011
0.29761,"13004","Schwerin, Stadt",2012
0.30829,"13004","Schwerin, Stadt",2013
0.2974,"13004","Schwerin, Stadt",2014
0.3154,"13004","Schwerin, Stadt",2015
0.37943,"13004","Schwerin, Stadt",2016
0.36077,"13004","Schwerin, Stadt",2017
0.57634,"13004","Schwerin, Stadt",2018
0.55643,"13004","Schwerin, Stadt",2019
0.70193,"13071","Mecklenburgische Seenplatte",1998
0.65104,"13071","Mecklenburgische Seenplatte",1999
0.70204,"13071","Mecklenburgische Seenplatte",2000
0.84644,"13071","Mecklenburgische Seenplatte",2001
0.83305,"13071","Mecklenburgische Seenplatte",2002
0.73517,"13071","Mecklenburgische Seenplatte",2003
0.75867,"13071","Mecklenburgische Seenplatte",2004
0.69417,"13071","Mecklenburgische Seenplatte",2005
0.69408,"13071","Mecklenburgische Seenplatte",2006
0.885,"13071","Mecklenburgische Seenplatte",2007
0.71294,"13071","Mecklenburgische Seenplatte",2008
0.85793,"13071","Mecklenburgische Seenplatte",2009
0.81154,"13071","Mecklenburgische Seenplatte",2010
0.93631,"13071","Mecklenburgische Seenplatte",2011
0.98975,"13071","Mecklenburgische Seenplatte",2012
0.63257,"13071","Mecklenburgische Seenplatte",2013
0.76277,"13071","Mecklenburgische Seenplatte",2014
0.76322,"13071","Mecklenburgische Seenplatte",2015
0.88565,"13071","Mecklenburgische Seenplatte",2016
0.88657,"13071","Mecklenburgische Seenplatte",2017
0.84988,"13071","Mecklenburgische Seenplatte",2018
0.75112,"13071","Mecklenburgische Seenplatte",2019
0.56614,"13072","Landkreis Rostock",1998
0.61423,"13072","Landkreis Rostock",1999
0.57366,"13072","Landkreis Rostock",2000
0.48274,"13072","Landkreis Rostock",2001
0.65951,"13072","Landkreis Rostock",2002
0.63095,"13072","Landkreis Rostock",2003
0.65417,"13072","Landkreis Rostock",2004
0.47904,"13072","Landkreis Rostock",2005
0.39055,"13072","Landkreis Rostock",2006
0.35613,"13072","Landkreis Rostock",2007
0.25745,"13072","Landkreis Rostock",2008
0.42447,"13072","Landkreis Rostock",2009
0.35196,"13072","Landkreis Rostock",2010
0.04717,"13072","Landkreis Rostock",2011
0.39797,"13072","Landkreis Rostock",2012
0,"13072","Landkreis Rostock",2013
0.19071,"13072","Landkreis Rostock",2014
0,"13072","Landkreis Rostock",2015
0,"13072","Landkreis Rostock",2016
0.03804,"13072","Landkreis Rostock",2017
0,"13072","Landkreis Rostock",2018
0.04238,"13072","Landkreis Rostock",2019
0.7233,"13073","Vorpommern-Rügen",1998
0.71459,"13073","Vorpommern-Rügen",1999
0.62292,"13073","Vorpommern-Rügen",2000
0.78023,"13073","Vorpommern-Rügen",2001
0.87544,"13073","Vorpommern-Rügen",2002
0.95565,"13073","Vorpommern-Rügen",2003
0.89959,"13073","Vorpommern-Rügen",2004
0.76943,"13073","Vorpommern-Rügen",2005
0.95095,"13073","Vorpommern-Rügen",2006
0.77114,"13073","Vorpommern-Rügen",2007
0.69757,"13073","Vorpommern-Rügen",2008
0.59403,"13073","Vorpommern-Rügen",2009
0.69242,"13073","Vorpommern-Rügen",2010
0.69416,"13073","Vorpommern-Rügen",2011
0.68727,"13073","Vorpommern-Rügen",2012
0.68922,"13073","Vorpommern-Rügen",2013
0.79058,"13073","Vorpommern-Rügen",2014
0.86736,"13073","Vorpommern-Rügen",2015
0.80151,"13073","Vorpommern-Rügen",2016
0.67402,"13073","Vorpommern-Rügen",2017
0.76039,"13073","Vorpommern-Rügen",2018
0.63766,"13073","Vorpommern-Rügen",2019
0.74479,"13074","Nordwestmecklenburg",1998
0.8003,"13074","Nordwestmecklenburg",1999
0.83306,"13074","Nordwestmecklenburg",2000
0.64509,"13074","Nordwestmecklenburg",2001
0.76927,"13074","Nordwestmecklenburg",2002
0.67294,"13074","Nordwestmecklenburg",2003
0.57845,"13074","Nordwestmecklenburg",2004
0.50531,"13074","Nordwestmecklenburg",2005
0.59163,"13074","Nordwestmecklenburg",2006
0.5816,"13074","Nordwestmecklenburg",2007
0.55283,"13074","Nordwestmecklenburg",2008
0.99279,"13074","Nordwestmecklenburg",2009
0.79558,"13074","Nordwestmecklenburg",2010
0.82864,"13074","Nordwestmecklenburg",2011
0.61251,"13074","Nordwestmecklenburg",2012
0.27963,"13074","Nordwestmecklenburg",2013
0.33743,"13074","Nordwestmecklenburg",2014
0.45832,"13074","Nordwestmecklenburg",2015
0.45271,"13074","Nordwestmecklenburg",2016
0.5272,"13074","Nordwestmecklenburg",2017
