"gisd_score","kreis_id","kreis_name","year"
0.9199,"10041","Regionalverband Saarbrücken",1998
0.92643,"10041","Regionalverband Saarbrücken",1999
0.92936,"10041","Regionalverband Saarbrücken",2000
0.9024,"10041","Regionalverband Saarbrücken",2001
0.67656,"10041","Regionalverband Saarbrücken",2002
0.82001,"10041","Regionalverband Saarbrücken",2003
0.84193,"10041","Regionalverband Saarbrücken",2004
0.72917,"10041","Regionalverband Saarbrücken",2005
0.80602,"10041","Regionalverband Saarbrücken",2006
0.80253,"10041","Regionalverband Saarbrücken",2007
0.86923,"10041","Regionalverband Saarbrücken",2008
0.86229,"10041","Regionalverband Saarbrücken",2009
0.86308,"10041","Regionalverband Saarbrücken",2010
0.79871,"10041","Regionalverband Saarbrücken",2011
0.72299,"10041","Regionalverband Saarbrücken",2012
0.76941,"10041","Regionalverband Saarbrücken",2013
0.81897,"10041","Regionalverband Saarbrücken",2014
0.85861,"10041","Regionalverband Saarbrücken",2015
0.84233,"10041","Regionalverband Saarbrücken",2016
0.79839,"10041","Regionalverband Saarbrücken",2017
0.93869,"10041","Regionalverband Saarbrücken",2018
0.80265,"10041","Regionalverband Saarbrücken",2019
0.93905,"10042","Merzig-Wadern",1998
0.81392,"10042","Merzig-Wadern",1999
0.69519,"10042","Merzig-Wadern",2000
0.85597,"10042","Merzig-Wadern",2001
0.79026,"10042","Merzig-Wadern",2002
0.89744,"10042","Merzig-Wadern",2003
0.75816,"10042","Merzig-Wadern",2004
0.86526,"10042","Merzig-Wadern",2005
0.90698,"10042","Merzig-Wadern",2006
0.92338,"10042","Merzig-Wadern",2007
1,"10042","Merzig-Wadern",2008
0.95332,"10042","Merzig-Wadern",2009
1,"10042","Merzig-Wadern",2010
0.89297,"10042","Merzig-Wadern",2011
0.99453,"10042","Merzig-Wadern",2012
1,"10042","Merzig-Wadern",2013
1,"10042","Merzig-Wadern",2014
0.95088,"10042","Merzig-Wadern",2015
1,"10042","Merzig-Wadern",2016
1,"10042","Merzig-Wadern",2017
0.99811,"10042","Merzig-Wadern",2018
0.75242,"10042","Merzig-Wadern",2019
1,"10043","Neunkirchen",1998
1,"10043","Neunkirchen",1999
1,"10043","Neunkirchen",2000
1,"10043","Neunkirchen",2001
1,"10043","Neunkirchen",2002
1,"10043","Neunkirchen",2003
1,"10043","Neunkirchen",2004
1,"10043","Neunkirchen",2005
1,"10043","Neunkirchen",2006
1,"10043","Neunkirchen",2007
0.95219,"10043","Neunkirchen",2008
1,"10043","Neunkirchen",2009
0.99304,"10043","Neunkirchen",2010
1,"10043","Neunkirchen",2011
1,"10043","Neunkirchen",2012
0.94208,"10043","Neunkirchen",2013
0.97428,"10043","Neunkirchen",2014
1,"10043","Neunkirchen",2015
0.9703,"10043","Neunkirchen",2016
0.89996,"10043","Neunkirchen",2017
1,"10043","Neunkirchen",2018
1,"10043","Neunkirchen",2019
0.59455,"10044","Saarlouis",1998
0.61971,"10044","Saarlouis",1999
0.62717,"10044","Saarlouis",2000
0.5993,"10044","Saarlouis",2001
0.38945,"10044","Saarlouis",2002
0.52862,"10044","Saarlouis",2003
0.48946,"10044","Saarlouis",2004
0.47009,"10044","Saarlouis",2005
0.43484,"10044","Saarlouis",2006
0.61006,"10044","Saarlouis",2007
0.55764,"10044","Saarlouis",2008
0.52031,"10044","Saarlouis",2009
0.56436,"10044","Saarlouis",2010
0.49061,"10044","Saarlouis",2011
0.62307,"10044","Saarlouis",2012
0.5116,"10044","Saarlouis",2013
0.54121,"10044","Saarlouis",2014
0.58135,"10044","Saarlouis",2015
0.51061,"10044","Saarlouis",2016
0.49436,"10044","Saarlouis",2017
0.55898,"10044","Saarlouis",2018
0.50679,"10044","Saarlouis",2019
0,"10045","Saarpfalz-Kreis",1998
0,"10045","Saarpfalz-Kreis",1999
0.18413,"10045","Saarpfalz-Kreis",2000
0.03256,"10045","Saarpfalz-Kreis",2001
0,"10045","Saarpfalz-Kreis",2002
0,"10045","Saarpfalz-Kreis",2003
0,"10045","Saarpfalz-Kreis",2004
0,"10045","Saarpfalz-Kreis",2005
0,"10045","Saarpfalz-Kreis",2006
0,"10045","Saarpfalz-Kreis",2007
0,"10045","Saarpfalz-Kreis",2008
0.04469,"10045","Saarpfalz-Kreis",2009
0.16696,"10045","Saarpfalz-Kreis",2010
0,"10045","Saarpfalz-Kreis",2011
0,"10045","Saarpfalz-Kreis",2012
0,"10045","Saarpfalz-Kreis",2013
0,"10045","Saarpfalz-Kreis",2014
0,"10045","Saarpfalz-Kreis",2015
0,"10045","Saarpfalz-Kreis",2016
0,"10045","Saarpfalz-Kreis",2017
0,"10045","Saarpfalz-Kreis",2018
0,"10045","Saarpfalz-Kreis",2019
0.1593,"10046","St. Wendel",1998
0.1982,"10046","St. Wendel",1999
0,"10046","St. Wendel",2000
0,"10046","St. Wendel",2001
0.10175,"10046","St. Wendel",2002
0.06087,"10046","St. Wendel",2003
0.03497,"10046","St. Wendel",2004
0.15167,"10046","St. Wendel",2005
0.11199,"10046","St. Wendel",2006
0.24786,"10046","St. Wendel",2007
0.13872,"10046","St. Wendel",2008
0,"10046","St. Wendel",2009
0,"10046","St. Wendel",2010
0.06553,"10046","St. Wendel",2011
0.06424,"10046","St. Wendel",2012
0.09365,"10046","St. Wendel",2013
0.44505,"10046","St. Wendel",2014
0.41422,"10046","St. Wendel",2015
0.22513,"10046","St. Wendel",2016
0.31324,"10046","St. Wendel",2017
0.28404,"10046","St. Wendel",2018
0.23736,"10046","St. Wendel",2019
