"gisd_score","kreis_id","kreis_name","year"
0.19134,"15001","Dessau-Roßlau, Stadt",1998
0.14884,"15001","Dessau-Roßlau, Stadt",1999
0.24991,"15001","Dessau-Roßlau, Stadt",2000
0.17468,"15001","Dessau-Roßlau, Stadt",2001
0,"15001","Dessau-Roßlau, Stadt",2002
0,"15001","Dessau-Roßlau, Stadt",2003
0,"15001","Dessau-Roßlau, Stadt",2004
0,"15001","Dessau-Roßlau, Stadt",2005
0.06332,"15001","Dessau-Roßlau, Stadt",2006
0.14237,"15001","Dessau-Roßlau, Stadt",2007
0.26071,"15001","Dessau-Roßlau, Stadt",2008
0,"15001","Dessau-Roßlau, Stadt",2009
0.11426,"15001","Dessau-Roßlau, Stadt",2010
0.19005,"15001","Dessau-Roßlau, Stadt",2011
0.18254,"15001","Dessau-Roßlau, Stadt",2012
0.31788,"15001","Dessau-Roßlau, Stadt",2013
0.18262,"15001","Dessau-Roßlau, Stadt",2014
0.25126,"15001","Dessau-Roßlau, Stadt",2015
0.27297,"15001","Dessau-Roßlau, Stadt",2016
0.32304,"15001","Dessau-Roßlau, Stadt",2017
0.2912,"15001","Dessau-Roßlau, Stadt",2018
0.25737,"15001","Dessau-Roßlau, Stadt",2019
0.35852,"15002","Halle (Saale), Stadt",1998
0.35642,"15002","Halle (Saale), Stadt",1999
0.28371,"15002","Halle (Saale), Stadt",2000
0.44805,"15002","Halle (Saale), Stadt",2001
0.25837,"15002","Halle (Saale), Stadt",2002
0.37459,"15002","Halle (Saale), Stadt",2003
0.37565,"15002","Halle (Saale), Stadt",2004
0.28385,"15002","Halle (Saale), Stadt",2005
0.42815,"15002","Halle (Saale), Stadt",2006
0.5362,"15002","Halle (Saale), Stadt",2007
0.64587,"15002","Halle (Saale), Stadt",2008
0.4612,"15002","Halle (Saale), Stadt",2009
0.62823,"15002","Halle (Saale), Stadt",2010
0.69822,"15002","Halle (Saale), Stadt",2011
0.49988,"15002","Halle (Saale), Stadt",2012
0.53103,"15002","Halle (Saale), Stadt",2013
0.55605,"15002","Halle (Saale), Stadt",2014
0.45234,"15002","Halle (Saale), Stadt",2015
0.64514,"15002","Halle (Saale), Stadt",2016
0.6533,"15002","Halle (Saale), Stadt",2017
0.65962,"15002","Halle (Saale), Stadt",2018
0.72756,"15002","Halle (Saale), Stadt",2019
0.20753,"15003","Magdeburg, Stadt",1998
0.12817,"15003","Magdeburg, Stadt",1999
0.14414,"15003","Magdeburg, Stadt",2000
0.18835,"15003","Magdeburg, Stadt",2001
0.14986,"15003","Magdeburg, Stadt",2002
0.21539,"15003","Magdeburg, Stadt",2003
0.21596,"15003","Magdeburg, Stadt",2004
0.22287,"15003","Magdeburg, Stadt",2005
0.29203,"15003","Magdeburg, Stadt",2006
0.30339,"15003","Magdeburg, Stadt",2007
0.41861,"15003","Magdeburg, Stadt",2008
0.27456,"15003","Magdeburg, Stadt",2009
0.33513,"15003","Magdeburg, Stadt",2010
0.46331,"15003","Magdeburg, Stadt",2011
0.3034,"15003","Magdeburg, Stadt",2012
0.26916,"15003","Magdeburg, Stadt",2013
0.25857,"15003","Magdeburg, Stadt",2014
0.24645,"15003","Magdeburg, Stadt",2015
0.25797,"15003","Magdeburg, Stadt",2016
0.30461,"15003","Magdeburg, Stadt",2017
0.30095,"15003","Magdeburg, Stadt",2018
0.35276,"15003","Magdeburg, Stadt",2019
0.63167,"15081","Altmarkkreis Salzwedel",1998
0.37284,"15081","Altmarkkreis Salzwedel",1999
0.76718,"15081","Altmarkkreis Salzwedel",2000
0.56582,"15081","Altmarkkreis Salzwedel",2001
0.6459,"15081","Altmarkkreis Salzwedel",2002
0.78549,"15081","Altmarkkreis Salzwedel",2003
0.73612,"15081","Altmarkkreis Salzwedel",2004
0.79458,"15081","Altmarkkreis Salzwedel",2005
0.84524,"15081","Altmarkkreis Salzwedel",2006
0.80919,"15081","Altmarkkreis Salzwedel",2007
0.79014,"15081","Altmarkkreis Salzwedel",2008
0.61127,"15081","Altmarkkreis Salzwedel",2009
0.58126,"15081","Altmarkkreis Salzwedel",2010
0.69116,"15081","Altmarkkreis Salzwedel",2011
0.64355,"15081","Altmarkkreis Salzwedel",2012
0.41501,"15081","Altmarkkreis Salzwedel",2013
0.36658,"15081","Altmarkkreis Salzwedel",2014
0.46357,"15081","Altmarkkreis Salzwedel",2015
0.57475,"15081","Altmarkkreis Salzwedel",2016
0.56782,"15081","Altmarkkreis Salzwedel",2017
0.59348,"15081","Altmarkkreis Salzwedel",2018
0.66153,"15081","Altmarkkreis Salzwedel",2019
0.70943,"15082","Anhalt-Bitterfeld",1998
