"gisd_score","kreis_id","kreis_name","year"
0.53364,"14511","Chemnitz, Stadt",1998
0.56485,"14511","Chemnitz, Stadt",1999
0.46954,"14511","Chemnitz, Stadt",2000
0.45326,"14511","Chemnitz, Stadt",2001
0.4621,"14511","Chemnitz, Stadt",2002
0.44875,"14511","Chemnitz, Stadt",2003
0.45163,"14511","Chemnitz, Stadt",2004
0.48946,"14511","Chemnitz, Stadt",2005
0.40552,"14511","Chemnitz, Stadt",2006
0.42592,"14511","Chemnitz, Stadt",2007
0.46013,"14511","Chemnitz, Stadt",2008
0.47699,"14511","Chemnitz, Stadt",2009
0.50274,"14511","Chemnitz, Stadt",2010
0.50337,"14511","Chemnitz, Stadt",2011
0.52903,"14511","Chemnitz, Stadt",2012
0.58087,"14511","Chemnitz, Stadt",2013
0.59799,"14511","Chemnitz, Stadt",2014
0.60531,"14511","Chemnitz, Stadt",2015
0.60719,"14511","Chemnitz, Stadt",2016
0.75011,"14511","Chemnitz, Stadt",2017
0.66601,"14511","Chemnitz, Stadt",2018
0.68865,"14511","Chemnitz, Stadt",2019
0.83516,"14521","Erzgebirgskreis",1998
0.82738,"14521","Erzgebirgskreis",1999
0.85465,"14521","Erzgebirgskreis",2000
0.79097,"14521","Erzgebirgskreis",2001
0.83672,"14521","Erzgebirgskreis",2002
0.84309,"14521","Erzgebirgskreis",2003
0.77773,"14521","Erzgebirgskreis",2004
0.78095,"14521","Erzgebirgskreis",2005
0.80421,"14521","Erzgebirgskreis",2006
0.72535,"14521","Erzgebirgskreis",2007
0.70318,"14521","Erzgebirgskreis",2008
0.75115,"14521","Erzgebirgskreis",2009
0.699,"14521","Erzgebirgskreis",2010
0.65803,"14521","Erzgebirgskreis",2011
0.65435,"14521","Erzgebirgskreis",2012
0.70388,"14521","Erzgebirgskreis",2013
0.72905,"14521","Erzgebirgskreis",2014
0.73183,"14521","Erzgebirgskreis",2015
0.72663,"14521","Erzgebirgskreis",2016
0.693,"14521","Erzgebirgskreis",2017
0.70483,"14521","Erzgebirgskreis",2018
0.6888,"14521","Erzgebirgskreis",2019
0.75444,"14522","Mittelsachsen",1998
0.76175,"14522","Mittelsachsen",1999
0.68824,"14522","Mittelsachsen",2000
0.71965,"14522","Mittelsachsen",2001
0.71072,"14522","Mittelsachsen",2002
0.69106,"14522","Mittelsachsen",2003
0.6478,"14522","Mittelsachsen",2004
0.67626,"14522","Mittelsachsen",2005
0.59657,"14522","Mittelsachsen",2006
0.5848,"14522","Mittelsachsen",2007
0.5724,"14522","Mittelsachsen",2008
0.58457,"14522","Mittelsachsen",2009
0.59246,"14522","Mittelsachsen",2010
0.49395,"14522","Mittelsachsen",2011
0.52574,"14522","Mittelsachsen",2012
0.59546,"14522","Mittelsachsen",2013
0.66073,"14522","Mittelsachsen",2014
0.64074,"14522","Mittelsachsen",2015
0.65761,"14522","Mittelsachsen",2016
0.70292,"14522","Mittelsachsen",2017
0.65988,"14522","Mittelsachsen",2018
0.67529,"14522","Mittelsachsen",2019
0.57863,"14523","Vogtlandkreis",1998
0.77011,"14523","Vogtlandkreis",1999
0.55735,"14523","Vogtlandkreis",2000
0.62418,"14523","Vogtlandkreis",2001
0.64013,"14523","Vogtlandkreis",2002
0.6711,"14523","Vogtlandkreis",2003
0.57672,"14523","Vogtlandkreis",2004
0.62248,"14523","Vogtlandkreis",2005
0.62982,"14523","Vogtlandkreis",2006
0.58848,"14523","Vogtlandkreis",2007
0.59147,"14523","Vogtlandkreis",2008
0.68699,"14523","Vogtlandkreis",2009
0.64987,"14523","Vogtlandkreis",2010
0.5856,"14523","Vogtlandkreis",2011
0.54435,"14523","Vogtlandkreis",2012
0.68244,"14523","Vogtlandkreis",2013
0.64987,"14523","Vogtlandkreis",2014
0.68184,"14523","Vogtlandkreis",2015
0.74136,"14523","Vogtlandkreis",2016
0.70584,"14523","Vogtlandkreis",2017
0.75214,"14523","Vogtlandkreis",2018
0.75073,"14523","Vogtlandkreis",2019
0.70856,"14524","Zwickau",1998
0.83991,"14524","Zwickau",1999
0.72395,"14524","Zwickau",2000
0.74512,"14524","Zwickau",2001
0.75503,"14524","Zwickau",2002
0.71139,"14524","Zwickau",2003
0.65165,"14524","Zwickau",2004
0.69623,"14524","Zwickau",2005
0.66572,"14524","Zwickau",2006
0.65877,"14524","Zwickau",2007
0.58834,"14524","Zwickau",2008
0.64184,"14524","Zwickau",2009
0.63978,"14524","Zwickau",2010
0.54161,"14524","Zwickau",2011
0.52224,"14524","Zwickau",2012
0.49645,"14524","Zwickau",2013
0.53604,"14524","Zwickau",2014
0.53236,"14524","Zwickau",2015
0.51575,"14524","Zwickau",2016
0.54325,"14524","Zwickau",2017
0.51219,"14524","Zwickau",2018
0.62559,"14524","Zwickau",2019
0,"14612","Dresden, Stadt",1998
0,"14612","Dresden, Stadt",1999
0,"14612","Dresden, Stadt",2000
0,"14612","Dresden, Stadt",2001
0,"14612","Dresden, Stadt",2002
0,"14612","Dresden, Stadt",2003
0,"14612","Dresden, Stadt",2004
0,"14612","Dresden, Stadt",2005
0,"14612","Dresden, Stadt",2006
0,"14612","Dresden, Stadt",2007
0,"14612","Dresden, Stadt",2008
0,"14612","Dresden, Stadt",2009
0,"14612","Dresden, Stadt",2010
0,"14612","Dresden, Stadt",2011
0,"14612","Dresden, Stadt",2012
0,"14612","Dresden, Stadt",2013
0,"14612","Dresden, Stadt",2014
0,"14612","Dresden, Stadt",2015
0,"14612","Dresden, Stadt",2016
0,"14612","Dresden, Stadt",2017
0,"14612","Dresden, Stadt",2018
0,"14612","Dresden, Stadt",2019
0.77741,"14625","Bautzen",1998
0.79025,"14625","Bautzen",1999
0.74043,"14625","Bautzen",2000
0.70182,"14625","Bautzen",2001
0.77378,"14625","Bautzen",2002
0.74481,"14625","Bautzen",2003
0.71186,"14625","Bautzen",2004
0.69962,"14625","Bautzen",2005
0.7047,"14625","Bautzen",2006
0.63154,"14625","Bautzen",2007
0.61127,"14625","Bautzen",2008
0.6535,"14625","Bautzen",2009
0.60499,"14625","Bautzen",2010
0.56763,"14625","Bautzen",2011
0.60128,"14625","Bautzen",2012
0.55589,"14625","Bautzen",2013
0.48919,"14625","Bautzen",2014
0.60313,"14625","Bautzen",2015
0.62414,"14625","Bautzen",2016
0.56337,"14625","Bautzen",2017
0.55292,"14625","Bautzen",2018
0.53834,"14625","Bautzen",2019
0.92864,"14626","Görlitz",1998
1,"14626","Görlitz",1999
1,"14626","Görlitz",2000
1,"14626","Görlitz",2001
1,"14626","Görlitz",2002
1,"14626","Görlitz",2003
1,"14626","Görlitz",2004
0.9821,"14626","Görlitz",2005
1,"14626","Görlitz",2006
1,"14626","Görlitz",2007
1,"14626","Görlitz",2008
1,"14626","Görlitz",2009
0.98713,"14626","Görlitz",2010
0.93678,"14626","Görlitz",2011
1,"14626","Görlitz",2012
1,"14626","Görlitz",2013
1,"14626","Görlitz",2014
1,"14626","Görlitz",2015
1,"14626","Görlitz",2016
1,"14626","Görlitz",2017
1,"14626","Görlitz",2018
1,"14626","Görlitz",2019
0.63916,"14627","Meißen",1998
0.56385,"14627","Meißen",1999
0.70798,"14627","Meißen",2000
