"gisd_score","kreis_id","kreis_name","year"
0.888,"01001","Flensburg, Stadt",1998
0.95691,"01001","Flensburg, Stadt",1999
0.98065,"01001","Flensburg, Stadt",2000
1,"01001","Flensburg, Stadt",2001
1,"01001","Flensburg, Stadt",2002
0.94024,"01001","Flensburg, Stadt",2003
1,"01001","Flensburg, Stadt",2004
1,"01001","Flensburg, Stadt",2005
1,"01001","Flensburg, Stadt",2006
1,"01001","Flensburg, Stadt",2007
1,"01001","Flensburg, Stadt",2008
1,"01001","Flensburg, Stadt",2009
1,"01001","Flensburg, Stadt",2010
0.94366,"01001","Flensburg, Stadt",2011
0.91029,"01001","Flensburg, Stadt",2012
0.92524,"01001","Flensburg, Stadt",2013
0.96667,"01001","Flensburg, Stadt",2014
0.96083,"01001","Flensburg, Stadt",2015
0.91754,"01001","Flensburg, Stadt",2016
0.9499,"01001","Flensburg, Stadt",2017
0.86169,"01001","Flensburg, Stadt",2018
0.88091,"01001","Flensburg, Stadt",2019
0.63982,"01002","Kiel, Stadt",1998
0.64322,"01002","Kiel, Stadt",1999
0.72615,"01002","Kiel, Stadt",2000
0.71297,"01002","Kiel, Stadt",2001
0.62391,"01002","Kiel, Stadt",2002
0.64919,"01002","Kiel, Stadt",2003
0.66183,"01002","Kiel, Stadt",2004
0.65303,"01002","Kiel, Stadt",2005
0.69804,"01002","Kiel, Stadt",2006
0.71531,"01002","Kiel, Stadt",2007
0.67533,"01002","Kiel, Stadt",2008
0.61255,"01002","Kiel, Stadt",2009
0.62935,"01002","Kiel, Stadt",2010
0.63077,"01002","Kiel, Stadt",2011
0.61355,"01002","Kiel, Stadt",2012
0.60105,"01002","Kiel, Stadt",2013
0.62871,"01002","Kiel, Stadt",2014
0.55277,"01002","Kiel, Stadt",2015
0.54923,"01002","Kiel, Stadt",2016
0.54567,"01002","Kiel, Stadt",2017
0.51955,"01002","Kiel, Stadt",2018
0.49671,"01002","Kiel, Stadt",2019
0.77813,"01003","Lübeck, Stadt",1998
0.82949,"01003","Lübeck, Stadt",1999
0.97595,"01003","Lübeck, Stadt",2000
0.96903,"01003","Lübeck, Stadt",2001
0.89119,"01003","Lübeck, Stadt",2002
0.86474,"01003","Lübeck, Stadt",2003
0.81457,"01003","Lübeck, Stadt",2004
0.85215,"01003","Lübeck, Stadt",2005
0.81868,"01003","Lübeck, Stadt",2006
0.81941,"01003","Lübeck, Stadt",2007
0.81339,"01003","Lübeck, Stadt",2008
0.76567,"01003","Lübeck, Stadt",2009
0.78023,"01003","Lübeck, Stadt",2010
0.84561,"01003","Lübeck, Stadt",2011
0.87873,"01003","Lübeck, Stadt",2012
0.78345,"01003","Lübeck, Stadt",2013
0.89682,"01003","Lübeck, Stadt",2014
0.7632,"01003","Lübeck, Stadt",2015
