"gisd_score","kreis_id","kreis_name","year"
0.6522,"16051","Erfurt, Stadt",1998
0.64255,"16051","Erfurt, Stadt",1999
0.6196,"16051","Erfurt, Stadt",2000
0.59439,"16051","Erfurt, Stadt",2001
0.57511,"16051","Erfurt, Stadt",2002
0.55495,"16051","Erfurt, Stadt",2003
0.62547,"16051","Erfurt, Stadt",2004
0.64684,"16051","Erfurt, Stadt",2005
0.62036,"16051","Erfurt, Stadt",2006
0.68258,"16051","Erfurt, Stadt",2007
0.6884,"16051","Erfurt, Stadt",2008
0.66789,"16051","Erfurt, Stadt",2009
0.68584,"16051","Erfurt, Stadt",2010
0.65644,"16051","Erfurt, Stadt",2011
0.62214,"16051","Erfurt, Stadt",2012
0.58819,"16051","Erfurt, Stadt",2013
0.58563,"16051","Erfurt, Stadt",2014
0.63995,"16051","Erfurt, Stadt",2015
0.56321,"16051","Erfurt, Stadt",2016
0.68614,"16051","Erfurt, Stadt",2017
0.66917,"16051","Erfurt, Stadt",2018
0.65055,"16051","Erfurt, Stadt",2019
0.79327,"16052","Gera, Stadt",1998
0.7694,"16052","Gera, Stadt",1999
0.71697,"16052","Gera, Stadt",2000
0.74634,"16052","Gera, Stadt",2001
0.67241,"16052","Gera, Stadt",2002
0.69429,"16052","Gera, Stadt",2003
0.72379,"16052","Gera, Stadt",2004
0.77373,"16052","Gera, Stadt",2005
0.77712,"16052","Gera, Stadt",2006
0.84954,"16052","Gera, Stadt",2007
0.86147,"16052","Gera, Stadt",2008
1,"16052","Gera, Stadt",2009
0.91106,"16052","Gera, Stadt",2010
0.91777,"16052","Gera, Stadt",2011
0.85182,"16052","Gera, Stadt",2012
0.80814,"16052","Gera, Stadt",2013
0.82165,"16052","Gera, Stadt",2014
0.85104,"16052","Gera, Stadt",2015
0.8154,"16052","Gera, Stadt",2016
0.85822,"16052","Gera, Stadt",2017
0.96384,"16052","Gera, Stadt",2018
1,"16052","Gera, Stadt",2019
0,"16053","Jena, Stadt",1998
0,"16053","Jena, Stadt",1999
0,"16053","Jena, Stadt",2000
0,"16053","Jena, Stadt",2001
0,"16053","Jena, Stadt",2002
0,"16053","Jena, Stadt",2003
0,"16053","Jena, Stadt",2004
0,"16053","Jena, Stadt",2005
0,"16053","Jena, Stadt",2006
0,"16053","Jena, Stadt",2007
0,"16053","Jena, Stadt",2008
0,"16053","Jena, Stadt",2009
0,"16053","Jena, Stadt",2010
0,"16053","Jena, Stadt",2011
0,"16053","Jena, Stadt",2012
0,"16053","Jena, Stadt",2013
0,"16053","Jena, Stadt",2014
0,"16053","Jena, Stadt",2015
0,"16053","Jena, Stadt",2016
0,"16053","Jena, Stadt",2017
0,"16053","Jena, Stadt",2018
0,"16053","Jena, Stadt",2019
0.66816,"16054","Suhl, Stadt",1998
0.61666,"16054","Suhl, Stadt",1999
0.73133,"16054","Suhl, Stadt",2000
0.5953,"16054","Suhl, Stadt",2001
0.55208,"16054","Suhl, Stadt",2002
0.47853,"16054","Suhl, Stadt",2003
0.51923,"16054","Suhl, Stadt",2004
0.56283,"16054","Suhl, Stadt",2005
0.7052,"16054","Suhl, Stadt",2006
0.66638,"16054","Suhl, Stadt",2007
0.63961,"16054","Suhl, Stadt",2008
0.68757,"16054","Suhl, Stadt",2009
