"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.20272,13003,"Rostock, Stadt",1998
"2",0,13003,"Rostock, Stadt",1999
"3",0,13003,"Rostock, Stadt",2000
"4",0,13003,"Rostock, Stadt",2001
"5",0.081,13003,"Rostock, Stadt",2002
"6",0,13003,"Rostock, Stadt",2003
"7",0.03135,13003,"Rostock, Stadt",2004
"8",0.00261,13003,"Rostock, Stadt",2005
"9",0,13003,"Rostock, Stadt",2006
"10",0,13003,"Rostock, Stadt",2007
"11",0,13003,"Rostock, Stadt",2008
"12",0,13003,"Rostock, Stadt",2009
"13",0,13003,"Rostock, Stadt",2010
"14",0,13003,"Rostock, Stadt",2011
"15",0,13003,"Rostock, Stadt",2012
"16",0.10028,13003,"Rostock, Stadt",2013
"17",0,13003,"Rostock, Stadt",2014
"18",0.00205,13003,"Rostock, Stadt",2015
"19",0.00507,13003,"Rostock, Stadt",2016
"20",0,13003,"Rostock, Stadt",2017
"21",0.02007,13003,"Rostock, Stadt",2018
"22",0,13003,"Rostock, Stadt",2019
"23",0,13004,"Schwerin, Stadt",1998
"24",0.18658,13004,"Schwerin, Stadt",1999
"25",0.13081,13004,"Schwerin, Stadt",2000
"26",0.12793,13004,"Schwerin, Stadt",2001
"27",0,13004,"Schwerin, Stadt",2002
"28",0.05146,13004,"Schwerin, Stadt",2003
"29",0,13004,"Schwerin, Stadt",2004
"30",0,13004,"Schwerin, Stadt",2005
"31",0.28657,13004,"Schwerin, Stadt",2006
"32",0.5238,13004,"Schwerin, Stadt",2007
"33",0.1773,13004,"Schwerin, Stadt",2008
"34",0.12589,13004,"Schwerin, Stadt",2009
"35",0.79553,13004,"Schwerin, Stadt",2010
"36",0.21806,13004,"Schwerin, Stadt",2011
"37",0.29739,13004,"Schwerin, Stadt",2012
"38",0.30765,13004,"Schwerin, Stadt",2013
"39",0.29718,13004,"Schwerin, Stadt",2014
"40",0.3146,13004,"Schwerin, Stadt",2015
"41",0.37861,13004,"Schwerin, Stadt",2016
"42",0.36052,13004,"Schwerin, Stadt",2017
"43",0.57579,13004,"Schwerin, Stadt",2018
"44",0.55613,13004,"Schwerin, Stadt",2019
"45",0.70205,13071,"Mecklenburgische Seenplatte",1998
"46",0.65114,13071,"Mecklenburgische Seenplatte",1999
"47",0.7021,13071,"Mecklenburgische Seenplatte",2000
"48",0.84635,13071,"Mecklenburgische Seenplatte",2001
"49",0.83291,13071,"Mecklenburgische Seenplatte",2002
"50",0.73507,13071,"Mecklenburgische Seenplatte",2003
"51",0.75849,13071,"Mecklenburgische Seenplatte",2004
"52",0.69396,13071,"Mecklenburgische Seenplatte",2005
"53",0.69384,13071,"Mecklenburgische Seenplatte",2006
"54",0.88453,13071,"Mecklenburgische Seenplatte",2007
"55",0.71273,13071,"Mecklenburgische Seenplatte",2008
"56",0.8575,13071,"Mecklenburgische Seenplatte",2009
"57",0.81117,13071,"Mecklenburgische Seenplatte",2010
"58",0.9359,13071,"Mecklenburgische Seenplatte",2011
"59",0.98934,13071,"Mecklenburgische Seenplatte",2012
"60",0.63221,13071,"Mecklenburgische Seenplatte",2013
"61",0.76249,13071,"Mecklenburgische Seenplatte",2014
"62",0.76273,13071,"Mecklenburgische Seenplatte",2015
"63",0.88522,13071,"Mecklenburgische Seenplatte",2016
"64",0.88628,13071,"Mecklenburgische Seenplatte",2017
"65",0.84963,13071,"Mecklenburgische Seenplatte",2018
"66",0.75099,13071,"Mecklenburgische Seenplatte",2019
"67",0.56602,13072,"Landkreis Rostock",1998
"68",0.61412,13072,"Landkreis Rostock",1999
"69",0.57365,13072,"Landkreis Rostock",2000
"70",0.48289,13072,"Landkreis Rostock",2001
"71",0.65956,13072,"Landkreis Rostock",2002
"72",0.63106,13072,"Landkreis Rostock",2003
"73",0.65427,13072,"Landkreis Rostock",2004
"74",0.4792,13072,"Landkreis Rostock",2005
"75",0.39087,13072,"Landkreis Rostock",2006
"76",0.35655,13072,"Landkreis Rostock",2007
"77",0.25788,13072,"Landkreis Rostock",2008
"78",0.42469,13072,"Landkreis Rostock",2009
"79",0.35214,13072,"Landkreis Rostock",2010
"80",0.04777,13072,"Landkreis Rostock",2011
"81",0.3982,13072,"Landkreis Rostock",2012
"82",0,13072,"Landkreis Rostock",2013
