"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.53366,14511,"Chemnitz, Stadt",1998
"2",0.56486,14511,"Chemnitz, Stadt",1999
"3",0.46954,14511,"Chemnitz, Stadt",2000
"4",0.45324,14511,"Chemnitz, Stadt",2001
"5",0.46207,14511,"Chemnitz, Stadt",2002
"6",0.44872,14511,"Chemnitz, Stadt",2003
"7",0.4516,14511,"Chemnitz, Stadt",2004
"8",0.48933,14511,"Chemnitz, Stadt",2005
"9",0.4055,14511,"Chemnitz, Stadt",2006
"10",0.4259,14511,"Chemnitz, Stadt",2007
"11",0.4601,14511,"Chemnitz, Stadt",2008
"12",0.47696,14511,"Chemnitz, Stadt",2009
"13",0.5025,14511,"Chemnitz, Stadt",2010
"14",0.50312,14511,"Chemnitz, Stadt",2011
"15",0.52902,14511,"Chemnitz, Stadt",2012
"16",0.58086,14511,"Chemnitz, Stadt",2013
"17",0.59796,14511,"Chemnitz, Stadt",2014
"18",0.60529,14511,"Chemnitz, Stadt",2015
"19",0.60719,14511,"Chemnitz, Stadt",2016
"20",0.75011,14511,"Chemnitz, Stadt",2017
"21",0.66602,14511,"Chemnitz, Stadt",2018
"22",0.68867,14511,"Chemnitz, Stadt",2019
"23",0.83519,14521,"Erzgebirgskreis",1998
"24",0.82739,14521,"Erzgebirgskreis",1999
"25",0.85466,14521,"Erzgebirgskreis",2000
"26",0.79101,14521,"Erzgebirgskreis",2001
"27",0.83674,14521,"Erzgebirgskreis",2002
"28",0.84312,14521,"Erzgebirgskreis",2003
"29",0.77776,14521,"Erzgebirgskreis",2004
"30",0.78084,14521,"Erzgebirgskreis",2005
"31",0.80427,14521,"Erzgebirgskreis",2006
"32",0.72541,14521,"Erzgebirgskreis",2007
"33",0.70325,14521,"Erzgebirgskreis",2008
"34",0.75122,14521,"Erzgebirgskreis",2009
"35",0.69878,14521,"Erzgebirgskreis",2010
"36",0.6578,14521,"Erzgebirgskreis",2011
"37",0.65443,14521,"Erzgebirgskreis",2012
"38",0.70396,14521,"Erzgebirgskreis",2013
"39",0.72913,14521,"Erzgebirgskreis",2014
"40",0.7319,14521,"Erzgebirgskreis",2015
"41",0.7267,14521,"Erzgebirgskreis",2016
"42",0.69306,14521,"Erzgebirgskreis",2017
"43",0.70489,14521,"Erzgebirgskreis",2018
"44",0.68886,14521,"Erzgebirgskreis",2019
"45",0.75446,14522,"Mittelsachsen",1998
"46",0.76175,14522,"Mittelsachsen",1999
"47",0.68823,14522,"Mittelsachsen",2000
"48",0.71962,14522,"Mittelsachsen",2001
"49",0.71068,14522,"Mittelsachsen",2002
"50",0.69103,14522,"Mittelsachsen",2003
"51",0.64776,14522,"Mittelsachsen",2004
"52",0.67608,14522,"Mittelsachsen",2005
"53",0.59653,14522,"Mittelsachsen",2006
"54",0.58476,14522,"Mittelsachsen",2007
"55",0.57236,14522,"Mittelsachsen",2008
"56",0.58452,14522,"Mittelsachsen",2009
"57",0.59218,14522,"Mittelsachsen",2010
"58",0.49369,14522,"Mittelsachsen",2011
"59",0.52573,14522,"Mittelsachsen",2012
"60",0.59545,14522,"Mittelsachsen",2013
"61",0.66071,14522,"Mittelsachsen",2014
"62",0.64071,14522,"Mittelsachsen",2015
"63",0.6576,14522,"Mittelsachsen",2016
"64",0.7029,14522,"Mittelsachsen",2017
"65",0.65988,14522,"Mittelsachsen",2018
"66",0.67528,14522,"Mittelsachsen",2019
"67",0.57869,14523,"Vogtlandkreis",1998
"68",0.77016,14523,"Vogtlandkreis",1999
"69",0.55739,14523,"Vogtlandkreis",2000
"70",0.62418,14523,"Vogtlandkreis",2001
"71",0.64012,14523,"Vogtlandkreis",2002
"72",0.67109,14523,"Vogtlandkreis",2003
"73",0.57671,14523,"Vogtlandkreis",2004
"74",0.62234,14523,"Vogtlandkreis",2005
"75",0.62979,14523,"Vogtlandkreis",2006
"76",0.58845,14523,"Vogtlandkreis",2007
"77",0.59142,14523,"Vogtlandkreis",2008
"78",0.68693,14523,"Vogtlandkreis",2009
"79",0.64954,14523,"Vogtlandkreis",2010
"80",0.58527,14523,"Vogtlandkreis",2011
"81",0.54431,14523,"Vogtlandkreis",2012
"82",0.6824,14523,"Vogtlandkreis",2013
"83",0.64981,14523,"Vogtlandkreis",2014
"84",0.68173,14523,"Vogtlandkreis",2015
"85",0.74128,14523,"Vogtlandkreis",2016
"86",0.70576,14523,"Vogtlandkreis",2017
"87",0.75206,14523,"Vogtlandkreis",2018
"88",0.75068,14523,"Vogtlandkreis",2019
"89",0.70855,14524,"Zwickau",1998
"90",0.83988,14524,"Zwickau",1999
"91",0.72393,14524,"Zwickau",2000
"92",0.74513,14524,"Zwickau",2001
"93",0.75501,14524,"Zwickau",2002
"94",0.71138,14524,"Zwickau",2003
"95",0.65167,14524,"Zwickau",2004
"96",0.69611,14524,"Zwickau",2005
"97",0.66577,14524,"Zwickau",2006
"98",0.65881,14524,"Zwickau",2007
"99",0.58838,14524,"Zwickau",2008
"100",0.64189,14524,"Zwickau",2009
"101",0.63958,14524,"Zwickau",2010
"102",0.54141,14524,"Zwickau",2011
"103",0.52231,14524,"Zwickau",2012
"104",0.49652,14524,"Zwickau",2013
"105",0.5361,14524,"Zwickau",2014
"106",0.53241,14524,"Zwickau",2015
"107",0.5158,14524,"Zwickau",2016
"108",0.54331,14524,"Zwickau",2017
"109",0.51225,14524,"Zwickau",2018
"110",0.62565,14524,"Zwickau",2019
"111",0,14612,"Dresden, Stadt",1998
"112",0,14612,"Dresden, Stadt",1999
"113",0,14612,"Dresden, Stadt",2000
"114",0,14612,"Dresden, Stadt",2001
"115",0,14612,"Dresden, Stadt",2002
"116",0,14612,"Dresden, Stadt",2003
"117",0,14612,"Dresden, Stadt",2004
"118",0,14612,"Dresden, Stadt",2005
"119",0,14612,"Dresden, Stadt",2006
"120",0,14612,"Dresden, Stadt",2007
"121",0,14612,"Dresden, Stadt",2008
"122",0,14612,"Dresden, Stadt",2009
"123",0,14612,"Dresden, Stadt",2010
"124",0,14612,"Dresden, Stadt",2011
"125",0,14612,"Dresden, Stadt",2012
"126",0,14612,"Dresden, Stadt",2013
"127",0,14612,"Dresden, Stadt",2014
"128",0,14612,"Dresden, Stadt",2015
"129",0,14612,"Dresden, Stadt",2016
"130",0,14612,"Dresden, Stadt",2017
"131",0,14612,"Dresden, Stadt",2018
"132",0,14612,"Dresden, Stadt",2019
"133",0.77735,14625,"Bautzen",1998
"134",0.79015,14625,"Bautzen",1999
"135",0.74038,14625,"Bautzen",2000
"136",0.70208,14625,"Bautzen",2001
"137",0.77399,14625,"Bautzen",2002
"138",0.7451,14625,"Bautzen",2003
"139",0.71213,14625,"Bautzen",2004
"140",0.69974,14625,"Bautzen",2005
"141",0.70516,14625,"Bautzen",2006
"142",0.63195,14625,"Bautzen",2007
"143",0.61162,14625,"Bautzen",2008
"144",0.65384,14625,"Bautzen",2009
"145",0.60513,14625,"Bautzen",2010
"146",0.56782,14625,"Bautzen",2011
"147",0.60172,14625,"Bautzen",2012
"148",0.55633,14625,"Bautzen",2013
"149",0.48966,14625,"Bautzen",2014
"150",0.60356,14625,"Bautzen",2015
"151",0.62447,14625,"Bautzen",2016
"152",0.56375,14625,"Bautzen",2017
"153",0.55329,14625,"Bautzen",2018
"154",0.53869,14625,"Bautzen",2019
"155",0.92866,14626,"Görlitz",1998
"156",1,14626,"Görlitz",1999
"157",1,14626,"Görlitz",2000
"158",1,14626,"Görlitz",2001
"159",1,14626,"Görlitz",2002
"160",1,14626,"Görlitz",2003
"161",1,14626,"Görlitz",2004
"162",0.98189,14626,"Görlitz",2005
"163",1,14626,"Görlitz",2006
"164",1,14626,"Görlitz",2007
"165",1,14626,"Görlitz",2008
"166",1,14626,"Görlitz",2009
"167",0.98673,14626,"Görlitz",2010
"168",0.93633,14626,"Görlitz",2011
"169",1,14626,"Görlitz",2012
"170",1,14626,"Görlitz",2013
"171",1,14626,"Görlitz",2014
"172",1,14626,"Görlitz",2015
"173",1,14626,"Görlitz",2016
"174",1,14626,"Görlitz",2017
"175",1,14626,"Görlitz",2018
"176",1,14626,"Görlitz",2019
"177",0.63917,14627,"Meißen",1998
"178",0.56384,14627,"Meißen",1999
"179",0.70799,14627,"Meißen",2000
"180",0.60545,14627,"Meißen",2001
"181",0.62249,14627,"Meißen",2002
"182",0.51556,14627,"Meißen",2003
"183",0.52042,14627,"Meißen",2004
"184",0.54243,14627,"Meißen",2005
"185",0.49385,14627,"Meißen",2006
"186",0.44493,14627,"Meißen",2007
"187",0.4085,14627,"Meißen",2008
"188",0.44742,14627,"Meißen",2009
"189",0.47246,14627,"Meißen",2010
"190",0.37384,14627,"Meißen",2011
"191",0.42015,14627,"Meißen",2012
"192",0.41504,14627,"Meißen",2013
"193",0.45287,14627,"Meißen",2014
"194",0.36052,14627,"Meißen",2015
"195",0.4748,14627,"Meißen",2016
"196",0.4611,14627,"Meißen",2017
"197",0.40925,14627,"Meißen",2018
"198",0.41694,14627,"Meißen",2019
"199",0.5541,14628,"Sächsische Schweiz-Osterzgebirge",1998
"200",0.59497,14628,"Sächsische Schweiz-Osterzgebirge",1999
"201",0.60574,14628,"Sächsische Schweiz-Osterzgebirge",2000
"202",0.61146,14628,"Sächsische Schweiz-Osterzgebirge",2001
"203",0.61949,14628,"Sächsische Schweiz-Osterzgebirge",2002
"204",0.57904,14628,"Sächsische Schweiz-Osterzgebirge",2003
"205",0.52186,14628,"Sächsische Schweiz-Osterzgebirge",2004
"206",0.52439,14628,"Sächsische Schweiz-Osterzgebirge",2005
"207",0.58129,14628,"Sächsische Schweiz-Osterzgebirge",2006
"208",0.51048,14628,"Sächsische Schweiz-Osterzgebirge",2007
"209",0.53563,14628,"Sächsische Schweiz-Osterzgebirge",2008
"210",0.53827,14628,"Sächsische Schweiz-Osterzgebirge",2009
"211",0.61611,14628,"Sächsische Schweiz-Osterzgebirge",2010
"212",0.56288,14628,"Sächsische Schweiz-Osterzgebirge",2011
"213",0.51171,14628,"Sächsische Schweiz-Osterzgebirge",2012
"214",0.56213,14628,"Sächsische Schweiz-Osterzgebirge",2013
"215",0.47506,14628,"Sächsische Schweiz-Osterzgebirge",2014
"216",0.62114,14628,"Sächsische Schweiz-Osterzgebirge",2015
"217",0.58077,14628,"Sächsische Schweiz-Osterzgebirge",2016
"218",0.66568,14628,"Sächsische Schweiz-Osterzgebirge",2017
"219",0.55841,14628,"Sächsische Schweiz-Osterzgebirge",2018
"220",0.62111,14628,"Sächsische Schweiz-Osterzgebirge",2019
"221",0.70122,14713,"Leipzig, Stadt",1998
"222",0.67167,14713,"Leipzig, Stadt",1999
"223",0.62942,14713,"Leipzig, Stadt",2000
"224",0.6732,14713,"Leipzig, Stadt",2001
