"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.6522,16051,"Erfurt, Stadt",1998
"2",0.64255,16051,"Erfurt, Stadt",1999
"3",0.61959,16051,"Erfurt, Stadt",2000
"4",0.59438,16051,"Erfurt, Stadt",2001
"5",0.5751,16051,"Erfurt, Stadt",2002
"6",0.55493,16051,"Erfurt, Stadt",2003
"7",0.62545,16051,"Erfurt, Stadt",2004
"8",0.64683,16051,"Erfurt, Stadt",2005
"9",0.62035,16051,"Erfurt, Stadt",2006
"10",0.68255,16051,"Erfurt, Stadt",2007
"11",0.68839,16051,"Erfurt, Stadt",2008
"12",0.66789,16051,"Erfurt, Stadt",2009
"13",0.68578,16051,"Erfurt, Stadt",2010
"14",0.65638,16051,"Erfurt, Stadt",2011
"15",0.62212,16051,"Erfurt, Stadt",2012
"16",0.58817,16051,"Erfurt, Stadt",2013
"17",0.58562,16051,"Erfurt, Stadt",2014
"18",0.63993,16051,"Erfurt, Stadt",2015
"19",0.5632,16051,"Erfurt, Stadt",2016
"20",0.68614,16051,"Erfurt, Stadt",2017
"21",0.66916,16051,"Erfurt, Stadt",2018
"22",0.65055,16051,"Erfurt, Stadt",2019
"23",0.79326,16052,"Gera, Stadt",1998
"24",0.7694,16052,"Gera, Stadt",1999
"25",0.71696,16052,"Gera, Stadt",2000
"26",0.74632,16052,"Gera, Stadt",2001
"27",0.67239,16052,"Gera, Stadt",2002
"28",0.69427,16052,"Gera, Stadt",2003
"29",0.72376,16052,"Gera, Stadt",2004
"30",0.77372,16052,"Gera, Stadt",2005
"31",0.77711,16052,"Gera, Stadt",2006
"32",0.8495,16052,"Gera, Stadt",2007
"33",0.86146,16052,"Gera, Stadt",2008
"34",1,16052,"Gera, Stadt",2009
"35",0.91099,16052,"Gera, Stadt",2010
"36",0.91768,16052,"Gera, Stadt",2011
"37",0.85179,16052,"Gera, Stadt",2012
"38",0.80812,16052,"Gera, Stadt",2013
"39",0.82163,16052,"Gera, Stadt",2014
"40",0.85102,16052,"Gera, Stadt",2015
"41",0.81538,16052,"Gera, Stadt",2016
"42",0.85822,16052,"Gera, Stadt",2017
"43",0.96383,16052,"Gera, Stadt",2018
"44",1,16052,"Gera, Stadt",2019
"45",0,16053,"Jena, Stadt",1998
"46",0,16053,"Jena, Stadt",1999
"47",0,16053,"Jena, Stadt",2000
"48",0,16053,"Jena, Stadt",2001
"49",0,16053,"Jena, Stadt",2002
"50",0,16053,"Jena, Stadt",2003
"51",0,16053,"Jena, Stadt",2004
"52",0,16053,"Jena, Stadt",2005
"53",0,16053,"Jena, Stadt",2006
"54",0,16053,"Jena, Stadt",2007
"55",0,16053,"Jena, Stadt",2008
