"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"1",19,1001000,0.809183347584658,5,10,3,"Flensburg, Stadt",2016,1001,0,80.9633333333333,76.2866666666667
"2",41,1002000,0.642236805505476,4,8,2,"Kiel, Landeshauptstadt",2016,1002,0,82.4666666666667,77.17
"3",63,1003000,0.707737954196586,5,9,3,"Lübeck, Hansestadt",2016,1003,0,82.4733333333333,76.75
"4",85,1004000,0.846559592858541,5,10,3,"Neumünster, Stadt",2016,1004,0,81.8066666666667,76.3833333333333
"5",107,1051001,0.744836041085024,5,10,3,"Albersdorf",2016,1051,0,82.2766666666667,76.9066666666667
"6",2659,1053001,0.570667683146692,3,5,2,"Albsfelde",2016,1053,0,83.2,78.5366666666667
"7",5563,1054001,0.636179134000227,4,8,2,"Achtrup",2016,1054,0,82.9666666666667,77.8566666666667
"8",8489,1055001,0.682641886531983,5,9,3,"Ahrensbök",2016,1055,0,82.9233333333333,78.2433333333333
"9",9281,1056001,0.466368590767202,2,3,2,"Appen",2016,1056,0,83.2,78.98
"10",10359,1057001,0.642020460094574,4,8,2,"Ascheberg (Holstein)",2016,1057,0,83.96,79.5366666666667
"11",12229,1058001,0.545118320335438,3,5,2,"Achterwehr",2016,1058,0,83.29,78.9533333333333
"12",15859,1059001,0.71026198399044,5,9,3,"Alt Bennebek",2016,1059,0,82.2866666666667,78.15
"13",18609,1060002,0.525399981456108,2,4,2,"Alveslohe",2016,1060,0,83.27,78.7733333333333
"14",20699,1061001,0.657195545344968,4,8,2,"Aasbüttel",2016,1061,0,82.59,77.1433333333333
"15",23141,1062001,0.397107152791371,1,2,1,"Ahrensburg, Stadt",2016,1062,0,83.64,79.78
"16",24351,2e+06,0.322509194679963,1,1,1,"Hamburg, Freie und Hansestadt",2016,2000,0,83.1033333333333,78.47
"17",24373,3101000,0.323044907126006,1,1,1,"Braunschweig, Stadt",2016,3101,0,82.9366666666667,77.7966666666667
"18",24395,3102000,0.647913297001041,4,8,2,"Salzgitter, Stadt",2016,3102,0,81.95,76.5966666666667
"19",24417,3103000,0.151349068169409,1,1,1,"Wolfsburg, Stadt",2016,3103,0,83.1133333333333,78.4233333333333
"20",24439,3151001,0.43233024611866,1,2,1,"Adenbüttel",2016,3151,0,83.6233333333333,78.63
"21",25341,3153002,0.666508700176167,4,8,2,"Bad Harzburg, Stadt",2016,3153,0,82.4333333333333,77.4233333333333
"22",25561,3154001,0.475218148289326,2,3,2,"Bahrdorf",2016,3154,0,81.9666666666667,76.4266666666667
"23",26067,3155001,0.599575550908136,3,6,2,"Bad Gandersheim, Stadt",2016,3155,0,82.5366666666667,78.04
"24",26309,3157001,0.54133742672587,3,5,2,"Edemissen",2016,3157,0,82.46,77.88
"25",26463,3158002,0.498841006727312,2,4,2,"Baddeckenstedt",2016,3158,0,82.66,78.1566666666667
"26",27167,3159001,0.451121390379841,2,3,2,"Adelebsen, Flecken",2016,3159,0,82.92,78.2566666666667
"27",28025,3241001,0.508092348583968,2,4,2,"Hannover, Landeshauptstadt",2016,3241,0,83.21,78.3333333333333
"28",28487,3251001,0.544129312742745,3,5,2,"Affinghausen",2016,3251,0,83.1233333333333,78.1666666666667
"29",29477,3252001,0.538174662861735,3,5,2,"Aerzen, Flecken",2016,3252,0,82.2966666666667,77.5266666666667
"30",29653,3254002,0.587233560324312,3,6,2,"Alfeld (Leine), Stadt",2016,3254,0,82.5466666666667,77.2866666666667
"31",30093,3255001,0.679005223196349,5,9,3,"Arholzen",2016,3255,0,82.7066666666667,77.2666666666667
"32",30797,3256001,0.599297392522691,3,6,2,"Balge",2016,3256,0,82.6766666666667,77.0266666666667
"33",31589,3257001,0.592405245861106,3,6,2,"Ahnsen",2016,3257,0,82.65,77.36
"34",32425,3351001,0.589922424716948,3,6,2,"Adelheidsdorf",2016,3351,0,82.7033333333333,77.5666666666667
