"","Kreiskennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name des Kreises","Jahr"
"1",1001,0.843096,5,9,3,"Flensburg, Stadt",1998
"2",1001,0.83208,5,9,3,"Flensburg, Stadt",1999
"3",1001,0.775448,4,8,2,"Flensburg, Stadt",2000
"4",1001,0.753674,4,8,2,"Flensburg, Stadt",2001
"5",1001,0.760036,4,8,2,"Flensburg, Stadt",2002
"6",1001,0.754896,4,8,2,"Flensburg, Stadt",2003
"7",1001,0.77559,5,9,3,"Flensburg, Stadt",2004
"8",1001,0.814394,5,9,3,"Flensburg, Stadt",2005
"9",1001,0.803067,5,9,3,"Flensburg, Stadt",2006
"10",1001,0.781651,5,9,3,"Flensburg, Stadt",2007
"11",1001,0.749606,5,9,3,"Flensburg, Stadt",2008
"12",1001,0.73999,5,9,3,"Flensburg, Stadt",2009
"13",1001,0.738137,5,9,3,"Flensburg, Stadt",2010
"14",1001,0.698718,5,9,3,"Flensburg, Stadt",2011
"15",1001,0.687566,5,9,3,"Flensburg, Stadt",2012
"16",1001,0.698698,5,10,3,"Flensburg, Stadt",2013
"17",1001,0.694673,5,10,3,"Flensburg, Stadt",2014
"18",1001,0.677141,5,10,3,"Flensburg, Stadt",2015
"19",1001,0.655264,5,10,3,"Flensburg, Stadt",2016
"20",1001,0.642828,5,10,3,"Flensburg, Stadt",2017
"21",1001,0.615286,5,10,3,"Flensburg, Stadt",2018
"22",1001,0.606873,5,10,3,"Flensburg, Stadt",2019
"23",1002,0.756392,4,7,2,"Kiel, Stadt",1998
"24",1002,0.739087,4,7,2,"Kiel, Stadt",1999
"25",1002,0.700299,4,7,2,"Kiel, Stadt",2000
"26",1002,0.67495,3,6,2,"Kiel, Stadt",2001
"27",1002,0.668728,3,6,2,"Kiel, Stadt",2002
"28",1002,0.674031,3,6,2,"Kiel, Stadt",2003
"29",1002,0.684173,4,7,2,"Kiel, Stadt",2004
"30",1002,0.708485,4,7,2,"Kiel, Stadt",2005
"31",1002,0.70692,4,7,2,"Kiel, Stadt",2006
"32",1002,0.683344,4,7,2,"Kiel, Stadt",2007
"33",1002,0.652123,4,7,2,"Kiel, Stadt",2008
"34",1002,0.619743,3,6,2,"Kiel, Stadt",2009
"35",1002,0.617916,3,6,2,"Kiel, Stadt",2010
"36",1002,0.594919,3,6,2,"Kiel, Stadt",2011
"37",1002,0.584429,3,6,2,"Kiel, Stadt",2012
"38",1002,0.577419,4,7,2,"Kiel, Stadt",2013
"39",1002,0.575053,4,7,2,"Kiel, Stadt",2014
"40",1002,0.544872,3,6,2,"Kiel, Stadt",2015
"41",1002,0.527976,3,6,2,"Kiel, Stadt",2016
"42",1002,0.503313,3,6,2,"Kiel, Stadt",2017
"43",1002,0.482592,3,6,2,"Kiel, Stadt",2018
"44",1002,0.460132,3,6,2,"Kiel, Stadt",2019
"45",1003,0.817964,4,8,2,"Lübeck, Stadt",1998
"46",1003,0.803356,4,8,2,"Lübeck, Stadt",1999
"47",1003,0.776799,4,8,2,"Lübeck, Stadt",2000
"48",1003,0.763225,4,8,2,"Lübeck, Stadt",2001
"49",1003,0.758006,4,8,2,"Lübeck, Stadt",2002
"50",1003,0.755188,4,8,2,"Lübeck, Stadt",2003
"51",1003,0.749884,4,8,2,"Lübeck, Stadt",2004
"52",1003,0.792364,4,8,2,"Lübeck, Stadt",2005
"53",1003,0.772838,4,8,2,"Lübeck, Stadt",2006
"54",1003,0.750433,5,9,3,"Lübeck, Stadt",2007
"55",1003,0.72334,5,9,3,"Lübeck, Stadt",2008
"56",1003,0.69956,4,8,2,"Lübeck, Stadt",2009
"57",1003,0.695981,5,9,3,"Lübeck, Stadt",2010
"58",1003,0.695037,5,9,3,"Lübeck, Stadt",2011
"59",1003,0.68895,5,9,3,"Lübeck, Stadt",2012
"60",1003,0.66778,5,9,3,"Lübeck, Stadt",2013
"61",1003,0.675129,5,10,3,"Lübeck, Stadt",2014
"62",1003,0.64064,5,9,3,"Lübeck, Stadt",2015
"63",1003,0.606498,5,9,3,"Lübeck, Stadt",2016
"64",1003,0.593843,5,9,3,"Lübeck, Stadt",2017
"65",1003,0.564749,5,9,3,"Lübeck, Stadt",2018
