"","NUTS2","GISD_Score","GISD_5","GISD_10","GISD_k","NUTS2 Name","Jahr"
"1","DE11",0.494555,1,1,1,"Stuttgart",1998
"2","DE11",0.468531,1,1,1,"Stuttgart",1999
"3","DE11",0.438099,1,1,1,"Stuttgart",2000
"4","DE11",0.405958,1,1,1,"Stuttgart",2001
"5","DE11",0.406832,1,1,1,"Stuttgart",2002
"6","DE11",0.398184,1,1,1,"Stuttgart",2003
"7","DE11",0.390258,1,1,1,"Stuttgart",2004
"8","DE11",0.394017,1,1,1,"Stuttgart",2005
"9","DE11",0.369243,1,1,1,"Stuttgart",2006
"10","DE11",0.340693,1,1,1,"Stuttgart",2007
"11","DE11",0.314022,1,1,1,"Stuttgart",2008
"12","DE11",0.33312,1,1,1,"Stuttgart",2009
"13","DE11",0.313786,1,1,1,"Stuttgart",2010
"14","DE11",0.270406,1,1,1,"Stuttgart",2011
"15","DE11",0.259788,1,1,1,"Stuttgart",2012
"16","DE11",0.237636,1,1,1,"Stuttgart",2013
"17","DE11",0.225208,1,1,1,"Stuttgart",2014
"18","DE11",0.202169,1,1,1,"Stuttgart",2015
"19","DE11",0.1795,1,1,1,"Stuttgart",2016
"20","DE11",0.157356,1,1,1,"Stuttgart",2017
"21","DE11",0.1294,1,1,1,"Stuttgart",2018
"22","DE11",0.102434,1,1,1,"Stuttgart",2019
"23","DE12",0.557742,1,2,1,"Karlsruhe",1998
"24","DE12",0.532181,1,2,1,"Karlsruhe",1999
"25","DE12",0.494004,1,2,1,"Karlsruhe",2000
"26","DE12",0.460077,1,2,1,"Karlsruhe",2001
"27","DE12",0.46289,1,2,1,"Karlsruhe",2002
"28","DE12",0.45964,1,2,1,"Karlsruhe",2003
"29","DE12",0.453442,1,2,1,"Karlsruhe",2004
"30","DE12",0.46047,1,2,1,"Karlsruhe",2005
"31","DE12",0.436394,1,2,1,"Karlsruhe",2006
"32","DE12",0.408037,1,2,1,"Karlsruhe",2007
"33","DE12",0.379296,1,2,1,"Karlsruhe",2008
"34","DE12",0.389748,1,2,1,"Karlsruhe",2009
"35","DE12",0.370927,1,2,1,"Karlsruhe",2010
"36","DE12",0.329348,1,2,1,"Karlsruhe",2011
"37","DE12",0.315246,1,2,1,"Karlsruhe",2012
"38","DE12",0.295607,1,2,1,"Karlsruhe",2013
"39","DE12",0.284451,1,2,1,"Karlsruhe",2014
"40","DE12",0.263407,1,2,1,"Karlsruhe",2015
"41","DE12",0.243976,1,2,1,"Karlsruhe",2016
"42","DE12",0.22658,1,2,1,"Karlsruhe",2017
"43","DE12",0.206148,1,2,1,"Karlsruhe",2018
"44","DE12",0.176429,1,2,1,"Karlsruhe",2019
"45","DE13",0.608641,2,3,2,"Freiburg",1998
"46","DE13",0.586481,2,3,2,"Freiburg",1999
"47","DE13",0.554024,2,3,2,"Freiburg",2000
"48","DE13",0.529262,2,3,2,"Freiburg",2001
"49","DE13",0.532796,2,3,2,"Freiburg",2002
"50","DE13",0.527324,2,3,2,"Freiburg",2003
"51","DE13",0.524554,2,3,2,"Freiburg",2004
"52","DE13",0.528853,1,2,1,"Freiburg",2005
"53","DE13",0.50714,2,3,2,"Freiburg",2006
"54","DE13",0.484784,2,3,2,"Freiburg",2007
"55","DE13",0.455023,2,3,2,"Freiburg",2008
"56","DE13",0.469973,2,3,2,"Freiburg",2009
"57","DE13",0.448324,2,3,2,"Freiburg",2010
"58","DE13",0.40618,2,3,2,"Freiburg",2011
"59","DE13",0.395858,2,3,2,"Freiburg",2012
"60","DE13",0.377403,2,3,2,"Freiburg",2013
"61","DE13",0.367407,2,3,2,"Freiburg",2014
"62","DE13",0.341033,2,3,2,"Freiburg",2015
"63","DE13",0.321103,2,3,2,"Freiburg",2016
"64","DE13",0.309554,2,4,2,"Freiburg",2017
"65","DE13",0.283265,2,3,2,"Freiburg",2018
"66","DE13",0.259913,2,3,2,"Freiburg",2019
"67","DE14",0.55464,1,2,1,"Tübingen",1998
"68","DE14",0.529045,1,2,1,"Tübingen",1999
"69","DE14",0.504879,1,2,1,"Tübingen",2000
"70","DE14",0.471734,1,2,1,"Tübingen",2001
"71","DE14",0.473449,1,2,1,"Tübingen",2002
"72","DE14",0.467818,1,2,1,"Tübingen",2003
"73","DE14",0.466941,1,2,1,"Tübingen",2004
"74","DE14",0.465949,1,2,1,"Tübingen",2005
"75","DE14",0.443308,1,2,1,"Tübingen",2006
"76","DE14",0.415968,1,2,1,"Tübingen",2007
"77","DE14",0.385158,1,2,1,"Tübingen",2008
"78","DE14",0.399494,1,2,1,"Tübingen",2009
