"";"JAHR";"PLZ4";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;106;0,53938;20221;4;7;2
"2";1998;109;0,539499;102290;4;7;2
"3";1998;110;0,539485;67556;4;7;2
"4";1998;112;0,539494;17550;4;7;2
"5";1998;113;0,540618;13887;4;7;2
"6";1998;115;0,539943;75122;4;7;2
"7";1998;116;0,54078;8090;4;7;2
"8";1998;118;0,540274;17059;4;7;2
"9";1998;121;0,540024;21199;4;7;2
"10";1998;123;0,539682;16458;4;7;2
"11";1998;125;0,540634;30714;4;7;2
"12";1998;127;0,53938;15986;4;7;2
"13";1998;130;0,53938;13820;4;7;2
"14";1998;132;0,53971;101099;4;7;2
"15";1998;144;0,631981;34362;5;9;3
"16";1998;145;0,671946;33394;5;9;3
"17";1998;146;0,563843;29121;4;7;2
"18";1998;147;0,641213;12674;5;9;3
"19";1998;155;0,736106;6105;5;9;3
"20";1998;156;0,699531;26870;5;9;3
"21";1998;158;0,738044;11997;5;9;3
"22";1998;159;0,736689;23788;5;9;3
"23";1998;160;0,757756;11816;5;10;3
"24";1998;161;0,694302;17682;5;9;3
"25";1998;162;0,711515;5088;5;9;3
"26";1998;164;0,660731;20443;5;9;3
"27";1998;166;0,717395;44501;5;9;3
"28";1998;168;0,68997;25358;5;9;3
"29";1998;170;0,740257;39109;5;9;3
"30";1998;172;0,666686;23904;5;9;3
"31";1998;173;0,687001;17058;5;9;3
"32";1998;174;0,690643;14359;5;9;3
"33";1998;176;0,667138;7942;5;9;3
"34";1998;177;0,6915;15897;5;9;3
"35";1998;179;0,717791;42381;5;9;3
"36";1998;180;0,717619;25217;5;9;3
"37";1998;181;0,705643;13886;5;9;3
"38";1998;182;0,719536;9161;5;9;3
"39";1998;183;0,701018;9956;5;9;3
"40";1998;184;0,767174;19062;5;10;3
"41";1998;185;0,756759;9930;5;10;3
"42";1998;187;0,784276;19251;5;10;3
"43";1998;189;0,694585;11455;5;9;3
"44";1998;190;0,743083;20945;5;9;3
"45";1998;191;0,758549;15064;5;10;3
"46";1998;192;0,704634;18314;5;9;3
"47";1998;193;0,699083;11624;5;9;3
"48";1998;194;0,753348;12167;5;9;3
"49";1998;196;0,832388;21113;5;10;3
"50";1998;197;0,834095;15087;5;10;3
"51";1998;198;0,818677;14089;5;10;3
"52";1998;199;0,814178;11722;5;10;3
"53";1998;262;0,761097;50786;5;10;3
"54";1998;263;0,733305;5494;5;9;3
"55";1998;268;0,77242;18367;5;10;3
"56";1998;269;0,749378;22375;5;9;3
