"","Raumordnungsregion Nr","GISD_Score","GISD_5","GISD_10","GISD_k","Raumordnungsregion","Jahr"
"1",101,0.760052,4,7,2,"Schleswig-Holstein Mitte",1998
"2",101,0.741868,4,7,2,"Schleswig-Holstein Mitte",1999
"3",101,0.705245,4,7,2,"Schleswig-Holstein Mitte",2000
"4",101,0.683268,4,7,2,"Schleswig-Holstein Mitte",2001
"5",101,0.686154,4,7,2,"Schleswig-Holstein Mitte",2002
"6",101,0.693185,4,7,2,"Schleswig-Holstein Mitte",2003
"7",101,0.696475,4,7,2,"Schleswig-Holstein Mitte",2004
"8",101,0.7162,4,7,2,"Schleswig-Holstein Mitte",2005
"9",101,0.70516,4,7,2,"Schleswig-Holstein Mitte",2006
"10",101,0.677696,4,7,2,"Schleswig-Holstein Mitte",2007
"11",101,0.653819,4,7,2,"Schleswig-Holstein Mitte",2008
"12",101,0.628781,4,7,2,"Schleswig-Holstein Mitte",2009
"13",101,0.623108,4,7,2,"Schleswig-Holstein Mitte",2010
"14",101,0.597442,4,7,2,"Schleswig-Holstein Mitte",2011
"15",101,0.583502,4,7,2,"Schleswig-Holstein Mitte",2012
"16",101,0.577415,4,7,2,"Schleswig-Holstein Mitte",2013
"17",101,0.566485,4,8,2,"Schleswig-Holstein Mitte",2014
"18",101,0.54269,4,8,2,"Schleswig-Holstein Mitte",2015
"19",101,0.528308,4,8,2,"Schleswig-Holstein Mitte",2016
"20",101,0.503968,4,7,2,"Schleswig-Holstein Mitte",2017
"21",101,0.484567,4,8,2,"Schleswig-Holstein Mitte",2018
"22",101,0.463428,4,7,2,"Schleswig-Holstein Mitte",2019
"23",102,0.791515,4,8,2,"Schleswig-Holstein Nord",1998
"24",102,0.778846,4,8,2,"Schleswig-Holstein Nord",1999
"25",102,0.748378,4,8,2,"Schleswig-Holstein Nord",2000
"26",102,0.737639,4,8,2,"Schleswig-Holstein Nord",2001
"27",102,0.740028,4,8,2,"Schleswig-Holstein Nord",2002
"28",102,0.739625,4,8,2,"Schleswig-Holstein Nord",2003
"29",102,0.75408,4,8,2,"Schleswig-Holstein Nord",2004
"30",102,0.774226,4,8,2,"Schleswig-Holstein Nord",2005
"31",102,0.755374,4,8,2,"Schleswig-Holstein Nord",2006
"32",102,0.745906,4,8,2,"Schleswig-Holstein Nord",2007
"33",102,0.719472,5,9,3,"Schleswig-Holstein Nord",2008
"34",102,0.699086,5,9,3,"Schleswig-Holstein Nord",2009
"35",102,0.696409,5,9,3,"Schleswig-Holstein Nord",2010
"36",102,0.66541,5,9,3,"Schleswig-Holstein Nord",2011
"37",102,0.660436,5,9,3,"Schleswig-Holstein Nord",2012
"38",102,0.651128,5,9,3,"Schleswig-Holstein Nord",2013
"39",102,0.643752,5,9,3,"Schleswig-Holstein Nord",2014
"40",102,0.610219,5,9,3,"Schleswig-Holstein Nord",2015
"41",102,0.597786,5,9,3,"Schleswig-Holstein Nord",2016
"42",102,0.57542,5,9,3,"Schleswig-Holstein Nord",2017
"43",102,0.562939,5,9,3,"Schleswig-Holstein Nord",2018
"44",102,0.538323,5,9,3,"Schleswig-Holstein Nord",2019
"45",103,0.808414,4,8,2,"Schleswig-Holstein Ost",1998
"46",103,0.793838,4,8,2,"Schleswig-Holstein Ost",1999
"47",103,0.767254,4,8,2,"Schleswig-Holstein Ost",2000
"48",103,0.7567,4,8,2,"Schleswig-Holstein Ost",2001
"49",103,0.756844,4,8,2,"Schleswig-Holstein Ost",2002
"50",103,0.751603,4,8,2,"Schleswig-Holstein Ost",2003
"51",103,0.75032,4,8,2,"Schleswig-Holstein Ost",2004
"52",103,0.784975,4,8,2,"Schleswig-Holstein Ost",2005
"53",103,0.770842,4,8,2,"Schleswig-Holstein Ost",2006
"54",103,0.741836,4,8,2,"Schleswig-Holstein Ost",2007
"55",103,0.714634,5,9,3,"Schleswig-Holstein Ost",2008
"56",103,0.689831,4,8,2,"Schleswig-Holstein Ost",2009
"57",103,0.680527,4,8,2,"Schleswig-Holstein Ost",2010
"58",103,0.669012,5,9,3,"Schleswig-Holstein Ost",2011
