"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0,8111,"Stuttgart, Stadt",1998
"2",0,8111,"Stuttgart, Stadt",1999
"3",0.007621,8111,"Stuttgart, Stadt",2000
"4",0.000382,8111,"Stuttgart, Stadt",2001
"5",0.029031,8111,"Stuttgart, Stadt",2002
"6",0.020487,8111,"Stuttgart, Stadt",2003
"7",0,8111,"Stuttgart, Stadt",2004
"8",0,8111,"Stuttgart, Stadt",2005
"9",0,8111,"Stuttgart, Stadt",2006
"10",0,8111,"Stuttgart, Stadt",2007
"11",0,8111,"Stuttgart, Stadt",2008
"12",0.056587,8111,"Stuttgart, Stadt",2009
"13",0.060056,8111,"Stuttgart, Stadt",2010
"14",0.063143,8111,"Stuttgart, Stadt",2011
"15",0.093523,8111,"Stuttgart, Stadt",2012
"16",0.121381,8111,"Stuttgart, Stadt",2013
"17",0.104404,8111,"Stuttgart, Stadt",2014
"18",0.103801,8111,"Stuttgart, Stadt",2015
"19",0.103316,8111,"Stuttgart, Stadt",2016
"20",0.012863,8111,"Stuttgart, Stadt",2017
"21",0.074779,8111,"Stuttgart, Stadt",2018
"22",0.052475,8111,"Stuttgart, Stadt",2019
"23",0.03969,8115,"Böblingen",1998
"24",0.072757,8115,"Böblingen",1999
"25",0.059669,8115,"Böblingen",2000
"26",0.0722,8115,"Böblingen",2001
"27",0.120215,8115,"Böblingen",2002
"28",0.138531,8115,"Böblingen",2003
"29",0.126067,8115,"Böblingen",2004
"30",0.119329,8115,"Böblingen",2005
"31",0.124634,8115,"Böblingen",2006
"32",0.195489,8115,"Böblingen",2007
"33",0.188895,8115,"Böblingen",2008
"34",0.247665,8115,"Böblingen",2009
"35",0.233319,8115,"Böblingen",2010
"36",0.216502,8115,"Böblingen",2011
"37",0.240366,8115,"Böblingen",2012
"38",0.253576,8115,"Böblingen",2013
"39",0.252712,8115,"Böblingen",2014
"40",0.249392,8115,"Böblingen",2015
"41",0.25102,8115,"Böblingen",2016
"42",0.227358,8115,"Böblingen",2017
"43",0.266749,8115,"Böblingen",2018
"44",0.241764,8115,"Böblingen",2019
"45",0.191953,8116,"Esslingen",1998
"46",0.215944,8116,"Esslingen",1999
"47",0.208813,8116,"Esslingen",2000
"48",0.203644,8116,"Esslingen",2001
"49",0.227147,8116,"Esslingen",2002
"50",0.249643,8116,"Esslingen",2003
"51",0.241953,8116,"Esslingen",2004
"52",0.234625,8116,"Esslingen",2005
"53",0.256803,8116,"Esslingen",2006
"54",0.291482,8116,"Esslingen",2007
"55",0.288115,8116,"Esslingen",2008
"56",0.351085,8116,"Esslingen",2009
"57",0.357066,8116,"Esslingen",2010
"58",0.37606,8116,"Esslingen",2011
"59",0.391187,8116,"Esslingen",2012
"60",0.405402,8116,"Esslingen",2013
"61",0.38842,8116,"Esslingen",2014
"62",0.380175,8116,"Esslingen",2015
"63",0.395755,8116,"Esslingen",2016
"64",0.355757,8116,"Esslingen",2017
"65",0.406085,8116,"Esslingen",2018
"66",0.384781,8116,"Esslingen",2019
"67",0.611407,8117,"Göppingen",1998
"68",0.585671,8117,"Göppingen",1999
"69",0.560261,8117,"Göppingen",2000
"70",0.575175,8117,"Göppingen",2001
"71",0.595521,8117,"Göppingen",2002
"72",0.619668,8117,"Göppingen",2003
"73",0.587174,8117,"Göppingen",2004
"74",0.600119,8117,"Göppingen",2005
"75",0.634756,8117,"Göppingen",2006
"76",0.667147,8117,"Göppingen",2007
"77",0.667224,8117,"Göppingen",2008
"78",0.723285,8117,"Göppingen",2009
"79",0.716535,8117,"Göppingen",2010
"80",0.710612,8117,"Göppingen",2011
"81",0.725992,8117,"Göppingen",2012
"82",0.728834,8117,"Göppingen",2013
"83",0.696831,8117,"Göppingen",2014
"84",0.691249,8117,"Göppingen",2015
"85",0.693664,8117,"Göppingen",2016
"86",0.700329,8117,"Göppingen",2017
"87",0.719649,8117,"Göppingen",2018
"88",0.723063,8117,"Göppingen",2019
"89",0.215509,8118,"Ludwigsburg",1998
"90",0.233179,8118,"Ludwigsburg",1999
"91",0.215383,8118,"Ludwigsburg",2000
"92",0.229355,8118,"Ludwigsburg",2001
"93",0.258464,8118,"Ludwigsburg",2002
"94",0.256239,8118,"Ludwigsburg",2003
"95",0.254114,8118,"Ludwigsburg",2004
"96",0.241946,8118,"Ludwigsburg",2005
"97",0.262443,8118,"Ludwigsburg",2006
"98",0.303497,8118,"Ludwigsburg",2007
"99",0.312455,8118,"Ludwigsburg",2008
"100",0.362664,8118,"Ludwigsburg",2009
"101",0.368908,8118,"Ludwigsburg",2010
"102",0.369602,8118,"Ludwigsburg",2011
"103",0.38152,8118,"Ludwigsburg",2012
"104",0.405258,8118,"Ludwigsburg",2013
"105",0.397277,8118,"Ludwigsburg",2014
"106",0.380844,8118,"Ludwigsburg",2015
"107",0.362323,8118,"Ludwigsburg",2016
"108",0.346589,8118,"Ludwigsburg",2017
"109",0.376749,8118,"Ludwigsburg",2018
"110",0.353171,8118,"Ludwigsburg",2019
"111",0.469909,8119,"Rems-Murr-Kreis",1998
"112",0.481554,8119,"Rems-Murr-Kreis",1999
"113",0.430292,8119,"Rems-Murr-Kreis",2000
"114",0.4136,8119,"Rems-Murr-Kreis",2001
"115",0.455547,8119,"Rems-Murr-Kreis",2002
"116",0.475003,8119,"Rems-Murr-Kreis",2003
"117",0.457321,8119,"Rems-Murr-Kreis",2004
"118",0.465501,8119,"Rems-Murr-Kreis",2005
"119",0.518551,8119,"Rems-Murr-Kreis",2006
"120",0.527018,8119,"Rems-Murr-Kreis",2007
"121",0.515395,8119,"Rems-Murr-Kreis",2008
"122",0.554451,8119,"Rems-Murr-Kreis",2009
"123",0.548967,8119,"Rems-Murr-Kreis",2010
"124",0.578646,8119,"Rems-Murr-Kreis",2011
"125",0.593414,8119,"Rems-Murr-Kreis",2012
"126",0.61186,8119,"Rems-Murr-Kreis",2013
"127",0.593139,8119,"Rems-Murr-Kreis",2014
"128",0.585479,8119,"Rems-Murr-Kreis",2015
"129",0.580534,8119,"Rems-Murr-Kreis",2016
"130",0.56298,8119,"Rems-Murr-Kreis",2017
"131",0.582571,8119,"Rems-Murr-Kreis",2018
"132",0.575707,8119,"Rems-Murr-Kreis",2019
"133",0.566178,8121,"Heilbronn, Stadt",1998
"134",0.563639,8121,"Heilbronn, Stadt",1999
"135",0.881593,8121,"Heilbronn, Stadt",2000
"136",0.829113,8121,"Heilbronn, Stadt",2001
"137",0.839897,8121,"Heilbronn, Stadt",2002
"138",0.825936,8121,"Heilbronn, Stadt",2003
"139",0.722265,8121,"Heilbronn, Stadt",2004
"140",0.724852,8121,"Heilbronn, Stadt",2005
"141",0.693466,8121,"Heilbronn, Stadt",2006
"142",0.638835,8121,"Heilbronn, Stadt",2007
"143",0.571235,8121,"Heilbronn, Stadt",2008
"144",0.583949,8121,"Heilbronn, Stadt",2009
"145",0.548792,8121,"Heilbronn, Stadt",2010
"146",0.530614,8121,"Heilbronn, Stadt",2011
"147",0.608798,8121,"Heilbronn, Stadt",2012
"148",0.663609,8121,"Heilbronn, Stadt",2013
"149",0.706881,8121,"Heilbronn, Stadt",2014
"150",0.616087,8121,"Heilbronn, Stadt",2015
"151",0.512299,8121,"Heilbronn, Stadt",2016
"152",0.447995,8121,"Heilbronn, Stadt",2017
"153",0.48895,8121,"Heilbronn, Stadt",2018
"154",0.465998,8121,"Heilbronn, Stadt",2019
"155",0.427124,8125,"Heilbronn",1998
"156",0.439594,8125,"Heilbronn",1999
"157",0.490186,8125,"Heilbronn",2000
"158",0.503037,8125,"Heilbronn",2001
"159",0.499527,8125,"Heilbronn",2002
"160",0.532933,8125,"Heilbronn",2003
"161",0.556197,8125,"Heilbronn",2004
"162",0.534179,8125,"Heilbronn",2005
