"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.310273,9161,"Ingolstadt, Stadt",1998
"2",0.305257,9161,"Ingolstadt, Stadt",1999
"3",0.376382,9161,"Ingolstadt, Stadt",2000
"4",0.383748,9161,"Ingolstadt, Stadt",2001
"5",0.354753,9161,"Ingolstadt, Stadt",2002
"6",0.345687,9161,"Ingolstadt, Stadt",2003
"7",0.336151,9161,"Ingolstadt, Stadt",2004
"8",0.338006,9161,"Ingolstadt, Stadt",2005
"9",0.345641,9161,"Ingolstadt, Stadt",2006
"10",0.345396,9161,"Ingolstadt, Stadt",2007
"11",0.359285,9161,"Ingolstadt, Stadt",2008
"12",0.35654,9161,"Ingolstadt, Stadt",2009
"13",0.338725,9161,"Ingolstadt, Stadt",2010
"14",0.314579,9161,"Ingolstadt, Stadt",2011
"15",0.313114,9161,"Ingolstadt, Stadt",2012
"16",0.237804,9161,"Ingolstadt, Stadt",2013
"17",0.26902,9161,"Ingolstadt, Stadt",2014
"18",0.212223,9161,"Ingolstadt, Stadt",2015
"19",0.213621,9161,"Ingolstadt, Stadt",2016
"20",0.22822,9161,"Ingolstadt, Stadt",2017
"21",0.251559,9161,"Ingolstadt, Stadt",2018
"22",0.251712,9161,"Ingolstadt, Stadt",2019
"23",0.085535,9162,"München, Stadt",1998
"24",0.067248,9162,"München, Stadt",1999
"25",0.024241,9162,"München, Stadt",2000
"26",0.014466,9162,"München, Stadt",2001
"27",0,9162,"München, Stadt",2002
"28",0.040873,9162,"München, Stadt",2003
"29",0.00493,9162,"München, Stadt",2004
"30",0.045969,9162,"München, Stadt",2005
"31",0.076921,9162,"München, Stadt",2006
"32",0.075207,9162,"München, Stadt",2007
"33",0.084571,9162,"München, Stadt",2008
"34",0.082192,9162,"München, Stadt",2009
"35",0.078756,9162,"München, Stadt",2010
"36",0.067669,9162,"München, Stadt",2011
"37",0.065132,9162,"München, Stadt",2012
"38",0.046625,9162,"München, Stadt",2013
"39",0.039418,9162,"München, Stadt",2014
"40",0.037842,9162,"München, Stadt",2015
"41",0,9162,"München, Stadt",2016
"42",0,9162,"München, Stadt",2017
"43",0,9162,"München, Stadt",2018
"44",0,9162,"München, Stadt",2019
"45",0.583037,9163,"Rosenheim, Stadt",1998
"46",0.602715,9163,"Rosenheim, Stadt",1999
"47",0.609575,9163,"Rosenheim, Stadt",2000
"48",0.624376,9163,"Rosenheim, Stadt",2001
"49",0.59641,9163,"Rosenheim, Stadt",2002
"50",0.578681,9163,"Rosenheim, Stadt",2003
"51",0.511845,9163,"Rosenheim, Stadt",2004
"52",0.556722,9163,"Rosenheim, Stadt",2005
"53",0.593712,9163,"Rosenheim, Stadt",2006
"54",0.628872,9163,"Rosenheim, Stadt",2007
"55",0.648719,9163,"Rosenheim, Stadt",2008
"56",0.667957,9163,"Rosenheim, Stadt",2009
"57",0.6801,9163,"Rosenheim, Stadt",2010
"58",0.629883,9163,"Rosenheim, Stadt",2011
"59",0.678044,9163,"Rosenheim, Stadt",2012
"60",0.672815,9163,"Rosenheim, Stadt",2013
"61",0.688376,9163,"Rosenheim, Stadt",2014
"62",0.659237,9163,"Rosenheim, Stadt",2015
"63",0.650983,9163,"Rosenheim, Stadt",2016
"64",0.618965,9163,"Rosenheim, Stadt",2017
"65",0.649531,9163,"Rosenheim, Stadt",2018
"66",0.626143,9163,"Rosenheim, Stadt",2019
