"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.940649,12051,"Brandenburg an der Havel, Stadt",1998
"2",0.929783,12051,"Brandenburg an der Havel, Stadt",1999
"3",0.915835,12051,"Brandenburg an der Havel, Stadt",2000
"4",0.883388,12051,"Brandenburg an der Havel, Stadt",2001
"5",0.927837,12051,"Brandenburg an der Havel, Stadt",2002
"6",0.886016,12051,"Brandenburg an der Havel, Stadt",2003
"7",0.844534,12051,"Brandenburg an der Havel, Stadt",2004
"8",0.846585,12051,"Brandenburg an der Havel, Stadt",2005
"9",0.887503,12051,"Brandenburg an der Havel, Stadt",2006
"10",0.935035,12051,"Brandenburg an der Havel, Stadt",2007
"11",0.849144,12051,"Brandenburg an der Havel, Stadt",2008
"12",0.885163,12051,"Brandenburg an der Havel, Stadt",2009
"13",0.878973,12051,"Brandenburg an der Havel, Stadt",2010
"14",0.879407,12051,"Brandenburg an der Havel, Stadt",2011
"15",0.854638,12051,"Brandenburg an der Havel, Stadt",2012
"16",0.875646,12051,"Brandenburg an der Havel, Stadt",2013
"17",0.894957,12051,"Brandenburg an der Havel, Stadt",2014
"18",0.914879,12051,"Brandenburg an der Havel, Stadt",2015
"19",0.874683,12051,"Brandenburg an der Havel, Stadt",2016
"20",0.89351,12051,"Brandenburg an der Havel, Stadt",2017
"21",0.881277,12051,"Brandenburg an der Havel, Stadt",2018
"22",0.859839,12051,"Brandenburg an der Havel, Stadt",2019
"23",0.578701,12052,"Cottbus, Stadt",1998
"24",0.559331,12052,"Cottbus, Stadt",1999
"25",0.523304,12052,"Cottbus, Stadt",2000
"26",0.490626,12052,"Cottbus, Stadt",2001
"27",0.499323,12052,"Cottbus, Stadt",2002
"28",0.484848,12052,"Cottbus, Stadt",2003
"29",0.48648,12052,"Cottbus, Stadt",2004
"30",0.504869,12052,"Cottbus, Stadt",2005
"31",0.547044,12052,"Cottbus, Stadt",2006
"32",0.616706,12052,"Cottbus, Stadt",2007
"33",0.5737,12052,"Cottbus, Stadt",2008
"34",0.564068,12052,"Cottbus, Stadt",2009
"35",0.532631,12052,"Cottbus, Stadt",2010
"36",0.527018,12052,"Cottbus, Stadt",2011
"37",0.53578,12052,"Cottbus, Stadt",2012
"38",0.56186,12052,"Cottbus, Stadt",2013
"39",0.536374,12052,"Cottbus, Stadt",2014
"40",0.536635,12052,"Cottbus, Stadt",2015
"41",0.537711,12052,"Cottbus, Stadt",2016
"42",0.587743,12052,"Cottbus, Stadt",2017
"43",0.591659,12052,"Cottbus, Stadt",2018
"44",0.528211,12052,"Cottbus, Stadt",2019
"45",0.821257,12053,"Frankfurt (Oder), Stadt",1998
"46",0.805319,12053,"Frankfurt (Oder), Stadt",1999
"47",0.785699,12053,"Frankfurt (Oder), Stadt",2000
"48",0.795932,12053,"Frankfurt (Oder), Stadt",2001
"49",0.765914,12053,"Frankfurt (Oder), Stadt",2002
"50",0.766515,12053,"Frankfurt (Oder), Stadt",2003
"51",0.800021,12053,"Frankfurt (Oder), Stadt",2004
"52",0.755481,12053,"Frankfurt (Oder), Stadt",2005
"53",0.75908,12053,"Frankfurt (Oder), Stadt",2006
"54",0.751815,12053,"Frankfurt (Oder), Stadt",2007
"55",0.762249,12053,"Frankfurt (Oder), Stadt",2008
"56",0.763169,12053,"Frankfurt (Oder), Stadt",2009
"57",0.712619,12053,"Frankfurt (Oder), Stadt",2010
"58",0.685607,12053,"Frankfurt (Oder), Stadt",2011
"59",0.767971,12053,"Frankfurt (Oder), Stadt",2012
"60",0.787979,12053,"Frankfurt (Oder), Stadt",2013
"61",0.760289,12053,"Frankfurt (Oder), Stadt",2014
"62",0.707161,12053,"Frankfurt (Oder), Stadt",2015
"63",0.681201,12053,"Frankfurt (Oder), Stadt",2016
"64",0.738686,12053,"Frankfurt (Oder), Stadt",2017
"65",0.76001,12053,"Frankfurt (Oder), Stadt",2018
"66",0.749946,12053,"Frankfurt (Oder), Stadt",2019
"67",0,12054,"Potsdam, Stadt",1998
"68",0,12054,"Potsdam, Stadt",1999
"69",0,12054,"Potsdam, Stadt",2000
"70",0,12054,"Potsdam, Stadt",2001
"71",0,12054,"Potsdam, Stadt",2002
"72",0,12054,"Potsdam, Stadt",2003
"73",0,12054,"Potsdam, Stadt",2004
"74",0,12054,"Potsdam, Stadt",2005
"75",0,12054,"Potsdam, Stadt",2006
"76",0,12054,"Potsdam, Stadt",2007
"77",0,12054,"Potsdam, Stadt",2008
"78",0,12054,"Potsdam, Stadt",2009
"79",0,12054,"Potsdam, Stadt",2010
"80",0,12054,"Potsdam, Stadt",2011
"81",0,12054,"Potsdam, Stadt",2012
"82",0,12054,"Potsdam, Stadt",2013
"83",0,12054,"Potsdam, Stadt",2014
"84",0,12054,"Potsdam, Stadt",2015
"85",0,12054,"Potsdam, Stadt",2016
"86",0,12054,"Potsdam, Stadt",2017
"87",0,12054,"Potsdam, Stadt",2018
"88",0,12054,"Potsdam, Stadt",2019
"89",0.624035,12060,"Barnim",1998
"90",0.639026,12060,"Barnim",1999
"91",0.6689,12060,"Barnim",2000
"92",0.662802,12060,"Barnim",2001
"93",0.696973,12060,"Barnim",2002
"94",0.614844,12060,"Barnim",2003
"95",0.629661,12060,"Barnim",2004
"96",0.588603,12060,"Barnim",2005
"97",0.592113,12060,"Barnim",2006
"98",0.625614,12060,"Barnim",2007
"99",0.632172,12060,"Barnim",2008
"100",0.602183,12060,"Barnim",2009
"101",0.535948,12060,"Barnim",2010
"102",0.569454,12060,"Barnim",2011
"103",0.588198,12060,"Barnim",2012
"104",0.57131,12060,"Barnim",2013
"105",0.558508,12060,"Barnim",2014
"106",0.539597,12060,"Barnim",2015
"107",0.531473,12060,"Barnim",2016
"108",0.57076,12060,"Barnim",2017
"109",0.586028,12060,"Barnim",2018
"110",0.562069,12060,"Barnim",2019
"111",0.368097,12061,"Dahme-Spreewald",1998
"112",0.380205,12061,"Dahme-Spreewald",1999
"113",0.345548,12061,"Dahme-Spreewald",2000
"114",0.373903,12061,"Dahme-Spreewald",2001
"115",0.410967,12061,"Dahme-Spreewald",2002
"116",0.378759,12061,"Dahme-Spreewald",2003
"117",0.380249,12061,"Dahme-Spreewald",2004
"118",0.375477,12061,"Dahme-Spreewald",2005
"119",0.362711,12061,"Dahme-Spreewald",2006
"120",0.388727,12061,"Dahme-Spreewald",2007
"121",0.400577,12061,"Dahme-Spreewald",2008
"122",0.408472,12061,"Dahme-Spreewald",2009
"123",0.378725,12061,"Dahme-Spreewald",2010
"124",0.355684,12061,"Dahme-Spreewald",2011
"125",0.382098,12061,"Dahme-Spreewald",2012
"126",0.426755,12061,"Dahme-Spreewald",2013
"127",0.397939,12061,"Dahme-Spreewald",2014
"128",0.418641,12061,"Dahme-Spreewald",2015
"129",0.412452,12061,"Dahme-Spreewald",2016
"130",0.42847,12061,"Dahme-Spreewald",2017
"131",0.452564,12061,"Dahme-Spreewald",2018
"132",0.430762,12061,"Dahme-Spreewald",2019
"133",0.881013,12062,"Elbe-Elster",1998
"134",0.876913,12062,"Elbe-Elster",1999
"135",0.834366,12062,"Elbe-Elster",2000
"136",0.85912,12062,"Elbe-Elster",2001
"137",0.853259,12062,"Elbe-Elster",2002
"138",0.866397,12062,"Elbe-Elster",2003
"139",0.87751,12062,"Elbe-Elster",2004
"140",0.837959,12062,"Elbe-Elster",2005
"141",0.889604,12062,"Elbe-Elster",2006
"142",0.884225,12062,"Elbe-Elster",2007
"143",0.956061,12062,"Elbe-Elster",2008
"144",0.922656,12062,"Elbe-Elster",2009
"145",0.833709,12062,"Elbe-Elster",2010
"146",0.867332,12062,"Elbe-Elster",2011
"147",0.850201,12062,"Elbe-Elster",2012
"148",0.869615,12062,"Elbe-Elster",2013
"149",0.824457,12062,"Elbe-Elster",2014
"150",0.813072,12062,"Elbe-Elster",2015
"151",0.783185,12062,"Elbe-Elster",2016
"152",0.844694,12062,"Elbe-Elster",2017
"153",0.81441,12062,"Elbe-Elster",2018
"154",0.797793,12062,"Elbe-Elster",2019
"155",0.709089,12063,"Havelland",1998
"156",0.717178,12063,"Havelland",1999
"157",0.709153,12063,"Havelland",2000
"158",0.682801,12063,"Havelland",2001
"159",0.733548,12063,"Havelland",2002
"160",0.677392,12063,"Havelland",2003
"161",0.733963,12063,"Havelland",2004
"162",0.708436,12063,"Havelland",2005
"163",0.679552,12063,"Havelland",2006
"164",0.679492,12063,"Havelland",2007
"165",0.725669,12063,"Havelland",2008
"166",0.760736,12063,"Havelland",2009
"167",0.706045,12063,"Havelland",2010
"168",0.666475,12063,"Havelland",2011
"169",0.683872,12063,"Havelland",2012
"170",0.705279,12063,"Havelland",2013
"171",0.691758,12063,"Havelland",2014
"172",0.633754,12063,"Havelland",2015
"173",0.61033,12063,"Havelland",2016
"174",0.645526,12063,"Havelland",2017
"175",0.639821,12063,"Havelland",2018
"176",0.618957,12063,"Havelland",2019
"177",0.66861,12064,"M‰rkisch-Oderland",1998
"178",0.675222,12064,"M‰rkisch-Oderland",1999
"179",0.698203,12064,"M‰rkisch-Oderland",2000
"180",0.711036,12064,"M‰rkisch-Oderland",2001
"181",0.71613,12064,"M‰rkisch-Oderland",2002
"182",0.674074,12064,"M‰rkisch-Oderland",2003
"183",0.698583,12064,"M‰rkisch-Oderland",2004
"184",0.68227,12064,"M‰rkisch-Oderland",2005
"185",0.67727,12064,"M‰rkisch-Oderland",2006
"186",0.686331,12064,"M‰rkisch-Oderland",2007
"187",0.691185,12064,"M‰rkisch-Oderland",2008
"188",0.672873,12064,"M‰rkisch-Oderland",2009
"189",0.667454,12064,"M‰rkisch-Oderland",2010
"190",0.635762,12064,"M‰rkisch-Oderland",2011
"191",0.641669,12064,"M‰rkisch-Oderland",2012
"192",0.660844,12064,"M‰rkisch-Oderland",2013
"193",0.61158,12064,"M‰rkisch-Oderland",2014
"194",0.652716,12064,"M‰rkisch-Oderland",2015
"195",0.615489,12064,"M‰rkisch-Oderland",2016
"196",0.634314,12064,"M‰rkisch-Oderland",2017
"197",0.652147,12064,"M‰rkisch-Oderland",2018
"198",0.642348,12064,"M‰rkisch-Oderland",2019
"199",0.524652,12065,"Oberhavel",1998
"200",0.535093,12065,"Oberhavel",1999
"201",0.512238,12065,"Oberhavel",2000
"202",0.516898,12065,"Oberhavel",2001
"203",0.525403,12065,"Oberhavel",2002
"204",0.49965,12065,"Oberhavel",2003
"205",0.514003,12065,"Oberhavel",2004
"206",0.488272,12065,"Oberhavel",2005
"207",0.510568,12065,"Oberhavel",2006
"208",0.524552,12065,"Oberhavel",2007
"209",0.563729,12065,"Oberhavel",2008
"210",0.556073,12065,"Oberhavel",2009
"211",0.510595,12065,"Oberhavel",2010
"212",0.535051,12065,"Oberhavel",2011
"213",0.495312,12065,"Oberhavel",2012
