"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.24393,6411,"Darmstadt, Stadt",1998
"2",0.226085,6411,"Darmstadt, Stadt",1999
"3",0.214254,6411,"Darmstadt, Stadt",2000
"4",0.211584,6411,"Darmstadt, Stadt",2001
"5",0.164494,6411,"Darmstadt, Stadt",2002
"6",0.166864,6411,"Darmstadt, Stadt",2003
"7",0.209117,6411,"Darmstadt, Stadt",2004
"8",0.187537,6411,"Darmstadt, Stadt",2005
"9",0.195702,6411,"Darmstadt, Stadt",2006
"10",0.170941,6411,"Darmstadt, Stadt",2007
"11",0.156346,6411,"Darmstadt, Stadt",2008
"12",0.106724,6411,"Darmstadt, Stadt",2009
"13",0.101038,6411,"Darmstadt, Stadt",2010
"14",0.12329,6411,"Darmstadt, Stadt",2011
"15",0.102044,6411,"Darmstadt, Stadt",2012
"16",0.095482,6411,"Darmstadt, Stadt",2013
"17",0.139968,6411,"Darmstadt, Stadt",2014
"18",0.143578,6411,"Darmstadt, Stadt",2015
"19",0.119072,6411,"Darmstadt, Stadt",2016
"20",0.058399,6411,"Darmstadt, Stadt",2017
"21",0.043653,6411,"Darmstadt, Stadt",2018
"22",0.049976,6411,"Darmstadt, Stadt",2019
"23",0.272536,6412,"Frankfurt am Main, Stadt",1998
"24",0.267841,6412,"Frankfurt am Main, Stadt",1999
"25",0.289349,6412,"Frankfurt am Main, Stadt",2000
"26",0.268034,6412,"Frankfurt am Main, Stadt",2001
"27",0.230541,6412,"Frankfurt am Main, Stadt",2002
"28",0.245613,6412,"Frankfurt am Main, Stadt",2003
"29",0.246474,6412,"Frankfurt am Main, Stadt",2004
"30",0.246182,6412,"Frankfurt am Main, Stadt",2005
"31",0.286908,6412,"Frankfurt am Main, Stadt",2006
"32",0.288867,6412,"Frankfurt am Main, Stadt",2007
"33",0.217412,6412,"Frankfurt am Main, Stadt",2008
"34",0.191274,6412,"Frankfurt am Main, Stadt",2009
"35",0.188086,6412,"Frankfurt am Main, Stadt",2010
"36",0.171333,6412,"Frankfurt am Main, Stadt",2011
"37",0.172848,6412,"Frankfurt am Main, Stadt",2012
"38",0.180408,6412,"Frankfurt am Main, Stadt",2013
"39",0.21642,6412,"Frankfurt am Main, Stadt",2014
"40",0.201079,6412,"Frankfurt am Main, Stadt",2015
"41",0.187227,6412,"Frankfurt am Main, Stadt",2016
"42",0.157123,6412,"Frankfurt am Main, Stadt",2017
"43",0.136122,6412,"Frankfurt am Main, Stadt",2018
"44",0.137666,6412,"Frankfurt am Main, Stadt",2019
"45",0.874927,6413,"Offenbach am Main, Stadt",1998
"46",0.900738,6413,"Offenbach am Main, Stadt",1999
"47",0.913276,6413,"Offenbach am Main, Stadt",2000
"48",0.892805,6413,"Offenbach am Main, Stadt",2001
"49",0.921544,6413,"Offenbach am Main, Stadt",2002
"50",0.974191,6413,"Offenbach am Main, Stadt",2003
"51",1,6413,"Offenbach am Main, Stadt",2004
