"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0,13003,"Rostock, Stadt",1998
"2",0,13003,"Rostock, Stadt",1999
"3",0,13003,"Rostock, Stadt",2000
"4",0,13003,"Rostock, Stadt",2001
"5",0.091201,13003,"Rostock, Stadt",2002
"6",0.022189,13003,"Rostock, Stadt",2003
"7",0.077933,13003,"Rostock, Stadt",2004
"8",0.031726,13003,"Rostock, Stadt",2005
"9",0,13003,"Rostock, Stadt",2006
"10",0,13003,"Rostock, Stadt",2007
"11",0,13003,"Rostock, Stadt",2008
"12",0,13003,"Rostock, Stadt",2009
"13",0,13003,"Rostock, Stadt",2010
"14",0,13003,"Rostock, Stadt",2011
"15",0,13003,"Rostock, Stadt",2012
"16",0,13003,"Rostock, Stadt",2013
"17",0,13003,"Rostock, Stadt",2014
"18",0,13003,"Rostock, Stadt",2015
"19",0,13003,"Rostock, Stadt",2016
"20",0,13003,"Rostock, Stadt",2017
"21",0,13003,"Rostock, Stadt",2018
"22",0,13003,"Rostock, Stadt",2019
"23",0.04317,13004,"Schwerin, Stadt",1998
"24",0.091985,13004,"Schwerin, Stadt",1999
"25",0.065426,13004,"Schwerin, Stadt",2000
"26",0.137171,13004,"Schwerin, Stadt",2001
"27",0,13004,"Schwerin, Stadt",2002
"28",0,13004,"Schwerin, Stadt",2003
"29",0,13004,"Schwerin, Stadt",2004
"30",0,13004,"Schwerin, Stadt",2005
"31",0.169045,13004,"Schwerin, Stadt",2006
"32",0.343267,13004,"Schwerin, Stadt",2007
"33",0.167882,13004,"Schwerin, Stadt",2008
"34",0.119878,13004,"Schwerin, Stadt",2009
"35",0.473318,13004,"Schwerin, Stadt",2010
"36",0.162111,13004,"Schwerin, Stadt",2011
"37",0.292833,13004,"Schwerin, Stadt",2012
"38",0.27746,13004,"Schwerin, Stadt",2013
"39",0.297115,13004,"Schwerin, Stadt",2014
"40",0.40228,13004,"Schwerin, Stadt",2015
"41",0.428751,13004,"Schwerin, Stadt",2016
"42",0.443189,13004,"Schwerin, Stadt",2017
"43",0.540972,13004,"Schwerin, Stadt",2018
"44",0.555445,13004,"Schwerin, Stadt",2019
"45",0.902956,13071,"Mecklenburgische Seenplatte",1998
"46",0.892068,13071,"Mecklenburgische Seenplatte",1999
"47",0.877851,13071,"Mecklenburgische Seenplatte",2000
"48",0.893126,13071,"Mecklenburgische Seenplatte",2001
"49",0.961954,13071,"Mecklenburgische Seenplatte",2002
"50",0.834989,13071,"Mecklenburgische Seenplatte",2003
"51",0.82985,13071,"Mecklenburgische Seenplatte",2004
"52",0.761331,13071,"Mecklenburgische Seenplatte",2005
"53",0.765658,13071,"Mecklenburgische Seenplatte",2006
"54",0.883808,13071,"Mecklenburgische Seenplatte",2007
"55",0.81131,13071,"Mecklenburgische Seenplatte",2008
"56",0.907711,13071,"Mecklenburgische Seenplatte",2009
"57",0.928374,13071,"Mecklenburgische Seenplatte",2010
"58",0.983005,13071,"Mecklenburgische Seenplatte",2011
"59",1,13071,"Mecklenburgische Seenplatte",2012
"60",0.794843,13071,"Mecklenburgische Seenplatte",2013
"61",0.846118,13071,"Mecklenburgische Seenplatte",2014
"62",0.850122,13071,"Mecklenburgische Seenplatte",2015
"63",0.931301,13071,"Mecklenburgische Seenplatte",2016
"64",0.986803,13071,"Mecklenburgische Seenplatte",2017
"65",0.947217,13071,"Mecklenburgische Seenplatte",2018
"66",0.942443,13071,"Mecklenburgische Seenplatte",2019
"67",0.603948,13072,"Landkreis Rostock",1998
"68",0.636947,13072,"Landkreis Rostock",1999
"69",0.67152,13072,"Landkreis Rostock",2000
"70",0.683105,13072,"Landkreis Rostock",2001
"71",0.772086,13072,"Landkreis Rostock",2002
"72",0.687051,13072,"Landkreis Rostock",2003
"73",0.724843,13072,"Landkreis Rostock",2004
"74",0.608499,13072,"Landkreis Rostock",2005
"75",0.533951,13072,"Landkreis Rostock",2006
"76",0.532264,13072,"Landkreis Rostock",2007
"77",0.486174,13072,"Landkreis Rostock",2008
"78",0.611551,13072,"Landkreis Rostock",2009
"79",0.582956,13072,"Landkreis Rostock",2010
"80",0.44454,13072,"Landkreis Rostock",2011
"81",0.556556,13072,"Landkreis Rostock",2012
"82",0.322592,13072,"Landkreis Rostock",2013
"83",0.428393,13072,"Landkreis Rostock",2014
"84",0.372269,13072,"Landkreis Rostock",2015
"85",0.413696,13072,"Landkreis Rostock",2016
"86",0.473387,13072,"Landkreis Rostock",2017
"87",0.428072,13072,"Landkreis Rostock",2018
"88",0.523618,13072,"Landkreis Rostock",2019
"89",0.930932,13073,"Vorpommern-Rügen",1998
"90",0.926581,13073,"Vorpommern-Rügen",1999
"91",0.860482,13073,"Vorpommern-Rügen",2000
"92",0.918454,13073,"Vorpommern-Rügen",2001
"93",0.996654,13073,"Vorpommern-Rügen",2002
"94",1,13073,"Vorpommern-Rügen",2003
"95",0.985672,13073,"Vorpommern-Rügen",2004
"96",0.881565,13073,"Vorpommern-Rügen",2005
"97",0.999774,13073,"Vorpommern-Rügen",2006
"98",0.923238,13073,"Vorpommern-Rügen",2007
"99",0.889333,13073,"Vorpommern-Rügen",2008
"100",0.864677,13073,"Vorpommern-Rügen",2009
"101",0.943996,13073,"Vorpommern-Rügen",2010
"102",0.94063,13073,"Vorpommern-Rügen",2011
"103",0.907682,13073,"Vorpommern-Rügen",2012
"104",0.933724,13073,"Vorpommern-Rügen",2013
"105",0.995099,13073,"Vorpommern-Rügen",2014
"106",1,13073,"Vorpommern-Rügen",2015
"107",1,13073,"Vorpommern-Rügen",2016
"108",1,13073,"Vorpommern-Rügen",2017
"109",1,13073,"Vorpommern-Rügen",2018
"110",1,13073,"Vorpommern-Rügen",2019
"111",0.40397,13074,"Nordwestmecklenburg",1998
"112",0.453115,13074,"Nordwestmecklenburg",1999
"113",0.616268,13074,"Nordwestmecklenburg",2000
"114",0.617812,13074,"Nordwestmecklenburg",2001
"115",0.642648,13074,"Nordwestmecklenburg",2002
"116",0.492126,13074,"Nordwestmecklenburg",2003
"117",0.495761,13074,"Nordwestmecklenburg",2004
"118",0.421095,13074,"Nordwestmecklenburg",2005
"119",0.458302,13074,"Nordwestmecklenburg",2006
"120",0.478467,13074,"Nordwestmecklenburg",2007
"121",0.528625,13074,"Nordwestmecklenburg",2008
"122",0.772517,13074,"Nordwestmecklenburg",2009
"123",0.715666,13074,"Nordwestmecklenburg",2010
"124",0.754907,13074,"Nordwestmecklenburg",2011
"125",0.66318,13074,"Nordwestmecklenburg",2012
"126",0.474896,13074,"Nordwestmecklenburg",2013
"127",0.519288,13074,"Nordwestmecklenburg",2014
"128",0.579052,13074,"Nordwestmecklenburg",2015
"129",0.61822,13074,"Nordwestmecklenburg",2016
"130",0.70149,13074,"Nordwestmecklenburg",2017
"131",0.665914,13074,"Nordwestmecklenburg",2018
"132",0.612444,13074,"Nordwestmecklenburg",2019
"133",1,13075,"Vorpommern-Greifswald",1998
"134",1,13075,"Vorpommern-Greifswald",1999
"135",1,13075,"Vorpommern-Greifswald",2000
"136",1,13075,"Vorpommern-Greifswald",2001
"137",1,13075,"Vorpommern-Greifswald",2002
"138",0.947749,13075,"Vorpommern-Greifswald",2003
"139",1,13075,"Vorpommern-Greifswald",2004
"140",1,13075,"Vorpommern-Greifswald",2005
"141",1,13075,"Vorpommern-Greifswald",2006
"142",1,13075,"Vorpommern-Greifswald",2007
"143",1,13075,"Vorpommern-Greifswald",2008
"144",1,13075,"Vorpommern-Greifswald",2009
"145",1,13075,"Vorpommern-Greifswald",2010
"146",1,13075,"Vorpommern-Greifswald",2011
"147",0.996204,13075,"Vorpommern-Greifswald",2012
"148",1,13075,"Vorpommern-Greifswald",2013
"149",1,13075,"Vorpommern-Greifswald",2014
"150",0.904871,13075,"Vorpommern-Greifswald",2015
"151",0.912172,13075,"Vorpommern-Greifswald",2016
"152",0.951514,13075,"Vorpommern-Greifswald",2017
"153",0.964932,13075,"Vorpommern-Greifswald",2018
"154",0.956406,13075,"Vorpommern-Greifswald",2019
"155",0.421476,13076,"Ludwigslust-Parchim",1998
"156",0.448777,13076,"Ludwigslust-Parchim",1999
"157",0.580096,13076,"Ludwigslust-Parchim",2000
"158",0.559186,13076,"Ludwigslust-Parchim",2001
"159",0.617914,13076,"Ludwigslust-Parchim",2002
"160",0.519762,13076,"Ludwigslust-Parchim",2003
"161",0.550315,13076,"Ludwigslust-Parchim",2004
"162",0.482207,13076,"Ludwigslust-Parchim",2005
"163",0.510518,13076,"Ludwigslust-Parchim",2006
"164",0.616395,13076,"Ludwigslust-Parchim",2007
"165",0.583041,13076,"Ludwigslust-Parchim",2008
"166",0.590394,13076,"Ludwigslust-Parchim",2009
"167",0.604846,13076,"Ludwigslust-Parchim",2010
