"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.340902,3101,"Braunschweig, Stadt",1998
"2",0.327272,3101,"Braunschweig, Stadt",1999
"3",0.242394,3101,"Braunschweig, Stadt",2000
"4",0.219465,3101,"Braunschweig, Stadt",2001
"5",0.228838,3101,"Braunschweig, Stadt",2002
"6",0.229763,3101,"Braunschweig, Stadt",2003
"7",0.265435,3101,"Braunschweig, Stadt",2004
"8",0.233483,3101,"Braunschweig, Stadt",2005
"9",0.204903,3101,"Braunschweig, Stadt",2006
"10",0.189959,3101,"Braunschweig, Stadt",2007
"11",0.190147,3101,"Braunschweig, Stadt",2008
"12",0.238742,3101,"Braunschweig, Stadt",2009
"13",0.190097,3101,"Braunschweig, Stadt",2010
"14",0.183377,3101,"Braunschweig, Stadt",2011
"15",0.222055,3101,"Braunschweig, Stadt",2012
"16",0.224588,3101,"Braunschweig, Stadt",2013
"17",0.210202,3101,"Braunschweig, Stadt",2014
"18",0.197909,3101,"Braunschweig, Stadt",2015
"19",0.14012,3101,"Braunschweig, Stadt",2016
"20",0.118141,3101,"Braunschweig, Stadt",2017
"21",0.115146,3101,"Braunschweig, Stadt",2018
"22",0.100592,3101,"Braunschweig, Stadt",2019
"23",0.560954,3102,"Salzgitter, Stadt",1998
"24",0.574817,3102,"Salzgitter, Stadt",1999
"25",0.51378,3102,"Salzgitter, Stadt",2000
"26",0.473056,3102,"Salzgitter, Stadt",2001
"27",0.498865,3102,"Salzgitter, Stadt",2002
"28",0.513239,3102,"Salzgitter, Stadt",2003
"29",0.513729,3102,"Salzgitter, Stadt",2004
"30",0.512472,3102,"Salzgitter, Stadt",2005
"31",0.543691,3102,"Salzgitter, Stadt",2006
"32",0.536671,3102,"Salzgitter, Stadt",2007
"33",0.557033,3102,"Salzgitter, Stadt",2008
"34",0.632138,3102,"Salzgitter, Stadt",2009
"35",0.582783,3102,"Salzgitter, Stadt",2010
"36",0.547408,3102,"Salzgitter, Stadt",2011
"37",0.57767,3102,"Salzgitter, Stadt",2012
"38",0.606878,3102,"Salzgitter, Stadt",2013
"39",0.623999,3102,"Salzgitter, Stadt",2014
"40",0.653906,3102,"Salzgitter, Stadt",2015
"41",0.668152,3102,"Salzgitter, Stadt",2016
"42",0.676071,3102,"Salzgitter, Stadt",2017
"43",0.728536,3102,"Salzgitter, Stadt",2018
"44",0.654733,3102,"Salzgitter, Stadt",2019
"45",0,3103,"Wolfsburg, Stadt",1998
"46",0,3103,"Wolfsburg, Stadt",1999
"47",0,3103,"Wolfsburg, Stadt",2000
"48",0,3103,"Wolfsburg, Stadt",2001
"49",0,3103,"Wolfsburg, Stadt",2002
"50",0,3103,"Wolfsburg, Stadt",2003
"51",0,3103,"Wolfsburg, Stadt",2004
"52",0,3103,"Wolfsburg, Stadt",2005
"53",0,3103,"Wolfsburg, Stadt",2006
"54",0,3103,"Wolfsburg, Stadt",2007
"55",0,3103,"Wolfsburg, Stadt",2008
"56",0,3103,"Wolfsburg, Stadt",2009
"57",0,3103,"Wolfsburg, Stadt",2010
"58",0,3103,"Wolfsburg, Stadt",2011
"59",0,3103,"Wolfsburg, Stadt",2012
"60",0,3103,"Wolfsburg, Stadt",2013
"61",0,3103,"Wolfsburg, Stadt",2014
"62",0,3103,"Wolfsburg, Stadt",2015
"63",0,3103,"Wolfsburg, Stadt",2016
"64",0,3103,"Wolfsburg, Stadt",2017
"65",0,3103,"Wolfsburg, Stadt",2018
"66",0,3103,"Wolfsburg, Stadt",2019
"67",0.527577,3151,"Gifhorn",1998
"68",0.537728,3151,"Gifhorn",1999
"69",0.561038,3151,"Gifhorn",2000
"70",0.522575,3151,"Gifhorn",2001
"71",0.528421,3151,"Gifhorn",2002
"72",0.533,3151,"Gifhorn",2003
"73",0.526688,3151,"Gifhorn",2004
"74",0.484389,3151,"Gifhorn",2005
"75",0.481101,3151,"Gifhorn",2006
"76",0.493737,3151,"Gifhorn",2007
"77",0.499752,3151,"Gifhorn",2008
"78",0.516879,3151,"Gifhorn",2009
"79",0.502392,3151,"Gifhorn",2010
"80",0.502485,3151,"Gifhorn",2011
"81",0.503766,3151,"Gifhorn",2012
"82",0.495351,3151,"Gifhorn",2013
