"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.063253,5111,"Düsseldorf, Stadt",1998
"2",0.065914,5111,"Düsseldorf, Stadt",1999
"3",0.092598,5111,"Düsseldorf, Stadt",2000
"4",0.092887,5111,"Düsseldorf, Stadt",2001
"5",0.070627,5111,"Düsseldorf, Stadt",2002
"6",0.073043,5111,"Düsseldorf, Stadt",2003
"7",0.075807,5111,"Düsseldorf, Stadt",2004
"8",0.098541,5111,"Düsseldorf, Stadt",2005
"9",0.07427,5111,"Düsseldorf, Stadt",2006
"10",0.076326,5111,"Düsseldorf, Stadt",2007
"11",0.045398,5111,"Düsseldorf, Stadt",2008
"12",0.09461,5111,"Düsseldorf, Stadt",2009
"13",0.082557,5111,"Düsseldorf, Stadt",2010
"14",0.109747,5111,"Düsseldorf, Stadt",2011
"15",0.087668,5111,"Düsseldorf, Stadt",2012
"16",0.083958,5111,"Düsseldorf, Stadt",2013
"17",0.113265,5111,"Düsseldorf, Stadt",2014
"18",0.078823,5111,"Düsseldorf, Stadt",2015
"19",0.052614,5111,"Düsseldorf, Stadt",2016
"20",0.033626,5111,"Düsseldorf, Stadt",2017
"21",0.038507,5111,"Düsseldorf, Stadt",2018
"22",0.026094,5111,"Düsseldorf, Stadt",2019
"23",0.824528,5112,"Duisburg, Stadt",1998
"24",0.818559,5112,"Duisburg, Stadt",1999
"25",0.823507,5112,"Duisburg, Stadt",2000
"26",0.835393,5112,"Duisburg, Stadt",2001
"27",0.857692,5112,"Duisburg, Stadt",2002
"28",0.824459,5112,"Duisburg, Stadt",2003
"29",0.817469,5112,"Duisburg, Stadt",2004
"30",0.810275,5112,"Duisburg, Stadt",2005
"31",0.822131,5112,"Duisburg, Stadt",2006
"32",0.821135,5112,"Duisburg, Stadt",2007
"33",0.818447,5112,"Duisburg, Stadt",2008
"34",0.841271,5112,"Duisburg, Stadt",2009
"35",0.832608,5112,"Duisburg, Stadt",2010
"36",0.836359,5112,"Duisburg, Stadt",2011
"37",0.835186,5112,"Duisburg, Stadt",2012
"38",0.820111,5112,"Duisburg, Stadt",2013
"39",0.810429,5112,"Duisburg, Stadt",2014
"40",0.820747,5112,"Duisburg, Stadt",2015
"41",0.798247,5112,"Duisburg, Stadt",2016
"42",0.833645,5112,"Duisburg, Stadt",2017
"43",0.846733,5112,"Duisburg, Stadt",2018
"44",0.844286,5112,"Duisburg, Stadt",2019
"45",0.480752,5113,"Essen, Stadt",1998
"46",0.478575,5113,"Essen, Stadt",1999
"47",0.458955,5113,"Essen, Stadt",2000
"48",0.465972,5113,"Essen, Stadt",2001
"49",0.464324,5113,"Essen, Stadt",2002
"50",0.465575,5113,"Essen, Stadt",2003
"51",0.49114,5113,"Essen, Stadt",2004
"52",0.49777,5113,"Essen, Stadt",2005
"53",0.480094,5113,"Essen, Stadt",2006
"54",0.489295,5113,"Essen, Stadt",2007
"55",0.498121,5113,"Essen, Stadt",2008
"56",0.52718,5113,"Essen, Stadt",2009
"57",0.512041,5113,"Essen, Stadt",2010
"58",0.521622,5113,"Essen, Stadt",2011
"59",0.527092,5113,"Essen, Stadt",2012
"60",0.540724,5113,"Essen, Stadt",2013
"61",0.562616,5113,"Essen, Stadt",2014
"62",0.546368,5113,"Essen, Stadt",2015
"63",0.519752,5113,"Essen, Stadt",2016
"64",0.542025,5113,"Essen, Stadt",2017
"65",0.534567,5113,"Essen, Stadt",2018
"66",0.527717,5113,"Essen, Stadt",2019
"67",0.525158,5114,"Krefeld, Stadt",1998
"68",0.523064,5114,"Krefeld, Stadt",1999
"69",0.53771,5114,"Krefeld, Stadt",2000
"70",0.576235,5114,"Krefeld, Stadt",2001
"71",0.583293,5114,"Krefeld, Stadt",2002
"72",0.582144,5114,"Krefeld, Stadt",2003
"73",0.576133,5114,"Krefeld, Stadt",2004
"74",0.547015,5114,"Krefeld, Stadt",2005
"75",0.578123,5114,"Krefeld, Stadt",2006
"76",0.599499,5114,"Krefeld, Stadt",2007
"77",0.609298,5114,"Krefeld, Stadt",2008
"78",0.601953,5114,"Krefeld, Stadt",2009
"79",0.600684,5114,"Krefeld, Stadt",2010
"80",0.550927,5114,"Krefeld, Stadt",2011
"81",0.589242,5114,"Krefeld, Stadt",2012
"82",0.599231,5114,"Krefeld, Stadt",2013
"83",0.594515,5114,"Krefeld, Stadt",2014
"84",0.60471,5114,"Krefeld, Stadt",2015
"85",0.578847,5114,"Krefeld, Stadt",2016
"86",0.593513,5114,"Krefeld, Stadt",2017
"87",0.634155,5114,"Krefeld, Stadt",2018
"88",0.604714,5114,"Krefeld, Stadt",2019
"89",0.675819,5116,"Mönchengladbach, Stadt",1998
"90",0.673884,5116,"Mönchengladbach, Stadt",1999
"91",0.652261,5116,"Mönchengladbach, Stadt",2000
"92",0.688071,5116,"Mönchengladbach, Stadt",2001
"93",0.69339,5116,"Mönchengladbach, Stadt",2002
"94",0.688371,5116,"Mönchengladbach, Stadt",2003
"95",0.69169,5116,"Mönchengladbach, Stadt",2004
"96",0.679471,5116,"Mönchengladbach, Stadt",2005
"97",0.717034,5116,"Mönchengladbach, Stadt",2006
"98",0.735272,5116,"Mönchengladbach, Stadt",2007
"99",0.711588,5116,"Mönchengladbach, Stadt",2008
"100",0.744695,5116,"Mönchengladbach, Stadt",2009
"101",0.741632,5116,"Mönchengladbach, Stadt",2010
"102",0.736449,5116,"Mönchengladbach, Stadt",2011
"103",0.742361,5116,"Mönchengladbach, Stadt",2012
"104",0.764706,5116,"Mönchengladbach, Stadt",2013
"105",0.731903,5116,"Mönchengladbach, Stadt",2014
"106",0.752053,5116,"Mönchengladbach, Stadt",2015
"107",0.701167,5116,"Mönchengladbach, Stadt",2016
"108",0.731246,5116,"Mönchengladbach, Stadt",2017
"109",0.747001,5116,"Mönchengladbach, Stadt",2018
"110",0.730325,5116,"Mönchengladbach, Stadt",2019
"111",0.284281,5117,"Mülheim an der Ruhr, Stadt",1998
"112",0.285044,5117,"Mülheim an der Ruhr, Stadt",1999
"113",0.300093,5117,"Mülheim an der Ruhr, Stadt",2000
"114",0.291477,5117,"Mülheim an der Ruhr, Stadt",2001
"115",0.271936,5117,"Mülheim an der Ruhr, Stadt",2002
"116",0.29409,5117,"Mülheim an der Ruhr, Stadt",2003
"117",0.303613,5117,"Mülheim an der Ruhr, Stadt",2004
"118",0.28297,5117,"Mülheim an der Ruhr, Stadt",2005
"119",0.274787,5117,"Mülheim an der Ruhr, Stadt",2006
"120",0.318104,5117,"Mülheim an der Ruhr, Stadt",2007
"121",0.264775,5117,"Mülheim an der Ruhr, Stadt",2008
"122",0.3232,5117,"Mülheim an der Ruhr, Stadt",2009
"123",0.346418,5117,"Mülheim an der Ruhr, Stadt",2010
"124",0.363074,5117,"Mülheim an der Ruhr, Stadt",2011
"125",0.356721,5117,"Mülheim an der Ruhr, Stadt",2012
"126",0.356649,5117,"Mülheim an der Ruhr, Stadt",2013
"127",0.355738,5117,"Mülheim an der Ruhr, Stadt",2014
"128",0.390778,5117,"Mülheim an der Ruhr, Stadt",2015
"129",0.382025,5117,"Mülheim an der Ruhr, Stadt",2016
"130",0.403678,5117,"Mülheim an der Ruhr, Stadt",2017
"131",0.41973,5117,"Mülheim an der Ruhr, Stadt",2018
"132",0.402173,5117,"Mülheim an der Ruhr, Stadt",2019
"133",0.77919,5119,"Oberhausen, Stadt",1998
