"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.372966,7111,"Koblenz, Stadt",1998
"2",0.377527,7111,"Koblenz, Stadt",1999
"3",0.407751,7111,"Koblenz, Stadt",2000
"4",0.409197,7111,"Koblenz, Stadt",2001
"5",0.442409,7111,"Koblenz, Stadt",2002
"6",0.416462,7111,"Koblenz, Stadt",2003
"7",0.396162,7111,"Koblenz, Stadt",2004
"8",0.426003,7111,"Koblenz, Stadt",2005
"9",0.415086,7111,"Koblenz, Stadt",2006
"10",0.420151,7111,"Koblenz, Stadt",2007
"11",0.443536,7111,"Koblenz, Stadt",2008
"12",0.439957,7111,"Koblenz, Stadt",2009
"13",0.47492,7111,"Koblenz, Stadt",2010
"14",0.423244,7111,"Koblenz, Stadt",2011
"15",0.455374,7111,"Koblenz, Stadt",2012
"16",0.449542,7111,"Koblenz, Stadt",2013
"17",0.458842,7111,"Koblenz, Stadt",2014
"18",0.437203,7111,"Koblenz, Stadt",2015
"19",0.425375,7111,"Koblenz, Stadt",2016
"20",0.434335,7111,"Koblenz, Stadt",2017
"21",0.432284,7111,"Koblenz, Stadt",2018
"22",0.406196,7111,"Koblenz, Stadt",2019
"23",0.456471,7131,"Ahrweiler",1998
"24",0.469212,7131,"Ahrweiler",1999
"25",0.478964,7131,"Ahrweiler",2000
"26",0.509286,7131,"Ahrweiler",2001
"27",0.580467,7131,"Ahrweiler",2002
"28",0.586963,7131,"Ahrweiler",2003
"29",0.548424,7131,"Ahrweiler",2004
"30",0.494452,7131,"Ahrweiler",2005
"31",0.503516,7131,"Ahrweiler",2006
"32",0.508842,7131,"Ahrweiler",2007
"33",0.564202,7131,"Ahrweiler",2008
"34",0.53269,7131,"Ahrweiler",2009
"35",0.554531,7131,"Ahrweiler",2010
"36",0.505274,7131,"Ahrweiler",2011
"37",0.519482,7131,"Ahrweiler",2012
"38",0.532713,7131,"Ahrweiler",2013
"39",0.504834,7131,"Ahrweiler",2014
"40",0.512725,7131,"Ahrweiler",2015
"41",0.489222,7131,"Ahrweiler",2016
"42",0.488559,7131,"Ahrweiler",2017
"43",0.502399,7131,"Ahrweiler",2018
"44",0.513631,7131,"Ahrweiler",2019
"45",0.637881,7132,"Altenkirchen (Westerwald)",1998
"46",0.649583,7132,"Altenkirchen (Westerwald)",1999
"47",0.700804,7132,"Altenkirchen (Westerwald)",2000
"48",0.681272,7132,"Altenkirchen (Westerwald)",2001
"49",0.719265,7132,"Altenkirchen (Westerwald)",2002
"50",0.722928,7132,"Altenkirchen (Westerwald)",2003
"51",0.694465,7132,"Altenkirchen (Westerwald)",2004
"52",0.715511,7132,"Altenkirchen (Westerwald)",2005
"53",0.720945,7132,"Altenkirchen (Westerwald)",2006
"54",0.722681,7132,"Altenkirchen (Westerwald)",2007
"55",0.719277,7132,"Altenkirchen (Westerwald)",2008
"56",0.789237,7132,"Altenkirchen (Westerwald)",2009
"57",0.775731,7132,"Altenkirchen (Westerwald)",2010
"58",0.701734,7132,"Altenkirchen (Westerwald)",2011
