"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.88773,10041,"Regionalverband Saarbrücken",1998
"2",0.871623,10041,"Regionalverband Saarbrücken",1999
"3",0.817507,10041,"Regionalverband Saarbrücken",2000
"4",0.761781,10041,"Regionalverband Saarbrücken",2001
"5",0.609543,10041,"Regionalverband Saarbrücken",2002
"6",0.691401,10041,"Regionalverband Saarbrücken",2003
"7",0.647571,10041,"Regionalverband Saarbrücken",2004
"8",0.611969,10041,"Regionalverband Saarbrücken",2005
"9",0.654408,10041,"Regionalverband Saarbrücken",2006
"10",0.662541,10041,"Regionalverband Saarbrücken",2007
"11",0.738579,10041,"Regionalverband Saarbrücken",2008
"12",0.690064,10041,"Regionalverband Saarbrücken",2009
"13",0.645533,10041,"Regionalverband Saarbrücken",2010
"14",0.660387,10041,"Regionalverband Saarbrücken",2011
"15",0.643513,10041,"Regionalverband Saarbrücken",2012
"16",0.697869,10041,"Regionalverband Saarbrücken",2013
"17",0.710301,10041,"Regionalverband Saarbrücken",2014
"18",0.698464,10041,"Regionalverband Saarbrücken",2015
"19",0.70318,10041,"Regionalverband Saarbrücken",2016
"20",0.673712,10041,"Regionalverband Saarbrücken",2017
"21",0.748239,10041,"Regionalverband Saarbrücken",2018
"22",0.657131,10041,"Regionalverband Saarbrücken",2019
"23",0.87617,10042,"Merzig-Wadern",1998
"24",0.86023,10042,"Merzig-Wadern",1999
"25",0.682165,10042,"Merzig-Wadern",2000
"26",0.771027,10042,"Merzig-Wadern",2001
"27",0.729958,10042,"Merzig-Wadern",2002
"28",0.786139,10042,"Merzig-Wadern",2003
"29",0.683861,10042,"Merzig-Wadern",2004
"30",0.761909,10042,"Merzig-Wadern",2005
"31",0.801774,10042,"Merzig-Wadern",2006
"32",0.85197,10042,"Merzig-Wadern",2007
"33",0.955546,10042,"Merzig-Wadern",2008
"34",0.892478,10042,"Merzig-Wadern",2009
"35",0.911145,10042,"Merzig-Wadern",2010
"36",0.904266,10042,"Merzig-Wadern",2011
"37",0.967999,10042,"Merzig-Wadern",2012
"38",0.991863,10042,"Merzig-Wadern",2013
"39",0.977982,10042,"Merzig-Wadern",2014
"40",0.948912,10042,"Merzig-Wadern",2015
"41",1,10042,"Merzig-Wadern",2016
"42",1,10042,"Merzig-Wadern",2017
"43",0.978261,10042,"Merzig-Wadern",2018
"44",0.8255,10042,"Merzig-Wadern",2019
"45",1,10043,"Neunkirchen",1998
"46",1,10043,"Neunkirchen",1999
"47",1,10043,"Neunkirchen",2000
"48",1,10043,"Neunkirchen",2001
"49",1,10043,"Neunkirchen",2002
"50",1,10043,"Neunkirchen",2003
"51",1,10043,"Neunkirchen",2004
"52",1,10043,"Neunkirchen",2005
"53",1,10043,"Neunkirchen",2006
"54",1,10043,"Neunkirchen",2007
"55",1,10043,"Neunkirchen",2008
"56",1,10043,"Neunkirchen",2009
"57",1,10043,"Neunkirchen",2010
"58",1,10043,"Neunkirchen",2011
"59",1,10043,"Neunkirchen",2012
"60",1,10043,"Neunkirchen",2013
"61",1,10043,"Neunkirchen",2014
"62",1,10043,"Neunkirchen",2015
"63",0.97688,10043,"Neunkirchen",2016
"64",0.944089,10043,"Neunkirchen",2017
"65",1,10043,"Neunkirchen",2018
"66",1,10043,"Neunkirchen",2019
"67",0.536511,10044,"Saarlouis",1998
"68",0.54861,10044,"Saarlouis",1999
"69",0.476514,10044,"Saarlouis",2000
"70",0.531551,10044,"Saarlouis",2001
"71",0.456382,10044,"Saarlouis",2002
"72",0.526949,10044,"Saarlouis",2003
"73",0.480374,10044,"Saarlouis",2004
"74",0.451762,10044,"Saarlouis",2005
"75",0.456361,10044,"Saarlouis",2006
"76",0.572201,10044,"Saarlouis",2007
"77",0.559073,10044,"Saarlouis",2008
"78",0.502982,10044,"Saarlouis",2009
"79",0.478466,10044,"Saarlouis",2010
"80",0.504344,10044,"Saarlouis",2011
"81",0.575442,10044,"Saarlouis",2012
"82",0.52664,10044,"Saarlouis",2013
"83",0.537309,10044,"Saarlouis",2014
"84",0.553222,10044,"Saarlouis",2015
"85",0.506395,10044,"Saarlouis",2016
"86",0.508221,10044,"Saarlouis",2017
"87",0.56662,10044,"Saarlouis",2018
"88",0.535706,10044,"Saarlouis",2019
"89",0,10045,"Saarpfalz-Kreis",1998
"90",0,10045,"Saarpfalz-Kreis",1999
"91",0,10045,"Saarpfalz-Kreis",2000
"92",0,10045,"Saarpfalz-Kreis",2001
"93",0,10045,"Saarpfalz-Kreis",2002
"94",0,10045,"Saarpfalz-Kreis",2003
"95",0,10045,"Saarpfalz-Kreis",2004
"96",0,10045,"Saarpfalz-Kreis",2005
"97",0,10045,"Saarpfalz-Kreis",2006
"98",0,10045,"Saarpfalz-Kreis",2007
"99",0,10045,"Saarpfalz-Kreis",2008
"100",0,10045,"Saarpfalz-Kreis",2009
"101",0,10045,"Saarpfalz-Kreis",2010
"102",0,10045,"Saarpfalz-Kreis",2011
"103",0,10045,"Saarpfalz-Kreis",2012
"104",0,10045,"Saarpfalz-Kreis",2013
"105",0,10045,"Saarpfalz-Kreis",2014
"106",0,10045,"Saarpfalz-Kreis",2015
"107",0,10045,"Saarpfalz-Kreis",2016
"108",0,10045,"Saarpfalz-Kreis",2017
"109",0,10045,"Saarpfalz-Kreis",2018
"110",0,10045,"Saarpfalz-Kreis",2019
"111",0.254848,10046,"St. Wendel",1998
"112",0.268541,10046,"St. Wendel",1999
"113",0.020164,10046,"St. Wendel",2000
"114",0.112037,10046,"St. Wendel",2001
"115",0.146842,10046,"St. Wendel",2002
"116",0.122473,10046,"St. Wendel",2003
"117",0.124606,10046,"St. Wendel",2004
"118",0.210815,10046,"St. Wendel",2005
"119",0.217776,10046,"St. Wendel",2006
"120",0.336016,10046,"St. Wendel",2007
"121",0.294966,10046,"St. Wendel",2008
"122",0.138106,10046,"St. Wendel",2009
"123",0.08011,10046,"St. Wendel",2010
"124",0.267045,10046,"St. Wendel",2011
"125",0.221046,10046,"St. Wendel",2012
"126",0.246799,10046,"St. Wendel",2013
"127",0.588684,10046,"St. Wendel",2014
"128",0.54371,10046,"St. Wendel",2015
"129",0.40055,10046,"St. Wendel",2016
"130",0.463717,10046,"St. Wendel",2017
"131",0.437809,10046,"St. Wendel",2018
"132",0.387431,10046,"St. Wendel",2019
