"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.343302,15001,"Dessau-Roßlau, Stadt",1998
"2",0.310296,15001,"Dessau-Roßlau, Stadt",1999
"3",0.31755,15001,"Dessau-Roßlau, Stadt",2000
"4",0.154443,15001,"Dessau-Roßlau, Stadt",2001
"5",0.142625,15001,"Dessau-Roßlau, Stadt",2002
"6",0.063137,15001,"Dessau-Roßlau, Stadt",2003
"7",0.07523,15001,"Dessau-Roßlau, Stadt",2004
"8",0.120294,15001,"Dessau-Roßlau, Stadt",2005
"9",0.148417,15001,"Dessau-Roßlau, Stadt",2006
"10",0.251657,15001,"Dessau-Roßlau, Stadt",2007
"11",0.342998,15001,"Dessau-Roßlau, Stadt",2008
"12",0.073846,15001,"Dessau-Roßlau, Stadt",2009
"13",0.182788,15001,"Dessau-Roßlau, Stadt",2010
"14",0.212706,15001,"Dessau-Roßlau, Stadt",2011
"15",0.153075,15001,"Dessau-Roßlau, Stadt",2012
"16",0.231742,15001,"Dessau-Roßlau, Stadt",2013
"17",0.122088,15001,"Dessau-Roßlau, Stadt",2014
"18",0.1628,15001,"Dessau-Roßlau, Stadt",2015
"19",0.198477,15001,"Dessau-Roßlau, Stadt",2016
"20",0.226622,15001,"Dessau-Roßlau, Stadt",2017
"21",0.206094,15001,"Dessau-Roßlau, Stadt",2018
"22",0.155442,15001,"Dessau-Roßlau, Stadt",2019
"23",0.580765,15002,"Halle (Saale), Stadt",1998
"24",0.530879,15002,"Halle (Saale), Stadt",1999
"25",0.283847,15002,"Halle (Saale), Stadt",2000
"26",0.336728,15002,"Halle (Saale), Stadt",2001
"27",0.223142,15002,"Halle (Saale), Stadt",2002
"28",0.243599,15002,"Halle (Saale), Stadt",2003
"29",0.150232,15002,"Halle (Saale), Stadt",2004
"30",0.153973,15002,"Halle (Saale), Stadt",2005
"31",0.255352,15002,"Halle (Saale), Stadt",2006
"32",0.344714,15002,"Halle (Saale), Stadt",2007
"33",0.384854,15002,"Halle (Saale), Stadt",2008
"34",0.186954,15002,"Halle (Saale), Stadt",2009
"35",0.343276,15002,"Halle (Saale), Stadt",2010
