"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.445041,14511,"Chemnitz, Stadt",1998
"2",0.460385,14511,"Chemnitz, Stadt",1999
"3",0.465774,14511,"Chemnitz, Stadt",2000
"4",0.463459,14511,"Chemnitz, Stadt",2001
"5",0.500204,14511,"Chemnitz, Stadt",2002
"6",0.497712,14511,"Chemnitz, Stadt",2003
"7",0.497674,14511,"Chemnitz, Stadt",2004
"8",0.526855,14511,"Chemnitz, Stadt",2005
"9",0.476101,14511,"Chemnitz, Stadt",2006
"10",0.483266,14511,"Chemnitz, Stadt",2007
"11",0.494785,14511,"Chemnitz, Stadt",2008
"12",0.506946,14511,"Chemnitz, Stadt",2009
"13",0.516638,14511,"Chemnitz, Stadt",2010
"14",0.505651,14511,"Chemnitz, Stadt",2011
"15",0.522768,14511,"Chemnitz, Stadt",2012
"16",0.553482,14511,"Chemnitz, Stadt",2013
"17",0.560942,14511,"Chemnitz, Stadt",2014
"18",0.5698,14511,"Chemnitz, Stadt",2015
"19",0.573613,14511,"Chemnitz, Stadt",2016
"20",0.637179,14511,"Chemnitz, Stadt",2017
"21",0.59757,14511,"Chemnitz, Stadt",2018
"22",0.607715,14511,"Chemnitz, Stadt",2019
"23",0.852381,14521,"Erzgebirgskreis",1998
"24",0.849482,14521,"Erzgebirgskreis",1999
"25",0.890142,14521,"Erzgebirgskreis",2000
"26",0.872571,14521,"Erzgebirgskreis",2001
"27",0.894862,14521,"Erzgebirgskreis",2002
"28",0.901117,14521,"Erzgebirgskreis",2003
"29",0.855842,14521,"Erzgebirgskreis",2004
"30",0.86104,14521,"Erzgebirgskreis",2005
"31",0.872818,14521,"Erzgebirgskreis",2006
"32",0.808607,14521,"Erzgebirgskreis",2007
"33",0.796586,14521,"Erzgebirgskreis",2008
"34",0.861751,14521,"Erzgebirgskreis",2009
"35",0.834218,14521,"Erzgebirgskreis",2010
"36",0.804313,14521,"Erzgebirgskreis",2011
"37",0.804611,14521,"Erzgebirgskreis",2012
"38",0.845872,14521,"Erzgebirgskreis",2013
"39",0.864363,14521,"Erzgebirgskreis",2014
"40",0.85319,14521,"Erzgebirgskreis",2015
"41",0.849576,14521,"Erzgebirgskreis",2016
"42",0.840138,14521,"Erzgebirgskreis",2017
"43",0.84033,14521,"Erzgebirgskreis",2018
"44",0.843403,14521,"Erzgebirgskreis",2019
"45",0.703172,14522,"Mittelsachsen",1998
"46",0.710034,14522,"Mittelsachsen",1999
"47",0.730724,14522,"Mittelsachsen",2000
"48",0.781055,14522,"Mittelsachsen",2001
"49",0.76041,14522,"Mittelsachsen",2002
"50",0.745947,14522,"Mittelsachsen",2003
"51",0.716963,14522,"Mittelsachsen",2004
"52",0.75086,14522,"Mittelsachsen",2005
"53",0.685929,14522,"Mittelsachsen",2006
"54",0.672815,14522,"Mittelsachsen",2007
"55",0.666012,14522,"Mittelsachsen",2008
"56",0.705009,14522,"Mittelsachsen",2009
