"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.902655,1001,"Flensburg, Stadt",1998
"2",0.929945,1001,"Flensburg, Stadt",1999
"3",0.942269,1001,"Flensburg, Stadt",2000
"4",0.938535,1001,"Flensburg, Stadt",2001
"5",0.94399,1001,"Flensburg, Stadt",2002
"6",0.814819,1001,"Flensburg, Stadt",2003
"7",0.916497,1001,"Flensburg, Stadt",2004
"8",1,1001,"Flensburg, Stadt",2005
"9",0.967311,1001,"Flensburg, Stadt",2006
"10",0.967256,1001,"Flensburg, Stadt",2007
"11",0.875106,1001,"Flensburg, Stadt",2008
"12",0.940048,1001,"Flensburg, Stadt",2009
"13",0.898799,1001,"Flensburg, Stadt",2010
"14",0.790843,1001,"Flensburg, Stadt",2011
"15",0.791926,1001,"Flensburg, Stadt",2012
"16",0.829435,1001,"Flensburg, Stadt",2013
"17",0.870448,1001,"Flensburg, Stadt",2014
"18",0.838406,1001,"Flensburg, Stadt",2015
"19",0.812315,1001,"Flensburg, Stadt",2016
"20",0.827705,1001,"Flensburg, Stadt",2017
"21",0.769147,1001,"Flensburg, Stadt",2018
"22",0.778806,1001,"Flensburg, Stadt",2019
"23",0.551138,1002,"Kiel, Stadt",1998
"24",0.548322,1002,"Kiel, Stadt",1999
"25",0.634204,1002,"Kiel, Stadt",2000
"26",0.616666,1002,"Kiel, Stadt",2001
"27",0.566494,1002,"Kiel, Stadt",2002
"28",0.52978,1002,"Kiel, Stadt",2003
"29",0.563248,1002,"Kiel, Stadt",2004
"30",0.60882,1002,"Kiel, Stadt",2005
"31",0.613081,1002,"Kiel, Stadt",2006
"32",0.613042,1002,"Kiel, Stadt",2007
"33",0.529345,1002,"Kiel, Stadt",2008
"34",0.477679,1002,"Kiel, Stadt",2009
"35",0.4665,1002,"Kiel, Stadt",2010
"36",0.435278,1002,"Kiel, Stadt",2011
"37",0.43777,1002,"Kiel, Stadt",2012
"38",0.432715,1002,"Kiel, Stadt",2013
"39",0.451905,1002,"Kiel, Stadt",2014
"40",0.407251,1002,"Kiel, Stadt",2015
"41",0.385397,1002,"Kiel, Stadt",2016
"42",0.381055,1002,"Kiel, Stadt",2017
"43",0.358165,1002,"Kiel, Stadt",2018
"44",0.337763,1002,"Kiel, Stadt",2019
"45",0.800763,1003,"Lübeck, Stadt",1998
"46",0.812069,1003,"Lübeck, Stadt",1999
"47",0.947809,1003,"Lübeck, Stadt",2000
"48",0.977585,1003,"Lübeck, Stadt",2001
"49",0.935593,1003,"Lübeck, Stadt",2002
"50",0.815848,1003,"Lübeck, Stadt",2003
"51",0.817162,1003,"Lübeck, Stadt",2004
"52",0.918631,1003,"Lübeck, Stadt",2005
"53",0.855941,1003,"Lübeck, Stadt",2006
"54",0.854776,1003,"Lübeck, Stadt",2007
"55",0.781943,1003,"Lübeck, Stadt",2008
"56",0.784588,1003,"Lübeck, Stadt",2009
"57",0.74721,1003,"Lübeck, Stadt",2010
"58",0.778231,1003,"Lübeck, Stadt",2011
"59",0.796678,1003,"Lübeck, Stadt",2012
"60",0.728298,1003,"Lübeck, Stadt",2013
"61",0.802066,1003,"Lübeck, Stadt",2014
"62",0.719425,1003,"Lübeck, Stadt",2015
"63",0.648754,1003,"Lübeck, Stadt",2016
"64",0.670882,1003,"Lübeck, Stadt",2017
"65",0.612624,1003,"Lübeck, Stadt",2018
"66",0.593506,1003,"Lübeck, Stadt",2019
"67",1,1004,"Neumünster, Stadt",1998
"68",1,1004,"Neumünster, Stadt",1999
"69",1,1004,"Neumünster, Stadt",2000
"70",1,1004,"Neumünster, Stadt",2001
"71",1,1004,"Neumünster, Stadt",2002
"72",1,1004,"Neumünster, Stadt",2003
"73",1,1004,"Neumünster, Stadt",2004
"74",0.999388,1004,"Neumünster, Stadt",2005
"75",1,1004,"Neumünster, Stadt",2006
"76",1,1004,"Neumünster, Stadt",2007
"77",1,1004,"Neumünster, Stadt",2008
"78",1,1004,"Neumünster, Stadt",2009
"79",1,1004,"Neumünster, Stadt",2010
"80",1,1004,"Neumünster, Stadt",2011
"81",1,1004,"Neumünster, Stadt",2012
"82",1,1004,"Neumünster, Stadt",2013
"83",1,1004,"Neumünster, Stadt",2014
"84",1,1004,"Neumünster, Stadt",2015
"85",1,1004,"Neumünster, Stadt",2016
"86",1,1004,"Neumünster, Stadt",2017
"87",1,1004,"Neumünster, Stadt",2018
"88",1,1004,"Neumünster, Stadt",2019
"89",0.761129,1051,"Dithmarschen",1998
"90",0.786614,1051,"Dithmarschen",1999
"91",0.919955,1051,"Dithmarschen",2000
"92",0.996875,1051,"Dithmarschen",2001
"93",0.988726,1051,"Dithmarschen",2002
"94",0.85214,1051,"Dithmarschen",2003
"95",0.909545,1051,"Dithmarschen",2004
"96",0.968651,1051,"Dithmarschen",2005
"97",0.89314,1051,"Dithmarschen",2006
"98",0.904442,1051,"Dithmarschen",2007
"99",0.855777,1051,"Dithmarschen",2008
"100",0.899506,1051,"Dithmarschen",2009
"101",0.843673,1051,"Dithmarschen",2010
"102",0.829948,1051,"Dithmarschen",2011
"103",0.86349,1051,"Dithmarschen",2012
"104",0.795066,1051,"Dithmarschen",2013
"105",0.855024,1051,"Dithmarschen",2014
"106",0.793837,1051,"Dithmarschen",2015
"107",0.792285,1051,"Dithmarschen",2016
"108",0.764092,1051,"Dithmarschen",2017
"109",0.746888,1051,"Dithmarschen",2018
"110",0.72512,1051,"Dithmarschen",2019
"111",0.422503,1053,"Herzogtum Lauenburg",1998
"112",0.448622,1053,"Herzogtum Lauenburg",1999
"113",0.567263,1053,"Herzogtum Lauenburg",2000
"114",0.593901,1053,"Herzogtum Lauenburg",2001
"115",0.62438,1053,"Herzogtum Lauenburg",2002
"116",0.569078,1053,"Herzogtum Lauenburg",2003
"117",0.553583,1053,"Herzogtum Lauenburg",2004
"118",0.548251,1053,"Herzogtum Lauenburg",2005
"119",0.537148,1053,"Herzogtum Lauenburg",2006
"120",0.52654,1053,"Herzogtum Lauenburg",2007
"121",0.488849,1053,"Herzogtum Lauenburg",2008
"122",0.470286,1053,"Herzogtum Lauenburg",2009
"123",0.471112,1053,"Herzogtum Lauenburg",2010
"124",0.427691,1053,"Herzogtum Lauenburg",2011
"125",0.44531,1053,"Herzogtum Lauenburg",2012
"126",0.461684,1053,"Herzogtum Lauenburg",2013
"127",0.434103,1053,"Herzogtum Lauenburg",2014
"128",0.432234,1053,"Herzogtum Lauenburg",2015
"129",0.431362,1053,"Herzogtum Lauenburg",2016
"130",0.39122,1053,"Herzogtum Lauenburg",2017
"131",0.4161,1053,"Herzogtum Lauenburg",2018
"132",0.378351,1053,"Herzogtum Lauenburg",2019
"133",0.573463,1054,"Nordfriesland",1998
"134",0.594043,1054,"Nordfriesland",1999
"135",0.798719,1054,"Nordfriesland",2000
"136",0.858852,1054,"Nordfriesland",2001
