"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.577066,16051,"Erfurt, Stadt",1998
"2",0.568954,16051,"Erfurt, Stadt",1999
"3",0.564873,16051,"Erfurt, Stadt",2000
"4",0.547908,16051,"Erfurt, Stadt",2001
"5",0.55996,16051,"Erfurt, Stadt",2002
"6",0.549204,16051,"Erfurt, Stadt",2003
"7",0.613158,16051,"Erfurt, Stadt",2004
"8",0.624065,16051,"Erfurt, Stadt",2005
"9",0.600827,16051,"Erfurt, Stadt",2006
"10",0.632969,16051,"Erfurt, Stadt",2007
"11",0.641541,16051,"Erfurt, Stadt",2008
"12",0.615549,16051,"Erfurt, Stadt",2009
"13",0.620791,16051,"Erfurt, Stadt",2010
"14",0.626695,16051,"Erfurt, Stadt",2011
"15",0.595235,16051,"Erfurt, Stadt",2012
"16",0.576359,16051,"Erfurt, Stadt",2013
"17",0.577914,16051,"Erfurt, Stadt",2014
"18",0.604872,16051,"Erfurt, Stadt",2015
"19",0.557052,16051,"Erfurt, Stadt",2016
"20",0.636588,16051,"Erfurt, Stadt",2017
"21",0.604855,16051,"Erfurt, Stadt",2018
"22",0.596343,16051,"Erfurt, Stadt",2019
"23",0.790606,16052,"Gera, Stadt",1998
"24",0.787982,16052,"Gera, Stadt",1999
"25",0.758647,16052,"Gera, Stadt",2000
"26",0.77013,16052,"Gera, Stadt",2001
"27",0.741523,16052,"Gera, Stadt",2002
"28",0.76145,16052,"Gera, Stadt",2003
"29",0.799084,16052,"Gera, Stadt",2004
"30",0.835861,16052,"Gera, Stadt",2005
"31",0.831383,16052,"Gera, Stadt",2006
"32",0.868393,16052,"Gera, Stadt",2007
"33",0.892044,16052,"Gera, Stadt",2008
"34",0.968739,16052,"Gera, Stadt",2009
"35",0.92179,16052,"Gera, Stadt",2010
"36",0.941525,16052,"Gera, Stadt",2011
"37",0.869993,16052,"Gera, Stadt",2012
"38",0.853343,16052,"Gera, Stadt",2013
"39",0.853526,16052,"Gera, Stadt",2014
"40",0.883647,16052,"Gera, Stadt",2015
"41",0.858373,16052,"Gera, Stadt",2016
"42",0.908964,16052,"Gera, Stadt",2017
"43",0.928308,16052,"Gera, Stadt",2018
"44",0.941778,16052,"Gera, Stadt",2019
"45",0,16053,"Jena, Stadt",1998
"46",0,16053,"Jena, Stadt",1999
"47",0,16053,"Jena, Stadt",2000
"48",0,16053,"Jena, Stadt",2001
"49",0,16053,"Jena, Stadt",2002
"50",0,16053,"Jena, Stadt",2003
"51",0,16053,"Jena, Stadt",2004
"52",0,16053,"Jena, Stadt",2005
"53",0,16053,"Jena, Stadt",2006
"54",0,16053,"Jena, Stadt",2007
"55",0,16053,"Jena, Stadt",2008
"56",0,16053,"Jena, Stadt",2009
"57",0,16053,"Jena, Stadt",2010
"58",0,16053,"Jena, Stadt",2011
"59",0,16053,"Jena, Stadt",2012
"60",0,16053,"Jena, Stadt",2013
"61",0,16053,"Jena, Stadt",2014
"62",0,16053,"Jena, Stadt",2015
"63",0,16053,"Jena, Stadt",2016
"64",0,16053,"Jena, Stadt",2017
"65",0,16053,"Jena, Stadt",2018
"66",0,16053,"Jena, Stadt",2019
"67",0.607062,16054,"Suhl, Stadt",1998
"68",0.599628,16054,"Suhl, Stadt",1999
"69",0.669398,16054,"Suhl, Stadt",2000
"70",0.61926,16054,"Suhl, Stadt",2001
"71",0.618371,16054,"Suhl, Stadt",2002
"72",0.572897,16054,"Suhl, Stadt",2003
"73",0.617043,16054,"Suhl, Stadt",2004
"74",0.631804,16054,"Suhl, Stadt",2005
"75",0.727178,16054,"Suhl, Stadt",2006
"76",0.694553,16054,"Suhl, Stadt",2007
"77",0.699625,16054,"Suhl, Stadt",2008
"78",0.74874,16054,"Suhl, Stadt",2009
"79",0.73985,16054,"Suhl, Stadt",2010
"80",0.713902,16054,"Suhl, Stadt",2011
"81",0.642551,16054,"Suhl, Stadt",2012
"82",0.657135,16054,"Suhl, Stadt",2013
"83",0.715864,16054,"Suhl, Stadt",2014
"84",0.673146,16054,"Suhl, Stadt",2015
"85",0.700713,16054,"Suhl, Stadt",2016
"86",0.716255,16054,"Suhl, Stadt",2017
"87",0.705648,16054,"Suhl, Stadt",2018
"88",0.779595,16054,"Suhl, Stadt",2019
"89",0.571003,16055,"Weimar, Stadt",1998
"90",0.562687,16055,"Weimar, Stadt",1999
"91",0.555158,16055,"Weimar, Stadt",2000
"92",0.523908,16055,"Weimar, Stadt",2001
"93",0.476718,16055,"Weimar, Stadt",2002
"94",0.543731,16055,"Weimar, Stadt",2003
"95",0.556959,16055,"Weimar, Stadt",2004
"96",0.557311,16055,"Weimar, Stadt",2005
"97",0.633807,16055,"Weimar, Stadt",2006
"98",0.598588,16055,"Weimar, Stadt",2007
"99",0.592439,16055,"Weimar, Stadt",2008
"100",0.551974,16055,"Weimar, Stadt",2009
"101",0.569206,16055,"Weimar, Stadt",2010
"102",0.565892,16055,"Weimar, Stadt",2011
"103",0.487407,16055,"Weimar, Stadt",2012
"104",0.473641,16055,"Weimar, Stadt",2013
"105",0.444415,16055,"Weimar, Stadt",2014
"106",0.490262,16055,"Weimar, Stadt",2015
"107",0.447428,16055,"Weimar, Stadt",2016
"108",0.508398,16055,"Weimar, Stadt",2017
"109",0.501769,16055,"Weimar, Stadt",2018
"110",0.490301,16055,"Weimar, Stadt",2019
"111",0.574348,16056,"Eisenach, Stadt",1998
"112",0.587093,16056,"Eisenach, Stadt",1999
"113",0.587001,16056,"Eisenach, Stadt",2000
"114",0.615168,16056,"Eisenach, Stadt",2001
"115",0.616646,16056,"Eisenach, Stadt",2002
"116",0.574167,16056,"Eisenach, Stadt",2003
"117",0.596062,16056,"Eisenach, Stadt",2004
"118",0.660806,16056,"Eisenach, Stadt",2005
"119",0.642154,16056,"Eisenach, Stadt",2006
"120",0.661292,16056,"Eisenach, Stadt",2007
"121",0.712898,16056,"Eisenach, Stadt",2008
"122",0.798081,16056,"Eisenach, Stadt",2009
"123",0.794835,16056,"Eisenach, Stadt",2010
"124",0.791301,16056,"Eisenach, Stadt",2011
"125",0.770458,16056,"Eisenach, Stadt",2012
"126",0.766847,16056,"Eisenach, Stadt",2013
"127",0.794388,16056,"Eisenach, Stadt",2014
"128",0.760568,16056,"Eisenach, Stadt",2015
"129",0.752908,16056,"Eisenach, Stadt",2016
"130",0.89513,16056,"Eisenach, Stadt",2017
"131",0.846517,16056,"Eisenach, Stadt",2018
"132",0.8165,16056,"Eisenach, Stadt",2019
"133",0.59273,16061,"Eichsfeld",1998
"134",0.5932,16061,"Eichsfeld",1999
"135",0.594683,16061,"Eichsfeld",2000
"136",0.619571,16061,"Eichsfeld",2001
"137",0.630231,16061,"Eichsfeld",2002
"138",0.616145,16061,"Eichsfeld",2003
"139",0.612786,16061,"Eichsfeld",2004
"140",0.634274,16061,"Eichsfeld",2005
"141",0.64011,16061,"Eichsfeld",2006
"142",0.646438,16061,"Eichsfeld",2007
"143",0.65413,16061,"Eichsfeld",2008
"144",0.759531,16061,"Eichsfeld",2009
"145",0.741507,16061,"Eichsfeld",2010
"146",0.749026,16061,"Eichsfeld",2011
"147",0.722523,16061,"Eichsfeld",2012
"148",0.707377,16061,"Eichsfeld",2013
"149",0.747888,16061,"Eichsfeld",2014
"150",0.753029,16061,"Eichsfeld",2015
"151",0.72946,16061,"Eichsfeld",2016
"152",0.771095,16061,"Eichsfeld",2017
"153",0.728739,16061,"Eichsfeld",2018
"154",0.771303,16061,"Eichsfeld",2019
"155",0.840895,16062,"Nordhausen",1998
"156",0.83795,16062,"Nordhausen",1999
"157",0.816462,16062,"Nordhausen",2000
"158",0.832456,16062,"Nordhausen",2001
"159",0.833606,16062,"Nordhausen",2002
"160",0.811234,16062,"Nordhausen",2003
"161",0.818005,16062,"Nordhausen",2004
"162",0.811333,16062,"Nordhausen",2005
"163",0.849329,16062,"Nordhausen",2006
"164",0.869317,16062,"Nordhausen",2007
"165",0.888191,16062,"Nordhausen",2008
"166",0.924854,16062,"Nordhausen",2009
"167",0.944835,16062,"Nordhausen",2010
"168",0.94182,16062,"Nordhausen",2011
"169",0.893711,16062,"Nordhausen",2012
"170",0.891483,16062,"Nordhausen",2013
"171",0.881778,16062,"Nordhausen",2014
"172",0.869624,16062,"Nordhausen",2015
"173",0.872223,16062,"Nordhausen",2016
"174",0.907103,16062,"Nordhausen",2017
"175",0.919834,16062,"Nordhausen",2018
"176",0.941568,16062,"Nordhausen",2019
"177",0.446647,16063,"Wartburgkreis",1998
"178",0.45311,16063,"Wartburgkreis",1999
"179",0.522474,16063,"Wartburgkreis",2000
"180",0.537951,16063,"Wartburgkreis",2001
"181",0.526731,16063,"Wartburgkreis",2002
"182",0.511283,16063,"Wartburgkreis",2003
"183",0.522517,16063,"Wartburgkreis",2004
"184",0.541959,16063,"Wartburgkreis",2005
"185",0.553582,16063,"Wartburgkreis",2006
"186",0.549006,16063,"Wartburgkreis",2007
"187",0.573758,16063,"Wartburgkreis",2008
"188",0.629178,16063,"Wartburgkreis",2009
"189",0.609194,16063,"Wartburgkreis",2010
"190",0.601947,16063,"Wartburgkreis",2011
"191",0.584603,16063,"Wartburgkreis",2012
"192",0.556274,16063,"Wartburgkreis",2013
"193",0.646078,16063,"Wartburgkreis",2014
"194",0.649601,16063,"Wartburgkreis",2015
