"ror_id","gisd_score","gisd_5","gisd_10","gisd_k","ror_name","year"
"0101",0.58048,4,7,2,"Schleswig-Holstein Mitte",1998
"0101",0.58152,4,7,2,"Schleswig-Holstein Mitte",1999
"0101",0.51491,4,7,2,"Schleswig-Holstein Mitte",2000
"0101",0.51526,4,7,2,"Schleswig-Holstein Mitte",2001
"0101",0.50557,3,6,2,"Schleswig-Holstein Mitte",2002
"0101",0.50512,3,6,2,"Schleswig-Holstein Mitte",2003
"0101",0.51794,4,7,2,"Schleswig-Holstein Mitte",2004
"0101",0.53787,4,7,2,"Schleswig-Holstein Mitte",2005
"0101",0.56998,4,7,2,"Schleswig-Holstein Mitte",2006
"0101",0.58735,4,7,2,"Schleswig-Holstein Mitte",2007
"0101",0.62496,4,7,2,"Schleswig-Holstein Mitte",2008
"0101",0.60415,3,6,2,"Schleswig-Holstein Mitte",2009
"0101",0.61786,4,7,2,"Schleswig-Holstein Mitte",2010
"0101",0.6214,4,7,2,"Schleswig-Holstein Mitte",2011
"0101",0.64331,4,7,2,"Schleswig-Holstein Mitte",2012
"0101",0.68779,4,7,2,"Schleswig-Holstein Mitte",2013
"0101",0.7192,4,7,2,"Schleswig-Holstein Mitte",2014
"0101",0.71751,4,7,2,"Schleswig-Holstein Mitte",2015
"0101",0.74095,4,7,2,"Schleswig-Holstein Mitte",2016
"0101",0.74624,4,7,2,"Schleswig-Holstein Mitte",2017
"0101",0.70319,4,7,2,"Schleswig-Holstein Mitte",2018
"0101",0.71915,4,7,2,"Schleswig-Holstein Mitte",2019
"0101",0.7208,4,7,2,"Schleswig-Holstein Mitte",2020
"0102",0.6086,4,7,2,"Schleswig-Holstein Nord",1998
"0102",0.63557,4,7,2,"Schleswig-Holstein Nord",1999
"0102",0.57294,4,7,2,"Schleswig-Holstein Nord",2000
"0102",0.60153,4,8,2,"Schleswig-Holstein Nord",2001
"0102",0.59346,4,8,2,"Schleswig-Holstein Nord",2002
"0102",0.56966,4,8,2,"Schleswig-Holstein Nord",2003
"0102",0.60426,4,8,2,"Schleswig-Holstein Nord",2004
"0102",0.63037,4,8,2,"Schleswig-Holstein Nord",2005
"0102",0.64041,4,8,2,"Schleswig-Holstein Nord",2006
"0102",0.70018,4,8,2,"Schleswig-Holstein Nord",2007
"0102",0.73044,4,8,2,"Schleswig-Holstein Nord",2008
"0102",0.71273,4,8,2,"Schleswig-Holstein Nord",2009
"0102",0.73233,5,9,3,"Schleswig-Holstein Nord",2010
"0102",0.71714,4,8,2,"Schleswig-Holstein Nord",2011
"0102",0.7532,4,8,2,"Schleswig-Holstein Nord",2012
"0102",0.78724,4,8,2,"Schleswig-Holstein Nord",2013
"0102",0.83139,5,9,3,"Schleswig-Holstein Nord",2014
"0102",0.82119,5,9,3,"Schleswig-Holstein Nord",2015
"0102",0.83941,5,9,3,"Schleswig-Holstein Nord",2016
"0102",0.85041,5,9,3,"Schleswig-Holstein Nord",2017
"0102",0.83133,5,9,3,"Schleswig-Holstein Nord",2018
"0102",0.82736,5,9,3,"Schleswig-Holstein Nord",2019
"0102",0.83447,5,9,3,"Schleswig-Holstein Nord",2020
"0103",0.64509,4,8,2,"Schleswig-Holstein Ost",1998
