"gisd_score","gemeinde_id","gemeinde_name","year"
0.10711,"08111000","Stuttgart, Landeshauptstadt",1998
0.05539,"08111000","Stuttgart, Landeshauptstadt",1999
0.10891,"08111000","Stuttgart, Landeshauptstadt",2000
0.13364,"08111000","Stuttgart, Landeshauptstadt",2001
0.15932,"08111000","Stuttgart, Landeshauptstadt",2002
0.13181,"08111000","Stuttgart, Landeshauptstadt",2003
0.07975,"08111000","Stuttgart, Landeshauptstadt",2004
0.08942,"08111000","Stuttgart, Landeshauptstadt",2005
0.13288,"08111000","Stuttgart, Landeshauptstadt",2006
0.09874,"08111000","Stuttgart, Landeshauptstadt",2007
0.09267,"08111000","Stuttgart, Landeshauptstadt",2008
0.09413,"08111000","Stuttgart, Landeshauptstadt",2009
0.09781,"08111000","Stuttgart, Landeshauptstadt",2010
0.09721,"08111000","Stuttgart, Landeshauptstadt",2011
0.12293,"08111000","Stuttgart, Landeshauptstadt",2012
0.14303,"08111000","Stuttgart, Landeshauptstadt",2013
0.09774,"08111000","Stuttgart, Landeshauptstadt",2014
0.10297,"08111000","Stuttgart, Landeshauptstadt",2015
0.105,"08111000","Stuttgart, Landeshauptstadt",2016
0,"08111000","Stuttgart, Landeshauptstadt",2017
0.07141,"08111000","Stuttgart, Landeshauptstadt",2018
0.02858,"08111000","Stuttgart, Landeshauptstadt",2019
0.05665,"08111000","Stuttgart, Landeshauptstadt",2020
0.01132,"08115001","Aidlingen",1998
0.01472,"08115001","Aidlingen",1999
0.01536,"08115001","Aidlingen",2000
0.05422,"08115001","Aidlingen",2001
0.08595,"08115001","Aidlingen",2002
0.07097,"08115001","Aidlingen",2003
0.01515,"08115001","Aidlingen",2004
0.00834,"08115001","Aidlingen",2005
0.02319,"08115001","Aidlingen",2006
0.03249,"08115001","Aidlingen",2007
0.02406,"08115001","Aidlingen",2008
0.02822,"08115001","Aidlingen",2009
0.02283,"08115001","Aidlingen",2010
0.01562,"08115001","Aidlingen",2011
0.07914,"08115001","Aidlingen",2012
0.08466,"08115001","Aidlingen",2013
0.06347,"08115001","Aidlingen",2014
0.07119,"08115001","Aidlingen",2015
0.08225,"08115001","Aidlingen",2016
0.05113,"08115001","Aidlingen",2017
0.09752,"08115001","Aidlingen",2018
0.05116,"08115001","Aidlingen",2019
0.09369,"08115001","Aidlingen",2020
0.01465,"08115002","Altdorf",1998
0.01998,"08115002","Altdorf",1999
0.02289,"08115002","Altdorf",2000
0.04973,"08115002","Altdorf",2001
0.07938,"08115002","Altdorf",2002
0.06746,"08115002","Altdorf",2003
0.0054,"08115002","Altdorf",2004
0.01329,"08115002","Altdorf",2005
0.01611,"08115002","Altdorf",2006
0.02169,"08115002","Altdorf",2007
0.00977,"08115002","Altdorf",2008
0.00898,"08115002","Altdorf",2009
0.00717,"08115002","Altdorf",2010
0.00113,"08115002","Altdorf",2011
0.06034,"08115002","Altdorf",2012
0.06196,"08115002","Altdorf",2013
0.04251,"08115002","Altdorf",2014
0.03956,"08115002","Altdorf",2015
0.07083,"08115002","Altdorf",2016
0.0554,"08115002","Altdorf",2017
0.09447,"08115002","Altdorf",2018
0.05405,"08115002","Altdorf",2019
0.07955,"08115002","Altdorf",2020
0,"08115003","Böblingen, Stadt",1998
0,"08115003","Böblingen, Stadt",1999
0.00854,"08115003","Böblingen, Stadt",2000
