"gisd_score","gemeinde_id","gemeinde_name","year"
0.45756,"09161000","Ingolstadt",1998
0.43767,"09161000","Ingolstadt",1999
0.49051,"09161000","Ingolstadt",2000
0.47552,"09161000","Ingolstadt",2001
0.53302,"09161000","Ingolstadt",2002
0.49632,"09161000","Ingolstadt",2003
0.44111,"09161000","Ingolstadt",2004
0.44176,"09161000","Ingolstadt",2005
0.45777,"09161000","Ingolstadt",2006
0.49833,"09161000","Ingolstadt",2007
0.50522,"09161000","Ingolstadt",2008
0.48268,"09161000","Ingolstadt",2009
0.46471,"09161000","Ingolstadt",2010
0.43004,"09161000","Ingolstadt",2011
0.41908,"09161000","Ingolstadt",2012
0.35531,"09161000","Ingolstadt",2013
0.336,"09161000","Ingolstadt",2014
0.28329,"09161000","Ingolstadt",2015
0.24227,"09161000","Ingolstadt",2016
0.27838,"09161000","Ingolstadt",2017
0.2746,"09161000","Ingolstadt",2018
0.25789,"09161000","Ingolstadt",2019
0.27755,"09161000","Ingolstadt",2020
0.23715,"09162000","München, Landeshauptstadt",1998
0.20411,"09162000","München, Landeshauptstadt",1999
0.151,"09162000","München, Landeshauptstadt",2000
0.19286,"09162000","München, Landeshauptstadt",2001
0.19903,"09162000","München, Landeshauptstadt",2002
0.23946,"09162000","München, Landeshauptstadt",2003
0.21484,"09162000","München, Landeshauptstadt",2004
0.25239,"09162000","München, Landeshauptstadt",2005
0.2783,"09162000","München, Landeshauptstadt",2006
0.302,"09162000","München, Landeshauptstadt",2007
0.29498,"09162000","München, Landeshauptstadt",2008
0.29076,"09162000","München, Landeshauptstadt",2009
0.29641,"09162000","München, Landeshauptstadt",2010
0.27834,"09162000","München, Landeshauptstadt",2011
0.2381,"09162000","München, Landeshauptstadt",2012
0.23747,"09162000","München, Landeshauptstadt",2013
0.17501,"09162000","München, Landeshauptstadt",2014
0.18949,"09162000","München, Landeshauptstadt",2015
0.0985,"09162000","München, Landeshauptstadt",2016
0.13367,"09162000","München, Landeshauptstadt",2017
0.09298,"09162000","München, Landeshauptstadt",2018
0.08753,"09162000","München, Landeshauptstadt",2019
0.07919,"09162000","München, Landeshauptstadt",2020
0.64233,"09163000","Rosenheim",1998
0.7113,"09163000","Rosenheim",1999
0.69029,"09163000","Rosenheim",2000
0.65677,"09163000","Rosenheim",2001
0.62626,"09163000","Rosenheim",2002
0.60592,"09163000","Rosenheim",2003
0.56398,"09163000","Rosenheim",2004
0.60912,"09163000","Rosenheim",2005
0.65409,"09163000","Rosenheim",2006
0.71763,"09163000","Rosenheim",2007
0.71575,"09163000","Rosenheim",2008
0.71342,"09163000","Rosenheim",2009
0.73511,"09163000","Rosenheim",2010
0.68117,"09163000","Rosenheim",2011
0.74056,"09163000","Rosenheim",2012
0.74371,"09163000","Rosenheim",2013
0.7387,"09163000","Rosenheim",2014
0.69122,"09163000","Rosenheim",2015
0.66696,"09163000","Rosenheim",2016
0.63544,"09163000","Rosenheim",2017
0.67201,"09163000","Rosenheim",2018
0.61982,"09163000","Rosenheim",2019
0.58436,"09163000","Rosenheim",2020
0.53521,"09171111","Altötting, Stadt",1998
0.5939,"09171111","Altötting, Stadt",1999
0.60318,"09171111","Altötting, Stadt",2000
0.6772,"09171111","Altötting, Stadt",2001
0.61648,"09171111","Altötting, Stadt",2002
0.5932,"09171111","Altötting, Stadt",2003
0.5837,"09171111","Altötting, Stadt",2004
0.57206,"09171111","Altötting, Stadt",2005
0.56551,"09171111","Altötting, Stadt",2006
0.57113,"09171111","Altötting, Stadt",2007
0.56187,"09171111","Altötting, Stadt",2008
0.56654,"09171111","Altötting, Stadt",2009
0.5719,"09171111","Altötting, Stadt",2010
0.55493,"09171111","Altötting, Stadt",2011
0.59051,"09171111","Altötting, Stadt",2012
0.63696,"09171111","Altötting, Stadt",2013
0.61685,"09171111","Altötting, Stadt",2014
0.61787,"09171111","Altötting, Stadt",2015
0.61454,"09171111","Altötting, Stadt",2016
0.60566,"09171111","Altötting, Stadt",2017
0.58443,"09171111","Altötting, Stadt",2018
0.56761,"09171111","Altötting, Stadt",2019
0.55382,"09171111","Altötting, Stadt",2020
0.51325,"09171112","Burghausen, Stadt",1998
0.57283,"09171112","Burghausen, Stadt",1999
0.57863,"09171112","Burghausen, Stadt",2000
0.60318,"09171112","Burghausen, Stadt",2001
0.55358,"09171112","Burghausen, Stadt",2002
0.52586,"09171112","Burghausen, Stadt",2003
0.50639,"09171112","Burghausen, Stadt",2004
0.49892,"09171112","Burghausen, Stadt",2005
0.48825,"09171112","Burghausen, Stadt",2006
0.51,"09171112","Burghausen, Stadt",2007
0.51081,"09171112","Burghausen, Stadt",2008
0.51077,"09171112","Burghausen, Stadt",2009
0.53086,"09171112","Burghausen, Stadt",2010
0.49802,"09171112","Burghausen, Stadt",2011
0.51282,"09171112","Burghausen, Stadt",2012
0.55824,"09171112","Burghausen, Stadt",2013
0.54158,"09171112","Burghausen, Stadt",2014
0.54996,"09171112","Burghausen, Stadt",2015
0.54992,"09171112","Burghausen, Stadt",2016
0.55206,"09171112","Burghausen, Stadt",2017
0.53887,"09171112","Burghausen, Stadt",2018
0.51315,"09171112","Burghausen, Stadt",2019
0.50454,"09171112","Burghausen, Stadt",2020
0.52642,"09171113","Burgkirchen a.d.Alz",1998
0.58691,"09171113","Burgkirchen a.d.Alz",1999
0.60194,"09171113","Burgkirchen a.d.Alz",2000
0.62967,"09171113","Burgkirchen a.d.Alz",2001
0.58232,"09171113","Burgkirchen a.d.Alz",2002
0.55019,"09171113","Burgkirchen a.d.Alz",2003
0.5382,"09171113","Burgkirchen a.d.Alz",2004
0.53771,"09171113","Burgkirchen a.d.Alz",2005
0.53715,"09171113","Burgkirchen a.d.Alz",2006
0.55351,"09171113","Burgkirchen a.d.Alz",2007
0.5461,"09171113","Burgkirchen a.d.Alz",2008
0.55919,"09171113","Burgkirchen a.d.Alz",2009
0.56825,"09171113","Burgkirchen a.d.Alz",2010
0.53602,"09171113","Burgkirchen a.d.Alz",2011
0.55332,"09171113","Burgkirchen a.d.Alz",2012
0.60014,"09171113","Burgkirchen a.d.Alz",2013
0.58889,"09171113","Burgkirchen a.d.Alz",2014
0.58827,"09171113","Burgkirchen a.d.Alz",2015
0.59089,"09171113","Burgkirchen a.d.Alz",2016
0.58408,"09171113","Burgkirchen a.d.Alz",2017
0.55901,"09171113","Burgkirchen a.d.Alz",2018
0.53136,"09171113","Burgkirchen a.d.Alz",2019
0.52096,"09171113","Burgkirchen a.d.Alz",2020
0.5138,"09171114","Emmerting",1998
0.57363,"09171114","Emmerting",1999
0.57861,"09171114","Emmerting",2000
0.55535,"09171114","Emmerting",2001
0.51142,"09171114","Emmerting",2002
0.48646,"09171114","Emmerting",2003
0.4523,"09171114","Emmerting",2004
0.42287,"09171114","Emmerting",2005
0.4336,"09171114","Emmerting",2006
0.46582,"09171114","Emmerting",2007
0.48436,"09171114","Emmerting",2008
0.4852,"09171114","Emmerting",2009
0.50428,"09171114","Emmerting",2010
0.48344,"09171114","Emmerting",2011
0.4922,"09171114","Emmerting",2012
0.52767,"09171114","Emmerting",2013
0.51853,"09171114","Emmerting",2014
