"gisd_score","gvb_id","gvb_name","year"
0.45756,"091610000","Ingolstadt",1998
0.43767,"091610000","Ingolstadt",1999
0.49051,"091610000","Ingolstadt",2000
0.47552,"091610000","Ingolstadt",2001
0.53302,"091610000","Ingolstadt",2002
0.49632,"091610000","Ingolstadt",2003
0.44111,"091610000","Ingolstadt",2004
0.44176,"091610000","Ingolstadt",2005
0.45777,"091610000","Ingolstadt",2006
0.49833,"091610000","Ingolstadt",2007
0.50522,"091610000","Ingolstadt",2008
0.48268,"091610000","Ingolstadt",2009
0.46471,"091610000","Ingolstadt",2010
0.43004,"091610000","Ingolstadt",2011
0.41908,"091610000","Ingolstadt",2012
0.35531,"091610000","Ingolstadt",2013
0.336,"091610000","Ingolstadt",2014
0.28329,"091610000","Ingolstadt",2015
0.24227,"091610000","Ingolstadt",2016
0.27838,"091610000","Ingolstadt",2017
0.2746,"091610000","Ingolstadt",2018
0.25789,"091610000","Ingolstadt",2019
0.27755,"091610000","Ingolstadt",2020
0.23715,"091620000","München, Landeshauptstadt",1998
0.20411,"091620000","München, Landeshauptstadt",1999
0.151,"091620000","München, Landeshauptstadt",2000
0.19286,"091620000","München, Landeshauptstadt",2001
0.19903,"091620000","München, Landeshauptstadt",2002
0.23946,"091620000","München, Landeshauptstadt",2003
0.21484,"091620000","München, Landeshauptstadt",2004
0.25239,"091620000","München, Landeshauptstadt",2005
0.2783,"091620000","München, Landeshauptstadt",2006
0.302,"091620000","München, Landeshauptstadt",2007
0.29498,"091620000","München, Landeshauptstadt",2008
0.29076,"091620000","München, Landeshauptstadt",2009
0.29641,"091620000","München, Landeshauptstadt",2010
0.27834,"091620000","München, Landeshauptstadt",2011
0.2381,"091620000","München, Landeshauptstadt",2012
0.23747,"091620000","München, Landeshauptstadt",2013
0.17501,"091620000","München, Landeshauptstadt",2014
0.18949,"091620000","München, Landeshauptstadt",2015
0.0985,"091620000","München, Landeshauptstadt",2016
0.13367,"091620000","München, Landeshauptstadt",2017
0.09298,"091620000","München, Landeshauptstadt",2018
0.08753,"091620000","München, Landeshauptstadt",2019
0.07919,"091620000","München, Landeshauptstadt",2020
0.64233,"091630000","Rosenheim",1998
0.7113,"091630000","Rosenheim",1999
0.69029,"091630000","Rosenheim",2000
0.65677,"091630000","Rosenheim",2001
0.62626,"091630000","Rosenheim",2002
0.60592,"091630000","Rosenheim",2003
0.56398,"091630000","Rosenheim",2004
0.60912,"091630000","Rosenheim",2005
0.65409,"091630000","Rosenheim",2006
0.71763,"091630000","Rosenheim",2007
0.71575,"091630000","Rosenheim",2008
0.71342,"091630000","Rosenheim",2009
0.73511,"091630000","Rosenheim",2010
0.68117,"091630000","Rosenheim",2011
0.74056,"091630000","Rosenheim",2012
0.74371,"091630000","Rosenheim",2013
0.7387,"091630000","Rosenheim",2014
0.69122,"091630000","Rosenheim",2015
0.66696,"091630000","Rosenheim",2016
0.63544,"091630000","Rosenheim",2017
0.67201,"091630000","Rosenheim",2018
0.61982,"091630000","Rosenheim",2019
0.58436,"091630000","Rosenheim",2020
0.53521,"091710111","Altötting, St",1998
0.5939,"091710111","Altötting, St",1999
0.60318,"091710111","Altötting, St",2000
0.6772,"091710111","Altötting, St",2001
0.61648,"091710111","Altötting, St",2002
0.5932,"091710111","Altötting, St",2003
0.5837,"091710111","Altötting, St",2004
0.57206,"091710111","Altötting, St",2005
0.56551,"091710111","Altötting, St",2006
0.57113,"091710111","Altötting, St",2007
0.56187,"091710111","Altötting, St",2008
0.56654,"091710111","Altötting, St",2009
0.5719,"091710111","Altötting, St",2010
0.55493,"091710111","Altötting, St",2011
0.59051,"091710111","Altötting, St",2012
0.63696,"091710111","Altötting, St",2013
0.61685,"091710111","Altötting, St",2014
0.61787,"091710111","Altötting, St",2015
0.61454,"091710111","Altötting, St",2016
0.60566,"091710111","Altötting, St",2017
0.58443,"091710111","Altötting, St",2018
0.56761,"091710111","Altötting, St",2019
0.55382,"091710111","Altötting, St",2020
0.51325,"091710112","Burghausen, St",1998
0.57283,"091710112","Burghausen, St",1999
0.57863,"091710112","Burghausen, St",2000
0.60318,"091710112","Burghausen, St",2001
0.55358,"091710112","Burghausen, St",2002
0.52586,"091710112","Burghausen, St",2003
0.50639,"091710112","Burghausen, St",2004
0.49892,"091710112","Burghausen, St",2005
0.48825,"091710112","Burghausen, St",2006
0.51,"091710112","Burghausen, St",2007
0.51081,"091710112","Burghausen, St",2008
0.51077,"091710112","Burghausen, St",2009
0.53086,"091710112","Burghausen, St",2010
0.49802,"091710112","Burghausen, St",2011
0.51282,"091710112","Burghausen, St",2012
0.55824,"091710112","Burghausen, St",2013
0.54158,"091710112","Burghausen, St",2014
0.54996,"091710112","Burghausen, St",2015
0.54992,"091710112","Burghausen, St",2016
0.55206,"091710112","Burghausen, St",2017
0.53887,"091710112","Burghausen, St",2018
0.51315,"091710112","Burghausen, St",2019
0.50454,"091710112","Burghausen, St",2020
0.52642,"091710113","Burgkirchen a.d.Alz",1998
0.58691,"091710113","Burgkirchen a.d.Alz",1999
0.60194,"091710113","Burgkirchen a.d.Alz",2000
0.62967,"091710113","Burgkirchen a.d.Alz",2001
0.58232,"091710113","Burgkirchen a.d.Alz",2002
0.55019,"091710113","Burgkirchen a.d.Alz",2003
0.5382,"091710113","Burgkirchen a.d.Alz",2004
0.53771,"091710113","Burgkirchen a.d.Alz",2005
0.53715,"091710113","Burgkirchen a.d.Alz",2006
0.55351,"091710113","Burgkirchen a.d.Alz",2007
0.5461,"091710113","Burgkirchen a.d.Alz",2008
0.55919,"091710113","Burgkirchen a.d.Alz",2009
0.56825,"091710113","Burgkirchen a.d.Alz",2010
0.53602,"091710113","Burgkirchen a.d.Alz",2011
0.55332,"091710113","Burgkirchen a.d.Alz",2012
0.60014,"091710113","Burgkirchen a.d.Alz",2013
0.58889,"091710113","Burgkirchen a.d.Alz",2014
0.58827,"091710113","Burgkirchen a.d.Alz",2015
0.59089,"091710113","Burgkirchen a.d.Alz",2016
0.58408,"091710113","Burgkirchen a.d.Alz",2017
0.55901,"091710113","Burgkirchen a.d.Alz",2018
0.53136,"091710113","Burgkirchen a.d.Alz",2019
0.52096,"091710113","Burgkirchen a.d.Alz",2020
0.53718,"091710117","Garching a.d.Alz",1998
0.59849,"091710117","Garching a.d.Alz",1999
0.61049,"091710117","Garching a.d.Alz",2000
0.64219,"091710117","Garching a.d.Alz",2001
0.58551,"091710117","Garching a.d.Alz",2002
0.56081,"091710117","Garching a.d.Alz",2003
0.53925,"091710117","Garching a.d.Alz",2004
0.53224,"091710117","Garching a.d.Alz",2005
0.50818,"091710117","Garching a.d.Alz",2006
0.53688,"091710117","Garching a.d.Alz",2007
0.53757,"091710117","Garching a.d.Alz",2008
0.54688,"091710117","Garching a.d.Alz",2009
0.55286,"091710117","Garching a.d.Alz",2010
0.54361,"091710117","Garching a.d.Alz",2011
0.56557,"091710117","Garching a.d.Alz",2012
0.59751,"091710117","Garching a.d.Alz",2013
0.58251,"091710117","Garching a.d.Alz",2014
0.5801,"091710117","Garching a.d.Alz",2015
0.58602,"091710117","Garching a.d.Alz",2016
0.58544,"091710117","Garching a.d.Alz",2017
0.56763,"091710117","Garching a.d.Alz",2018
0.5451,"091710117","Garching a.d.Alz",2019
0.53697,"091710117","Garching a.d.Alz",2020
0.53252,"091710118","Haiming",1998
0.59368,"091710118","Haiming",1999
0.59944,"091710118","Haiming",2000
0.57358,"091710118","Haiming",2001
0.5184,"091710118","Haiming",2002
0.47524,"091710118","Haiming",2003
0.4511,"091710118","Haiming",2004
0.41321,"091710118","Haiming",2005
