"gisd_score","gemeinde_id","gemeinde_name","year"
0.94485,"12051000","Brandenburg an der Havel, Stadt",1998
0.9455,"12051000","Brandenburg an der Havel, Stadt",1999
0.95323,"12051000","Brandenburg an der Havel, Stadt",2000
0.77258,"12051000","Brandenburg an der Havel, Stadt",2001
0.79388,"12051000","Brandenburg an der Havel, Stadt",2002
0.7326,"12051000","Brandenburg an der Havel, Stadt",2003
0.68547,"12051000","Brandenburg an der Havel, Stadt",2004
0.70704,"12051000","Brandenburg an der Havel, Stadt",2005
0.82417,"12051000","Brandenburg an der Havel, Stadt",2006
0.8844,"12051000","Brandenburg an der Havel, Stadt",2007
0.74966,"12051000","Brandenburg an der Havel, Stadt",2008
0.80754,"12051000","Brandenburg an der Havel, Stadt",2009
0.81162,"12051000","Brandenburg an der Havel, Stadt",2010
0.83789,"12051000","Brandenburg an der Havel, Stadt",2011
0.75981,"12051000","Brandenburg an der Havel, Stadt",2012
0.79582,"12051000","Brandenburg an der Havel, Stadt",2013
0.78829,"12051000","Brandenburg an der Havel, Stadt",2014
0.86396,"12051000","Brandenburg an der Havel, Stadt",2015
0.80559,"12051000","Brandenburg an der Havel, Stadt",2016
0.81654,"12051000","Brandenburg an der Havel, Stadt",2017
0.80233,"12051000","Brandenburg an der Havel, Stadt",2018
0.80026,"12051000","Brandenburg an der Havel, Stadt",2019
0.80175,"12051000","Brandenburg an der Havel, Stadt",2020
0.45799,"12052000","Cottbus/Chóśebuz, Stadt",1998
0.39013,"12052000","Cottbus/Chóśebuz, Stadt",1999
0.40882,"12052000","Cottbus/Chóśebuz, Stadt",2000
0.34479,"12052000","Cottbus/Chóśebuz, Stadt",2001
0.2705,"12052000","Cottbus/Chóśebuz, Stadt",2002
0.28345,"12052000","Cottbus/Chóśebuz, Stadt",2003
0.26614,"12052000","Cottbus/Chóśebuz, Stadt",2004
0.30208,"12052000","Cottbus/Chóśebuz, Stadt",2005
0.37952,"12052000","Cottbus/Chóśebuz, Stadt",2006
0.46447,"12052000","Cottbus/Chóśebuz, Stadt",2007
0.40521,"12052000","Cottbus/Chóśebuz, Stadt",2008
0.42359,"12052000","Cottbus/Chóśebuz, Stadt",2009
0.41403,"12052000","Cottbus/Chóśebuz, Stadt",2010
0.45306,"12052000","Cottbus/Chóśebuz, Stadt",2011
