"gisd_score","gvb_id","gvb_name","year"
0.94485,"120510000","Brandenburg an der Havel, Stadt",1998
0.9455,"120510000","Brandenburg an der Havel, Stadt",1999
0.95323,"120510000","Brandenburg an der Havel, Stadt",2000
0.77258,"120510000","Brandenburg an der Havel, Stadt",2001
0.79388,"120510000","Brandenburg an der Havel, Stadt",2002
0.7326,"120510000","Brandenburg an der Havel, Stadt",2003
0.68547,"120510000","Brandenburg an der Havel, Stadt",2004
0.70704,"120510000","Brandenburg an der Havel, Stadt",2005
0.82417,"120510000","Brandenburg an der Havel, Stadt",2006
0.8844,"120510000","Brandenburg an der Havel, Stadt",2007
0.74966,"120510000","Brandenburg an der Havel, Stadt",2008
0.80754,"120510000","Brandenburg an der Havel, Stadt",2009
0.81162,"120510000","Brandenburg an der Havel, Stadt",2010
0.83789,"120510000","Brandenburg an der Havel, Stadt",2011
0.75981,"120510000","Brandenburg an der Havel, Stadt",2012
0.79582,"120510000","Brandenburg an der Havel, Stadt",2013
0.78829,"120510000","Brandenburg an der Havel, Stadt",2014
0.86396,"120510000","Brandenburg an der Havel, Stadt",2015
0.80559,"120510000","Brandenburg an der Havel, Stadt",2016
0.81654,"120510000","Brandenburg an der Havel, Stadt",2017
0.80233,"120510000","Brandenburg an der Havel, Stadt",2018
0.80026,"120510000","Brandenburg an der Havel, Stadt",2019
0.80175,"120510000","Brandenburg an der Havel, Stadt",2020
0.45799,"120520000","Cottbus/Chó?ebuz, Stadt",1998
0.39013,"120520000","Cottbus/Chó?ebuz, Stadt",1999
0.40882,"120520000","Cottbus/Chó?ebuz, Stadt",2000
0.34479,"120520000","Cottbus/Chó?ebuz, Stadt",2001
0.2705,"120520000","Cottbus/Chó?ebuz, Stadt",2002
0.28345,"120520000","Cottbus/Chó?ebuz, Stadt",2003
0.26614,"120520000","Cottbus/Chó?ebuz, Stadt",2004
0.30208,"120520000","Cottbus/Chó?ebuz, Stadt",2005
0.37952,"120520000","Cottbus/Chó?ebuz, Stadt",2006
0.46447,"120520000","Cottbus/Chó?ebuz, Stadt",2007
0.40521,"120520000","Cottbus/Chó?ebuz, Stadt",2008
0.42359,"120520000","Cottbus/Chó?ebuz, Stadt",2009
0.41403,"120520000","Cottbus/Chó?ebuz, Stadt",2010
0.45306,"120520000","Cottbus/Chó?ebuz, Stadt",2011
0.5032,"120520000","Cottbus/Chó?ebuz, Stadt",2012
0.54685,"120520000","Cottbus/Chó?ebuz, Stadt",2013
0.50923,"120520000","Cottbus/Chó?ebuz, Stadt",2014
0.52663,"120520000","Cottbus/Chó?ebuz, Stadt",2015
0.51246,"120520000","Cottbus/Chó?ebuz, Stadt",2016
0.55679,"120520000","Cottbus/Chó?ebuz, Stadt",2017
0.57399,"120520000","Cottbus/Chó?ebuz, Stadt",2018
0.47064,"120520000","Cottbus/Chó?ebuz, Stadt",2019
0.45001,"120520000","Cottbus/Chó?ebuz, Stadt",2020
0.65607,"120530000","Frankfurt (Oder), Stadt",1998
0.63338,"120530000","Frankfurt (Oder), Stadt",1999
0.67401,"120530000","Frankfurt (Oder), Stadt",2000
0.64407,"120530000","Frankfurt (Oder), Stadt",2001
