"gisd_score","gemeinde_id","gemeinde_name","year"
0.36064,"06411000","Darmstadt, Wissenschaftsstadt",1998
0.31819,"06411000","Darmstadt, Wissenschaftsstadt",1999
0.3232,"06411000","Darmstadt, Wissenschaftsstadt",2000
0.34963,"06411000","Darmstadt, Wissenschaftsstadt",2001
0.36788,"06411000","Darmstadt, Wissenschaftsstadt",2002
0.34402,"06411000","Darmstadt, Wissenschaftsstadt",2003
0.40247,"06411000","Darmstadt, Wissenschaftsstadt",2004
0.37542,"06411000","Darmstadt, Wissenschaftsstadt",2005
0.36993,"06411000","Darmstadt, Wissenschaftsstadt",2006
0.34308,"06411000","Darmstadt, Wissenschaftsstadt",2007
0.34522,"06411000","Darmstadt, Wissenschaftsstadt",2008
0.30247,"06411000","Darmstadt, Wissenschaftsstadt",2009
0.30383,"06411000","Darmstadt, Wissenschaftsstadt",2010
0.30991,"06411000","Darmstadt, Wissenschaftsstadt",2011
0.26893,"06411000","Darmstadt, Wissenschaftsstadt",2012
0.26367,"06411000","Darmstadt, Wissenschaftsstadt",2013
0.2796,"06411000","Darmstadt, Wissenschaftsstadt",2014
0.29549,"06411000","Darmstadt, Wissenschaftsstadt",2015
0.27654,"06411000","Darmstadt, Wissenschaftsstadt",2016
0.2181,"06411000","Darmstadt, Wissenschaftsstadt",2017
0.21815,"06411000","Darmstadt, Wissenschaftsstadt",2018
0.24234,"06411000","Darmstadt, Wissenschaftsstadt",2019
0.23012,"06411000","Darmstadt, Wissenschaftsstadt",2020
0.42873,"06412000","Frankfurt am Main, Stadt",1998
0.40313,"06412000","Frankfurt am Main, Stadt",1999
0.40107,"06412000","Frankfurt am Main, Stadt",2000
0.40701,"06412000","Frankfurt am Main, Stadt",2001
0.43299,"06412000","Frankfurt am Main, Stadt",2002
0.42358,"06412000","Frankfurt am Main, Stadt",2003
0.43603,"06412000","Frankfurt am Main, Stadt",2004
0.4269,"06412000","Frankfurt am Main, Stadt",2005
0.45083,"06412000","Frankfurt am Main, Stadt",2006
0.44086,"06412000","Frankfurt am Main, Stadt",2007
0.39491,"06412000","Frankfurt am Main, Stadt",2008
0.37334,"06412000","Frankfurt am Main, Stadt",2009
0.37757,"06412000","Frankfurt am Main, Stadt",2010
0.3584,"06412000","Frankfurt am Main, Stadt",2011
0.31517,"06412000","Frankfurt am Main, Stadt",2012
0.32051,"06412000","Frankfurt am Main, Stadt",2013
0.31563,"06412000","Frankfurt am Main, Stadt",2014
