"gisd_score","gemeinde_id","gemeinde_name","year"
0.10423,"13003000","Rostock, Hansestadt",1998
0,"13003000","Rostock, Hansestadt",1999
0,"13003000","Rostock, Hansestadt",2000
0.03217,"13003000","Rostock, Hansestadt",2001
0.04203,"13003000","Rostock, Hansestadt",2002
0.01316,"13003000","Rostock, Hansestadt",2003
0.01978,"13003000","Rostock, Hansestadt",2004
0.11898,"13003000","Rostock, Hansestadt",2005
0.20014,"13003000","Rostock, Hansestadt",2006
0.23149,"13003000","Rostock, Hansestadt",2007
0.22751,"13003000","Rostock, Hansestadt",2008
0.21669,"13003000","Rostock, Hansestadt",2009
0.20293,"13003000","Rostock, Hansestadt",2010
0.28847,"13003000","Rostock, Hansestadt",2011
0.15381,"13003000","Rostock, Hansestadt",2012
0.32689,"13003000","Rostock, Hansestadt",2013
0.23929,"13003000","Rostock, Hansestadt",2014
0.32898,"13003000","Rostock, Hansestadt",2015
0.31914,"13003000","Rostock, Hansestadt",2016
0.28643,"13003000","Rostock, Hansestadt",2017
0.27251,"13003000","Rostock, Hansestadt",2018
0.26614,"13003000","Rostock, Hansestadt",2019
0.28242,"13003000","Rostock, Hansestadt",2020
0,"13004000","Schwerin, Landeshauptstadt",1998
0.14163,"13004000","Schwerin, Landeshauptstadt",1999
0.10659,"13004000","Schwerin, Landeshauptstadt",2000
0.09137,"13004000","Schwerin, Landeshauptstadt",2001
0,"13004000","Schwerin, Landeshauptstadt",2002
0.0426,"13004000","Schwerin, Landeshauptstadt",2003
0,"13004000","Schwerin, Landeshauptstadt",2004
0.11781,"13004000","Schwerin, Landeshauptstadt",2005
0.32373,"13004000","Schwerin, Landeshauptstadt",2006
0.44152,"13004000","Schwerin, Landeshauptstadt",2007
0.30175,"13004000","Schwerin, Landeshauptstadt",2008
0.26814,"13004000","Schwerin, Landeshauptstadt",2009
0.53268,"13004000","Schwerin, Landeshauptstadt",2010
0.36161,"13004000","Schwerin, Landeshauptstadt",2011
0.28096,"13004000","Schwerin, Landeshauptstadt",2012
0.40062,"13004000","Schwerin, Landeshauptstadt",2013
0.36501,"13004000","Schwerin, Landeshauptstadt",2014
0.43966,"13004000","Schwerin, Landeshauptstadt",2015
0.44479,"13004000","Schwerin, Landeshauptstadt",2016
0.40749,"13004000","Schwerin, Landeshauptstadt",2017
0.49462,"13004000","Schwerin, Landeshauptstadt",2018
0.4706,"13004000","Schwerin, Landeshauptstadt",2019
0.41521,"13004000","Schwerin, Landeshauptstadt",2020
0.3934,"13071001","Alt Schwerin",1998
0.59847,"13071001","Alt Schwerin",1999
0.65475,"13071001","Alt Schwerin",2000
0.4851,"13071001","Alt Schwerin",2001
0.49234,"13071001","Alt Schwerin",2002
0.45247,"13071001","Alt Schwerin",2003
0.47403,"13071001","Alt Schwerin",2004
0.42173,"13071001","Alt Schwerin",2005
0.46415,"13071001","Alt Schwerin",2006
0.53916,"13071001","Alt Schwerin",2007
0.46038,"13071001","Alt Schwerin",2008
0.52461,"13071001","Alt Schwerin",2009
0.49898,"13071001","Alt Schwerin",2010
0.54098,"13071001","Alt Schwerin",2011
0.48829,"13071001","Alt Schwerin",2012
0.45229,"13071001","Alt Schwerin",2013
0.49807,"13071001","Alt Schwerin",2014
0.51795,"13071001","Alt Schwerin",2015
0.51969,"13071001","Alt Schwerin",2016
0.46864,"13071001","Alt Schwerin",2017
0.51742,"13071001","Alt Schwerin",2018
0.45873,"13071001","Alt Schwerin",2019
0.46033,"13071001","Alt Schwerin",2020
0.3737,"13071002","Altenhagen",1998
0.56679,"13071002","Altenhagen",1999
0.65215,"13071002","Altenhagen",2000
0.59975,"13071002","Altenhagen",2001
0.56845,"13071002","Altenhagen",2002
0.51237,"13071002","Altenhagen",2003
0.58298,"13071002","Altenhagen",2004
0.54219,"13071002","Altenhagen",2005
0.58604,"13071002","Altenhagen",2006
0.66171,"13071002","Altenhagen",2007
0.60685,"13071002","Altenhagen",2008
0.63987,"13071002","Altenhagen",2009
0.60914,"13071002","Altenhagen",2010
0.66135,"13071002","Altenhagen",2011
0.64621,"13071002","Altenhagen",2012
0.57562,"13071002","Altenhagen",2013
0.56668,"13071002","Altenhagen",2014
0.62168,"13071002","Altenhagen",2015
0.62429,"13071002","Altenhagen",2016
0.58125,"13071002","Altenhagen",2017
0.58531,"13071002","Altenhagen",2018
0.51754,"13071002","Altenhagen",2019
0.49695,"13071002","Altenhagen",2020
0.3647,"13071003","Altenhof",1998
0.55239,"13071003","Altenhof",1999
0.63591,"13071003","Altenhof",2000
0.38135,"13071003","Altenhof",2001
0.42389,"13071003","Altenhof",2002
0.35586,"13071003","Altenhof",2003
0.38772,"13071003","Altenhof",2004
0.34183,"13071003","Altenhof",2005
0.4247,"13071003","Altenhof",2006
0.48023,"13071003","Altenhof",2007
0.42126,"13071003","Altenhof",2008
0.48469,"13071003","Altenhof",2009
0.4647,"13071003","Altenhof",2010
0.51153,"13071003","Altenhof",2011
0.46919,"13071003","Altenhof",2012
0.42165,"13071003","Altenhof",2013
0.46434,"13071003","Altenhof",2014
0.50779,"13071003","Altenhof",2015
0.51916,"13071003","Altenhof",2016
0.50878,"13071003","Altenhof",2017
0.52473,"13071003","Altenhof",2018
0.45887,"13071003","Altenhof",2019
0.469,"13071003","Altenhof",2020
0.3737,"13071004","Altentreptow, Stadt",1998
0.56679,"13071004","Altentreptow, Stadt",1999
0.65215,"13071004","Altentreptow, Stadt",2000
0.59975,"13071004","Altentreptow, Stadt",2001
0.56845,"13071004","Altentreptow, Stadt",2002
0.51237,"13071004","Altentreptow, Stadt",2003
0.58298,"13071004","Altentreptow, Stadt",2004
0.54219,"13071004","Altentreptow, Stadt",2005
0.58604,"13071004","Altentreptow, Stadt",2006
0.66171,"13071004","Altentreptow, Stadt",2007
0.60685,"13071004","Altentreptow, Stadt",2008
0.63987,"13071004","Altentreptow, Stadt",2009
0.60914,"13071004","Altentreptow, Stadt",2010
0.66135,"13071004","Altentreptow, Stadt",2011
0.64621,"13071004","Altentreptow, Stadt",2012
0.57562,"13071004","Altentreptow, Stadt",2013
0.56668,"13071004","Altentreptow, Stadt",2014
0.62168,"13071004","Altentreptow, Stadt",2015
0.62429,"13071004","Altentreptow, Stadt",2016
0.58125,"13071004","Altentreptow, Stadt",2017
0.58531,"13071004","Altentreptow, Stadt",2018
0.51754,"13071004","Altentreptow, Stadt",2019
0.49695,"13071004","Altentreptow, Stadt",2020
0.40531,"13071005","Ankershagen",1998
0.61431,"13071005","Ankershagen",1999
0.66399,"13071005","Ankershagen",2000
0.64123,"13071005","Ankershagen",2001
0.65582,"13071005","Ankershagen",2002
0.55823,"13071005","Ankershagen",2003
0.60363,"13071005","Ankershagen",2004
0.58602,"13071005","Ankershagen",2005
0.57569,"13071005","Ankershagen",2006
0.63287,"13071005","Ankershagen",2007
0.53678,"13071005","Ankershagen",2008
0.56799,"13071005","Ankershagen",2009
0.54003,"13071005","Ankershagen",2010
0.95603,"13071005","Ankershagen",2011
0.59268,"13071005","Ankershagen",2012
0.53219,"13071005","Ankershagen",2013
0.54627,"13071005","Ankershagen",2014
0.56727,"13071005","Ankershagen",2015
0.55832,"13071005","Ankershagen",2016
0.51387,"13071005","Ankershagen",2017
0.51372,"13071005","Ankershagen",2018
0.4856,"13071005","Ankershagen",2019
0.45979,"13071005","Ankershagen",2020
0.3737,"13071006","Bartow",1998
0.56679,"13071006","Bartow",1999
0.65215,"13071006","Bartow",2000
0.59975,"13071006","Bartow",2001
0.56845,"13071006","Bartow",2002
0.51237,"13071006","Bartow",2003
0.58298,"13071006","Bartow",2004
0.54219,"13071006","Bartow",2005
0.58604,"13071006","Bartow",2006
0.66171,"13071006","Bartow",2007
0.60685,"13071006","Bartow",2008
0.63987,"13071006","Bartow",2009
0.60914,"13071006","Bartow",2010
0.66135,"13071006","Bartow",2011
0.64621,"13071006","Bartow",2012
0.57562,"13071006","Bartow",2013
0.56668,"13071006","Bartow",2014
0.62168,"13071006","Bartow",2015
0.62429,"13071006","Bartow",2016
0.58125,"13071006","Bartow",2017
0.58531,"13071006","Bartow",2018
0.51754,"13071006","Bartow",2019
0.49695,"13071006","Bartow",2020
0.34545,"13071007","Basedow",1998
0.52235,"13071007","Basedow",1999
0.62946,"13071007","Basedow",2000
0.55193,"13071007","Basedow",2001
0.57005,"13071007","Basedow",2002
0.52093,"13071007","Basedow",2003
0.57278,"13071007","Basedow",2004
0.5699,"13071007","Basedow",2005
0.63757,"13071007","Basedow",2006
0.7358,"13071007","Basedow",2007
0.65375,"13071007","Basedow",2008
0.71387,"13071007","Basedow",2009
0.64242,"13071007","Basedow",2010
0.69937,"13071007","Basedow",2011
0.69483,"13071007","Basedow",2012
0.64736,"13071007","Basedow",2013
0.65771,"13071007","Basedow",2014
0.69271,"13071007","Basedow",2015
0.69193,"13071007","Basedow",2016
0.65557,"13071007","Basedow",2017
0.6486,"13071007","Basedow",2018
0.59967,"13071007","Basedow",2019
0.58088,"13071007","Basedow",2020
0.46851,"13071008","Beggerow",1998
0.71591,"13071008","Beggerow",1999
0.77601,"13071008","Beggerow",2000
0.8034,"13071008","Beggerow",2001
0.75662,"13071008","Beggerow",2002
0.71857,"13071008","Beggerow",2003
0.79567,"13071008","Beggerow",2004
0.73219,"13071008","Beggerow",2005
0.73808,"13071008","Beggerow",2006
0.85369,"13071008","Beggerow",2007
0.78178,"13071008","Beggerow",2008
0.78591,"13071008","Beggerow",2009
0.74024,"13071008","Beggerow",2010
0.76429,"13071008","Beggerow",2011
0.72338,"13071008","Beggerow",2012
0.68347,"13071008","Beggerow",2013
0.6944,"13071008","Beggerow",2014
0.71184,"13071008","Beggerow",2015
0.69731,"13071008","Beggerow",2016
0.65455,"13071008","Beggerow",2017
0.645,"13071008","Beggerow",2018
0.58584,"13071008","Beggerow",2019
0.57196,"13071008","Beggerow",2020
0.47546,"13071009","Beseritz",1998
0.72909,"13071009","Beseritz",1999
0.65719,"13071009","Beseritz",2000
0.26952,"13071009","Beseritz",2001
0.26884,"13071009","Beseritz",2002
0.11019,"13071009","Beseritz",2003
0.17765,"13071009","Beseritz",2004
0.17757,"13071009","Beseritz",2005
0.17599,"13071009","Beseritz",2006
0.22392,"13071009","Beseritz",2007
0.22241,"13071009","Beseritz",2008
0.25203,"13071009","Beseritz",2009
0.22969,"13071009","Beseritz",2010
0.29935,"13071009","Beseritz",2011
0.2941,"13071009","Beseritz",2012
0.23798,"13071009","Beseritz",2013
0.24646,"13071009","Beseritz",2014
0.26125,"13071009","Beseritz",2015
0.30739,"13071009","Beseritz",2016
0.32206,"13071009","Beseritz",2017
0.35716,"13071009","Beseritz",2018
0.28134,"13071009","Beseritz",2019
0.27589,"13071009","Beseritz",2020
0.47546,"13071010","Blankenhof",1998
0.72909,"13071010","Blankenhof",1999
0.65719,"13071010","Blankenhof",2000
0.26952,"13071010","Blankenhof",2001
0.26884,"13071010","Blankenhof",2002
0.11019,"13071010","Blankenhof",2003
0.17765,"13071010","Blankenhof",2004
0.17757,"13071010","Blankenhof",2005
0.17599,"13071010","Blankenhof",2006
0.22392,"13071010","Blankenhof",2007
0.22241,"13071010","Blankenhof",2008
0.25203,"13071010","Blankenhof",2009
0.22969,"13071010","Blankenhof",2010
0.29935,"13071010","Blankenhof",2011
0.2941,"13071010","Blankenhof",2012
0.23798,"13071010","Blankenhof",2013
0.24646,"13071010","Blankenhof",2014
0.26125,"13071010","Blankenhof",2015
0.30739,"13071010","Blankenhof",2016
0.32206,"13071010","Blankenhof",2017
0.35716,"13071010","Blankenhof",2018
0.28134,"13071010","Blankenhof",2019
0.27589,"13071010","Blankenhof",2020
0.41153,"13071011","Blankensee",1998
0.63195,"13071011","Blankensee",1999
0.68067,"13071011","Blankensee",2000
0.53088,"13071011","Blankensee",2001
0.54053,"13071011","Blankensee",2002
0.48282,"13071011","Blankensee",2003
0.54225,"13071011","Blankensee",2004
0.5299,"13071011","Blankensee",2005
0.55451,"13071011","Blankensee",2006
0.61088,"13071011","Blankensee",2007
0.53068,"13071011","Blankensee",2008
0.53905,"13071011","Blankensee",2009
0.50287,"13071011","Blankensee",2010
0.54405,"13071011","Blankensee",2011
0.5146,"13071011","Blankensee",2012
0.4453,"13071011","Blankensee",2013
0.48638,"13071011","Blankensee",2014
0.50717,"13071011","Blankensee",2015
0.51759,"13071011","Blankensee",2016
0.50205,"13071011","Blankensee",2017
0.50293,"13071011","Blankensee",2018
