"gisd_score","gvb_id","gvb_name","year"
0.10423,"130030000","Rostock, Hansestadt",1998
0,"130030000","Rostock, Hansestadt",1999
0,"130030000","Rostock, Hansestadt",2000
0.03217,"130030000","Rostock, Hansestadt",2001
0.04203,"130030000","Rostock, Hansestadt",2002
0.01316,"130030000","Rostock, Hansestadt",2003
0.01978,"130030000","Rostock, Hansestadt",2004
0.11898,"130030000","Rostock, Hansestadt",2005
0.20014,"130030000","Rostock, Hansestadt",2006
0.23149,"130030000","Rostock, Hansestadt",2007
0.22751,"130030000","Rostock, Hansestadt",2008
0.21669,"130030000","Rostock, Hansestadt",2009
0.20293,"130030000","Rostock, Hansestadt",2010
0.28847,"130030000","Rostock, Hansestadt",2011
0.15381,"130030000","Rostock, Hansestadt",2012
0.32689,"130030000","Rostock, Hansestadt",2013
0.23929,"130030000","Rostock, Hansestadt",2014
0.32898,"130030000","Rostock, Hansestadt",2015
0.31914,"130030000","Rostock, Hansestadt",2016
0.28643,"130030000","Rostock, Hansestadt",2017
0.27251,"130030000","Rostock, Hansestadt",2018
0.26614,"130030000","Rostock, Hansestadt",2019
0.28242,"130030000","Rostock, Hansestadt",2020
0,"130040000","Schwerin, Landeshauptstadt",1998
0.14163,"130040000","Schwerin, Landeshauptstadt",1999
0.10659,"130040000","Schwerin, Landeshauptstadt",2000
0.09137,"130040000","Schwerin, Landeshauptstadt",2001
0,"130040000","Schwerin, Landeshauptstadt",2002
0.0426,"130040000","Schwerin, Landeshauptstadt",2003
0,"130040000","Schwerin, Landeshauptstadt",2004
0.11781,"130040000","Schwerin, Landeshauptstadt",2005
0.32373,"130040000","Schwerin, Landeshauptstadt",2006
0.44152,"130040000","Schwerin, Landeshauptstadt",2007
0.30175,"130040000","Schwerin, Landeshauptstadt",2008
0.26814,"130040000","Schwerin, Landeshauptstadt",2009
0.53268,"130040000","Schwerin, Landeshauptstadt",2010
0.36161,"130040000","Schwerin, Landeshauptstadt",2011
0.28096,"130040000","Schwerin, Landeshauptstadt",2012
0.40062,"130040000","Schwerin, Landeshauptstadt",2013
0.36501,"130040000","Schwerin, Landeshauptstadt",2014
0.43966,"130040000","Schwerin, Landeshauptstadt",2015
0.44479,"130040000","Schwerin, Landeshauptstadt",2016
0.40749,"130040000","Schwerin, Landeshauptstadt",2017
0.49462,"130040000","Schwerin, Landeshauptstadt",2018
0.4706,"130040000","Schwerin, Landeshauptstadt",2019
0.41521,"130040000","Schwerin, Landeshauptstadt",2020
0.4254,"130710027","Dargun, Stadt",1998
0.64102,"130710027","Dargun, Stadt",1999
0.71511,"130710027","Dargun, Stadt",2000
0.51475,"130710027","Dargun, Stadt",2001
0.56246,"130710027","Dargun, Stadt",2002
0.5516,"130710027","Dargun, Stadt",2003
0.45215,"130710027","Dargun, Stadt",2004
0.49392,"130710027","Dargun, Stadt",2005
0.50537,"130710027","Dargun, Stadt",2006
0.64276,"130710027","Dargun, Stadt",2007
0.5566,"130710027","Dargun, Stadt",2008
0.59126,"130710027","Dargun, Stadt",2009
0.59622,"130710027","Dargun, Stadt",2010
0.64072,"130710027","Dargun, Stadt",2011
0.60745,"130710027","Dargun, Stadt",2012
0.57912,"130710027","Dargun, Stadt",2013
0.63379,"130710027","Dargun, Stadt",2014
0.64495,"130710027","Dargun, Stadt",2015
0.62589,"130710027","Dargun, Stadt",2016
0.60081,"130710027","Dargun, Stadt",2017
0.60462,"130710027","Dargun, Stadt",2018
