"gisd_score","kreis_id","kreis_name","year"
0.21204,"13003","Rostock, Stadt",1998
0,"13003","Rostock, Stadt",1999
0,"13003","Rostock, Stadt",2000
0,"13003","Rostock, Stadt",2001
0.07499,"13003","Rostock, Stadt",2002
0,"13003","Rostock, Stadt",2003
0.03293,"13003","Rostock, Stadt",2004
0.00242,"13003","Rostock, Stadt",2005
0,"13003","Rostock, Stadt",2006
0,"13003","Rostock, Stadt",2007
0,"13003","Rostock, Stadt",2008
0,"13003","Rostock, Stadt",2009
0,"13003","Rostock, Stadt",2010
0,"13003","Rostock, Stadt",2011
0,"13003","Rostock, Stadt",2012
0.11787,"13003","Rostock, Stadt",2013
0,"13003","Rostock, Stadt",2014
0.02381,"13003","Rostock, Stadt",2015
0.02593,"13003","Rostock, Stadt",2016
0,"13003","Rostock, Stadt",2017
0.04943,"13003","Rostock, Stadt",2018
0,"13003","Rostock, Stadt",2019
0.07181,"13003","Rostock, Stadt",2020
0,"13004","Schwerin, Stadt",1998
0.18191,"13004","Schwerin, Stadt",1999
0.12711,"13004","Schwerin, Stadt",2000
0.12467,"13004","Schwerin, Stadt",2001
0,"13004","Schwerin, Stadt",2002
0.05503,"13004","Schwerin, Stadt",2003
0,"13004","Schwerin, Stadt",2004
0,"13004","Schwerin, Stadt",2005
0.28856,"13004","Schwerin, Stadt",2006
0.52875,"13004","Schwerin, Stadt",2007
0.17852,"13004","Schwerin, Stadt",2008
0.12707,"13004","Schwerin, Stadt",2009
0.80943,"13004","Schwerin, Stadt",2010
0.22319,"13004","Schwerin, Stadt",2011
0.30065,"13004","Schwerin, Stadt",2012
0.32587,"13004","Schwerin, Stadt",2013
0.30376,"13004","Schwerin, Stadt",2014
0.34054,"13004","Schwerin, Stadt",2015
0.40314,"13004","Schwerin, Stadt",2016
0.36908,"13004","Schwerin, Stadt",2017
0.60619,"13004","Schwerin, Stadt",2018
0.57041,"13004","Schwerin, Stadt",2019
0.42076,"13004","Schwerin, Stadt",2020
0.693,"13071","Mecklenburgische Seenplatte",1998
0.6395,"13071","Mecklenburgische Seenplatte",1999
0.69555,"13071","Mecklenburgische Seenplatte",2000
0.83386,"13071","Mecklenburgische Seenplatte",2001
0.81963,"13071","Mecklenburgische Seenplatte",2002
0.72236,"13071","Mecklenburgische Seenplatte",2003
0.74329,"13071","Mecklenburgische Seenplatte",2004
0.67656,"13071","Mecklenburgische Seenplatte",2005
0.67903,"13071","Mecklenburgische Seenplatte",2006
0.86943,"13071","Mecklenburgische Seenplatte",2007
0.69945,"13071","Mecklenburgische Seenplatte",2008
