"gisd_score","gemeinde_id","gemeinde_name","year"
0.90501,"10041100","Saarbrücken, Landeshauptstadt",1998
0.90866,"10041100","Saarbrücken, Landeshauptstadt",1999
0.91537,"10041100","Saarbrücken, Landeshauptstadt",2000
0.81543,"10041100","Saarbrücken, Landeshauptstadt",2001
0.66571,"10041100","Saarbrücken, Landeshauptstadt",2002
0.74578,"10041100","Saarbrücken, Landeshauptstadt",2003
0.82748,"10041100","Saarbrücken, Landeshauptstadt",2004
0.74207,"10041100","Saarbrücken, Landeshauptstadt",2005
0.77044,"10041100","Saarbrücken, Landeshauptstadt",2006
0.7569,"10041100","Saarbrücken, Landeshauptstadt",2007
0.7081,"10041100","Saarbrücken, Landeshauptstadt",2008
0.71298,"10041100","Saarbrücken, Landeshauptstadt",2009
0.66015,"10041100","Saarbrücken, Landeshauptstadt",2010
0.67201,"10041100","Saarbrücken, Landeshauptstadt",2011
0.5809,"10041100","Saarbrücken, Landeshauptstadt",2012
0.60469,"10041100","Saarbrücken, Landeshauptstadt",2013
0.62191,"10041100","Saarbrücken, Landeshauptstadt",2014
0.66559,"10041100","Saarbrücken, Landeshauptstadt",2015
0.64649,"10041100","Saarbrücken, Landeshauptstadt",2016
0.60861,"10041100","Saarbrücken, Landeshauptstadt",2017
0.67552,"10041100","Saarbrücken, Landeshauptstadt",2018
0.723,"10041100","Saarbrücken, Landeshauptstadt",2019
0.75915,"10041100","Saarbrücken, Landeshauptstadt",2020
0.91849,"10041511","Friedrichsthal, Stadt",1998
0.925,"10041511","Friedrichsthal, Stadt",1999
0.92846,"10041511","Friedrichsthal, Stadt",2000
0.61468,"10041511","Friedrichsthal, Stadt",2001
0.44624,"10041511","Friedrichsthal, Stadt",2002
0.57439,"10041511","Friedrichsthal, Stadt",2003
0.60624,"10041511","Friedrichsthal, Stadt",2004
0.57028,"10041511","Friedrichsthal, Stadt",2005
0.5862,"10041511","Friedrichsthal, Stadt",2006
0.5785,"10041511","Friedrichsthal, Stadt",2007
0.52195,"10041511","Friedrichsthal, Stadt",2008
0.55685,"10041511","Friedrichsthal, Stadt",2009
0.49891,"10041511","Friedrichsthal, Stadt",2010
0.50083,"10041511","Friedrichsthal, Stadt",2011
0.42042,"10041511","Friedrichsthal, Stadt",2012
0.45162,"10041511","Friedrichsthal, Stadt",2013
0.45849,"10041511","Friedrichsthal, Stadt",2014
0.49474,"10041511","Friedrichsthal, Stadt",2015
0.50069,"10041511","Friedrichsthal, Stadt",2016
0.45133,"10041511","Friedrichsthal, Stadt",2017
0.51599,"10041511","Friedrichsthal, Stadt",2018
0.5535,"10041511","Friedrichsthal, Stadt",2019
0.55097,"10041511","Friedrichsthal, Stadt",2020
0.92867,"10041512","Großrosseln",1998
0.9336,"10041512","Großrosseln",1999
0.93657,"10041512","Großrosseln",2000
0.57875,"10041512","Großrosseln",2001
0.42536,"10041512","Großrosseln",2002
0.53403,"10041512","Großrosseln",2003
0.55467,"10041512","Großrosseln",2004
0.46169,"10041512","Großrosseln",2005
0.41514,"10041512","Großrosseln",2006
0.46756,"10041512","Großrosseln",2007
0.4231,"10041512","Großrosseln",2008
0.43999,"10041512","Großrosseln",2009
0.40181,"10041512","Großrosseln",2010
0.44014,"10041512","Großrosseln",2011
0.38795,"10041512","Großrosseln",2012
0.42762,"10041512","Großrosseln",2013
0.43435,"10041512","Großrosseln",2014
0.46804,"10041512","Großrosseln",2015
0.49792,"10041512","Großrosseln",2016
0.44024,"10041512","Großrosseln",2017
0.50762,"10041512","Großrosseln",2018
0.53394,"10041512","Großrosseln",2019
0.54612,"10041512","Großrosseln",2020
0.90276,"10041513","Heusweiler",1998
0.90905,"10041513","Heusweiler",1999
0.91854,"10041513","Heusweiler",2000
0.47512,"10041513","Heusweiler",2001
0.30828,"10041513","Heusweiler",2002
0.4367,"10041513","Heusweiler",2003
0.47381,"10041513","Heusweiler",2004
0.42431,"10041513","Heusweiler",2005
0.42073,"10041513","Heusweiler",2006
0.47333,"10041513","Heusweiler",2007
0.4362,"10041513","Heusweiler",2008
0.45843,"10041513","Heusweiler",2009
0.40931,"10041513","Heusweiler",2010
0.40461,"10041513","Heusweiler",2011
0.33704,"10041513","Heusweiler",2012
0.36607,"10041513","Heusweiler",2013
0.37595,"10041513","Heusweiler",2014
0.40782,"10041513","Heusweiler",2015
0.43049,"10041513","Heusweiler",2016
0.38015,"10041513","Heusweiler",2017
0.45391,"10041513","Heusweiler",2018
0.46534,"10041513","Heusweiler",2019
0.4623,"10041513","Heusweiler",2020
0.94388,"10041514","Kleinblittersdorf",1998
0.95051,"10041514","Kleinblittersdorf",1999
0.95365,"10041514","Kleinblittersdorf",2000
0.58153,"10041514","Kleinblittersdorf",2001
0.435,"10041514","Kleinblittersdorf",2002
0.54126,"10041514","Kleinblittersdorf",2003
0.60599,"10041514","Kleinblittersdorf",2004
0.4894,"10041514","Kleinblittersdorf",2005
0.48329,"10041514","Kleinblittersdorf",2006
0.51546,"10041514","Kleinblittersdorf",2007
0.47695,"10041514","Kleinblittersdorf",2008
0.48321,"10041514","Kleinblittersdorf",2009
0.46099,"10041514","Kleinblittersdorf",2010
0.44854,"10041514","Kleinblittersdorf",2011
0.37403,"10041514","Kleinblittersdorf",2012
0.35453,"10041514","Kleinblittersdorf",2013
0.3837,"10041514","Kleinblittersdorf",2014
0.41299,"10041514","Kleinblittersdorf",2015
0.43432,"10041514","Kleinblittersdorf",2016
0.38634,"10041514","Kleinblittersdorf",2017
0.44422,"10041514","Kleinblittersdorf",2018
0.45692,"10041514","Kleinblittersdorf",2019
0.46512,"10041514","Kleinblittersdorf",2020
0.9086,"10041515","Püttlingen, Stadt",1998
0.91203,"10041515","Püttlingen, Stadt",1999
0.9194,"10041515","Püttlingen, Stadt",2000
0.54591,"10041515","Püttlingen, Stadt",2001
0.38921,"10041515","Püttlingen, Stadt",2002
0.49831,"10041515","Püttlingen, Stadt",2003
0.52256,"10041515","Püttlingen, Stadt",2004
0.44633,"10041515","Püttlingen, Stadt",2005
0.42207,"10041515","Püttlingen, Stadt",2006
0.45177,"10041515","Püttlingen, Stadt",2007
0.41114,"10041515","Püttlingen, Stadt",2008
0.41766,"10041515","Püttlingen, Stadt",2009
0.36481,"10041515","Püttlingen, Stadt",2010
0.38098,"10041515","Püttlingen, Stadt",2011
0.31514,"10041515","Püttlingen, Stadt",2012
0.33497,"10041515","Püttlingen, Stadt",2013
0.35468,"10041515","Püttlingen, Stadt",2014
0.38954,"10041515","Püttlingen, Stadt",2015
0.41455,"10041515","Püttlingen, Stadt",2016
0.36583,"10041515","Püttlingen, Stadt",2017
0.4204,"10041515","Püttlingen, Stadt",2018
0.4401,"10041515","Püttlingen, Stadt",2019
0.45023,"10041515","Püttlingen, Stadt",2020
0.88206,"10041516","Quierschied",1998
0.88358,"10041516","Quierschied",1999
0.8924,"10041516","Quierschied",2000
0.54289,"10041516","Quierschied",2001
0.39182,"10041516","Quierschied",2002
0.48685,"10041516","Quierschied",2003
0.5048,"10041516","Quierschied",2004
0.44164,"10041516","Quierschied",2005
0.43868,"10041516","Quierschied",2006
0.48023,"10041516","Quierschied",2007
0.43769,"10041516","Quierschied",2008
0.44746,"10041516","Quierschied",2009
0.394,"10041516","Quierschied",2010
0.42109,"10041516","Quierschied",2011
0.35039,"10041516","Quierschied",2012
0.39526,"10041516","Quierschied",2013
0.40477,"10041516","Quierschied",2014
0.42943,"10041516","Quierschied",2015
0.44274,"10041516","Quierschied",2016
0.40206,"10041516","Quierschied",2017
0.45635,"10041516","Quierschied",2018
0.48641,"10041516","Quierschied",2019
0.48846,"10041516","Quierschied",2020
0.89817,"10041517","Riegelsberg",1998
0.90506,"10041517","Riegelsberg",1999
0.91605,"10041517","Riegelsberg",2000
0.37295,"10041517","Riegelsberg",2001
0.22554,"10041517","Riegelsberg",2002
0.35402,"10041517","Riegelsberg",2003
0.3786,"10041517","Riegelsberg",2004
0.35141,"10041517","Riegelsberg",2005
0.32857,"10041517","Riegelsberg",2006
0.37741,"10041517","Riegelsberg",2007
0.3499,"10041517","Riegelsberg",2008
0.3431,"10041517","Riegelsberg",2009
0.30093,"10041517","Riegelsberg",2010
0.34432,"10041517","Riegelsberg",2011
0.2907,"10041517","Riegelsberg",2012
0.30983,"10041517","Riegelsberg",2013
0.32773,"10041517","Riegelsberg",2014
0.36197,"10041517","Riegelsberg",2015
0.40443,"10041517","Riegelsberg",2016
0.34956,"10041517","Riegelsberg",2017
0.41035,"10041517","Riegelsberg",2018
0.43428,"10041517","Riegelsberg",2019
0.44004,"10041517","Riegelsberg",2020
0.91333,"10041518","Sulzbach/ Saar, Stadt",1998
0.91746,"10041518","Sulzbach/ Saar, Stadt",1999
0.92289,"10041518","Sulzbach/ Saar, Stadt",2000
0.67419,"10041518","Sulzbach/ Saar, Stadt",2001
0.52704,"10041518","Sulzbach/ Saar, Stadt",2002
0.63245,"10041518","Sulzbach/ Saar, Stadt",2003
0.6605,"10041518","Sulzbach/ Saar, Stadt",2004
0.63441,"10041518","Sulzbach/ Saar, Stadt",2005
0.67541,"10041518","Sulzbach/ Saar, Stadt",2006
0.67377,"10041518","Sulzbach/ Saar, Stadt",2007
0.60549,"10041518","Sulzbach/ Saar, Stadt",2008
0.65406,"10041518","Sulzbach/ Saar, Stadt",2009
0.58557,"10041518","Sulzbach/ Saar, Stadt",2010
0.55705,"10041518","Sulzbach/ Saar, Stadt",2011
0.48459,"10041518","Sulzbach/ Saar, Stadt",2012
0.5135,"10041518","Sulzbach/ Saar, Stadt",2013
0.52145,"10041518","Sulzbach/ Saar, Stadt",2014
0.58846,"10041518","Sulzbach/ Saar, Stadt",2015
0.59793,"10041518","Sulzbach/ Saar, Stadt",2016
0.5528,"10041518","Sulzbach/ Saar, Stadt",2017
0.61545,"10041518","Sulzbach/ Saar, Stadt",2018
0.67278,"10041518","Sulzbach/ Saar, Stadt",2019
0.70326,"10041518","Sulzbach/ Saar, Stadt",2020
0.94636,"10041519","Völklingen, Stadt",1998
0.95215,"10041519","Völklingen, Stadt",1999
0.95438,"10041519","Völklingen, Stadt",2000
0.80116,"10041519","Völklingen, Stadt",2001
