"gisd_score","gvb_id","gvb_name","year"
0.90501,"100410100","Saarbrücken, Landeshauptstadt",1998
0.90866,"100410100","Saarbrücken, Landeshauptstadt",1999
0.91537,"100410100","Saarbrücken, Landeshauptstadt",2000
0.81543,"100410100","Saarbrücken, Landeshauptstadt",2001
0.66571,"100410100","Saarbrücken, Landeshauptstadt",2002
0.74578,"100410100","Saarbrücken, Landeshauptstadt",2003
0.82748,"100410100","Saarbrücken, Landeshauptstadt",2004
0.74207,"100410100","Saarbrücken, Landeshauptstadt",2005
0.77044,"100410100","Saarbrücken, Landeshauptstadt",2006
0.7569,"100410100","Saarbrücken, Landeshauptstadt",2007
0.7081,"100410100","Saarbrücken, Landeshauptstadt",2008
0.71298,"100410100","Saarbrücken, Landeshauptstadt",2009
0.66015,"100410100","Saarbrücken, Landeshauptstadt",2010
0.67201,"100410100","Saarbrücken, Landeshauptstadt",2011
0.5809,"100410100","Saarbrücken, Landeshauptstadt",2012
0.60469,"100410100","Saarbrücken, Landeshauptstadt",2013
0.62191,"100410100","Saarbrücken, Landeshauptstadt",2014
0.66559,"100410100","Saarbrücken, Landeshauptstadt",2015
0.64649,"100410100","Saarbrücken, Landeshauptstadt",2016
0.60861,"100410100","Saarbrücken, Landeshauptstadt",2017
0.67552,"100410100","Saarbrücken, Landeshauptstadt",2018
0.723,"100410100","Saarbrücken, Landeshauptstadt",2019
0.75915,"100410100","Saarbrücken, Landeshauptstadt",2020
0.91849,"100410511","Friedrichsthal, Stadt",1998
0.925,"100410511","Friedrichsthal, Stadt",1999
0.92846,"100410511","Friedrichsthal, Stadt",2000
0.61468,"100410511","Friedrichsthal, Stadt",2001
0.44624,"100410511","Friedrichsthal, Stadt",2002
0.57439,"100410511","Friedrichsthal, Stadt",2003
0.60624,"100410511","Friedrichsthal, Stadt",2004
0.57028,"100410511","Friedrichsthal, Stadt",2005
0.5862,"100410511","Friedrichsthal, Stadt",2006
0.5785,"100410511","Friedrichsthal, Stadt",2007
0.52195,"100410511","Friedrichsthal, Stadt",2008
0.55685,"100410511","Friedrichsthal, Stadt",2009
0.49891,"100410511","Friedrichsthal, Stadt",2010
0.50083,"100410511","Friedrichsthal, Stadt",2011
0.42042,"100410511","Friedrichsthal, Stadt",2012
0.45162,"100410511","Friedrichsthal, Stadt",2013
0.45849,"100410511","Friedrichsthal, Stadt",2014
0.49474,"100410511","Friedrichsthal, Stadt",2015
0.50069,"100410511","Friedrichsthal, Stadt",2016
0.45133,"100410511","Friedrichsthal, Stadt",2017
