"gisd_score","gemeinde_id","gemeinde_name","year"
0.26395,"15001000","Dessau-Roßlau, Stadt",1998
0.23663,"15001000","Dessau-Roßlau, Stadt",1999
0.32149,"15001000","Dessau-Roßlau, Stadt",2000
0.28881,"15001000","Dessau-Roßlau, Stadt",2001
0.00598,"15001000","Dessau-Roßlau, Stadt",2002
0.0947,"15001000","Dessau-Roßlau, Stadt",2003
0.25347,"15001000","Dessau-Roßlau, Stadt",2004
0.3049,"15001000","Dessau-Roßlau, Stadt",2005
0.27585,"15001000","Dessau-Roßlau, Stadt",2006
0.34325,"15001000","Dessau-Roßlau, Stadt",2007
0.36434,"15001000","Dessau-Roßlau, Stadt",2008
0.17217,"15001000","Dessau-Roßlau, Stadt",2009
0.26875,"15001000","Dessau-Roßlau, Stadt",2010
0.32642,"15001000","Dessau-Roßlau, Stadt",2011
0.32734,"15001000","Dessau-Roßlau, Stadt",2012
0.37704,"15001000","Dessau-Roßlau, Stadt",2013
0.29141,"15001000","Dessau-Roßlau, Stadt",2014
0.34251,"15001000","Dessau-Roßlau, Stadt",2015
0.31521,"15001000","Dessau-Roßlau, Stadt",2016
0.333,"15001000","Dessau-Roßlau, Stadt",2017
0.31738,"15001000","Dessau-Roßlau, Stadt",2018
0.35647,"15001000","Dessau-Roßlau, Stadt",2019
0.41215,"15001000","Dessau-Roßlau, Stadt",2020
0.41965,"15002000","Halle (Saale), Stadt",1998
0.42534,"15002000","Halle (Saale), Stadt",1999
0.36728,"15002000","Halle (Saale), Stadt",2000
0.50676,"15002000","Halle (Saale), Stadt",2001
0.23561,"15002000","Halle (Saale), Stadt",2002
0.37869,"15002000","Halle (Saale), Stadt",2003
0.48142,"15002000","Halle (Saale), Stadt",2004
0.47544,"15002000","Halle (Saale), Stadt",2005
0.50605,"15002000","Halle (Saale), Stadt",2006
0.59059,"15002000","Halle (Saale), Stadt",2007
0.60128,"15002000","Halle (Saale), Stadt",2008
0.50221,"15002000","Halle (Saale), Stadt",2009
0.63476,"15002000","Halle (Saale), Stadt",2010
0.66428,"15002000","Halle (Saale), Stadt",2011
0.5457,"15002000","Halle (Saale), Stadt",2012
0.52454,"15002000","Halle (Saale), Stadt",2013
0.52242,"15002000","Halle (Saale), Stadt",2014
0.49157,"15002000","Halle (Saale), Stadt",2015
0.5258,"15002000","Halle (Saale), Stadt",2016
0.54292,"15002000","Halle (Saale), Stadt",2017
0.51217,"15002000","Halle (Saale), Stadt",2018
0.67852,"15002000","Halle (Saale), Stadt",2019
0.66596,"15002000","Halle (Saale), Stadt",2020
0.28636,"15003000","Magdeburg, Landeshauptstadt",1998
0.22957,"15003000","Magdeburg, Landeshauptstadt",1999
0.23871,"15003000","Magdeburg, Landeshauptstadt",2000
0.30203,"15003000","Magdeburg, Landeshauptstadt",2001
0.13825,"15003000","Magdeburg, Landeshauptstadt",2002
0.25674,"15003000","Magdeburg, Landeshauptstadt",2003
0.38502,"15003000","Magdeburg, Landeshauptstadt",2004
0.43666,"15003000","Magdeburg, Landeshauptstadt",2005
0.41982,"15003000","Magdeburg, Landeshauptstadt",2006
0.44458,"15003000","Magdeburg, Landeshauptstadt",2007
0.46107,"15003000","Magdeburg, Landeshauptstadt",2008
0.36715,"15003000","Magdeburg, Landeshauptstadt",2009
0.42638,"15003000","Magdeburg, Landeshauptstadt",2010
0.50827,"15003000","Magdeburg, Landeshauptstadt",2011
0.41205,"15003000","Magdeburg, Landeshauptstadt",2012
0.35081,"15003000","Magdeburg, Landeshauptstadt",2013
0.34189,"15003000","Magdeburg, Landeshauptstadt",2014
0.34473,"15003000","Magdeburg, Landeshauptstadt",2015
0.31268,"15003000","Magdeburg, Landeshauptstadt",2016
0.32916,"15003000","Magdeburg, Landeshauptstadt",2017
0.3281,"15003000","Magdeburg, Landeshauptstadt",2018
0.42919,"15003000","Magdeburg, Landeshauptstadt",2019
0.44197,"15003000","Magdeburg, Landeshauptstadt",2020
0.63484,"15081026","Apenburg-Winterfeld, Flecken",1998
0.43484,"15081026","Apenburg-Winterfeld, Flecken",1999
0.76625,"15081026","Apenburg-Winterfeld, Flecken",2000
0.47866,"15081026","Apenburg-Winterfeld, Flecken",2001
0.45579,"15081026","Apenburg-Winterfeld, Flecken",2002
0.57257,"15081026","Apenburg-Winterfeld, Flecken",2003
0.62052,"15081026","Apenburg-Winterfeld, Flecken",2004
0.70058,"15081026","Apenburg-Winterfeld, Flecken",2005
0.6818,"15081026","Apenburg-Winterfeld, Flecken",2006
0.6857,"15081026","Apenburg-Winterfeld, Flecken",2007
0.60777,"15081026","Apenburg-Winterfeld, Flecken",2008
0.52179,"15081026","Apenburg-Winterfeld, Flecken",2009
0.52718,"15081026","Apenburg-Winterfeld, Flecken",2010
0.57596,"15081026","Apenburg-Winterfeld, Flecken",2011
0.5478,"15081026","Apenburg-Winterfeld, Flecken",2012
0.38026,"15081026","Apenburg-Winterfeld, Flecken",2013
0.33972,"15081026","Apenburg-Winterfeld, Flecken",2014
0.424,"15081026","Apenburg-Winterfeld, Flecken",2015
0.42551,"15081026","Apenburg-Winterfeld, Flecken",2016
0.43093,"15081026","Apenburg-Winterfeld, Flecken",2017
0.43476,"15081026","Apenburg-Winterfeld, Flecken",2018
0.57111,"15081026","Apenburg-Winterfeld, Flecken",2019
0.52694,"15081026","Apenburg-Winterfeld, Flecken",2020
0.64526,"15081030","Arendsee (Altmark), Stadt",1998
0.4488,"15081030","Arendsee (Altmark), Stadt",1999
0.8236,"15081030","Arendsee (Altmark), Stadt",2000
0.83752,"15081030","Arendsee (Altmark), Stadt",2001
0.81849,"15081030","Arendsee (Altmark), Stadt",2002
