"gisd_score","gemeinde_id","gemeinde_name","year"
0.49938,"14511000","Chemnitz, Stadt",1998
0.51837,"14511000","Chemnitz, Stadt",1999
0.44484,"14511000","Chemnitz, Stadt",2000
0.39393,"14511000","Chemnitz, Stadt",2001
0.39967,"14511000","Chemnitz, Stadt",2002
0.38199,"14511000","Chemnitz, Stadt",2003
0.38012,"14511000","Chemnitz, Stadt",2004
0.4083,"14511000","Chemnitz, Stadt",2005
0.33665,"14511000","Chemnitz, Stadt",2006
0.3518,"14511000","Chemnitz, Stadt",2007
0.37779,"14511000","Chemnitz, Stadt",2008
0.37253,"14511000","Chemnitz, Stadt",2009
0.3984,"14511000","Chemnitz, Stadt",2010
0.3959,"14511000","Chemnitz, Stadt",2011
0.4374,"14511000","Chemnitz, Stadt",2012
0.42785,"14511000","Chemnitz, Stadt",2013
0.43684,"14511000","Chemnitz, Stadt",2014
0.50356,"14511000","Chemnitz, Stadt",2015
0.50885,"14511000","Chemnitz, Stadt",2016
0.60295,"14511000","Chemnitz, Stadt",2017
0.53971,"14511000","Chemnitz, Stadt",2018
0.55746,"14511000","Chemnitz, Stadt",2019
0.60629,"14511000","Chemnitz, Stadt",2020
0.78291,"14521010","Amtsberg",1998
0.76271,"14521010","Amtsberg",1999
0.7925,"14521010","Amtsberg",2000
0.63274,"14521010","Amtsberg",2001
0.66081,"14521010","Amtsberg",2002
0.59923,"14521010","Amtsberg",2003
0.53131,"14521010","Amtsberg",2004
0.50451,"14521010","Amtsberg",2005
0.4807,"14521010","Amtsberg",2006
0.41034,"14521010","Amtsberg",2007
0.41985,"14521010","Amtsberg",2008
0.40167,"14521010","Amtsberg",2009
0.36769,"14521010","Amtsberg",2010
0.34236,"14521010","Amtsberg",2011
0.35756,"14521010","Amtsberg",2012
0.37466,"14521010","Amtsberg",2013
0.38436,"14521010","Amtsberg",2014
0.4391,"14521010","Amtsberg",2015
0.45841,"14521010","Amtsberg",2016
0.40823,"14521010","Amtsberg",2017
0.42759,"14521010","Amtsberg",2018
0.44564,"14521010","Amtsberg",2019
0.46541,"14521010","Amtsberg",2020
0.71487,"14521020","Annaberg-Buchholz, Stadt",1998
0.69487,"14521020","Annaberg-Buchholz, Stadt",1999
0.76664,"14521020","Annaberg-Buchholz, Stadt",2000
0.73217,"14521020","Annaberg-Buchholz, Stadt",2001
0.76921,"14521020","Annaberg-Buchholz, Stadt",2002
0.78117,"14521020","Annaberg-Buchholz, Stadt",2003
0.71598,"14521020","Annaberg-Buchholz, Stadt",2004
0.73887,"14521020","Annaberg-Buchholz, Stadt",2005
0.79837,"14521020","Annaberg-Buchholz, Stadt",2006
0.72425,"14521020","Annaberg-Buchholz, Stadt",2007
0.72098,"14521020","Annaberg-Buchholz, Stadt",2008
0.73792,"14521020","Annaberg-Buchholz, Stadt",2009
0.70746,"14521020","Annaberg-Buchholz, Stadt",2010
0.64675,"14521020","Annaberg-Buchholz, Stadt",2011
0.68461,"14521020","Annaberg-Buchholz, Stadt",2012
0.66224,"14521020","Annaberg-Buchholz, Stadt",2013
0.69612,"14521020","Annaberg-Buchholz, Stadt",2014
0.77372,"14521020","Annaberg-Buchholz, Stadt",2015
0.74156,"14521020","Annaberg-Buchholz, Stadt",2016
0.67201,"14521020","Annaberg-Buchholz, Stadt",2017
0.67446,"14521020","Annaberg-Buchholz, Stadt",2018
0.66169,"14521020","Annaberg-Buchholz, Stadt",2019
0.69201,"14521020","Annaberg-Buchholz, Stadt",2020
0.71276,"14521035","Aue-Bad Schlema, Stadt",1998
0.69335,"14521035","Aue-Bad Schlema, Stadt",1999
0.76612,"14521035","Aue-Bad Schlema, Stadt",2000
0.78171,"14521035","Aue-Bad Schlema, Stadt",2001
0.81778,"14521035","Aue-Bad Schlema, Stadt",2002
0.83869,"14521035","Aue-Bad Schlema, Stadt",2003
0.77453,"14521035","Aue-Bad Schlema, Stadt",2004
0.76973,"14521035","Aue-Bad Schlema, Stadt",2005
0.82103,"14521035","Aue-Bad Schlema, Stadt",2006
0.73869,"14521035","Aue-Bad Schlema, Stadt",2007
0.70631,"14521035","Aue-Bad Schlema, Stadt",2008
0.71268,"14521035","Aue-Bad Schlema, Stadt",2009
0.7089,"14521035","Aue-Bad Schlema, Stadt",2010
0.6682,"14521035","Aue-Bad Schlema, Stadt",2011
0.69816,"14521035","Aue-Bad Schlema, Stadt",2012
0.66941,"14521035","Aue-Bad Schlema, Stadt",2013
0.69428,"14521035","Aue-Bad Schlema, Stadt",2014
0.77819,"14521035","Aue-Bad Schlema, Stadt",2015
0.77881,"14521035","Aue-Bad Schlema, Stadt",2016
0.732,"14521035","Aue-Bad Schlema, Stadt",2017
0.70643,"14521035","Aue-Bad Schlema, Stadt",2018
0.67009,"14521035","Aue-Bad Schlema, Stadt",2019
0.69039,"14521035","Aue-Bad Schlema, Stadt",2020
0.77695,"14521040","Auerbach",1998
0.7582,"14521040","Auerbach",1999
0.80027,"14521040","Auerbach",2000
0.60075,"14521040","Auerbach",2001
0.66184,"14521040","Auerbach",2002
0.63517,"14521040","Auerbach",2003
0.56289,"14521040","Auerbach",2004
0.5552,"14521040","Auerbach",2005
0.5388,"14521040","Auerbach",2006
0.48179,"14521040","Auerbach",2007
0.43077,"14521040","Auerbach",2008
0.44928,"14521040","Auerbach",2009
0.41014,"14521040","Auerbach",2010
0.40645,"14521040","Auerbach",2011
0.42464,"14521040","Auerbach",2012
0.40004,"14521040","Auerbach",2013
0.39917,"14521040","Auerbach",2014
0.47284,"14521040","Auerbach",2015
0.4924,"14521040","Auerbach",2016
0.44774,"14521040","Auerbach",2017
0.47317,"14521040","Auerbach",2018
0.46667,"14521040","Auerbach",2019
0.50894,"14521040","Auerbach",2020
0.79953,"14521060","Bärenstein",1998
0.77848,"14521060","Bärenstein",1999
0.82361,"14521060","Bärenstein",2000
0.66902,"14521060","Bärenstein",2001
0.70095,"14521060","Bärenstein",2002
0.6983,"14521060","Bärenstein",2003
0.62577,"14521060","Bärenstein",2004
0.6054,"14521060","Bärenstein",2005
0.63489,"14521060","Bärenstein",2006
0.5529,"14521060","Bärenstein",2007
0.56833,"14521060","Bärenstein",2008
0.57167,"14521060","Bärenstein",2009
0.53197,"14521060","Bärenstein",2010
0.51867,"14521060","Bärenstein",2011
0.57152,"14521060","Bärenstein",2012
0.52959,"14521060","Bärenstein",2013
0.56502,"14521060","Bärenstein",2014
0.64381,"14521060","Bärenstein",2015
0.59822,"14521060","Bärenstein",2016
0.56335,"14521060","Bärenstein",2017
0.5851,"14521060","Bärenstein",2018
0.57225,"14521060","Bärenstein",2019
0.5956,"14521060","Bärenstein",2020
0.78343,"14521080","Bockau",1998
0.76448,"14521080","Bockau",1999
0.82111,"14521080","Bockau",2000
0.62761,"14521080","Bockau",2001
0.68663,"14521080","Bockau",2002
0.62891,"14521080","Bockau",2003
0.56628,"14521080","Bockau",2004
0.55057,"14521080","Bockau",2005
0.56437,"14521080","Bockau",2006
0.4984,"14521080","Bockau",2007
0.4871,"14521080","Bockau",2008
0.46018,"14521080","Bockau",2009
0.44226,"14521080","Bockau",2010
0.4331,"14521080","Bockau",2011
0.43684,"14521080","Bockau",2012
0.41406,"14521080","Bockau",2013
0.42582,"14521080","Bockau",2014
0.48605,"14521080","Bockau",2015
0.49152,"14521080","Bockau",2016
0.47043,"14521080","Bockau",2017
0.48328,"14521080","Bockau",2018
0.47681,"14521080","Bockau",2019
0.49822,"14521080","Bockau",2020
0.75753,"14521090","Börnichen/Erzgeb.",1998
0.73961,"14521090","Börnichen/Erzgeb.",1999
0.78372,"14521090","Börnichen/Erzgeb.",2000
0.63067,"14521090","Börnichen/Erzgeb.",2001
0.62666,"14521090","Börnichen/Erzgeb.",2002
0.58689,"14521090","Börnichen/Erzgeb.",2003
0.51447,"14521090","Börnichen/Erzgeb.",2004
0.57049,"14521090","Börnichen/Erzgeb.",2005
0.56136,"14521090","Börnichen/Erzgeb.",2006
0.48724,"14521090","Börnichen/Erzgeb.",2007
0.47578,"14521090","Börnichen/Erzgeb.",2008
0.44183,"14521090","Börnichen/Erzgeb.",2009
0.41838,"14521090","Börnichen/Erzgeb.",2010
0.38805,"14521090","Börnichen/Erzgeb.",2011
0.40689,"14521090","Börnichen/Erzgeb.",2012
0.39527,"14521090","Börnichen/Erzgeb.",2013
0.40946,"14521090","Börnichen/Erzgeb.",2014
0.48009,"14521090","Börnichen/Erzgeb.",2015
0.50649,"14521090","Börnichen/Erzgeb.",2016
0.46134,"14521090","Börnichen/Erzgeb.",2017
0.46625,"14521090","Börnichen/Erzgeb.",2018
0.43825,"14521090","Börnichen/Erzgeb.",2019
0.48307,"14521090","Börnichen/Erzgeb.",2020
0.72834,"14521110","Breitenbrunn/Erzgeb.",1998
0.71258,"14521110","Breitenbrunn/Erzgeb.",1999
0.79537,"14521110","Breitenbrunn/Erzgeb.",2000
0.62665,"14521110","Breitenbrunn/Erzgeb.",2001
0.66987,"14521110","Breitenbrunn/Erzgeb.",2002
0.67394,"14521110","Breitenbrunn/Erzgeb.",2003
0.60224,"14521110","Breitenbrunn/Erzgeb.",2004
0.56871,"14521110","Breitenbrunn/Erzgeb.",2005
0.58936,"14521110","Breitenbrunn/Erzgeb.",2006
0.51543,"14521110","Breitenbrunn/Erzgeb.",2007
0.53112,"14521110","Breitenbrunn/Erzgeb.",2008
0.53656,"14521110","Breitenbrunn/Erzgeb.",2009
0.50812,"14521110","Breitenbrunn/Erzgeb.",2010
0.48946,"14521110","Breitenbrunn/Erzgeb.",2011
0.51785,"14521110","Breitenbrunn/Erzgeb.",2012
0.45752,"14521110","Breitenbrunn/Erzgeb.",2013
0.45577,"14521110","Breitenbrunn/Erzgeb.",2014
0.54411,"14521110","Breitenbrunn/Erzgeb.",2015
0.53334,"14521110","Breitenbrunn/Erzgeb.",2016
0.48418,"14521110","Breitenbrunn/Erzgeb.",2017
0.52212,"14521110","Breitenbrunn/Erzgeb.",2018
0.51612,"14521110","Breitenbrunn/Erzgeb.",2019
0.54848,"14521110","Breitenbrunn/Erzgeb.",2020
0.77695,"14521120","Burkhardtsdorf",1998
0.7582,"14521120","Burkhardtsdorf",1999
0.80027,"14521120","Burkhardtsdorf",2000
0.60075,"14521120","Burkhardtsdorf",2001
0.66184,"14521120","Burkhardtsdorf",2002
0.63517,"14521120","Burkhardtsdorf",2003
0.56289,"14521120","Burkhardtsdorf",2004
0.5552,"14521120","Burkhardtsdorf",2005
0.5388,"14521120","Burkhardtsdorf",2006
0.48179,"14521120","Burkhardtsdorf",2007
0.43077,"14521120","Burkhardtsdorf",2008
0.44928,"14521120","Burkhardtsdorf",2009
0.41014,"14521120","Burkhardtsdorf",2010
0.40645,"14521120","Burkhardtsdorf",2011
0.42464,"14521120","Burkhardtsdorf",2012
0.40004,"14521120","Burkhardtsdorf",2013
0.39917,"14521120","Burkhardtsdorf",2014
0.47284,"14521120","Burkhardtsdorf",2015
0.4924,"14521120","Burkhardtsdorf",2016
0.44774,"14521120","Burkhardtsdorf",2017
0.47317,"14521120","Burkhardtsdorf",2018
0.46667,"14521120","Burkhardtsdorf",2019
0.50894,"14521120","Burkhardtsdorf",2020
0.77806,"14521130","Crottendorf",1998
0.75814,"14521130","Crottendorf",1999
0.80155,"14521130","Crottendorf",2000
0.4478,"14521130","Crottendorf",2001
0.49959,"14521130","Crottendorf",2002
0.47916,"14521130","Crottendorf",2003
0.44636,"14521130","Crottendorf",2004
0.47842,"14521130","Crottendorf",2005
0.46351,"14521130","Crottendorf",2006
0.40866,"14521130","Crottendorf",2007
0.39818,"14521130","Crottendorf",2008
0.43271,"14521130","Crottendorf",2009
0.41719,"14521130","Crottendorf",2010
0.40264,"14521130","Crottendorf",2011
0.42399,"14521130","Crottendorf",2012
0.4152,"14521130","Crottendorf",2013
0.42194,"14521130","Crottendorf",2014
0.46685,"14521130","Crottendorf",2015
0.52565,"14521130","Crottendorf",2016
0.47086,"14521130","Crottendorf",2017
0.50029,"14521130","Crottendorf",2018
0.50062,"14521130","Crottendorf",2019
0.49694,"14521130","Crottendorf",2020
0.79891,"14521140","Deutschneudorf",1998
0.77752,"14521140","Deutschneudorf",1999
0.85167,"14521140","Deutschneudorf",2000
0.49661,"14521140","Deutschneudorf",2001
0.68464,"14521140","Deutschneudorf",2002
0.64206,"14521140","Deutschneudorf",2003
0.61024,"14521140","Deutschneudorf",2004
0.69642,"14521140","Deutschneudorf",2005
0.74134,"14521140","Deutschneudorf",2006
0.66523,"14521140","Deutschneudorf",2007
0.64871,"14521140","Deutschneudorf",2008
0.61129,"14521140","Deutschneudorf",2009
0.58275,"14521140","Deutschneudorf",2010
0.55435,"14521140","Deutschneudorf",2011
0.56395,"14521140","Deutschneudorf",2012
0.53981,"14521140","Deutschneudorf",2013
0.56493,"14521140","Deutschneudorf",2014
0.6395,"14521140","Deutschneudorf",2015
0.64002,"14521140","Deutschneudorf",2016
0.58788,"14521140","Deutschneudorf",2017
0.59679,"14521140","Deutschneudorf",2018
0.57376,"14521140","Deutschneudorf",2019
0.57747,"14521140","Deutschneudorf",2020
0.79423,"14521150","Drebach",1998
0.77445,"14521150","Drebach",1999
0.82144,"14521150","Drebach",2000
0.69534,"14521150","Drebach",2001
0.67833,"14521150","Drebach",2002
0.68125,"14521150","Drebach",2003
0.63661,"14521150","Drebach",2004
0.62712,"14521150","Drebach",2005
0.61688,"14521150","Drebach",2006
0.56224,"14521150","Drebach",2007
0.55681,"14521150","Drebach",2008
0.54262,"14521150","Drebach",2009
0.49197,"14521150","Drebach",2010
0.48892,"14521150","Drebach",2011
0.47901,"14521150","Drebach",2012
0.48581,"14521150","Drebach",2013
0.48577,"14521150","Drebach",2014
0.52444,"14521150","Drebach",2015
0.51293,"14521150","Drebach",2016
0.46498,"14521150","Drebach",2017
0.49024,"14521150","Drebach",2018
0.49808,"14521150","Drebach",2019
0.54238,"14521150","Drebach",2020
0.76944,"14521160","Ehrenfriedersdorf, Stadt",1998
0.74932,"14521160","Ehrenfriedersdorf, Stadt",1999
0.80137,"14521160","Ehrenfriedersdorf, Stadt",2000
0.70866,"14521160","Ehrenfriedersdorf, Stadt",2001
0.72338,"14521160","Ehrenfriedersdorf, Stadt",2002
0.70191,"14521160","Ehrenfriedersdorf, Stadt",2003
0.70016,"14521160","Ehrenfriedersdorf, Stadt",2004
0.71101,"14521160","Ehrenfriedersdorf, Stadt",2005
0.7291,"14521160","Ehrenfriedersdorf, Stadt",2006
0.6537,"14521160","Ehrenfriedersdorf, Stadt",2007
0.65183,"14521160","Ehrenfriedersdorf, Stadt",2008
0.69563,"14521160","Ehrenfriedersdorf, Stadt",2009
0.64172,"14521160","Ehrenfriedersdorf, Stadt",2010
0.56459,"14521160","Ehrenfriedersdorf, Stadt",2011
0.58537,"14521160","Ehrenfriedersdorf, Stadt",2012
0.56513,"14521160","Ehrenfriedersdorf, Stadt",2013
0.61293,"14521160","Ehrenfriedersdorf, Stadt",2014
0.64162,"14521160","Ehrenfriedersdorf, Stadt",2015
0.62969,"14521160","Ehrenfriedersdorf, Stadt",2016
0.58629,"14521160","Ehrenfriedersdorf, Stadt",2017
0.58074,"14521160","Ehrenfriedersdorf, Stadt",2018
0.56551,"14521160","Ehrenfriedersdorf, Stadt",2019
0.59777,"14521160","Ehrenfriedersdorf, Stadt",2020
0.81504,"14521170","Eibenstock, Stadt",1998
0.79221,"14521170","Eibenstock, Stadt",1999
0.85758,"14521170","Eibenstock, Stadt",2000
0.84644,"14521170","Eibenstock, Stadt",2001
0.86498,"14521170","Eibenstock, Stadt",2002
0.85209,"14521170","Eibenstock, Stadt",2003
0.77515,"14521170","Eibenstock, Stadt",2004
0.76017,"14521170","Eibenstock, Stadt",2005
0.76809,"14521170","Eibenstock, Stadt",2006
0.68939,"14521170","Eibenstock, Stadt",2007
0.68217,"14521170","Eibenstock, Stadt",2008
0.74332,"14521170","Eibenstock, Stadt",2009
0.71782,"14521170","Eibenstock, Stadt",2010
0.6472,"14521170","Eibenstock, Stadt",2011
0.66482,"14521170","Eibenstock, Stadt",2012
0.63654,"14521170","Eibenstock, Stadt",2013
0.67098,"14521170","Eibenstock, Stadt",2014
0.74866,"14521170","Eibenstock, Stadt",2015
0.69401,"14521170","Eibenstock, Stadt",2016
0.63541,"14521170","Eibenstock, Stadt",2017
0.62911,"14521170","Eibenstock, Stadt",2018
0.60144,"14521170","Eibenstock, Stadt",2019
0.63991,"14521170","Eibenstock, Stadt",2020
0.79877,"14521180","Elterlein, Stadt",1998
0.76382,"14521180","Elterlein, Stadt",1999
0.8185,"14521180","Elterlein, Stadt",2000
0.63879,"14521180","Elterlein, Stadt",2001
0.69718,"14521180","Elterlein, Stadt",2002
0.65672,"14521180","Elterlein, Stadt",2003
0.60187,"14521180","Elterlein, Stadt",2004
0.59711,"14521180","Elterlein, Stadt",2005
0.58624,"14521180","Elterlein, Stadt",2006
0.51094,"14521180","Elterlein, Stadt",2007
0.48343,"14521180","Elterlein, Stadt",2008
0.52268,"14521180","Elterlein, Stadt",2009
0.46601,"14521180","Elterlein, Stadt",2010
0.43431,"14521180","Elterlein, Stadt",2011
0.43557,"14521180","Elterlein, Stadt",2012
0.4255,"14521180","Elterlein, Stadt",2013
0.42305,"14521180","Elterlein, Stadt",2014
0.48462,"14521180","Elterlein, Stadt",2015
0.50151,"14521180","Elterlein, Stadt",2016
0.44973,"14521180","Elterlein, Stadt",2017
0.47171,"14521180","Elterlein, Stadt",2018
0.45694,"14521180","Elterlein, Stadt",2019
0.48363,"14521180","Elterlein, Stadt",2020
0.77038,"14521200","Gelenau/Erzgeb.",1998
0.7477,"14521200","Gelenau/Erzgeb.",1999
0.7977,"14521200","Gelenau/Erzgeb.",2000
0.72277,"14521200","Gelenau/Erzgeb.",2001
0.77993,"14521200","Gelenau/Erzgeb.",2002
0.7785,"14521200","Gelenau/Erzgeb.",2003
0.70972,"14521200","Gelenau/Erzgeb.",2004
0.66179,"14521200","Gelenau/Erzgeb.",2005
0.64576,"14521200","Gelenau/Erzgeb.",2006
0.63366,"14521200","Gelenau/Erzgeb.",2007
0.58462,"14521200","Gelenau/Erzgeb.",2008
0.59787,"14521200","Gelenau/Erzgeb.",2009
0.57972,"14521200","Gelenau/Erzgeb.",2010
0.53072,"14521200","Gelenau/Erzgeb.",2011
0.54098,"14521200","Gelenau/Erzgeb.",2012
0.52882,"14521200","Gelenau/Erzgeb.",2013
0.54802,"14521200","Gelenau/Erzgeb.",2014
0.61754,"14521200","Gelenau/Erzgeb.",2015
0.59567,"14521200","Gelenau/Erzgeb.",2016
0.55989,"14521200","Gelenau/Erzgeb.",2017
0.58045,"14521200","Gelenau/Erzgeb.",2018
0.54472,"14521200","Gelenau/Erzgeb.",2019
0.5472,"14521200","Gelenau/Erzgeb.",2020
0.81037,"14521210","Geyer, Stadt",1998
0.7885,"14521210","Geyer, Stadt",1999
0.82322,"14521210","Geyer, Stadt",2000
0.71707,"14521210","Geyer, Stadt",2001
0.75903,"14521210","Geyer, Stadt",2002
0.7466,"14521210","Geyer, Stadt",2003
0.7011,"14521210","Geyer, Stadt",2004
0.67149,"14521210","Geyer, Stadt",2005
0.69393,"14521210","Geyer, Stadt",2006
0.67502,"14521210","Geyer, Stadt",2007
0.65883,"14521210","Geyer, Stadt",2008
0.68105,"14521210","Geyer, Stadt",2009
