"gisd_score","gemeinde_id","gemeinde_name","year"
0.89453,"01001000","Flensburg, Stadt",1998
0.96023,"01001000","Flensburg, Stadt",1999
0.97878,"01001000","Flensburg, Stadt",2000
0.99666,"01001000","Flensburg, Stadt",2001
1,"01001000","Flensburg, Stadt",2002
0.94235,"01001000","Flensburg, Stadt",2003
1,"01001000","Flensburg, Stadt",2004
1,"01001000","Flensburg, Stadt",2005
1,"01001000","Flensburg, Stadt",2006
1,"01001000","Flensburg, Stadt",2007
1,"01001000","Flensburg, Stadt",2008
1,"01001000","Flensburg, Stadt",2009
1,"01001000","Flensburg, Stadt",2010
0.94893,"01001000","Flensburg, Stadt",2011
0.91455,"01001000","Flensburg, Stadt",2012
0.93157,"01001000","Flensburg, Stadt",2013
0.97044,"01001000","Flensburg, Stadt",2014
0.9647,"01001000","Flensburg, Stadt",2015
0.92531,"01001000","Flensburg, Stadt",2016
0.95362,"01001000","Flensburg, Stadt",2017
0.88933,"01001000","Flensburg, Stadt",2018
0.9054,"01001000","Flensburg, Stadt",2019
0.93695,"01001000","Flensburg, Stadt",2020
0.64935,"01002000","Kiel, Landeshauptstadt",1998
0.65386,"01002000","Kiel, Landeshauptstadt",1999
0.73195,"01002000","Kiel, Landeshauptstadt",2000
0.72911,"01002000","Kiel, Landeshauptstadt",2001
0.64165,"01002000","Kiel, Landeshauptstadt",2002
0.66183,"01002000","Kiel, Landeshauptstadt",2003
0.67818,"01002000","Kiel, Landeshauptstadt",2004
0.67406,"01002000","Kiel, Landeshauptstadt",2005
0.71353,"01002000","Kiel, Landeshauptstadt",2006
0.7281,"01002000","Kiel, Landeshauptstadt",2007
0.68927,"01002000","Kiel, Landeshauptstadt",2008
0.65993,"01002000","Kiel, Landeshauptstadt",2009
0.6848,"01002000","Kiel, Landeshauptstadt",2010
0.65536,"01002000","Kiel, Landeshauptstadt",2011
0.64008,"01002000","Kiel, Landeshauptstadt",2012
0.62702,"01002000","Kiel, Landeshauptstadt",2013
0.65563,"01002000","Kiel, Landeshauptstadt",2014
0.58227,"01002000","Kiel, Landeshauptstadt",2015
0.58687,"01002000","Kiel, Landeshauptstadt",2016
0.58444,"01002000","Kiel, Landeshauptstadt",2017
0.56448,"01002000","Kiel, Landeshauptstadt",2018
0.52691,"01002000","Kiel, Landeshauptstadt",2019
0.52644,"01002000","Kiel, Landeshauptstadt",2020
0.78227,"01003000","Lübeck, Hansestadt",1998
0.83149,"01003000","Lübeck, Hansestadt",1999
0.96979,"01003000","Lübeck, Hansestadt",2000
0.96408,"01003000","Lübeck, Hansestadt",2001
0.89378,"01003000","Lübeck, Hansestadt",2002
0.86806,"01003000","Lübeck, Hansestadt",2003
0.8224,"01003000","Lübeck, Hansestadt",2004
0.86051,"01003000","Lübeck, Hansestadt",2005
0.82812,"01003000","Lübeck, Hansestadt",2006
0.82864,"01003000","Lübeck, Hansestadt",2007
0.82112,"01003000","Lübeck, Hansestadt",2008
0.7948,"01003000","Lübeck, Hansestadt",2009
0.81381,"01003000","Lübeck, Hansestadt",2010
0.85801,"01003000","Lübeck, Hansestadt",2011
0.88687,"01003000","Lübeck, Hansestadt",2012
0.79853,"01003000","Lübeck, Hansestadt",2013
0.90514,"01003000","Lübeck, Hansestadt",2014
0.77943,"01003000","Lübeck, Hansestadt",2015
0.71993,"01003000","Lübeck, Hansestadt",2016
0.76404,"01003000","Lübeck, Hansestadt",2017
0.7008,"01003000","Lübeck, Hansestadt",2018
0.68159,"01003000","Lübeck, Hansestadt",2019
0.65288,"01003000","Lübeck, Hansestadt",2020
1,"01004000","Neumünster, Stadt",1998
1,"01004000","Neumünster, Stadt",1999
1,"01004000","Neumünster, Stadt",2000
0.97959,"01004000","Neumünster, Stadt",2001
0.88545,"01004000","Neumünster, Stadt",2002
1,"01004000","Neumünster, Stadt",2003
0.93616,"01004000","Neumünster, Stadt",2004
0.86305,"01004000","Neumünster, Stadt",2005
0.88202,"01004000","Neumünster, Stadt",2006
0.89189,"01004000","Neumünster, Stadt",2007
0.98352,"01004000","Neumünster, Stadt",2008
0.91206,"01004000","Neumünster, Stadt",2009
0.95045,"01004000","Neumünster, Stadt",2010
1,"01004000","Neumünster, Stadt",2011
0.99772,"01004000","Neumünster, Stadt",2012
1,"01004000","Neumünster, Stadt",2013
1,"01004000","Neumünster, Stadt",2014
1,"01004000","Neumünster, Stadt",2015
1,"01004000","Neumünster, Stadt",2016
1,"01004000","Neumünster, Stadt",2017
1,"01004000","Neumünster, Stadt",2018
1,"01004000","Neumünster, Stadt",2019
1,"01004000","Neumünster, Stadt",2020
0.72329,"01051001","Albersdorf",1998
0.79353,"01051001","Albersdorf",1999
0.88694,"01051001","Albersdorf",2000
0.92593,"01051001","Albersdorf",2001
0.86765,"01051001","Albersdorf",2002
0.81291,"01051001","Albersdorf",2003
0.81376,"01051001","Albersdorf",2004
0.80418,"01051001","Albersdorf",2005
0.75125,"01051001","Albersdorf",2006
0.76092,"01051001","Albersdorf",2007
0.76932,"01051001","Albersdorf",2008
0.76175,"01051001","Albersdorf",2009
0.7711,"01051001","Albersdorf",2010
0.78789,"01051001","Albersdorf",2011
0.86525,"01051001","Albersdorf",2012
0.77111,"01051001","Albersdorf",2013
0.86348,"01051001","Albersdorf",2014
0.80687,"01051001","Albersdorf",2015
0.78827,"01051001","Albersdorf",2016
0.74334,"01051001","Albersdorf",2017
0.7193,"01051001","Albersdorf",2018
0.69892,"01051001","Albersdorf",2019
0.72309,"01051001","Albersdorf",2020
0.72329,"01051002","Arkebek",1998
0.79353,"01051002","Arkebek",1999
0.88694,"01051002","Arkebek",2000
0.92593,"01051002","Arkebek",2001
0.86765,"01051002","Arkebek",2002
0.81291,"01051002","Arkebek",2003
0.81376,"01051002","Arkebek",2004
0.80418,"01051002","Arkebek",2005
0.75125,"01051002","Arkebek",2006
0.76092,"01051002","Arkebek",2007
0.76932,"01051002","Arkebek",2008
0.76175,"01051002","Arkebek",2009
0.7711,"01051002","Arkebek",2010
0.78789,"01051002","Arkebek",2011
0.86525,"01051002","Arkebek",2012
0.77111,"01051002","Arkebek",2013
0.86348,"01051002","Arkebek",2014
0.80687,"01051002","Arkebek",2015
0.78827,"01051002","Arkebek",2016
0.74334,"01051002","Arkebek",2017
0.7193,"01051002","Arkebek",2018
0.69892,"01051002","Arkebek",2019
0.72309,"01051002","Arkebek",2020
0.72946,"01051003","Averlak",1998
0.7946,"01051003","Averlak",1999
0.88694,"01051003","Averlak",2000
0.90942,"01051003","Averlak",2001
0.85505,"01051003","Averlak",2002
0.78128,"01051003","Averlak",2003
0.77884,"01051003","Averlak",2004
0.77848,"01051003","Averlak",2005
0.73117,"01051003","Averlak",2006
0.7347,"01051003","Averlak",2007
