"gisd_score","gemeinde_id","gemeinde_name","year"
0.61106,"16051000","Erfurt, Stadt",1998
0.69348,"16051000","Erfurt, Stadt",1999
0.65289,"16051000","Erfurt, Stadt",2000
0.58914,"16051000","Erfurt, Stadt",2001
0.5702,"16051000","Erfurt, Stadt",2002
0.54516,"16051000","Erfurt, Stadt",2003
0.61404,"16051000","Erfurt, Stadt",2004
0.63942,"16051000","Erfurt, Stadt",2005
0.62459,"16051000","Erfurt, Stadt",2006
0.63022,"16051000","Erfurt, Stadt",2007
0.64104,"16051000","Erfurt, Stadt",2008
0.59214,"16051000","Erfurt, Stadt",2009
0.59157,"16051000","Erfurt, Stadt",2010
0.56719,"16051000","Erfurt, Stadt",2011
0.57914,"16051000","Erfurt, Stadt",2012
0.56937,"16051000","Erfurt, Stadt",2013
0.51435,"16051000","Erfurt, Stadt",2014
0.57636,"16051000","Erfurt, Stadt",2015
0.53559,"16051000","Erfurt, Stadt",2016
0.64854,"16051000","Erfurt, Stadt",2017
0.613,"16051000","Erfurt, Stadt",2018
0.51101,"16051000","Erfurt, Stadt",2019
0.57803,"16051000","Erfurt, Stadt",2020
0.74229,"16052000","Gera, Stadt",1998
0.82913,"16052000","Gera, Stadt",1999
0.75654,"16052000","Gera, Stadt",2000
0.74087,"16052000","Gera, Stadt",2001
0.6671,"16052000","Gera, Stadt",2002
0.68313,"16052000","Gera, Stadt",2003
0.70787,"16052000","Gera, Stadt",2004
0.76389,"16052000","Gera, Stadt",2005
0.78127,"16052000","Gera, Stadt",2006
0.78189,"16052000","Gera, Stadt",2007
0.79983,"16052000","Gera, Stadt",2008
0.8854,"16052000","Gera, Stadt",2009
0.78515,"16052000","Gera, Stadt",2010
0.79082,"16052000","Gera, Stadt",2011
0.79141,"16052000","Gera, Stadt",2012
0.78095,"16052000","Gera, Stadt",2013
0.72052,"16052000","Gera, Stadt",2014
0.76533,"16052000","Gera, Stadt",2015
0.77391,"16052000","Gera, Stadt",2016
0.80274,"16052000","Gera, Stadt",2017
0.87574,"16052000","Gera, Stadt",2018
0.78077,"16052000","Gera, Stadt",2019
0.85963,"16052000","Gera, Stadt",2020
0,"16053000","Jena, Stadt",1998
0,"16053000","Jena, Stadt",1999
0,"16053000","Jena, Stadt",2000
0,"16053000","Jena, Stadt",2001
0,"16053000","Jena, Stadt",2002
0,"16053000","Jena, Stadt",2003
0,"16053000","Jena, Stadt",2004
0,"16053000","Jena, Stadt",2005
0,"16053000","Jena, Stadt",2006
0,"16053000","Jena, Stadt",2007
0,"16053000","Jena, Stadt",2008
0,"16053000","Jena, Stadt",2009
0,"16053000","Jena, Stadt",2010
0,"16053000","Jena, Stadt",2011
0,"16053000","Jena, Stadt",2012
0,"16053000","Jena, Stadt",2013
0,"16053000","Jena, Stadt",2014
0,"16053000","Jena, Stadt",2015
0,"16053000","Jena, Stadt",2016
0,"16053000","Jena, Stadt",2017
0,"16053000","Jena, Stadt",2018
0,"16053000","Jena, Stadt",2019
0,"16053000","Jena, Stadt",2020
0.6237,"16054000","Suhl, Stadt",1998
0.66344,"16054000","Suhl, Stadt",1999
0.77026,"16054000","Suhl, Stadt",2000
0.58958,"16054000","Suhl, Stadt",2001
0.54815,"16054000","Suhl, Stadt",2002
0.47044,"16054000","Suhl, Stadt",2003
0.50747,"16054000","Suhl, Stadt",2004
0.55368,"16054000","Suhl, Stadt",2005
0.70849,"16054000","Suhl, Stadt",2006
0.61343,"16054000","Suhl, Stadt",2007
0.59428,"16054000","Suhl, Stadt",2008
0.60993,"16054000","Suhl, Stadt",2009
0.57828,"16054000","Suhl, Stadt",2010
0.53915,"16054000","Suhl, Stadt",2011
0.51829,"16054000","Suhl, Stadt",2012
0.54907,"16054000","Suhl, Stadt",2013
0.61416,"16054000","Suhl, Stadt",2014
0.54875,"16054000","Suhl, Stadt",2015
0.65327,"16054000","Suhl, Stadt",2016
0.63502,"16054000","Suhl, Stadt",2017
0.61839,"16054000","Suhl, Stadt",2018
0.62759,"16054000","Suhl, Stadt",2019
0.65275,"16054000","Suhl, Stadt",2020
0.57732,"16055000","Weimar, Stadt",1998
0.66459,"16055000","Weimar, Stadt",1999
0.62895,"16055000","Weimar, Stadt",2000
0.54594,"16055000","Weimar, Stadt",2001
0.43749,"16055000","Weimar, Stadt",2002
0.53672,"16055000","Weimar, Stadt",2003
0.53481,"16055000","Weimar, Stadt",2004
0.54241,"16055000","Weimar, Stadt",2005
0.68401,"16055000","Weimar, Stadt",2006
0.57991,"16055000","Weimar, Stadt",2007
0.58536,"16055000","Weimar, Stadt",2008
0.51602,"16055000","Weimar, Stadt",2009
0.55095,"16055000","Weimar, Stadt",2010
0.54315,"16055000","Weimar, Stadt",2011
0.47586,"16055000","Weimar, Stadt",2012
0.4736,"16055000","Weimar, Stadt",2013
0.39298,"16055000","Weimar, Stadt",2014
0.48843,"16055000","Weimar, Stadt",2015
0.4596,"16055000","Weimar, Stadt",2016
0.53762,"16055000","Weimar, Stadt",2017
0.5383,"16055000","Weimar, Stadt",2018
0.44622,"16055000","Weimar, Stadt",2019
0.4879,"16055000","Weimar, Stadt",2020
0.56273,"16056000","Eisenach, Stadt",1998
0.71651,"16056000","Eisenach, Stadt",1999
