"year","PLZ2","gisd_score","population","gisd_5","gisd_10","gisd_k"
1998,1,0.681,1242943,4,8,2
1998,2,0.86216,427271,5,10,3
1998,3,0.80566,294995,5,9,3
1998,4,0.84874,1227112,5,9,3
1998,6,1,1276724,5,10,3
1998,7,0.77871,562704,5,9,3
1998,8,0.79602,577243,5,9,3
1998,9,0.80774,788063,5,9,3
1998,10,0.83277,414467,5,9,3
1998,12,0.83168,1377942,5,9,3
1998,13,0.83276,1173394,5,9,3
1998,14,0.76365,1264837,5,9,3
1998,15,0.78651,627638,5,9,3
1998,16,0.88249,598413,5,10,3
1998,17,0.98317,582175,5,10,3
1998,18,0.91492,603349,5,10,3
1998,19,0.92069,401381,5,10,3
1998,20,0.33645,123873,1,2,1
1998,21,0.38513,1597996,2,4,2
1998,22,0.33057,1103442,1,2,1
1998,23,0.65868,733238,4,8,2
1998,24,0.62936,1095349,4,8,2
1998,25,0.52285,694669,3,6,2
1998,26,0.71121,1174940,4,8,2
1998,27,0.68934,860088,4,8,2
1998,28,0.55389,738878,3,6,2
1998,29,0.71007,491951,4,8,2
1998,30,0.46498,912461,3,5,2
1998,31,0.57652,987374,4,7,2
1998,32,0.48235,885607,3,5,2
1998,33,0.47342,1082569,3,5,2
1998,34,0.53201,800276,3,6,2
1998,35,0.47972,912547,3,5,2
1998,36,0.4892,518781,3,6,2
1998,37,0.62208,729093,4,7,2
1998,38,0.56798,1141995,4,7,2
1998,39,0.98102,783323,5,10,3
1998,40,0.25579,991992,1,1,1
1998,41,0.49683,952282,3,6,2
1998,42,0.56177,878888,3,6,2
1998,44,0.64745,1267494,4,8,2
1998,45,0.58767,1559154,4,7,2
1998,46,0.58977,894580,4,7,2
1998,47,0.69055,1313713,4,8,2
1998,48,0.38858,1189935,2,4,2
1998,49,0.58942,1228129,4,7,2
1998,50,0.41151,1084177,2,4,2
1998,51,0.39043,1079789,2,4,2
1998,52,0.609,941131,4,7,2
1998,53,0.37929,1265468,2,3,2
1998,54,0.56818,516542,4,7,2
1998,55,0.42332,795458,2,4,2
1998,56,0.56198,849197,3,6,2
1998,57,0.47822,598580,3,5,2
1998,58,0.59593,930406,4,7,2
1998,59,0.54536,1145053,3,6,2
1998,60,0.27613,619157,1,2,1
1998,61,0.08319,451016,1,1,1
1998,63,0.39955,1268561,2,4,2
1998,64,0.2982,792590,1,2,1
1998,65,0.27031,1081648,1,2,1
1998,66,0.68967,1248759,4,8,2
1998,67,0.58184,1033467,4,7,2
1998,68,0.40055,601445,2,4,2
1998,69,0.22474,508949,1,1,1
1998,70,0.16316,821650,1,1,1
1998,71,0.17505,1000158,1,1,1
1998,72,0.3457,1056260,2,3,2
1998,73,0.27066,1006392,1,2,1
1998,74,0.34907,1057532,2,3,2
1998,75,0.37983,484410,2,3,2
1998,76,0.31805,1139769,1,2,1
1998,77,0.4159,478943,2,4,2
1998,78,0.45946,741488,3,5,2
1998,79,0.43533,1040371,2,4,2
1998,80,0.00029,626238,1,1,1
1998,81,0,814923,1,1,1
1998,82,0.04576,735553,1,1,1
1998,83,0.27638,762163,1,2,1
1998,84,0.35774,684830,2,3,2
1998,85,0.09232,1114901,1,1,1
1998,86,0.371,1164100,2,3,2
1998,87,0.37973,522875,2,3,2
1998,88,0.30503,846572,1,2,1
1998,89,0.35426,763761,2,3,2
1998,90,0.44205,892793,3,5,2
1998,91,0.31157,999919,1,2,1
1998,92,0.47207,516635,3,5,2
1998,93,0.37559,590817,2,3,2
1998,94,0.51298,705807,3,6,2
1998,95,0.49775,497496,3,6,2
1998,96,0.47041,552316,3,5,2
1998,97,0.39944,1061351,2,4,2
1998,98,0.86439,242064,5,10,3
1998,99,0.89009,831397,5,10,3
1999,1,0.71292,1242943,4,8,2
1999,2,0.90824,427271,5,10,3
1999,3,0.8226,294995,5,9,3
1999,4,0.87261,1227112,5,10,3
1999,6,1,1276724,5,10,3
1999,7,0.78043,562704,5,9,3
1999,8,0.87255,577243,5,9,3
1999,9,0.8454,788063,5,9,3
1999,10,0.83159,414467,5,9,3
1999,12,0.83097,1377942,5,9,3
1999,13,0.83159,1173394,5,9,3
1999,14,0.78286,1264837,5,9,3
1999,15,0.8205,627638,5,9,3
1999,16,0.90773,598413,5,10,3
1999,17,0.99571,582175,5,10,3
1999,18,0.92078,603349,5,10,3
1999,19,0.93811,401381,5,10,3
1999,20,0.36579,123873,1,2,1
1999,21,0.41721,1597996,2,4,2
1999,22,0.35883,1103442,1,2,1
1999,23,0.67979,733238,4,8,2
1999,24,0.63109,1095349,4,7,2
1999,25,0.55228,694669,3,6,2
1999,26,0.71928,1174940,4,8,2
1999,27,0.69499,860088,4,8,2
1999,28,0.54661,738878,3,6,2
1999,29,0.70822,491951,4,8,2
1999,30,0.48861,912461,3,5,2
1999,31,0.5813,987374,4,7,2
1999,32,0.50716,885607,3,5,2
1999,33,0.49837,1082569,3,5,2
1999,34,0.5461,800276,3,6,2
1999,35,0.49271,912547,3,5,2
1999,36,0.51923,518781,3,6,2
1999,37,0.64622,729093,4,8,2
1999,38,0.56072,1141995,3,6,2
1999,39,0.99265,783323,5,10,3
