"gisd_score","kreis_id","kreis_name","year"
1,"12051","Brandenburg an der Havel, Stadt",1998
1,"12051","Brandenburg an der Havel, Stadt",1999
1,"12051","Brandenburg an der Havel, Stadt",2000
0.9405,"12051","Brandenburg an der Havel, Stadt",2001
0.96232,"12051","Brandenburg an der Havel, Stadt",2002
0.92029,"12051","Brandenburg an der Havel, Stadt",2003
0.83973,"12051","Brandenburg an der Havel, Stadt",2004
0.83609,"12051","Brandenburg an der Havel, Stadt",2005
0.90785,"12051","Brandenburg an der Havel, Stadt",2006
1,"12051","Brandenburg an der Havel, Stadt",2007
0.87745,"12051","Brandenburg an der Havel, Stadt",2008
0.9278,"12051","Brandenburg an der Havel, Stadt",2009
0.92601,"12051","Brandenburg an der Havel, Stadt",2010
0.94114,"12051","Brandenburg an der Havel, Stadt",2011
0.8593,"12051","Brandenburg an der Havel, Stadt",2012
0.89628,"12051","Brandenburg an der Havel, Stadt",2013
0.88755,"12051","Brandenburg an der Havel, Stadt",2014
0.98468,"12051","Brandenburg an der Havel, Stadt",2015
0.89681,"12051","Brandenburg an der Havel, Stadt",2016
0.93035,"12051","Brandenburg an der Havel, Stadt",2017
0.92085,"12051","Brandenburg an der Havel, Stadt",2018
0.89196,"12051","Brandenburg an der Havel, Stadt",2019
0.89689,"12051","Brandenburg an der Havel, Stadt",2020
0.48322,"12052","Cottbus, Stadt",1998
0.41401,"12052","Cottbus, Stadt",1999
0.42885,"12052","Cottbus, Stadt",2000
0.41791,"12052","Cottbus, Stadt",2001
0.33044,"12052","Cottbus, Stadt",2002
0.33137,"12052","Cottbus, Stadt",2003
0.30026,"12052","Cottbus, Stadt",2004
0.34597,"12052","Cottbus, Stadt",2005
0.38534,"12052","Cottbus, Stadt",2006
0.49958,"12052","Cottbus, Stadt",2007
0.45298,"12052","Cottbus, Stadt",2008
0.44955,"12052","Cottbus, Stadt",2009
0.42373,"12052","Cottbus, Stadt",2010
0.43009,"12052","Cottbus, Stadt",2011
0.53565,"12052","Cottbus, Stadt",2012
0.5828,"12052","Cottbus, Stadt",2013
0.54304,"12052","Cottbus, Stadt",2014
0.59151,"12052","Cottbus, Stadt",2015
0.56444,"12052","Cottbus, Stadt",2016
0.62889,"12052","Cottbus, Stadt",2017
0.6496,"12052","Cottbus, Stadt",2018
0.52102,"12052","Cottbus, Stadt",2019
0.49907,"12052","Cottbus, Stadt",2020
0.69911,"12053","Frankfurt (Oder), Stadt",1998
0.6756,"12053","Frankfurt (Oder), Stadt",1999
0.71054,"12053","Frankfurt (Oder), Stadt",2000
0.78229,"12053","Frankfurt (Oder), Stadt",2001
0.66574,"12053","Frankfurt (Oder), Stadt",2002
0.69159,"12053","Frankfurt (Oder), Stadt",2003
0.71533,"12053","Frankfurt (Oder), Stadt",2004
0.66179,"12053","Frankfurt (Oder), Stadt",2005
0.65223,"12053","Frankfurt (Oder), Stadt",2006
0.68094,"12053","Frankfurt (Oder), Stadt",2007
0.71301,"12053","Frankfurt (Oder), Stadt",2008
0.72825,"12053","Frankfurt (Oder), Stadt",2009
0.66519,"12053","Frankfurt (Oder), Stadt",2010
0.63308,"12053","Frankfurt (Oder), Stadt",2011
0.75103,"12053","Frankfurt (Oder), Stadt",2012
0.77239,"12053","Frankfurt (Oder), Stadt",2013
0.74542,"12053","Frankfurt (Oder), Stadt",2014
0.68566,"12053","Frankfurt (Oder), Stadt",2015
0.64579,"12053","Frankfurt (Oder), Stadt",2016
0.72866,"12053","Frankfurt (Oder), Stadt",2017
0.77665,"12053","Frankfurt (Oder), Stadt",2018
0.73937,"12053","Frankfurt (Oder), Stadt",2019
0.65243,"12053","Frankfurt (Oder), Stadt",2020
0,"12054","Potsdam, Stadt",1998
0,"12054","Potsdam, Stadt",1999
0,"12054","Potsdam, Stadt",2000
0,"12054","Potsdam, Stadt",2001
0,"12054","Potsdam, Stadt",2002
0,"12054","Potsdam, Stadt",2003
0,"12054","Potsdam, Stadt",2004
0,"12054","Potsdam, Stadt",2005
0,"12054","Potsdam, Stadt",2006
0,"12054","Potsdam, Stadt",2007
0,"12054","Potsdam, Stadt",2008
0,"12054","Potsdam, Stadt",2009
0,"12054","Potsdam, Stadt",2010
0,"12054","Potsdam, Stadt",2011
0,"12054","Potsdam, Stadt",2012
0,"12054","Potsdam, Stadt",2013
0,"12054","Potsdam, Stadt",2014
0,"12054","Potsdam, Stadt",2015
0,"12054","Potsdam, Stadt",2016
0,"12054","Potsdam, Stadt",2017
0,"12054","Potsdam, Stadt",2018
0,"12054","Potsdam, Stadt",2019
0,"12054","Potsdam, Stadt",2020
0.71596,"12060","Barnim",1998
0.72059,"12060","Barnim",1999
0.70352,"12060","Barnim",2000
0.64886,"12060","Barnim",2001
0.68377,"12060","Barnim",2002
0.58302,"12060","Barnim",2003
0.5544,"12060","Barnim",2004
0.49869,"12060","Barnim",2005
0.49883,"12060","Barnim",2006
0.54792,"12060","Barnim",2007
0.54335,"12060","Barnim",2008
0.51323,"12060","Barnim",2009
0.40107,"12060","Barnim",2010
0.46704,"12060","Barnim",2011
0.53894,"12060","Barnim",2012
0.50243,"12060","Barnim",2013
0.49163,"12060","Barnim",2014
0.48389,"12060","Barnim",2015
0.45906,"12060","Barnim",2016
0.4996,"12060","Barnim",2017
0.51119,"12060","Barnim",2018
0.46125,"12060","Barnim",2019
0.48204,"12060","Barnim",2020
0.39751,"12061","Dahme-Spreewald",1998
0.40465,"12061","Dahme-Spreewald",1999
0.31998,"12061","Dahme-Spreewald",2000
0.31373,"12061","Dahme-Spreewald",2001
0.34952,"12061","Dahme-Spreewald",2002
0.31426,"12061","Dahme-Spreewald",2003
0.2758,"12061","Dahme-Spreewald",2004
0.27441,"12061","Dahme-Spreewald",2005
0.24737,"12061","Dahme-Spreewald",2006
0.28849,"12061","Dahme-Spreewald",2007
0.28182,"12061","Dahme-Spreewald",2008
0.29002,"12061","Dahme-Spreewald",2009
0.2447,"12061","Dahme-Spreewald",2010
0.19945,"12061","Dahme-Spreewald",2011
0.29442,"12061","Dahme-Spreewald",2012
0.35343,"12061","Dahme-Spreewald",2013
0.30361,"12061","Dahme-Spreewald",2014
0.34488,"12061","Dahme-Spreewald",2015
0.31609,"12061","Dahme-Spreewald",2016
0.30583,"12061","Dahme-Spreewald",2017
0.33402,"12061","Dahme-Spreewald",2018
0.2865,"12061","Dahme-Spreewald",2019
0.2928,"12061","Dahme-Spreewald",2020
0.68774,"12062","Elbe-Elster",1998
0.67855,"12062","Elbe-Elster",1999
0.6847,"12062","Elbe-Elster",2000
0.75284,"12062","Elbe-Elster",2001
0.76983,"12062","Elbe-Elster",2002
0.79948,"12062","Elbe-Elster",2003
0.77549,"12062","Elbe-Elster",2004
0.73632,"12062","Elbe-Elster",2005
0.77464,"12062","Elbe-Elster",2006
0.78949,"12062","Elbe-Elster",2007
0.89908,"12062","Elbe-Elster",2008
0.85192,"12062","Elbe-Elster",2009
0.69858,"12062","Elbe-Elster",2010
0.76175,"12062","Elbe-Elster",2011
0.7575,"12062","Elbe-Elster",2012
0.78882,"12062","Elbe-Elster",2013
0.7146,"12062","Elbe-Elster",2014
0.69749,"12062","Elbe-Elster",2015
0.64226,"12062","Elbe-Elster",2016
0.71937,"12062","Elbe-Elster",2017
0.65723,"12062","Elbe-Elster",2018
0.61795,"12062","Elbe-Elster",2019
0.61075,"12062","Elbe-Elster",2020
0.84206,"12063","Havelland",1998
0.81241,"12063","Havelland",1999
0.79226,"12063","Havelland",2000
0.71021,"12063","Havelland",2001
0.72613,"12063","Havelland",2002
0.67344,"12063","Havelland",2003
0.72047,"12063","Havelland",2004
0.68647,"12063","Havelland",2005
0.65105,"12063","Havelland",2006
0.67146,"12063","Havelland",2007
0.72367,"12063","Havelland",2008
0.76931,"12063","Havelland",2009
0.67639,"12063","Havelland",2010
0.6128,"12063","Havelland",2011
0.68221,"12063","Havelland",2012
0.70449,"12063","Havelland",2013
0.67343,"12063","Havelland",2014
0.61653,"12063","Havelland",2015
0.56249,"12063","Havelland",2016
0.6062,"12063","Havelland",2017
0.59611,"12063","Havelland",2018
0.55503,"12063","Havelland",2019
0.58052,"12063","Havelland",2020
0.66796,"12064","Märkisch-Oderland",1998
0.67945,"12064","Märkisch-Oderland",1999
0.69142,"12064","Märkisch-Oderland",2000
0.6908,"12064","Märkisch-Oderland",2001
0.68307,"12064","Märkisch-Oderland",2002
0.62613,"12064","Märkisch-Oderland",2003
0.6126,"12064","Märkisch-Oderland",2004
0.6003,"12064","Märkisch-Oderland",2005
0.57571,"12064","Märkisch-Oderland",2006
