"gisd_score","gvb_id","gvb_name","year"
0.1054,"51110000","Düsseldorf, Stadt",1998
0.10354,"51110000","Düsseldorf, Stadt",1999
0.10075,"51110000","Düsseldorf, Stadt",2000
0.10685,"51110000","Düsseldorf, Stadt",2001
0.13068,"51110000","Düsseldorf, Stadt",2002
0.12738,"51110000","Düsseldorf, Stadt",2003
0.11231,"51110000","Düsseldorf, Stadt",2004
0.15064,"51110000","Düsseldorf, Stadt",2005
0.11476,"51110000","Düsseldorf, Stadt",2006
0.11327,"51110000","Düsseldorf, Stadt",2007
0.10137,"51110000","Düsseldorf, Stadt",2008
0.13871,"51110000","Düsseldorf, Stadt",2009
0.11003,"51110000","Düsseldorf, Stadt",2010
0.12935,"51110000","Düsseldorf, Stadt",2011
0.08105,"51110000","Düsseldorf, Stadt",2012
0.08274,"51110000","Düsseldorf, Stadt",2013
0.08495,"51110000","Düsseldorf, Stadt",2014
0.03405,"51110000","Düsseldorf, Stadt",2015
0.00986,"51110000","Düsseldorf, Stadt",2016
0,"51110000","Düsseldorf, Stadt",2017
0.00808,"51110000","Düsseldorf, Stadt",2018
0,"51110000","Düsseldorf, Stadt",2019
0,"51110000","Düsseldorf, Stadt",2020
0.97873,"51120000","Duisburg, Stadt",1998
0.92565,"51120000","Duisburg, Stadt",1999
0.89488,"51120000","Duisburg, Stadt",2000
0.90085,"51120000","Duisburg, Stadt",2001
0.93882,"51120000","Duisburg, Stadt",2002
0.89526,"51120000","Duisburg, Stadt",2003
0.86531,"51120000","Duisburg, Stadt",2004
0.85768,"51120000","Duisburg, Stadt",2005
0.87563,"51120000","Duisburg, Stadt",2006
0.8751,"51120000","Duisburg, Stadt",2007
0.87574,"51120000","Duisburg, Stadt",2008
0.89747,"51120000","Duisburg, Stadt",2009
0.87827,"51120000","Duisburg, Stadt",2010
0.88196,"51120000","Duisburg, Stadt",2011
0.88945,"51120000","Duisburg, Stadt",2012
0.86202,"51120000","Duisburg, Stadt",2013
0.83263,"51120000","Duisburg, Stadt",2014
0.82913,"51120000","Duisburg, Stadt",2015
0.78975,"51120000","Duisburg, Stadt",2016
0.84803,"51120000","Duisburg, Stadt",2017
0.87669,"51120000","Duisburg, Stadt",2018
0.87135,"51120000","Duisburg, Stadt",2019
0.86564,"51120000","Duisburg, Stadt",2020
0.46244,"51130000","Essen, Stadt",1998
0.44326,"51130000","Essen, Stadt",1999
0.422,"51130000","Essen, Stadt",2000
0.43074,"51130000","Essen, Stadt",2001
0.43774,"51130000","Essen, Stadt",2002
0.44637,"51130000","Essen, Stadt",2003
0.46633,"51130000","Essen, Stadt",2004
0.48429,"51130000","Essen, Stadt",2005
0.45745,"51130000","Essen, Stadt",2006
0.46418,"51130000","Essen, Stadt",2007
0.49332,"51130000","Essen, Stadt",2008
0.514,"51130000","Essen, Stadt",2009
0.4884,"51130000","Essen, Stadt",2010
0.50018,"51130000","Essen, Stadt",2011
0.48758,"51130000","Essen, Stadt",2012
0.50953,"51130000","Essen, Stadt",2013
0.52947,"51130000","Essen, Stadt",2014
0.4908,"51130000","Essen, Stadt",2015
0.47325,"51130000","Essen, Stadt",2016
0.51359,"51130000","Essen, Stadt",2017
0.5051,"51130000","Essen, Stadt",2018
0.49961,"51130000","Essen, Stadt",2019
0.49857,"51130000","Essen, Stadt",2020
0.59734,"51140000","Krefeld, Stadt",1998
0.55436,"51140000","Krefeld, Stadt",1999
0.55937,"51140000","Krefeld, Stadt",2000
0.57833,"51140000","Krefeld, Stadt",2001
0.57316,"51140000","Krefeld, Stadt",2002
0.57675,"51140000","Krefeld, Stadt",2003
0.55704,"51140000","Krefeld, Stadt",2004
0.53188,"51140000","Krefeld, Stadt",2005
0.56008,"51140000","Krefeld, Stadt",2006
0.58617,"51140000","Krefeld, Stadt",2007
0.61823,"51140000","Krefeld, Stadt",2008
0.58668,"51140000","Krefeld, Stadt",2009
0.57811,"51140000","Krefeld, Stadt",2010
0.51081,"51140000","Krefeld, Stadt",2011
0.566,"51140000","Krefeld, Stadt",2012
