"gisd_score","kreis_id","kreis_name","year"
0.37883,"07111","Koblenz, Stadt",1998
0.3734,"07111","Koblenz, Stadt",1999
0.37811,"07111","Koblenz, Stadt",2000
0.36873,"07111","Koblenz, Stadt",2001
0.39352,"07111","Koblenz, Stadt",2002
0.38465,"07111","Koblenz, Stadt",2003
0.36295,"07111","Koblenz, Stadt",2004
0.44494,"07111","Koblenz, Stadt",2005
0.41998,"07111","Koblenz, Stadt",2006
0.42077,"07111","Koblenz, Stadt",2007
0.46432,"07111","Koblenz, Stadt",2008
0.45748,"07111","Koblenz, Stadt",2009
0.4934,"07111","Koblenz, Stadt",2010
0.42706,"07111","Koblenz, Stadt",2011
0.41704,"07111","Koblenz, Stadt",2012
0.4162,"07111","Koblenz, Stadt",2013
0.42145,"07111","Koblenz, Stadt",2014
0.40124,"07111","Koblenz, Stadt",2015
0.37778,"07111","Koblenz, Stadt",2016
0.38809,"07111","Koblenz, Stadt",2017
0.39164,"07111","Koblenz, Stadt",2018
0.35502,"07111","Koblenz, Stadt",2019
0.37703,"07111","Koblenz, Stadt",2020
0.32348,"07131","Ahrweiler",1998
0.32549,"07131","Ahrweiler",1999
0.32464,"07131","Ahrweiler",2000
0.33723,"07131","Ahrweiler",2001
0.4053,"07131","Ahrweiler",2002
0.43974,"07131","Ahrweiler",2003
0.37835,"07131","Ahrweiler",2004
0.3602,"07131","Ahrweiler",2005
0.3526,"07131","Ahrweiler",2006
0.33529,"07131","Ahrweiler",2007
0.39062,"07131","Ahrweiler",2008
0.36629,"07131","Ahrweiler",2009
0.37789,"07131","Ahrweiler",2010
0.33476,"07131","Ahrweiler",2011
0.33992,"07131","Ahrweiler",2012
0.34092,"07131","Ahrweiler",2013
0.31734,"07131","Ahrweiler",2014
0.33418,"07131","Ahrweiler",2015
0.29639,"07131","Ahrweiler",2016
0.28489,"07131","Ahrweiler",2017
0.29012,"07131","Ahrweiler",2018
0.31008,"07131","Ahrweiler",2019
0.31905,"07131","Ahrweiler",2020
0.55395,"07132","Altenkirchen (Westerwald)",1998
0.55643,"07132","Altenkirchen (Westerwald)",1999
0.58062,"07132","Altenkirchen (Westerwald)",2000
0.54869,"07132","Altenkirchen (Westerwald)",2001
0.55655,"07132","Altenkirchen (Westerwald)",2002
0.58251,"07132","Altenkirchen (Westerwald)",2003
0.55297,"07132","Altenkirchen (Westerwald)",2004
0.61746,"07132","Altenkirchen (Westerwald)",2005
0.60875,"07132","Altenkirchen (Westerwald)",2006
0.59964,"07132","Altenkirchen (Westerwald)",2007
0.60664,"07132","Altenkirchen (Westerwald)",2008
0.67933,"07132","Altenkirchen (Westerwald)",2009
0.65239,"07132","Altenkirchen (Westerwald)",2010
0.57511,"07132","Altenkirchen (Westerwald)",2011
0.56434,"07132","Altenkirchen (Westerwald)",2012
0.57444,"07132","Altenkirchen (Westerwald)",2013
0.57302,"07132","Altenkirchen (Westerwald)",2014
0.57552,"07132","Altenkirchen (Westerwald)",2015
0.5724,"07132","Altenkirchen (Westerwald)",2016
0.55224,"07132","Altenkirchen (Westerwald)",2017
0.54797,"07132","Altenkirchen (Westerwald)",2018
0.5217,"07132","Altenkirchen (Westerwald)",2019
0.56082,"07132","Altenkirchen (Westerwald)",2020
0.48563,"07133","Bad Kreuznach",1998
0.4842,"07133","Bad Kreuznach",1999
0.51276,"07133","Bad Kreuznach",2000
0.5272,"07133","Bad Kreuznach",2001
0.49016,"07133","Bad Kreuznach",2002
0.48303,"07133","Bad Kreuznach",2003
0.44299,"07133","Bad Kreuznach",2004
0.49514,"07133","Bad Kreuznach",2005
0.50071,"07133","Bad Kreuznach",2006
0.48331,"07133","Bad Kreuznach",2007
0.5023,"07133","Bad Kreuznach",2008
0.52818,"07133","Bad Kreuznach",2009
0.50995,"07133","Bad Kreuznach",2010
0.47453,"07133","Bad Kreuznach",2011
0.49378,"07133","Bad Kreuznach",2012
0.49444,"07133","Bad Kreuznach",2013
0.48922,"07133","Bad Kreuznach",2014
0.50979,"07133","Bad Kreuznach",2015
0.47699,"07133","Bad Kreuznach",2016
0.50997,"07133","Bad Kreuznach",2017
0.47308,"07133","Bad Kreuznach",2018
0.47746,"07133","Bad Kreuznach",2019
0.52975,"07133","Bad Kreuznach",2020
0.66296,"07134","Birkenfeld",1998
0.65755,"07134","Birkenfeld",1999
