"gisd_score","kreis_id","kreis_name","year"
0.21948,"15001","Dessau-Roßlau, Stadt",1998
0.17718,"15001","Dessau-Roßlau, Stadt",1999
0.27486,"15001","Dessau-Roßlau, Stadt",2000
0.21029,"15001","Dessau-Roßlau, Stadt",2001
0,"15001","Dessau-Roßlau, Stadt",2002
0,"15001","Dessau-Roßlau, Stadt",2003
0,"15001","Dessau-Roßlau, Stadt",2004
0,"15001","Dessau-Roßlau, Stadt",2005
0.08278,"15001","Dessau-Roßlau, Stadt",2006
0.1827,"15001","Dessau-Roßlau, Stadt",2007
0.29647,"15001","Dessau-Roßlau, Stadt",2008
0,"15001","Dessau-Roßlau, Stadt",2009
0.14391,"15001","Dessau-Roßlau, Stadt",2010
0.21999,"15001","Dessau-Roßlau, Stadt",2011
0.20794,"15001","Dessau-Roßlau, Stadt",2012
0.33492,"15001","Dessau-Roßlau, Stadt",2013
0.19626,"15001","Dessau-Roßlau, Stadt",2014
0.27093,"15001","Dessau-Roßlau, Stadt",2015
0.29799,"15001","Dessau-Roßlau, Stadt",2016
0.34495,"15001","Dessau-Roßlau, Stadt",2017
0.30473,"15001","Dessau-Roßlau, Stadt",2018
0.27066,"15001","Dessau-Roßlau, Stadt",2019
0.36467,"15001","Dessau-Roßlau, Stadt",2020
0.45238,"15002","Halle (Saale), Stadt",1998
0.44734,"15002","Halle (Saale), Stadt",1999
0.3532,"15002","Halle (Saale), Stadt",2000
0.51259,"15002","Halle (Saale), Stadt",2001
0.28792,"15002","Halle (Saale), Stadt",2002
0.40672,"15002","Halle (Saale), Stadt",2003
0.39424,"15002","Halle (Saale), Stadt",2004
0.31801,"15002","Halle (Saale), Stadt",2005
0.47726,"15002","Halle (Saale), Stadt",2006
0.6086,"15002","Halle (Saale), Stadt",2007
0.70479,"15002","Halle (Saale), Stadt",2008
0.50367,"15002","Halle (Saale), Stadt",2009
0.68324,"15002","Halle (Saale), Stadt",2010
0.75986,"15002","Halle (Saale), Stadt",2011
0.5713,"15002","Halle (Saale), Stadt",2012
0.60237,"15002","Halle (Saale), Stadt",2013
0.62313,"15002","Halle (Saale), Stadt",2014
0.51749,"15002","Halle (Saale), Stadt",2015
0.71807,"15002","Halle (Saale), Stadt",2016
0.7194,"15002","Halle (Saale), Stadt",2017
0.71376,"15002","Halle (Saale), Stadt",2018
0.78121,"15002","Halle (Saale), Stadt",2019
0.81344,"15002","Halle (Saale), Stadt",2020
0.2641,"15003","Magdeburg, Stadt",1998
0.18704,"15003","Magdeburg, Stadt",1999
0.18911,"15003","Magdeburg, Stadt",2000
0.23749,"15003","Magdeburg, Stadt",2001
0.16133,"15003","Magdeburg, Stadt",2002
0.22661,"15003","Magdeburg, Stadt",2003
0.22716,"15003","Magdeburg, Stadt",2004
0.23508,"15003","Magdeburg, Stadt",2005
0.3234,"15003","Magdeburg, Stadt",2006
0.35464,"15003","Magdeburg, Stadt",2007
0.45898,"15003","Magdeburg, Stadt",2008
0.28781,"15003","Magdeburg, Stadt",2009
0.37275,"15003","Magdeburg, Stadt",2010
0.50482,"15003","Magdeburg, Stadt",2011
0.34929,"15003","Magdeburg, Stadt",2012
0.31572,"15003","Magdeburg, Stadt",2013
0.30008,"15003","Magdeburg, Stadt",2014
0.2921,"15003","Magdeburg, Stadt",2015
0.31757,"15003","Magdeburg, Stadt",2016
0.35917,"15003","Magdeburg, Stadt",2017
0.34587,"15003","Magdeburg, Stadt",2018
0.39565,"15003","Magdeburg, Stadt",2019
0.43362,"15003","Magdeburg, Stadt",2020
0.62363,"15081","Altmarkkreis Salzwedel",1998
0.37223,"15081","Altmarkkreis Salzwedel",1999
0.75076,"15081","Altmarkkreis Salzwedel",2000
0.56911,"15081","Altmarkkreis Salzwedel",2001
0.63875,"15081","Altmarkkreis Salzwedel",2002
0.77082,"15081","Altmarkkreis Salzwedel",2003
0.71718,"15081","Altmarkkreis Salzwedel",2004
0.77955,"15081","Altmarkkreis Salzwedel",2005
0.83295,"15081","Altmarkkreis Salzwedel",2006
0.80794,"15081","Altmarkkreis Salzwedel",2007
0.78622,"15081","Altmarkkreis Salzwedel",2008
0.60881,"15081","Altmarkkreis Salzwedel",2009
0.58496,"15081","Altmarkkreis Salzwedel",2010
0.67914,"15081","Altmarkkreis Salzwedel",2011
0.63987,"15081","Altmarkkreis Salzwedel",2012
0.41886,"15081","Altmarkkreis Salzwedel",2013
0.36284,"15081","Altmarkkreis Salzwedel",2014
0.46589,"15081","Altmarkkreis Salzwedel",2015
0.57297,"15081","Altmarkkreis Salzwedel",2016
0.5695,"15081","Altmarkkreis Salzwedel",2017
0.59112,"15081","Altmarkkreis Salzwedel",2018
0.65774,"15081","Altmarkkreis Salzwedel",2019
0.66597,"15081","Altmarkkreis Salzwedel",2020
0.71703,"15082","Anhalt-Bitterfeld",1998
0.4987,"15082","Anhalt-Bitterfeld",1999
0.57097,"15082","Anhalt-Bitterfeld",2000
0.74087,"15082","Anhalt-Bitterfeld",2001
0.6176,"15082","Anhalt-Bitterfeld",2002
0.5792,"15082","Anhalt-Bitterfeld",2003
0.61211,"15082","Anhalt-Bitterfeld",2004
0.4565,"15082","Anhalt-Bitterfeld",2005
0.5173,"15082","Anhalt-Bitterfeld",2006
0.5116,"15082","Anhalt-Bitterfeld",2007
0.6073,"15082","Anhalt-Bitterfeld",2008
0.48374,"15082","Anhalt-Bitterfeld",2009
0.61346,"15082","Anhalt-Bitterfeld",2010
0.5902,"15082","Anhalt-Bitterfeld",2011
0.5718,"15082","Anhalt-Bitterfeld",2012
0.57773,"15082","Anhalt-Bitterfeld",2013
0.45525,"15082","Anhalt-Bitterfeld",2014
0.37757,"15082","Anhalt-Bitterfeld",2015
0.58615,"15082","Anhalt-Bitterfeld",2016
0.58614,"15082","Anhalt-Bitterfeld",2017
0.65103,"15082","Anhalt-Bitterfeld",2018
0.69787,"15082","Anhalt-Bitterfeld",2019
0.67382,"15082","Anhalt-Bitterfeld",2020
0,"15083","Börde",1998
0,"15083","Börde",1999
0,"15083","Börde",2000
0,"15083","Börde",2001
0.24363,"15083","Börde",2002
0.12252,"15083","Börde",2003
0.10228,"15083","Börde",2004
0.02401,"15083","Börde",2005
0.01591,"15083","Börde",2006
0,"15083","Börde",2007
0,"15083","Börde",2008
0.03212,"15083","Börde",2009
0,"15083","Börde",2010
0,"15083","Börde",2011
0,"15083","Börde",2012
0,"15083","Börde",2013
0.0013,"15083","Börde",2014
0,"15083","Börde",2015
0,"15083","Börde",2016
0,"15083","Börde",2017
