"gisd_score","kreis_id","kreis_name","year"
0.53787,"14511","Chemnitz, Stadt",1998
0.57173,"14511","Chemnitz, Stadt",1999
0.47652,"14511","Chemnitz, Stadt",2000
0.46063,"14511","Chemnitz, Stadt",2001
0.46544,"14511","Chemnitz, Stadt",2002
0.45384,"14511","Chemnitz, Stadt",2003
0.45224,"14511","Chemnitz, Stadt",2004
0.48625,"14511","Chemnitz, Stadt",2005
0.40702,"14511","Chemnitz, Stadt",2006
0.42933,"14511","Chemnitz, Stadt",2007
0.46082,"14511","Chemnitz, Stadt",2008
0.47835,"14511","Chemnitz, Stadt",2009
0.50287,"14511","Chemnitz, Stadt",2010
0.50457,"14511","Chemnitz, Stadt",2011
0.53083,"14511","Chemnitz, Stadt",2012
0.58228,"14511","Chemnitz, Stadt",2013
0.60122,"14511","Chemnitz, Stadt",2014
0.6153,"14511","Chemnitz, Stadt",2015
0.61593,"14511","Chemnitz, Stadt",2016
0.75933,"14511","Chemnitz, Stadt",2017
0.68088,"14511","Chemnitz, Stadt",2018
0.70613,"14511","Chemnitz, Stadt",2019
0.75519,"14511","Chemnitz, Stadt",2020
0.82317,"14521","Erzgebirgskreis",1998
0.82278,"14521","Erzgebirgskreis",1999
0.84733,"14521","Erzgebirgskreis",2000
0.7833,"14521","Erzgebirgskreis",2001
0.83246,"14521","Erzgebirgskreis",2002
0.83632,"14521","Erzgebirgskreis",2003
0.773,"14521","Erzgebirgskreis",2004
0.76924,"14521","Erzgebirgskreis",2005
0.79514,"14521","Erzgebirgskreis",2006
0.71538,"14521","Erzgebirgskreis",2007
0.69288,"14521","Erzgebirgskreis",2008
0.74276,"14521","Erzgebirgskreis",2009
0.69037,"14521","Erzgebirgskreis",2010
0.64945,"14521","Erzgebirgskreis",2011
0.64472,"14521","Erzgebirgskreis",2012
0.69112,"14521","Erzgebirgskreis",2013
0.71514,"14521","Erzgebirgskreis",2014
0.71788,"14521","Erzgebirgskreis",2015
0.71305,"14521","Erzgebirgskreis",2016
0.67643,"14521","Erzgebirgskreis",2017
0.69552,"14521","Erzgebirgskreis",2018
0.67836,"14521","Erzgebirgskreis",2019
0.704,"14521","Erzgebirgskreis",2020
0.74524,"14522","Mittelsachsen",1998
0.75878,"14522","Mittelsachsen",1999
0.68638,"14522","Mittelsachsen",2000
0.7155,"14522","Mittelsachsen",2001
0.70968,"14522","Mittelsachsen",2002
0.68817,"14522","Mittelsachsen",2003
0.64253,"14522","Mittelsachsen",2004
0.66549,"14522","Mittelsachsen",2005
0.58683,"14522","Mittelsachsen",2006
0.57508,"14522","Mittelsachsen",2007
0.56243,"14522","Mittelsachsen",2008
0.57591,"14522","Mittelsachsen",2009
0.58202,"14522","Mittelsachsen",2010
0.4846,"14522","Mittelsachsen",2011
0.51723,"14522","Mittelsachsen",2012
0.58437,"14522","Mittelsachsen",2013
0.64688,"14522","Mittelsachsen",2014
0.6286,"14522","Mittelsachsen",2015
0.64754,"14522","Mittelsachsen",2016
0.69068,"14522","Mittelsachsen",2017
0.64925,"14522","Mittelsachsen",2018
0.66362,"14522","Mittelsachsen",2019
0.69497,"14522","Mittelsachsen",2020
0.57647,"14523","Vogtlandkreis",1998
0.77093,"14523","Vogtlandkreis",1999
0.55851,"14523","Vogtlandkreis",2000
0.62343,"14523","Vogtlandkreis",2001
0.64198,"14523","Vogtlandkreis",2002
0.67217,"14523","Vogtlandkreis",2003
0.57371,"14523","Vogtlandkreis",2004
0.61522,"14523","Vogtlandkreis",2005
0.62556,"14523","Vogtlandkreis",2006
0.58303,"14523","Vogtlandkreis",2007
0.58735,"14523","Vogtlandkreis",2008
0.68284,"14523","Vogtlandkreis",2009
0.64823,"14523","Vogtlandkreis",2010
0.58629,"14523","Vogtlandkreis",2011
0.5453,"14523","Vogtlandkreis",2012
0.6812,"14523","Vogtlandkreis",2013
0.65233,"14523","Vogtlandkreis",2014
0.68458,"14523","Vogtlandkreis",2015
0.74356,"14523","Vogtlandkreis",2016
0.7065,"14523","Vogtlandkreis",2017
0.74978,"14523","Vogtlandkreis",2018
0.74739,"14523","Vogtlandkreis",2019
0.80357,"14523","Vogtlandkreis",2020
0.70223,"14524","Zwickau",1998
0.83907,"14524","Zwickau",1999
0.72421,"14524","Zwickau",2000
0.74377,"14524","Zwickau",2001
0.75443,"14524","Zwickau",2002
0.70839,"14524","Zwickau",2003
0.64951,"14524","Zwickau",2004
0.6892,"14524","Zwickau",2005
0.66268,"14524","Zwickau",2006
0.65276,"14524","Zwickau",2007
0.58197,"14524","Zwickau",2008
0.63313,"14524","Zwickau",2009
0.63076,"14524","Zwickau",2010
0.5329,"14524","Zwickau",2011
0.51313,"14524","Zwickau",2012
0.48466,"14524","Zwickau",2013
0.52286,"14524","Zwickau",2014
0.51978,"14524","Zwickau",2015
0.50668,"14524","Zwickau",2016
0.53159,"14524","Zwickau",2017
0.50669,"14524","Zwickau",2018
0.61555,"14524","Zwickau",2019
0.56837,"14524","Zwickau",2020
0,"14612","Dresden, Stadt",1998
0,"14612","Dresden, Stadt",1999
0,"14612","Dresden, Stadt",2000
0,"14612","Dresden, Stadt",2001
0,"14612","Dresden, Stadt",2002
0,"14612","Dresden, Stadt",2003
0,"14612","Dresden, Stadt",2004
0,"14612","Dresden, Stadt",2005
0,"14612","Dresden, Stadt",2006
0,"14612","Dresden, Stadt",2007
0,"14612","Dresden, Stadt",2008
0,"14612","Dresden, Stadt",2009
0,"14612","Dresden, Stadt",2010
0,"14612","Dresden, Stadt",2011
0,"14612","Dresden, Stadt",2012
0,"14612","Dresden, Stadt",2013
0,"14612","Dresden, Stadt",2014
0,"14612","Dresden, Stadt",2015
0,"14612","Dresden, Stadt",2016
0,"14612","Dresden, Stadt",2017
0,"14612","Dresden, Stadt",2018
0,"14612","Dresden, Stadt",2019
0,"14612","Dresden, Stadt",2020
0.75505,"14625","Bautzen",1998
0.77551,"14625","Bautzen",1999
0.72981,"14625","Bautzen",2000
0.69011,"14625","Bautzen",2001
0.76515,"14625","Bautzen",2002
0.73452,"14625","Bautzen",2003
0.70565,"14625","Bautzen",2004
0.68685,"14625","Bautzen",2005
0.69281,"14625","Bautzen",2006
0.61832,"14625","Bautzen",2007
0.59749,"14625","Bautzen",2008
0.63674,"14625","Bautzen",2009
0.58729,"14625","Bautzen",2010
0.55277,"14625","Bautzen",2011
0.58469,"14625","Bautzen",2012
0.53665,"14625","Bautzen",2013
0.4683,"14625","Bautzen",2014
0.58251,"14625","Bautzen",2015
0.60615,"14625","Bautzen",2016
0.54148,"14625","Bautzen",2017
0.53674,"14625","Bautzen",2018
0.52211,"14625","Bautzen",2019
0.55393,"14625","Bautzen",2020
0.92123,"14626","Görlitz",1998
1,"14626","Görlitz",1999
1,"14626","Görlitz",2000
1,"14626","Görlitz",2001
1,"14626","Görlitz",2002
1,"14626","Görlitz",2003
1,"14626","Görlitz",2004
0.97489,"14626","Görlitz",2005
1,"14626","Görlitz",2006
1,"14626","Görlitz",2007
1,"14626","Görlitz",2008
1,"14626","Görlitz",2009
0.98803,"14626","Görlitz",2010
0.93802,"14626","Görlitz",2011
1,"14626","Görlitz",2012
1,"14626","Görlitz",2013
1,"14626","Görlitz",2014
1,"14626","Görlitz",2015
1,"14626","Görlitz",2016
1,"14626","Görlitz",2017
1,"14626","Görlitz",2018
1,"14626","Görlitz",2019
1,"14626","Görlitz",2020
0.62586,"14627","Meißen",1998
0.5566,"14627","Meißen",1999
0.70348,"14627","Meißen",2000
0.6011,"14627","Meißen",2001
0.61968,"14627","Meißen",2002
0.51282,"14627","Meißen",2003
0.51597,"14627","Meißen",2004
0.53314,"14627","Meißen",2005
0.48336,"14627","Meißen",2006
0.4318,"14627","Meißen",2007
0.39654,"14627","Meißen",2008
0.43355,"14627","Meißen",2009
0.4579,"14627","Meißen",2010
0.35955,"14627","Meißen",2011
0.40518,"14627","Meißen",2012
0.39765,"14627","Meißen",2013
0.43167,"14627","Meißen",2014
0.34193,"14627","Meißen",2015
0.45742,"14627","Meißen",2016
0.44006,"14627","Meißen",2017
0.39636,"14627","Meißen",2018
0.40238,"14627","Meißen",2019
0.4898,"14627","Meißen",2020
0.53805,"14628","Sächsische Schweiz-Osterzgebirge",1998
0.58471,"14628","Sächsische Schweiz-Osterzgebirge",1999
0.59473,"14628","Sächsische Schweiz-Osterzgebirge",2000
0.59857,"14628","Sächsische Schweiz-Osterzgebirge",2001
0.6093,"14628","Sächsische Schweiz-Osterzgebirge",2002
0.56679,"14628","Sächsische Schweiz-Osterzgebirge",2003
0.50895,"14628","Sächsische Schweiz-Osterzgebirge",2004
0.50627,"14628","Sächsische Schweiz-Osterzgebirge",2005
0.56313,"14628","Sächsische Schweiz-Osterzgebirge",2006
0.49219,"14628","Sächsische Schweiz-Osterzgebirge",2007
0.51763,"14628","Sächsische Schweiz-Osterzgebirge",2008
0.51964,"14628","Sächsische Schweiz-Osterzgebirge",2009
0.59588,"14628","Sächsische Schweiz-Osterzgebirge",2010
0.54425,"14628","Sächsische Schweiz-Osterzgebirge",2011
0.49412,"14628","Sächsische Schweiz-Osterzgebirge",2012
0.54237,"14628","Sächsische Schweiz-Osterzgebirge",2013
0.45393,"14628","Sächsische Schweiz-Osterzgebirge",2014
0.59897,"14628","Sächsische Schweiz-Osterzgebirge",2015
0.56221,"14628","Sächsische Schweiz-Osterzgebirge",2016
0.64267,"14628","Sächsische Schweiz-Osterzgebirge",2017
0.54061,"14628","Sächsische Schweiz-Osterzgebirge",2018
0.60063,"14628","Sächsische Schweiz-Osterzgebirge",2019
0.6355,"14628","Sächsische Schweiz-Osterzgebirge",2020
0.72569,"14713","Leipzig, Stadt",1998
0.70248,"14713","Leipzig, Stadt",1999
0.65308,"14713","Leipzig, Stadt",2000
0.69883,"14713","Leipzig, Stadt",2001
0.70465,"14713","Leipzig, Stadt",2002
0.69402,"14713","Leipzig, Stadt",2003
0.689,"14713","Leipzig, Stadt",2004
