"gisd_score","gvb_id","gvb_name","year"
0.34738,"71110000","Koblenz, Stadt",1998
0.35867,"71110000","Koblenz, Stadt",1999
0.36265,"71110000","Koblenz, Stadt",2000
0.35073,"71110000","Koblenz, Stadt",2001
0.38015,"71110000","Koblenz, Stadt",2002
0.38953,"71110000","Koblenz, Stadt",2003
0.36484,"71110000","Koblenz, Stadt",2004
0.44974,"71110000","Koblenz, Stadt",2005
0.41683,"71110000","Koblenz, Stadt",2006
0.41519,"71110000","Koblenz, Stadt",2007
0.46574,"71110000","Koblenz, Stadt",2008
0.4639,"71110000","Koblenz, Stadt",2009
0.5034,"71110000","Koblenz, Stadt",2010
0.42949,"71110000","Koblenz, Stadt",2011
0.40719,"71110000","Koblenz, Stadt",2012
0.41457,"71110000","Koblenz, Stadt",2013
0.4219,"71110000","Koblenz, Stadt",2014
0.40504,"71110000","Koblenz, Stadt",2015
0.36866,"71110000","Koblenz, Stadt",2016
0.38309,"71110000","Koblenz, Stadt",2017
0.3825,"71110000","Koblenz, Stadt",2018
0.35194,"71110000","Koblenz, Stadt",2019
0.37127,"71110000","Koblenz, Stadt",2020
0.34429,"71110000","Koblenz, Stadt",2021
0.31091,"71310007","Bad Neuenahr-Ahrweiler, Stadt",1998
0.31191,"71310007","Bad Neuenahr-Ahrweiler, Stadt",1999
0.30613,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2000
0.30736,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2001
0.38403,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2002
0.45063,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2003
0.37604,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2004
0.35311,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2005
0.34471,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2006
0.32616,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2007
0.38223,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2008
0.36958,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2009
0.38285,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2010
0.34081,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2011
0.33204,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2012
0.33654,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2013
0.31779,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2014
0.34692,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2015
0.29761,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2016
0.29068,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2017
0.29269,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2018
0.32236,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2019
0.32815,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2020
0.29876,"71310007","Bad Neuenahr-Ahrweiler, Stadt",2021
0.31315,"71310070","Remagen, Stadt",1998
0.31295,"71310070","Remagen, Stadt",1999
0.30511,"71310070","Remagen, Stadt",2000
0.29623,"71310070","Remagen, Stadt",2001
0.3753,"71310070","Remagen, Stadt",2002
0.43879,"71310070","Remagen, Stadt",2003
0.37098,"71310070","Remagen, Stadt",2004
0.34782,"71310070","Remagen, Stadt",2005
0.33706,"71310070","Remagen, Stadt",2006
0.31402,"71310070","Remagen, Stadt",2007
0.37501,"71310070","Remagen, Stadt",2008
0.36455,"71310070","Remagen, Stadt",2009
0.37678,"71310070","Remagen, Stadt",2010
0.33241,"71310070","Remagen, Stadt",2011
0.33253,"71310070","Remagen, Stadt",2012
0.33578,"71310070","Remagen, Stadt",2013
0.3131,"71310070","Remagen, Stadt",2014
0.34633,"71310070","Remagen, Stadt",2015
0.28602,"71310070","Remagen, Stadt",2016
0.28182,"71310070","Remagen, Stadt",2017
0.28461,"71310070","Remagen, Stadt",2018
0.30884,"71310070","Remagen, Stadt",2019
0.31793,"71310070","Remagen, Stadt",2020
0.32295,"71310070","Remagen, Stadt",2021
0.3183,"71310077","Sinzig, Stadt",1998
0.32152,"71310077","Sinzig, Stadt",1999
0.31086,"71310077","Sinzig, Stadt",2000
0.29943,"71310077","Sinzig, Stadt",2001
0.38084,"71310077","Sinzig, Stadt",2002
0.4455,"71310077","Sinzig, Stadt",2003
0.37297,"71310077","Sinzig, Stadt",2004
0.35388,"71310077","Sinzig, Stadt",2005
0.34147,"71310077","Sinzig, Stadt",2006
0.32058,"71310077","Sinzig, Stadt",2007
0.38093,"71310077","Sinzig, Stadt",2008
0.36996,"71310077","Sinzig, Stadt",2009
0.38271,"71310077","Sinzig, Stadt",2010
0.33398,"71310077","Sinzig, Stadt",2011
0.33991,"71310077","Sinzig, Stadt",2012
0.33289,"71310077","Sinzig, Stadt",2013
0.31647,"71310077","Sinzig, Stadt",2014
0.34656,"71310077","Sinzig, Stadt",2015
0.29161,"71310077","Sinzig, Stadt",2016
0.28698,"71310077","Sinzig, Stadt",2017
0.29063,"71310077","Sinzig, Stadt",2018
0.31885,"71310077","Sinzig, Stadt",2019
0.32211,"71310077","Sinzig, Stadt",2020
0.3203,"71310077","Sinzig, Stadt",2021
0.32549,"71310090","Grafschaft",1998
0.3305,"71310090","Grafschaft",1999
0.31091,"71310090","Grafschaft",2000
0.3032,"71310090","Grafschaft",2001
0.38211,"71310090","Grafschaft",2002
0.42733,"71310090","Grafschaft",2003
0.35469,"71310090","Grafschaft",2004
0.3334,"71310090","Grafschaft",2005
0.31354,"71310090","Grafschaft",2006
0.29632,"71310090","Grafschaft",2007
0.35266,"71310090","Grafschaft",2008
0.33396,"71310090","Grafschaft",2009
0.34831,"71310090","Grafschaft",2010
0.31357,"71310090","Grafschaft",2011
0.30936,"71310090","Grafschaft",2012
0.31005,"71310090","Grafschaft",2013
0.29398,"71310090","Grafschaft",2014
0.31912,"71310090","Grafschaft",2015
0.25612,"71310090","Grafschaft",2016
0.25268,"71310090","Grafschaft",2017
0.24818,"71310090","Grafschaft",2018
0.27229,"71310090","Grafschaft",2019
0.27667,"71310090","Grafschaft",2020
0.28126,"71310090","Grafschaft",2021
0.33066,"71315001","Adenau",1998
0.33625,"71315001","Adenau",1999
