"gisd_score","kreis_id","kreis_name","year"
0.89185,"10041","Regionalverband Saarbrücken",1998
0.92865,"10041","Regionalverband Saarbrücken",1999
0.92665,"10041","Regionalverband Saarbrücken",2000
0.92881,"10041","Regionalverband Saarbrücken",2001
0.67777,"10041","Regionalverband Saarbrücken",2002
0.83451,"10041","Regionalverband Saarbrücken",2003
0.86489,"10041","Regionalverband Saarbrücken",2004
0.71651,"10041","Regionalverband Saarbrücken",2005
0.80032,"10041","Regionalverband Saarbrücken",2006
0.78911,"10041","Regionalverband Saarbrücken",2007
0.88663,"10041","Regionalverband Saarbrücken",2008
0.87128,"10041","Regionalverband Saarbrücken",2009
0.86947,"10041","Regionalverband Saarbrücken",2010
0.79665,"10041","Regionalverband Saarbrücken",2011
0.74168,"10041","Regionalverband Saarbrücken",2012
0.81686,"10041","Regionalverband Saarbrücken",2013
0.85066,"10041","Regionalverband Saarbrücken",2014
0.87888,"10041","Regionalverband Saarbrücken",2015
0.89382,"10041","Regionalverband Saarbrücken",2016
0.85206,"10041","Regionalverband Saarbrücken",2017
0.95671,"10041","Regionalverband Saarbrücken",2018
0.81099,"10041","Regionalverband Saarbrücken",2019
0.8155,"10041","Regionalverband Saarbrücken",2020
0.76769,"10041","Regionalverband Saarbrücken",2021
0.89906,"10042","Merzig-Wadern",1998
0.74829,"10042","Merzig-Wadern",1999
0.63342,"10042","Merzig-Wadern",2000
0.83288,"10042","Merzig-Wadern",2001
0.75618,"10042","Merzig-Wadern",2002
0.87117,"10042","Merzig-Wadern",2003
0.73869,"10042","Merzig-Wadern",2004
0.86406,"10042","Merzig-Wadern",2005
0.89356,"10042","Merzig-Wadern",2006
0.89497,"10042","Merzig-Wadern",2007
1,"10042","Merzig-Wadern",2008
0.92038,"10042","Merzig-Wadern",2009
0.96876,"10042","Merzig-Wadern",2010
0.83913,"10042","Merzig-Wadern",2011
0.95245,"10042","Merzig-Wadern",2012
1,"10042","Merzig-Wadern",2013
0.9794,"10042","Merzig-Wadern",2014
0.89691,"10042","Merzig-Wadern",2015
0.98116,"10042","Merzig-Wadern",2016
0.99174,"10042","Merzig-Wadern",2017
0.8929,"10042","Merzig-Wadern",2018
0.67929,"10042","Merzig-Wadern",2019
0.61847,"10042","Merzig-Wadern",2020
0.64639,"10042","Merzig-Wadern",2021
1,"10043","Neunkirchen",1998
1,"10043","Neunkirchen",1999
1,"10043","Neunkirchen",2000
1,"10043","Neunkirchen",2001
1,"10043","Neunkirchen",2002
1,"10043","Neunkirchen",2003
1,"10043","Neunkirchen",2004
1,"10043","Neunkirchen",2005
1,"10043","Neunkirchen",2006
1,"10043","Neunkirchen",2007
0.992,"10043","Neunkirchen",2008
1,"10043","Neunkirchen",2009
1,"10043","Neunkirchen",2010
1,"10043","Neunkirchen",2011
1,"10043","Neunkirchen",2012
0.97657,"10043","Neunkirchen",2013
1,"10043","Neunkirchen",2014
1,"10043","Neunkirchen",2015
1,"10043","Neunkirchen",2016
1,"10043","Neunkirchen",2017
1,"10043","Neunkirchen",2018
1,"10043","Neunkirchen",2019
1,"10043","Neunkirchen",2020
1,"10043","Neunkirchen",2021
0.57776,"10044","Saarlouis",1998
0.5949,"10044","Saarlouis",1999
0.59424,"10044","Saarlouis",2000
0.61078,"10044","Saarlouis",2001
0.36909,"10044","Saarlouis",2002
0.52719,"10044","Saarlouis",2003
0.51362,"10044","Saarlouis",2004
0.48182,"10044","Saarlouis",2005
0.418,"10044","Saarlouis",2006
0.60627,"10044","Saarlouis",2007
0.56719,"10044","Saarlouis",2008
0.52756,"10044","Saarlouis",2009
0.57235,"10044","Saarlouis",2010
0.47468,"10044","Saarlouis",2011
0.60514,"10044","Saarlouis",2012
0.51613,"10044","Saarlouis",2013
0.54321,"10044","Saarlouis",2014
0.56386,"10044","Saarlouis",2015
0.50494,"10044","Saarlouis",2016
0.53978,"10044","Saarlouis",2017
0.49524,"10044","Saarlouis",2018
0.46062,"10044","Saarlouis",2019
0.3797,"10044","Saarlouis",2020
0.43173,"10044","Saarlouis",2021
0,"10045","Saarpfalz-Kreis",1998
0,"10045","Saarpfalz-Kreis",1999
0.17878,"10045","Saarpfalz-Kreis",2000
0.07211,"10045","Saarpfalz-Kreis",2001
0,"10045","Saarpfalz-Kreis",2002
0,"10045","Saarpfalz-Kreis",2003
0.03819,"10045","Saarpfalz-Kreis",2004
0,"10045","Saarpfalz-Kreis",2005
