"gisd_score","gvb_id","gvb_name","year"
0.25175,"150010000","Dessau-Roßlau, Stadt",1998
0.23332,"150010000","Dessau-Roßlau, Stadt",1999
0.33165,"150010000","Dessau-Roßlau, Stadt",2000
0.20373,"150010000","Dessau-Roßlau, Stadt",2001
0,"150010000","Dessau-Roßlau, Stadt",2002
0,"150010000","Dessau-Roßlau, Stadt",2003
0.00883,"150010000","Dessau-Roßlau, Stadt",2004
0,"150010000","Dessau-Roßlau, Stadt",2005
0.18091,"150010000","Dessau-Roßlau, Stadt",2006
0.21572,"150010000","Dessau-Roßlau, Stadt",2007
0.31783,"150010000","Dessau-Roßlau, Stadt",2008
0.07383,"150010000","Dessau-Roßlau, Stadt",2009
0.1888,"150010000","Dessau-Roßlau, Stadt",2010
0.24269,"150010000","Dessau-Roßlau, Stadt",2011
0.27922,"150010000","Dessau-Roßlau, Stadt",2012
0.35765,"150010000","Dessau-Roßlau, Stadt",2013
0.22607,"150010000","Dessau-Roßlau, Stadt",2014
0.31263,"150010000","Dessau-Roßlau, Stadt",2015
0.27473,"150010000","Dessau-Roßlau, Stadt",2016
0.32765,"150010000","Dessau-Roßlau, Stadt",2017
0.27978,"150010000","Dessau-Roßlau, Stadt",2018
0.33961,"150010000","Dessau-Roßlau, Stadt",2019
0.3864,"150010000","Dessau-Roßlau, Stadt",2020
0.43037,"150010000","Dessau-Roßlau, Stadt",2021
0.36239,"150020000","Halle (Saale), Stadt",1998
0.44509,"150020000","Halle (Saale), Stadt",1999
0.37466,"150020000","Halle (Saale), Stadt",2000
0.48933,"150020000","Halle (Saale), Stadt",2001
0.25424,"150020000","Halle (Saale), Stadt",2002
0.36858,"150020000","Halle (Saale), Stadt",2003
0.35682,"150020000","Halle (Saale), Stadt",2004
0.25404,"150020000","Halle (Saale), Stadt",2005
0.47851,"150020000","Halle (Saale), Stadt",2006
0.54247,"150020000","Halle (Saale), Stadt",2007
0.64149,"150020000","Halle (Saale), Stadt",2008
0.50111,"150020000","Halle (Saale), Stadt",2009
0.65492,"150020000","Halle (Saale), Stadt",2010
0.63869,"150020000","Halle (Saale), Stadt",2011
0.56351,"150020000","Halle (Saale), Stadt",2012
0.54134,"150020000","Halle (Saale), Stadt",2013
0.51929,"150020000","Halle (Saale), Stadt",2014
0.49274,"150020000","Halle (Saale), Stadt",2015
0.53783,"150020000","Halle (Saale), Stadt",2016
0.56815,"150020000","Halle (Saale), Stadt",2017
0.51527,"150020000","Halle (Saale), Stadt",2018
0.73151,"150020000","Halle (Saale), Stadt",2019
0.70038,"150020000","Halle (Saale), Stadt",2020
0.76478,"150020000","Halle (Saale), Stadt",2021
0.27098,"150030000","Magdeburg, Landeshauptstadt",1998
0.25814,"150030000","Magdeburg, Landeshauptstadt",1999
0.26219,"150030000","Magdeburg, Landeshauptstadt",2000
0.25062,"150030000","Magdeburg, Landeshauptstadt",2001
0.15976,"150030000","Magdeburg, Landeshauptstadt",2002
0.2214,"150030000","Magdeburg, Landeshauptstadt",2003
0.22157,"150030000","Magdeburg, Landeshauptstadt",2004
0.21577,"150030000","Magdeburg, Landeshauptstadt",2005
0.35933,"150030000","Magdeburg, Landeshauptstadt",2006
0.3463,"150030000","Magdeburg, Landeshauptstadt",2007
0.44763,"150030000","Magdeburg, Landeshauptstadt",2008
0.3137,"150030000","Magdeburg, Landeshauptstadt",2009
0.38598,"150030000","Magdeburg, Landeshauptstadt",2010
0.46361,"150030000","Magdeburg, Landeshauptstadt",2011
0.3959,"150030000","Magdeburg, Landeshauptstadt",2012
0.32206,"150030000","Magdeburg, Landeshauptstadt",2013
0.29509,"150030000","Magdeburg, Landeshauptstadt",2014
0.3177,"150030000","Magdeburg, Landeshauptstadt",2015
0.2822,"150030000","Magdeburg, Landeshauptstadt",2016
0.32522,"150030000","Magdeburg, Landeshauptstadt",2017
0.30502,"150030000","Magdeburg, Landeshauptstadt",2018
0.44335,"150030000","Magdeburg, Landeshauptstadt",2019
0.44908,"150030000","Magdeburg, Landeshauptstadt",2020
0.47744,"150030000","Magdeburg, Landeshauptstadt",2021
0.66575,"150810030","Arendsee (Altmark), Stadt",1998
0.44213,"150810030","Arendsee (Altmark), Stadt",1999
0.83135,"150810030","Arendsee (Altmark), Stadt",2000
0.71729,"150810030","Arendsee (Altmark), Stadt",2001
0.75944,"150810030","Arendsee (Altmark), Stadt",2002
0.89828,"150810030","Arendsee (Altmark), Stadt",2003
0.84142,"150810030","Arendsee (Altmark), Stadt",2004
0.919,"150810030","Arendsee (Altmark), Stadt",2005
0.96267,"150810030","Arendsee (Altmark), Stadt",2006
